date,ticker,value
02/17/2012,VN30,2.4635434009
02/20/2012,VN30,2.5360115251
02/21/2012,VN30,2.5231737482
02/23/2012,VN30,2.5944634586
02/27/2012,VN30,2.5920039735
02/28/2012,VN30,2.559406958
02/29/2012,VN30,2.5456439062
03/01/2012,VN30,2.5882000656
03/02/2012,VN30,2.6657833519
03/05/2012,VN30,2.7704694359
03/08/2012,VN30,2.5850441386
03/09/2012,VN30,2.6002224097
03/12/2012,VN30,2.5711312361
03/13/2012,VN30,2.5836915099
03/14/2012,VN30,2.63453804
03/15/2012,VN30,2.6488256655
03/16/2012,VN30,2.6070136846
03/19/2012,VN30,2.6249183878
03/20/2012,VN30,2.6429638763
03/21/2012,VN30,2.6632257492
03/22/2012,VN30,2.6571173349
03/23/2012,VN30,2.7021263194
03/26/2012,VN30,2.7425618766
03/27/2012,VN30,2.6621355168
03/28/2012,VN30,2.6727632968
03/29/2012,VN30,2.636111943
03/30/2012,VN30,2.6761104427
04/03/2012,VN30,2.701709151
04/04/2012,VN30,2.6723960454
04/05/2012,VN30,2.6857568447
04/06/2012,VN30,2.6904824159
04/09/2012,VN30,2.6976814141
04/10/2012,VN30,2.7000220683
04/11/2012,VN30,2.7314186436
04/12/2012,VN30,2.7841267827
04/13/2012,VN30,2.76745479
04/16/2012,VN30,2.7975203096
04/17/2012,VN30,2.8273461027
04/18/2012,VN30,2.8153305237
04/19/2012,VN30,2.806493886
04/20/2012,VN30,2.4552926876
04/23/2012,VN30,2.4442211482
04/24/2012,VN30,2.4268664384
04/25/2012,VN30,2.4445505965
04/26/2012,VN30,2.4239979891
04/27/2012,VN30,2.4327709049
05/02/2012,VN30,2.4265809225
05/03/2012,VN30,2.3987140003
05/04/2012,VN30,2.4296387936
05/07/2012,VN30,2.4714741392
05/08/2012,VN30,2.4691127898
05/09/2012,VN30,2.4623640651
05/10/2012,VN30,2.4679907431
05/11/2012,VN30,2.4626839666
05/14/2012,VN30,2.4519191155
05/15/2012,VN30,2.3778398725
05/16/2012,VN30,2.3556121033
05/17/2012,VN30,2.3204709495
05/18/2012,VN30,2.2905758085
05/21/2012,VN30,2.4350839449
05/22/2012,VN30,2.4279454748
05/23/2012,VN30,2.3646390656
05/24/2012,VN30,2.3086846286
05/25/2012,VN30,2.3643852665
05/28/2012,VN30,2.3397934388
05/29/2012,VN30,2.3131359779
05/30/2012,VN30,2.3394231246
05/31/2012,VN30,2.30943113
06/01/2012,VN30,2.3181730833
06/04/2012,VN30,2.2556808163
06/05/2012,VN30,2.2689439248
06/06/2012,VN30,2.2956398111
06/07/2012,VN30,2.3335808819
06/08/2012,VN30,2.3257587227
06/11/2012,VN30,2.3253272742
06/12/2012,VN30,2.3115555391
06/13/2012,VN30,2.3126056656
06/14/2012,VN30,2.2994404383
06/15/2012,VN30,2.3323280806
06/18/2012,VN30,2.341242451
06/19/2012,VN30,2.3203642364
06/20/2012,VN30,2.3304602379
06/21/2012,VN30,2.3292674586
06/22/2012,VN30,2.3079506601
06/25/2012,VN30,2.3026379253
06/26/2012,VN30,2.2798945811
06/27/2012,VN30,2.2716760946
06/28/2012,VN30,2.2700590658
06/29/2012,VN30,2.2870644489
07/02/2012,VN30,2.2803385763
07/03/2012,VN30,2.2510543807
07/04/2012,VN30,2.2404962502
07/05/2012,VN30,2.2509089679
07/06/2012,VN30,2.2516395755
07/09/2012,VN30,2.2202185525
07/10/2012,VN30,2.2034889846
07/11/2012,VN30,2.2112534169
07/12/2012,VN30,2.2161415542
07/13/2012,VN30,2.2568600865
07/16/2012,VN30,2.2520521682
07/17/2012,VN30,2.3005794101
07/18/2012,VN30,2.3107378401
07/19/2012,VN30,2.3561064024
07/20/2012,VN30,2.3275250053
07/23/2012,VN30,2.400568741
07/24/2012,VN30,2.3690168474
07/25/2012,VN30,2.2756735042
07/26/2012,VN30,2.362786826
07/27/2012,VN30,2.3555094104
07/30/2012,VN30,2.3703783165
07/31/2012,VN30,2.3705559259
08/01/2012,VN30,2.361074712
08/02/2012,VN30,2.387335243
08/03/2012,VN30,2.3987453815
08/06/2012,VN30,2.4181705262
08/07/2012,VN30,2.4189873111
08/08/2012,VN30,2.3373031698
08/09/2012,VN30,2.3648769137
08/10/2012,VN30,2.3585614887
08/13/2012,VN30,2.3661762337
08/14/2012,VN30,2.3835627422
08/15/2012,VN30,2.3889553561
08/16/2012,VN30,2.3894273279
08/17/2012,VN30,2.3993212447
08/20/2012,VN30,2.4188294383
08/21/2012,VN30,2.3879623817
08/22/2012,VN30,2.3604063845
08/23/2012,VN30,2.2577412155
08/24/2012,VN30,2.3071313397
08/27/2012,VN30,2.2256330849
08/28/2012,VN30,2.228982212
08/29/2012,VN30,2.2646012557
08/30/2012,VN30,2.2875368809
08/31/2012,VN30,2.276396764
09/04/2012,VN30,2.3198004562
09/05/2012,VN30,2.3069655398
09/06/2012,VN30,2.2782914371
09/07/2012,VN30,2.3096380235
09/10/2012,VN30,2.2621841753
09/11/2012,VN30,2.2551071434
09/12/2012,VN30,2.2696716179
09/13/2012,VN30,2.2887060762
09/14/2012,VN30,2.3440763279
09/17/2012,VN30,2.3682725055
09/18/2012,VN30,2.3251550228
09/19/2012,VN30,2.3264824376
09/20/2012,VN30,2.2918485527
