date,ticker,value
05/15/2015,VNALL,2.3180393088
05/28/2015,VNALL,2.4127863642
05/29/2015,VNALL,2.3685836917
06/01/2015,VNALL,2.4074573384
06/02/2015,VNALL,2.3979540455
06/03/2015,VNALL,2.3690028923
06/04/2015,VNALL,2.3764455099
06/05/2015,VNALL,2.3869543006
06/08/2015,VNALL,2.3936432977
06/09/2015,VNALL,2.3728132974
06/10/2015,VNALL,2.3621448865
06/11/2015,VNALL,2.383025854
06/12/2015,VNALL,2.3837876008
06/15/2015,VNALL,2.3854162619
06/16/2015,VNALL,2.3647319016
06/17/2015,VNALL,2.3625255467
06/18/2015,VNALL,2.3755783452
06/19/2015,VNALL,2.3989427697
06/22/2015,VNALL,2.4772921925
06/23/2015,VNALL,2.4719883244
06/24/2015,VNALL,2.4464402342
06/25/2015,VNALL,2.4639070975
06/26/2015,VNALL,2.4683637425
06/29/2015,VNALL,2.4439252334
06/30/2015,VNALL,2.4635347906
07/01/2015,VNALL,2.4709152619
07/02/2015,VNALL,2.5176236658
07/03/2015,VNALL,2.5725370859
07/06/2015,VNALL,2.6016713649
07/07/2015,VNALL,2.615506851
07/08/2015,VNALL,2.5686951345
07/09/2015,VNALL,2.5760678213
07/10/2015,VNALL,2.5903033586
07/13/2015,VNALL,2.664049542
07/14/2015,VNALL,2.6657941426
07/15/2015,VNALL,2.6516376267
07/16/2015,VNALL,2.6204870063
07/17/2015,VNALL,2.6316961875
07/20/2015,VNALL,2.5943461406
07/21/2015,VNALL,2.5775979968
07/22/2015,VNALL,2.6434141351
07/23/2015,VNALL,2.6720157824
07/24/2015,VNALL,2.6642133109
07/27/2015,VNALL,2.6770114668
07/28/2015,VNALL,2.670168639
07/29/2015,VNALL,2.6465750025
07/30/2015,VNALL,2.6310454696
07/31/2015,VNALL,2.6024090447
08/03/2015,VNALL,2.5604490723
08/04/2015,VNALL,2.4966922551
08/05/2015,VNALL,2.3792603701
08/06/2015,VNALL,2.3674578853
08/07/2015,VNALL,2.403260365
08/10/2015,VNALL,2.4999797186
08/11/2015,VNALL,2.4995714032
08/12/2015,VNALL,2.473314803
08/13/2015,VNALL,2.473314803
08/14/2015,VNALL,2.4569442529
08/17/2015,VNALL,2.2613557372
08/18/2015,VNALL,2.2821973014
08/19/2015,VNALL,2.2068038024
08/20/2015,VNALL,2.1713799969
08/21/2015,VNALL,2.1462486478
08/24/2015,VNALL,2.021850191
08/25/2015,VNALL,2.0519600706
08/26/2015,VNALL,2.1011311503
08/27/2015,VNALL,2.1115065236
08/28/2015,VNALL,2.1655499105
08/31/2015,VNALL,2.1388054198
09/01/2015,VNALL,2.124769134
09/03/2015,VNALL,2.0985618161
09/04/2015,VNALL,2.1074551041
09/07/2015,VNALL,2.0854178014
09/08/2015,VNALL,2.1142037798
09/09/2015,VNALL,2.1344121703
09/10/2015,VNALL,2.1555607093
09/11/2015,VNALL,2.1260535318
09/14/2015,VNALL,2.0901050373
09/15/2015,VNALL,2.0818179197
09/16/2015,VNALL,2.0992403233
09/17/2015,VNALL,2.0972670094
09/18/2015,VNALL,2.1139181613
09/21/2015,VNALL,2.1414697596
09/22/2015,VNALL,2.1716521123
09/23/2015,VNALL,2.161044286
09/24/2015,VNALL,2.1435448436
09/25/2015,VNALL,2.1512649256
09/28/2015,VNALL,2.1501979178
09/29/2015,VNALL,2.1229735567
09/30/2015,VNALL,2.1278623769
10/01/2015,VNALL,2.1406217863
10/02/2015,VNALL,2.1386958167
10/05/2015,VNALL,2.1684277077
10/06/2015,VNALL,2.1999985889
10/07/2015,VNALL,2.1870972815
10/08/2015,VNALL,2.2128489708
10/09/2015,VNALL,2.2117676045
10/12/2015,VNALL,2.2344175747
10/13/2015,VNALL,2.2431548252
10/14/2015,VNALL,2.2685830568
10/15/2015,VNALL,2.2716387549
10/16/2015,VNALL,2.2655961159
10/19/2015,VNALL,2.2988680421
10/20/2015,VNALL,2.3057077187
10/21/2015,VNALL,2.3165603958
10/22/2015,VNALL,2.3396282496
10/23/2015,VNALL,2.3689951984
10/26/2015,VNALL,2.3485414795
10/27/2015,VNALL,2.5634258815
10/28/2015,VNALL,2.5581775944
10/29/2015,VNALL,2.9250229325
10/30/2015,VNALL,2.9192543191
11/02/2015,VNALL,2.8890202012
11/03/2015,VNALL,3.000719423
11/04/2015,VNALL,3.0012874828
11/05/2015,VNALL,3.0849546428
11/06/2015,VNALL,3.0923589879
11/09/2015,VNALL,3.0615203546
11/10/2015,VNALL,3.0590600705
11/11/2015,VNALL,3.0857730562
11/12/2015,VNALL,3.1236934456
11/13/2015,VNALL,3.2071107384
11/16/2015,VNALL,3.321357234
11/17/2015,VNALL,3.2096972331
11/18/2015,VNALL,3.1782020419
11/19/2015,VNALL,3.1416296237
11/20/2015,VNALL,3.1608656564
11/23/2015,VNALL,3.0876036388
11/24/2015,VNALL,3.0129526885
11/25/2015,VNALL,3.0448854879
11/26/2015,VNALL,3.0026831177
11/27/2015,VNALL,2.998241561
11/30/2015,VNALL,2.9953128013
12/01/2015,VNALL,2.9556990204
12/02/2015,VNALL,2.9681632161
12/03/2015,VNALL,2.9702287658
12/04/2015,VNALL,2.9657575589
12/07/2015,VNALL,2.9080385539
12/08/2015,VNALL,3.0141827577
12/09/2015,VNALL,2.9672499148
12/10/2015,VNALL,2.9590365449
12/11/2015,VNALL,2.9601331504
12/14/2015,VNALL,2.9729484399
12/15/2015,VNALL,3.0207132511
12/16/2015,VNALL,3.0569385997
12/17/2015,VNALL,3.0641465255
12/18/2015,VNALL,3.0389340646
12/21/2015,VNALL,3.0001103325
12/22/2015,VNALL,2.9984290034
12/23/2015,VNALL,2.9843199439
12/24/2015,VNALL,3.009862276
12/25/2015,VNALL,3.0151629373
