date,ticker,value
12/03/2020,VNCOND,2.475873
12/04/2020,VNCOND,2.469261
12/07/2020,VNCOND,2.477217
12/08/2020,VNCOND,2.484662
12/09/2020,VNCOND,2.498994
12/10/2020,VNCOND,2.454405
12/11/2020,VNCOND,2.491938
12/14/2020,VNCOND,2.524192
12/15/2020,VNCOND,2.521243
12/16/2020,VNCOND,2.533265
12/17/2020,VNCOND,2.501313
12/18/2020,VNCOND,2.526663
12/21/2020,VNCOND,2.54591
12/22/2020,VNCOND,2.5972
12/23/2020,VNCOND,2.570797
12/24/2020,VNCOND,2.541896
12/25/2020,VNCOND,2.588091
12/28/2020,VNCOND,2.577438
03/03/2021,VNCOND,2.946038
03/04/2021,VNCOND,2.896156
03/05/2021,VNCOND,2.898063
03/25/2021,VNCOND,2.898937
03/26/2021,VNCOND,2.91435
03/29/2021,VNCOND,2.947663
03/30/2021,VNCOND,2.954922
03/31/2021,VNCOND,2.966747
04/01/2021,VNCOND,3.025096
04/02/2021,VNCOND,3.041122
04/05/2021,VNCOND,3.079042
04/07/2021,VNCOND,3.088271
04/08/2021,VNCOND,3.081571
04/09/2021,VNCOND,3.083817
04/12/2021,VNCOND,3.111078
04/13/2021,VNCOND,3.091594
04/14/2021,VNCOND,3.109312
04/16/2021,VNCOND,3.075754
04/19/2021,VNCOND,3.141226
04/20/2021,VNCOND,3.19362
04/22/2021,VNCOND,3.124918
04/26/2021,VNCOND,3.134996
04/27/2021,VNCOND,3.138694
04/28/2021,VNCOND,3.130754
04/29/2021,VNCOND,3.146718
05/04/2021,VNCOND,3.000285
05/05/2021,VNCOND,3.022956
05/06/2021,VNCOND,3.031428
05/07/2021,VNCOND,2.998079
05/10/2021,VNCOND,2.957937
05/11/2021,VNCOND,2.959278
05/13/2021,VNCOND,2.995195
05/14/2021,VNCOND,3.014646
05/17/2021,VNCOND,2.990536
05/18/2021,VNCOND,2.984072
05/19/2021,VNCOND,2.97837
05/20/2021,VNCOND,3.104161
05/21/2021,VNCOND,3.078418
05/24/2021,VNCOND,3.093369
05/25/2021,VNCOND,3.089168
05/26/2021,VNCOND,3.073878
05/27/2021,VNCOND,3.0366
05/28/2021,VNCOND,3.026961
05/31/2021,VNCOND,2.972187
06/01/2021,VNCOND,2.926334
06/03/2021,VNCOND,2.996961
06/07/2021,VNCOND,2.950669
06/08/2021,VNCOND,2.922769
06/09/2021,VNCOND,2.928399
06/11/2021,VNCOND,2.955827
06/14/2021,VNCOND,2.973785
06/15/2021,VNCOND,2.975686
06/16/2021,VNCOND,2.961628
06/17/2021,VNCOND,3.003586
06/18/2021,VNCOND,3.050552
06/21/2021,VNCOND,3.105834
06/22/2021,VNCOND,3.105721
06/23/2021,VNCOND,3.078945
06/24/2021,VNCOND,3.073732
06/25/2021,VNCOND,3.0641
06/28/2021,VNCOND,3.089933
06/29/2021,VNCOND,3.10772
06/30/2021,VNCOND,3.165924
07/01/2021,VNCOND,3.15823
07/02/2021,VNCOND,3.227152
07/05/2021,VNCOND,3.342649
07/06/2021,VNCOND,3.18993
07/07/2021,VNCOND,3.348252
07/08/2021,VNCOND,3.408201
07/09/2021,VNCOND,3.445225
07/12/2021,VNCOND,3.402849
07/13/2021,VNCOND,3.378459
07/14/2021,VNCOND,3.268256
07/15/2021,VNCOND,3.279729
07/16/2021,VNCOND,3.297292
07/19/2021,VNCOND,3.136697
07/20/2021,VNCOND,3.239833
07/21/2021,VNCOND,3.227904
06/04/2021,VNCOND,2.977551
05/12/2021,VNCOND,3.004326
03/24/2021,VNCOND,2.900478
03/23/2021,VNCOND,2.91522
03/22/2021,VNCOND,2.928795
03/19/2021,VNCOND,2.942608
03/18/2021,VNCOND,2.945224
03/17/2021,VNCOND,2.923698
03/16/2021,VNCOND,2.923252
03/15/2021,VNCOND,2.92459
03/12/2021,VNCOND,2.904424
03/11/2021,VNCOND,2.927912
03/09/2021,VNCOND,2.857046
03/08/2021,VNCOND,2.886652
03/02/2021,VNCOND,2.932666
03/01/2021,VNCOND,2.92342
02/25/2021,VNCOND,2.909598
02/24/2021,VNCOND,2.876897
02/23/2021,VNCOND,2.911015
02/22/2021,VNCOND,2.926672
02/19/2021,VNCOND,2.943437
02/17/2021,VNCOND,2.932797
02/09/2021,VNCOND,2.806565
02/08/2021,VNCOND,2.766379
02/05/2021,VNCOND,2.835851
02/04/2021,VNCOND,2.808458
02/03/2021,VNCOND,2.797611
02/02/2021,VNCOND,2.787472
02/01/2021,VNCOND,2.714197
01/28/2021,VNCOND,2.741476
01/27/2021,VNCOND,2.928156
01/26/2021,VNCOND,2.952532
01/25/2021,VNCOND,2.96609
