date,ticker,value
11/18/2020,VNCONS,4.12583
11/20/2020,VNCONS,4.198419
11/24/2020,VNCONS,4.167524
11/26/2020,VNCONS,4.218855
11/30/2020,VNCONS,4.149415
12/03/2020,VNCONS,4.211879
12/04/2020,VNCONS,4.269983
12/07/2020,VNCONS,4.31545
12/08/2020,VNCONS,4.294091
12/09/2020,VNCONS,4.278411
12/10/2020,VNCONS,4.285883
12/11/2020,VNCONS,4.340931
12/14/2020,VNCONS,4.360527
12/15/2020,VNCONS,4.299414
12/16/2020,VNCONS,4.312926
12/17/2020,VNCONS,4.277678
12/18/2020,VNCONS,4.302599
12/21/2020,VNCONS,4.335158
12/22/2020,VNCONS,4.309028
12/23/2020,VNCONS,4.296193
12/24/2020,VNCONS,4.271428
12/25/2020,VNCONS,4.287542
12/28/2020,VNCONS,4.281743
12/29/2020,VNCONS,4.319216
12/31/2020,VNCONS,4.345618
01/06/2021,VNCONS,4.378567
01/08/2021,VNCONS,4.481471
01/12/2021,VNCONS,4.61486
01/14/2021,VNCONS,4.542035
01/18/2021,VNCONS,4.570363
01/20/2021,VNCONS,4.387536
01/22/2021,VNCONS,4.418451
01/26/2021,VNCONS,4.354641
01/28/2021,VNCONS,3.921027
02/02/2021,VNCONS,4.082507
02/04/2021,VNCONS,4.214933
02/09/2021,VNCONS,4.199873
02/19/2021,VNCONS,4.366146
02/23/2021,VNCONS,4.292746
02/25/2021,VNCONS,4.22168
03/02/2021,VNCONS,4.250704
03/03/2021,VNCONS,4.233905
03/04/2021,VNCONS,4.162501
03/08/2021,VNCONS,4.123953
03/11/2021,VNCONS,4.154415
03/15/2021,VNCONS,4.169487
03/17/2021,VNCONS,4.143004
03/19/2021,VNCONS,4.173619
03/23/2021,VNCONS,4.107016
03/25/2021,VNCONS,4.035761
03/26/2021,VNCONS,4.004117
03/29/2021,VNCONS,4.049599
03/30/2021,VNCONS,4.111124
03/31/2021,VNCONS,4.160149
04/01/2021,VNCONS,4.204842
04/02/2021,VNCONS,4.24674
04/05/2021,VNCONS,4.242294
04/07/2021,VNCONS,4.197245
04/08/2021,VNCONS,4.170704
04/09/2021,VNCONS,4.164369
04/12/2021,VNCONS,4.221085
04/13/2021,VNCONS,4.30934
04/14/2021,VNCONS,4.356667
04/16/2021,VNCONS,4.191737
04/19/2021,VNCONS,4.251749
04/20/2021,VNCONS,4.268616
04/22/2021,VNCONS,4.123561
04/26/2021,VNCONS,4.136869
04/27/2021,VNCONS,4.148995
04/28/2021,VNCONS,4.268228
04/29/2021,VNCONS,4.239742
05/04/2021,VNCONS,4.135622
05/05/2021,VNCONS,4.146925
