date,ticker,value
11/17/2020,VNENE,1.745624
11/18/2020,VNENE,1.750354
11/19/2020,VNENE,1.824334
11/20/2020,VNENE,1.821097
11/23/2020,VNENE,1.822224
11/24/2020,VNENE,1.810256
11/25/2020,VNENE,1.818573
11/26/2020,VNENE,1.847408
11/27/2020,VNENE,1.843078
11/30/2020,VNENE,1.821983
12/01/2020,VNENE,1.818368
12/03/2020,VNENE,1.821811
12/04/2020,VNENE,1.83157
12/07/2020,VNENE,1.847188
12/08/2020,VNENE,1.827923
12/09/2020,VNENE,1.881288
12/10/2020,VNENE,1.853888
12/11/2020,VNENE,1.902012
12/14/2020,VNENE,1.952654
12/15/2020,VNENE,1.931354
12/16/2020,VNENE,1.930967
12/17/2020,VNENE,1.887593
12/18/2020,VNENE,1.933813
12/21/2020,VNENE,1.943227
12/22/2020,VNENE,1.918319
12/23/2020,VNENE,1.913396
12/24/2020,VNENE,1.895981
12/25/2020,VNENE,1.910304
12/28/2020,VNENE,1.978696
12/29/2020,VNENE,1.979721
12/30/2020,VNENE,1.986782
12/31/2020,VNENE,1.98227
01/04/2021,VNENE,2.008219
01/05/2021,VNENE,2.01452
01/06/2021,VNENE,2.02204
01/07/2021,VNENE,2.040015
01/08/2021,VNENE,2.076203
01/11/2021,VNENE,2.125169
01/12/2021,VNENE,2.129069
01/13/2021,VNENE,2.113932
01/15/2021,VNENE,2.111864
01/19/2021,VNENE,2.010177
01/21/2021,VNENE,2.089593
01/25/2021,VNENE,2.04744
01/27/2021,VNENE,1.904452
02/01/2021,VNENE,1.803621
02/03/2021,VNENE,1.892235
02/05/2021,VNENE,1.919949
02/08/2021,VNENE,1.912133
02/17/2021,VNENE,2.058276
02/22/2021,VNENE,2.110761
02/24/2021,VNENE,2.106135
03/01/2021,VNENE,2.176379
03/03/2021,VNENE,2.150966
03/04/2021,VNENE,2.140403
03/05/2021,VNENE,2.164389
03/09/2021,VNENE,2.115485
03/12/2021,VNENE,2.079097
03/16/2021,VNENE,2.139078
03/18/2021,VNENE,2.140004
03/22/2021,VNENE,2.082296
03/24/2021,VNENE,2.122949
03/25/2021,VNENE,2.116499
03/26/2021,VNENE,2.104791
03/29/2021,VNENE,2.10264
03/30/2021,VNENE,2.106213
03/31/2021,VNENE,2.093312
04/01/2021,VNENE,2.140097
04/02/2021,VNENE,2.146143
04/05/2021,VNENE,2.125738
04/07/2021,VNENE,2.124039
04/08/2021,VNENE,2.125671
04/09/2021,VNENE,2.125344
04/12/2021,VNENE,2.120959
04/13/2021,VNENE,2.083343
04/14/2021,VNENE,2.100903
04/16/2021,VNENE,1.943331
04/19/2021,VNENE,1.93384
04/20/2021,VNENE,1.9421
04/22/2021,VNENE,1.863099
04/26/2021,VNENE,1.817345
04/27/2021,VNENE,1.775801
04/28/2021,VNENE,1.821266
04/29/2021,VNENE,1.831482
05/04/2021,VNENE,1.805344
05/05/2021,VNENE,1.85752
05/06/2021,VNENE,1.823079
05/07/2021,VNENE,1.81028
05/10/2021,VNENE,1.891702
05/11/2021,VNENE,1.887505
05/13/2021,VNENE,1.918508
05/14/2021,VNENE,1.934428
05/17/2021,VNENE,1.906908
05/18/2021,VNENE,1.916598
05/19/2021,VNENE,1.912735
05/20/2021,VNENE,1.911939
05/21/2021,VNENE,2.003367
05/24/2021,VNENE,1.979197
05/25/2021,VNENE,1.982782
05/26/2021,VNENE,1.958054
05/27/2021,VNENE,1.910994
05/28/2021,VNENE,1.95064
05/31/2021,VNENE,1.956345
06/01/2021,VNENE,1.969399
06/02/2021,VNENE,1.987506
06/03/2021,VNENE,1.996198
06/04/2021,VNENE,2.072905
06/07/2021,VNENE,2.073706
06/08/2021,VNENE,1.990751
06/09/2021,VNENE,1.969598
06/11/2021,VNENE,1.964165
06/14/2021,VNENE,2.004252
06/15/2021,VNENE,1.994002
06/16/2021,VNENE,2.032032
06/17/2021,VNENE,2.06028
06/18/2021,VNENE,2.047466
06/21/2021,VNENE,2.110812
06/22/2021,VNENE,2.11739
06/23/2021,VNENE,2.05626
06/24/2021,VNENE,2.032853
06/25/2021,VNENE,2.049333
06/28/2021,VNENE,2.069761
03/23/2021,VNENE,2.112613
03/19/2021,VNENE,2.089419
03/17/2021,VNENE,2.146654
03/15/2021,VNENE,2.124844
03/11/2021,VNENE,2.08181
03/08/2021,VNENE,2.186188
03/02/2021,VNENE,2.157864
02/25/2021,VNENE,2.145106
02/23/2021,VNENE,2.104759
02/19/2021,VNENE,2.074575
02/09/2021,VNENE,1.953815
02/04/2021,VNENE,1.888209
02/02/2021,VNENE,1.847423
01/28/2021,VNENE,1.773103
01/26/2021,VNENE,1.98502
01/22/2021,VNENE,2.070883
01/20/2021,VNENE,2.022446
01/18/2021,VNENE,2.127623
01/14/2021,VNENE,2.093458
05/12/2021,VNENE,1.903671
06/29/2021,VNENE,2.024135
06/30/2021,VNENE,1.989579
07/01/2021,VNENE,2.010927
07/02/2021,VNENE,2.009189
07/05/2021,VNENE,1.971645
07/06/2021,VNENE,1.865852
07/07/2021,VNENE,1.90549
07/08/2021,VNENE,1.874121
07/09/2021,VNENE,1.815148
07/12/2021,VNENE,1.785856
07/13/2021,VNENE,1.832239
07/14/2021,VNENE,1.831463
07/15/2021,VNENE,1.83341
07/16/2021,VNENE,1.834382
07/19/2021,VNENE,1.750758
07/20/2021,VNENE,1.763491
07/21/2021,VNENE,1.779533
07/22/2021,VNENE,1.814974
07/23/2021,VNENE,1.783773
07/26/2021,VNENE,1.78138
07/27/2021,VNENE,1.802187
07/28/2021,VNENE,1.852013
07/29/2021,VNENE,1.873543
07/30/2021,VNENE,1.880363
08/02/2021,VNENE,1.873138
08/03/2021,VNENE,1.813574
08/04/2021,VNENE,1.851403
08/05/2021,VNENE,1.85274
08/06/2021,VNENE,1.862926
08/09/2021,VNENE,1.868058
08/10/2021,VNENE,1.911866
08/11/2021,VNENE,1.904438
08/12/2021,VNENE,1.897134
08/13/2021,VNENE,1.902188
08/16/2021,VNENE,1.883625
08/17/2021,VNENE,1.876115
08/18/2021,VNENE,1.878554
08/19/2021,VNENE,1.868591
08/20/2021,VNENE,1.795213
08/23/2021,VNENE,1.741076
08/24/2021,VNENE,1.758224
08/25/2021,VNENE,1.785581
08/26/2021,VNENE,1.764196
08/27/2021,VNENE,1.795269
08/30/2021,VNENE,1.80433
08/31/2021,VNENE,1.819461
09/01/2021,VNENE,1.853953
09/06/2021,VNENE,1.877559
09/07/2021,VNENE,1.843051
09/08/2021,VNENE,1.813212
09/09/2021,VNENE,1.855205
09/10/2021,VNENE,1.852848
09/13/2021,VNENE,1.851995
09/14/2021,VNENE,1.843267
09/15/2021,VNENE,1.882184
09/16/2021,VNENE,1.890086
09/17/2021,VNENE,1.89408
09/20/2021,VNENE,1.875665
09/21/2021,VNENE,1.877918
09/22/2021,VNENE,1.892072
09/23/2021,VNENE,1.889152
09/24/2021,VNENE,1.869648
09/27/2021,VNENE,1.856447
09/28/2021,VNENE,1.910354
09/29/2021,VNENE,1.935667
09/30/2021,VNENE,1.929586
10/01/2021,VNENE,1.952983
10/04/2021,VNENE,2.012178
10/05/2021,VNENE,2.020609
10/06/2021,VNENE,2.020344
10/07/2021,VNENE,2.020793
10/08/2021,VNENE,2.019165
10/11/2021,VNENE,2.045305
10/12/2021,VNENE,2.05558
10/13/2021,VNENE,2.019975
10/14/2021,VNENE,2.040687
10/15/2021,VNENE,2.030737
10/18/2021,VNENE,2.062184
10/19/2021,VNENE,2.064028
10/20/2021,VNENE,2.037978
10/21/2021,VNENE,2.038498
10/22/2021,VNENE,2.026745
10/25/2021,VNENE,2.0651
10/26/2021,VNENE,2.088997
10/27/2021,VNENE,2.124915
10/28/2021,VNENE,2.105336
10/29/2021,VNENE,2.07941
11/01/2021,VNENE,2.064575
11/02/2021,VNENE,2.065275
11/03/2021,VNENE,2.020412
11/04/2021,VNENE,2.009979
11/05/2021,VNENE,2.058595
11/08/2021,VNENE,2.093606
11/09/2021,VNENE,2.102147
11/10/2021,VNENE,2.220474
11/11/2021,VNENE,2.249714
11/12/2021,VNENE,2.248027
11/15/2021,VNENE,2.254033
11/16/2021,VNENE,2.229553
11/17/2021,VNENE,2.317228
11/18/2021,VNENE,2.263797
11/19/2021,VNENE,2.18855
11/22/2021,VNENE,2.056107
11/23/2021,VNENE,2.108036
11/24/2021,VNENE,2.10742
11/25/2021,VNENE,2.134519
11/26/2021,VNENE,2.086632
11/29/2021,VNENE,2.025075
11/30/2021,VNENE,2.017265
12/01/2021,VNENE,2.03013
12/02/2021,VNENE,2.061976
12/03/2021,VNENE,1.978499
12/06/2021,VNENE,1.924812
12/07/2021,VNENE,2.002688
12/08/2021,VNENE,2.012361
12/09/2021,VNENE,2.030654
12/10/2021,VNENE,2.006253
12/13/2021,VNENE,2.023541
12/14/2021,VNENE,2.045211
12/15/2021,VNENE,2.043407
12/16/2021,VNENE,2.051777
12/17/2021,VNENE,2.029273
12/20/2021,VNENE,1.977184
12/21/2021,VNENE,1.984923
12/22/2021,VNENE,1.969115
12/23/2021,VNENE,1.993985
12/24/2021,VNENE,2.00357
12/27/2021,VNENE,2.041161
12/28/2021,VNENE,2.034758
12/29/2021,VNENE,2.048206
12/30/2021,VNENE,2.050468
12/31/2021,VNENE,2.042648
01/04/2022,VNENE,2.119641
01/05/2022,VNENE,2.113512
01/06/2022,VNENE,2.106859
01/07/2022,VNENE,2.13564
01/10/2022,VNENE,2.067375
01/11/2022,VNENE,2.035402
01/12/2022,VNENE,2.081947
01/13/2022,VNENE,2.052438
01/14/2022,VNENE,2.077263
01/17/2022,VNENE,2.033023
01/18/2022,VNENE,2.05186
01/19/2022,VNENE,2.050809
01/20/2022,VNENE,2.065164
01/21/2022,VNENE,2.083349
01/24/2022,VNENE,2.054154
01/25/2022,VNENE,2.05761
01/26/2022,VNENE,2.123723
01/27/2022,VNENE,2.108965
01/28/2022,VNENE,2.062074
02/07/2022,VNENE,2.115985
02/08/2022,VNENE,2.116623
02/09/2022,VNENE,2.13071
02/10/2022,VNENE,2.169858
02/11/2022,VNENE,2.139866
02/14/2022,VNENE,2.173687
02/15/2022,VNENE,2.133341
02/16/2022,VNENE,2.13557
02/17/2022,VNENE,2.163765
02/18/2022,VNENE,2.154939
02/21/2022,VNENE,2.163392
02/22/2022,VNENE,2.234862
02/23/2022,VNENE,2.276994
02/24/2022,VNENE,2.326971
02/25/2022,VNENE,2.279497
02/28/2022,VNENE,2.290887
03/01/2022,VNENE,2.262094
03/02/2022,VNENE,2.288914
03/03/2022,VNENE,2.336886
03/04/2022,VNENE,2.276369
03/07/2022,VNENE,2.376963
03/08/2022,VNENE,2.308813
03/09/2022,VNENE,2.386178
03/10/2022,VNENE,2.323446
03/11/2022,VNENE,2.208237
03/14/2022,VNENE,2.118571
03/15/2022,VNENE,2.128545
03/16/2022,VNENE,2.127744
03/17/2022,VNENE,2.109789
03/18/2022,VNENE,2.1235
03/21/2022,VNENE,2.136034
03/22/2022,VNENE,2.163692
03/23/2022,VNENE,2.130368
03/24/2022,VNENE,2.128193
03/25/2022,VNENE,2.123645
03/28/2022,VNENE,2.132125
03/29/2022,VNENE,2.154682
03/30/2022,VNENE,2.093962
03/31/2022,VNENE,2.087067
04/01/2022,VNENE,2.068725
04/04/2022,VNENE,2.101988
04/05/2022,VNENE,2.105596
04/06/2022,VNENE,2.097188
04/07/2022,VNENE,2.108288
04/12/2022,VNENE,1.993421
04/13/2022,VNENE,2.010266
04/14/2022,VNENE,2.0214
04/15/2022,VNENE,2.017996
04/18/2022,VNENE,1.906981
04/19/2022,VNENE,1.901745
04/20/2022,VNENE,1.873523
04/21/2022,VNENE,1.820025
04/22/2022,VNENE,1.786907
04/25/2022,VNENE,1.66179
04/26/2022,VNENE,1.715032
