date,ticker,value
12/03/2020,VNFIN,1.867297
12/04/2020,VNFIN,1.8526
12/07/2020,VNFIN,1.884525
12/08/2020,VNFIN,1.889489
12/09/2020,VNFIN,1.931362
12/10/2020,VNFIN,1.923296
12/11/2020,VNFIN,1.950925
12/14/2020,VNFIN,1.992394
12/15/2020,VNFIN,1.966932
12/16/2020,VNFIN,2.01806
12/17/2020,VNFIN,1.979569
12/18/2020,VNFIN,2.039725
12/21/2020,VNFIN,2.070786
12/22/2020,VNFIN,2.064531
12/23/2020,VNFIN,2.039975
12/24/2020,VNFIN,2.012885
12/25/2020,VNFIN,2.056986
12/28/2020,VNFIN,2.064601
05/17/2021,VNFIN,2.304922
05/18/2021,VNFIN,2.298297
05/19/2021,VNFIN,2.330151
05/20/2021,VNFIN,2.378172
05/21/2021,VNFIN,2.392084
05/24/2021,VNFIN,2.421797
05/25/2021,VNFIN,2.461856
05/26/2021,VNFIN,2.493757
05/27/2021,VNFIN,2.452546
05/28/2021,VNFIN,2.512452
05/31/2021,VNFIN,2.554008
06/01/2021,VNFIN,2.570665
06/03/2021,VNFIN,2.64654
06/07/2021,VNFIN,2.576798
06/08/2021,VNFIN,2.466316
06/09/2021,VNFIN,2.52056
06/11/2021,VNFIN,2.566265
06/14/2021,VNFIN,2.564416
06/15/2021,VNFIN,2.54848
06/16/2021,VNFIN,2.52557
06/17/2021,VNFIN,2.533107
06/18/2021,VNFIN,2.58095
06/21/2021,VNFIN,2.54737
06/22/2021,VNFIN,2.57418
06/23/2021,VNFIN,2.606007
06/24/2021,VNFIN,2.608737
06/25/2021,VNFIN,2.641074
04/01/2022,VNFIN,2.39029
03/15/2022,VNFIN,2.305388
03/14/2022,VNFIN,2.306657
03/11/2022,VNFIN,2.32139
03/10/2022,VNFIN,2.318096
03/09/2022,VNFIN,2.300431
03/08/2022,VNFIN,2.302401
03/07/2022,VNFIN,2.344236
03/04/2022,VNFIN,2.37438
03/03/2022,VNFIN,2.366582
03/02/2022,VNFIN,2.338164
03/01/2022,VNFIN,2.396575
02/28/2022,VNFIN,2.390135
02/25/2022,VNFIN,2.411363
02/24/2022,VNFIN,2.393875
02/23/2022,VNFIN,2.419227
02/22/2022,VNFIN,2.413225
02/21/2022,VNFIN,2.408685
02/18/2022,VNFIN,2.399853
02/17/2022,VNFIN,2.419882
02/16/2022,VNFIN,2.397715
02/15/2022,VNFIN,2.408859
02/14/2022,VNFIN,2.370846
02/11/2022,VNFIN,2.493451
02/10/2022,VNFIN,2.494818
02/09/2022,VNFIN,2.494471
02/08/2022,VNFIN,2.507422
02/07/2022,VNFIN,2.49759
01/28/2022,VNFIN,2.474821
01/27/2022,VNFIN,2.524152
01/26/2022,VNFIN,2.557329
01/25/2022,VNFIN,2.551587
01/24/2022,VNFIN,2.492372
01/21/2022,VNFIN,2.505272
01/20/2022,VNFIN,2.465076
01/19/2022,VNFIN,2.420648
01/18/2022,VNFIN,2.42181
01/17/2022,VNFIN,2.415595
01/06/2022,VNFIN,2.393399
01/05/2022,VNFIN,2.396225
01/04/2022,VNFIN,2.419528
12/31/2021,VNFIN,2.395098
12/30/2021,VNFIN,2.360729
12/29/2021,VNFIN,2.352677
12/28/2021,VNFIN,2.351545
12/27/2021,VNFIN,2.328851
12/24/2021,VNFIN,2.308729
12/23/2021,VNFIN,2.239854
12/22/2021,VNFIN,2.269987
12/21/2021,VNFIN,2.310044
12/20/2021,VNFIN,2.317074
12/17/2021,VNFIN,2.29927
12/16/2021,VNFIN,2.303847
12/15/2021,VNFIN,2.319688
12/14/2021,VNFIN,2.316796
12/13/2021,VNFIN,2.331777
12/10/2021,VNFIN,2.333915
12/09/2021,VNFIN,2.327856
12/08/2021,VNFIN,2.309176
12/07/2021,VNFIN,2.289364
12/06/2021,VNFIN,2.237155
12/03/2021,VNFIN,2.290414
12/02/2021,VNFIN,2.360563
12/01/2021,VNFIN,2.379676
11/30/2021,VNFIN,2.356806
11/29/2021,VNFIN,2.402095
11/26/2021,VNFIN,2.449158
11/25/2021,VNFIN,2.47671
11/24/2021,VNFIN,2.46834
11/23/2021,VNFIN,2.361312
11/22/2021,VNFIN,2.362691
11/19/2021,VNFIN,2.305635
11/18/2021,VNFIN,2.285427
11/17/2021,VNFIN,2.292092
11/16/2021,VNFIN,2.282786
11/15/2021,VNFIN,2.290193
11/12/2021,VNFIN,2.29364
11/11/2021,VNFIN,2.267501
11/10/2021,VNFIN,2.2844
11/09/2021,VNFIN,2.287299
11/08/2021,VNFIN,2.29938
11/05/2021,VNFIN,2.292578
11/04/2021,VNFIN,2.303391
11/03/2021,VNFIN,2.306486
11/02/2021,VNFIN,2.258257
11/01/2021,VNFIN,2.239555
10/29/2021,VNFIN,2.269971
10/28/2021,VNFIN,2.275645
10/27/2021,VNFIN,2.263365
10/26/2021,VNFIN,2.218739
10/25/2021,VNFIN,2.22793
10/22/2021,VNFIN,2.2481
10/21/2021,VNFIN,2.258109
08/26/2022,VNFIN,1.817306
08/29/2022,VNFIN,1.798848
08/30/2022,VNFIN,1.821093
08/31/2022,VNFIN,1.818732
09/05/2022,VNFIN,1.800008
09/06/2022,VNFIN,1.806794
09/07/2022,VNFIN,1.750263
09/08/2022,VNFIN,1.717802
09/09/2022,VNFIN,1.729848
09/12/2022,VNFIN,1.724104
09/13/2022,VNFIN,1.723657
09/14/2022,VNFIN,1.714807
09/15/2022,VNFIN,1.713517
09/16/2022,VNFIN,1.698892
09/19/2022,VNFIN,1.653043
09/20/2022,VNFIN,1.675115
09/21/2022,VNFIN,1.659214
09/22/2022,VNFIN,1.661981
09/23/2022,VNFIN,1.639168
09/26/2022,VNFIN,1.591747
09/27/2022,VNFIN,1.595099
09/28/2022,VNFIN,1.589305
09/29/2022,VNFIN,1.569158
09/30/2022,VNFIN,1.570223
10/03/2022,VNFIN,1.488821
10/04/2022,VNFIN,1.472501
10/05/2022,VNFIN,1.501013
10/06/2022,VNFIN,1.456722
10/07/2022,VNFIN,1.378465
10/10/2022,VNFIN,1.336289
10/11/2022,VNFIN,1.307441
10/12/2022,VNFIN,1.368698
10/20/2021,VNFIN,2.306659
10/19/2021,VNFIN,2.320316
10/18/2021,VNFIN,2.313219
10/15/2021,VNFIN,2.313312
10/14/2021,VNFIN,2.308481
10/13/2021,VNFIN,2.29742
10/12/2021,VNFIN,2.307508
10/11/2021,VNFIN,2.312015
10/08/2021,VNFIN,2.247855
10/07/2021,VNFIN,2.2373
10/06/2021,VNFIN,2.222691
10/05/2021,VNFIN,2.223861
10/04/2021,VNFIN,2.188672
10/01/2021,VNFIN,2.221951
09/30/2021,VNFIN,2.261337
09/29/2021,VNFIN,2.269792
09/28/2021,VNFIN,2.290467
09/27/2021,VNFIN,2.272094
09/24/2021,VNFIN,2.31686
09/23/2021,VNFIN,2.305063
09/22/2021,VNFIN,2.30744
09/21/2021,VNFIN,2.300177
09/20/2021,VNFIN,2.320337
09/17/2021,VNFIN,2.289316
09/16/2021,VNFIN,2.267591
09/15/2021,VNFIN,2.245131
09/14/2021,VNFIN,2.251432
09/13/2021,VNFIN,2.274537
09/10/2021,VNFIN,2.297828
09/09/2021,VNFIN,2.298528
09/08/2021,VNFIN,2.285938
