date,ticker,value
10/01/2020,VNFINLEAD,0.0
10/02/2020,VNFINLEAD,0.0
10/05/2020,VNFINLEAD,0.0
10/06/2020,VNFINLEAD,0.0
10/07/2020,VNFINLEAD,0.0
10/08/2020,VNFINLEAD,0.0
10/09/2020,VNFINLEAD,0.0
10/12/2020,VNFINLEAD,0.0
10/13/2020,VNFINLEAD,0.0
10/14/2020,VNFINLEAD,0.0
10/15/2020,VNFINLEAD,0.0
10/16/2020,VNFINLEAD,0.0
10/19/2020,VNFINLEAD,0.0
10/20/2020,VNFINLEAD,0.0
10/21/2020,VNFINLEAD,0.0
10/22/2020,VNFINLEAD,0.0
10/26/2020,VNFINLEAD,0.0
10/27/2020,VNFINLEAD,0.0
10/28/2020,VNFINLEAD,0.0
10/30/2020,VNFINLEAD,0.0
11/02/2020,VNFINLEAD,0.0
11/03/2020,VNFINLEAD,0.0
11/04/2020,VNFINLEAD,0.0
11/05/2020,VNFINLEAD,0.0
11/06/2020,VNFINLEAD,0.0
11/09/2020,VNFINLEAD,0.0
11/10/2020,VNFINLEAD,0.0
11/12/2020,VNFINLEAD,0.0
11/13/2020,VNFINLEAD,0.0
11/16/2020,VNFINLEAD,0.0
11/17/2020,VNFINLEAD,1.80381
11/18/2020,VNFINLEAD,1.804922
11/19/2020,VNFINLEAD,1.833075
11/20/2020,VNFINLEAD,1.855435
11/23/2020,VNFINLEAD,1.848934
11/24/2020,VNFINLEAD,1.852038
11/25/2020,VNFINLEAD,1.871728
11/27/2020,VNFINLEAD,1.906614
12/01/2020,VNFINLEAD,1.901908
12/03/2020,VNFINLEAD,1.918203
12/04/2020,VNFINLEAD,1.902118
12/07/2020,VNFINLEAD,1.932187
12/08/2020,VNFINLEAD,1.93614
12/09/2020,VNFINLEAD,1.979437
12/10/2020,VNFINLEAD,1.972377
12/11/2020,VNFINLEAD,2.001193
12/14/2020,VNFINLEAD,2.043281
12/15/2020,VNFINLEAD,2.016131
12/16/2020,VNFINLEAD,2.069825
12/17/2020,VNFINLEAD,2.027542
12/18/2020,VNFINLEAD,2.087093
12/21/2020,VNFINLEAD,2.11407
12/22/2020,VNFINLEAD,2.103334
12/23/2020,VNFINLEAD,2.080378
12/24/2020,VNFINLEAD,2.052354
12/25/2020,VNFINLEAD,2.094838
12/28/2020,VNFINLEAD,2.102014
12/30/2020,VNFINLEAD,2.10583
01/04/2021,VNFINLEAD,2.169901
01/05/2021,VNFINLEAD,2.178624
01/07/2021,VNFINLEAD,2.300438
01/11/2021,VNFINLEAD,2.29121
01/13/2021,VNFINLEAD,2.295395
01/15/2021,VNFINLEAD,2.332963
01/19/2021,VNFINLEAD,2.170254
01/21/2021,VNFINLEAD,2.221224
01/25/2021,VNFINLEAD,2.177384
01/27/2021,VNFINLEAD,2.014684
02/01/2021,VNFINLEAD,1.874224
02/03/2021,VNFINLEAD,2.037032
02/05/2021,VNFINLEAD,2.077552
02/08/2021,VNFINLEAD,1.986465
02/17/2021,VNFINLEAD,2.136385
02/22/2021,VNFINLEAD,2.157751
02/24/2021,VNFINLEAD,2.134365
03/01/2021,VNFINLEAD,2.182737
03/03/2021,VNFINLEAD,2.187123
03/04/2021,VNFINLEAD,2.14661
03/05/2021,VNFINLEAD,2.137886
03/09/2021,VNFINLEAD,2.117172
03/12/2021,VNFINLEAD,2.171219
03/16/2021,VNFINLEAD,2.159811
03/18/2021,VNFINLEAD,2.243768
03/22/2021,VNFINLEAD,2.230588
03/24/2021,VNFINLEAD,2.141346
03/25/2021,VNFINLEAD,2.145126
03/26/2021,VNFINLEAD,2.141764
03/29/2021,VNFINLEAD,2.168276
03/30/2021,VNFINLEAD,2.184316
03/31/2021,VNFINLEAD,2.190505
04/01/2021,VNFINLEAD,2.26008
04/02/2021,VNFINLEAD,2.286998
04/05/2021,VNFINLEAD,2.336604
04/07/2021,VNFINLEAD,2.359808
04/08/2021,VNFINLEAD,2.333543
04/09/2021,VNFINLEAD,2.314438
04/12/2021,VNFINLEAD,2.351371
04/13/2021,VNFINLEAD,2.3167
04/14/2021,VNFINLEAD,2.341986
04/16/2021,VNFINLEAD,2.255028
04/19/2021,VNFINLEAD,2.301397
04/20/2021,VNFINLEAD,2.3229
04/22/2021,VNFINLEAD,2.250272
04/26/2021,VNFINLEAD,2.232451
04/27/2021,VNFINLEAD,2.207683
04/28/2021,VNFINLEAD,2.232476
04/29/2021,VNFINLEAD,2.245788
05/04/2021,VNFINLEAD,2.234999
05/05/2021,VNFINLEAD,2.286364
05/06/2021,VNFINLEAD,2.273811
05/07/2021,VNFINLEAD,2.260327
05/10/2021,VNFINLEAD,2.307964
05/11/2021,VNFINLEAD,2.300707
05/13/2021,VNFINLEAD,2.339297
05/14/2021,VNFINLEAD,2.35795
05/17/2021,VNFINLEAD,2.335315
05/18/2021,VNFINLEAD,2.328243
05/19/2021,VNFINLEAD,2.360371
05/20/2021,VNFINLEAD,2.408398
05/21/2021,VNFINLEAD,2.422553
05/24/2021,VNFINLEAD,2.452999
05/25/2021,VNFINLEAD,2.493053
05/26/2021,VNFINLEAD,2.52491
05/27/2021,VNFINLEAD,2.482594
05/28/2021,VNFINLEAD,2.543118
05/31/2021,VNFINLEAD,2.584033
06/02/2021,VNFINLEAD,2.609327
06/03/2021,VNFINLEAD,2.677373
06/04/2021,VNFINLEAD,2.679521
06/07/2021,VNFINLEAD,2.606529
06/08/2021,VNFINLEAD,2.495058
06/09/2021,VNFINLEAD,2.549519
06/11/2021,VNFINLEAD,2.595608
06/14/2021,VNFINLEAD,2.591949
06/15/2021,VNFINLEAD,2.574822
06/16/2021,VNFINLEAD,2.550572
06/17/2021,VNFINLEAD,2.558135
06/18/2021,VNFINLEAD,2.606796
06/21/2021,VNFINLEAD,2.572439
06/22/2021,VNFINLEAD,2.600626
06/23/2021,VNFINLEAD,2.633016
06/24/2021,VNFINLEAD,2.635668
06/25/2021,VNFINLEAD,2.667713
06/28/2021,VNFINLEAD,2.707762
06/29/2021,VNFINLEAD,2.712855
06/30/2021,VNFINLEAD,2.717012
07/01/2021,VNFINLEAD,2.742625
07/02/2021,VNFINLEAD,2.755364
07/05/2021,VNFINLEAD,2.768278
07/06/2021,VNFINLEAD,2.638849
07/07/2021,VNFINLEAD,2.703694
07/08/2021,VNFINLEAD,2.674185
07/09/2021,VNFINLEAD,2.635404
07/12/2021,VNFINLEAD,2.510241
07/13/2021,VNFINLEAD,2.493608
07/14/2021,VNFINLEAD,2.425813
07/15/2021,VNFINLEAD,2.475793
07/16/2021,VNFINLEAD,2.468016
06/01/2021,VNFINLEAD,2.600794
05/12/2021,VNFINLEAD,2.335596
03/23/2021,VNFINLEAD,2.196745
03/19/2021,VNFINLEAD,2.220613
03/17/2021,VNFINLEAD,2.189627
03/15/2021,VNFINLEAD,2.175965
03/11/2021,VNFINLEAD,2.173584
03/08/2021,VNFINLEAD,2.127945
03/02/2021,VNFINLEAD,2.188085
02/25/2021,VNFINLEAD,2.13429
02/23/2021,VNFINLEAD,2.166318
02/19/2021,VNFINLEAD,2.165458
02/09/2021,VNFINLEAD,2.053632
02/04/2021,VNFINLEAD,2.037633
02/02/2021,VNFINLEAD,1.961299
01/28/2021,VNFINLEAD,1.864593
01/26/2021,VNFINLEAD,2.105776
01/22/2021,VNFINLEAD,2.208129
01/20/2021,VNFINLEAD,2.162523
01/18/2021,VNFINLEAD,2.307215
01/14/2021,VNFINLEAD,2.313097
01/12/2021,VNFINLEAD,2.297763
01/08/2021,VNFINLEAD,2.301683
01/06/2021,VNFINLEAD,2.258515
