date,ticker,value
11/17/2020,VNHEAL,2.011762
11/18/2020,VNHEAL,2.018507
11/19/2020,VNHEAL,2.026256
11/20/2020,VNHEAL,2.027609
11/23/2020,VNHEAL,2.033312
11/25/2020,VNHEAL,2.078325
11/27/2020,VNHEAL,2.074779
12/01/2020,VNHEAL,2.050433
12/04/2020,VNHEAL,2.08875
12/07/2020,VNHEAL,2.094818
12/08/2020,VNHEAL,2.094548
12/09/2020,VNHEAL,2.113419
12/10/2020,VNHEAL,2.131546
12/11/2020,VNHEAL,2.125552
12/14/2020,VNHEAL,2.14405
12/15/2020,VNHEAL,2.13372
12/16/2020,VNHEAL,2.128319
12/17/2020,VNHEAL,2.121524
12/18/2020,VNHEAL,2.129521
12/21/2020,VNHEAL,2.143265
12/22/2020,VNHEAL,2.164019
12/23/2020,VNHEAL,2.19563
12/24/2020,VNHEAL,2.191338
12/25/2020,VNHEAL,2.214577
12/28/2020,VNHEAL,2.214566
12/29/2020,VNHEAL,2.212656
12/30/2020,VNHEAL,2.206917
01/04/2021,VNHEAL,2.23081
01/05/2021,VNHEAL,2.221939
01/07/2021,VNHEAL,2.209199
01/11/2021,VNHEAL,2.227733
01/13/2021,VNHEAL,2.276968
01/15/2021,VNHEAL,2.302969
01/19/2021,VNHEAL,2.227319
01/21/2021,VNHEAL,2.211642
01/25/2021,VNHEAL,2.167592
01/27/2021,VNHEAL,2.165828
02/01/2021,VNHEAL,1.820158
02/03/2021,VNHEAL,1.887131
02/05/2021,VNHEAL,1.87352
02/08/2021,VNHEAL,1.852311
02/17/2021,VNHEAL,1.898607
02/22/2021,VNHEAL,2.024457
02/24/2021,VNHEAL,1.991073
03/01/2021,VNHEAL,2.026583
03/03/2021,VNHEAL,2.039723
03/05/2021,VNHEAL,2.034062
03/08/2021,VNHEAL,2.062036
03/09/2021,VNHEAL,2.050294
03/12/2021,VNHEAL,2.107609
03/16/2021,VNHEAL,2.144754
03/18/2021,VNHEAL,2.14619
03/22/2021,VNHEAL,2.149583
03/24/2021,VNHEAL,2.114539
03/26/2021,VNHEAL,2.1195
03/29/2021,VNHEAL,2.135152
03/30/2021,VNHEAL,2.141855
03/31/2021,VNHEAL,2.13539
04/01/2021,VNHEAL,2.132942
04/02/2021,VNHEAL,2.112365
04/05/2021,VNHEAL,2.132514
04/07/2021,VNHEAL,2.134711
04/08/2021,VNHEAL,2.126816
04/09/2021,VNHEAL,2.126304
04/12/2021,VNHEAL,2.137063
04/13/2021,VNHEAL,2.118583
04/14/2021,VNHEAL,2.122708
04/16/2021,VNHEAL,2.065413
04/19/2021,VNHEAL,2.073147
04/20/2021,VNHEAL,2.077802
04/22/2021,VNHEAL,2.031676
04/26/2021,VNHEAL,2.024886
04/27/2021,VNHEAL,2.032501
04/28/2021,VNHEAL,2.045521
04/29/2021,VNHEAL,2.067409
05/04/2021,VNHEAL,2.073267
05/05/2021,VNHEAL,2.080061
05/06/2021,VNHEAL,2.075977
05/07/2021,VNHEAL,2.063092
05/10/2021,VNHEAL,2.042864
05/11/2021,VNHEAL,2.049876
05/12/2021,VNHEAL,2.052117
05/13/2021,VNHEAL,2.040175
05/14/2021,VNHEAL,2.034775
05/17/2021,VNHEAL,2.027228
