date,ticker,value
11/17/2020,VNIND,1.311395
11/18/2020,VNIND,1.321573
11/19/2020,VNIND,1.322235
11/20/2020,VNIND,1.361592
11/23/2020,VNIND,1.374994
11/24/2020,VNIND,1.370227
11/25/2020,VNIND,1.369318
11/26/2020,VNIND,1.376179
11/27/2020,VNIND,1.381359
11/30/2020,VNIND,1.378008
12/01/2020,VNIND,1.38736
12/03/2020,VNIND,1.411845
12/04/2020,VNIND,1.406299
12/07/2020,VNIND,1.406682
12/08/2020,VNIND,1.40956
12/09/2020,VNIND,1.420247
12/10/2020,VNIND,1.408565
12/11/2020,VNIND,1.426446
12/14/2020,VNIND,1.453456
12/15/2020,VNIND,1.453576
12/16/2020,VNIND,1.470744
12/17/2020,VNIND,1.452623
12/18/2020,VNIND,1.467679
12/21/2020,VNIND,1.481429
12/22/2020,VNIND,1.494577
12/23/2020,VNIND,1.50279
12/24/2020,VNIND,1.48705
12/25/2020,VNIND,1.508565
12/28/2020,VNIND,1.513345
12/29/2020,VNIND,1.528924
12/30/2020,VNIND,1.523199
12/31/2020,VNIND,1.528621
01/04/2021,VNIND,1.557345
01/05/2021,VNIND,1.575263
01/06/2021,VNIND,1.572308
01/07/2021,VNIND,1.604059
01/08/2021,VNIND,1.620478
01/12/2021,VNIND,1.683336
01/14/2021,VNIND,1.679729
01/18/2021,VNIND,1.719948
01/20/2021,VNIND,1.638036
01/22/2021,VNIND,1.710413
01/26/2021,VNIND,1.68096
01/28/2021,VNIND,1.537343
02/02/2021,VNIND,1.524922
02/04/2021,VNIND,1.560201
02/09/2021,VNIND,1.549522
02/19/2021,VNIND,1.624042
02/23/2021,VNIND,1.630977
02/25/2021,VNIND,1.624504
03/02/2021,VNIND,1.67696
03/04/2021,VNIND,1.657709
03/05/2021,VNIND,1.65758
03/08/2021,VNIND,1.661811
03/11/2021,VNIND,1.674809
03/15/2021,VNIND,1.678128
03/17/2021,VNIND,1.67959
03/19/2021,VNIND,1.686439
03/23/2021,VNIND,1.679619
03/25/2021,VNIND,1.62854
03/26/2021,VNIND,1.629963
03/29/2021,VNIND,1.656357
03/30/2021,VNIND,1.667184
03/31/2021,VNIND,1.65921
04/01/2021,VNIND,1.686576
04/02/2021,VNIND,1.692101
04/05/2021,VNIND,1.693594
04/07/2021,VNIND,1.721857
04/08/2021,VNIND,1.727562
04/09/2021,VNIND,1.723841
04/12/2021,VNIND,1.737237
04/13/2021,VNIND,1.719184
04/14/2021,VNIND,1.725964
04/16/2021,VNIND,1.684761
04/19/2021,VNIND,1.6952
04/20/2021,VNIND,1.691831
04/22/2021,VNIND,1.63817
04/26/2021,VNIND,1.632619
04/27/2021,VNIND,1.62576
04/28/2021,VNIND,1.642564
04/29/2021,VNIND,1.675341
05/04/2021,VNIND,1.655299
05/05/2021,VNIND,1.675742
05/06/2021,VNIND,1.647659
05/07/2021,VNIND,1.616601
05/10/2021,VNIND,1.607257
05/11/2021,VNIND,1.619886
05/12/2021,VNIND,1.629288
05/13/2021,VNIND,1.614958
05/14/2021,VNIND,1.621043
05/17/2021,VNIND,1.601224
03/24/2021,VNIND,1.634959
03/22/2021,VNIND,1.700303
03/18/2021,VNIND,1.691126
03/16/2021,VNIND,1.677011
03/12/2021,VNIND,1.673323
03/09/2021,VNIND,1.662604
03/03/2021,VNIND,1.681848
03/01/2021,VNIND,1.669223
02/24/2021,VNIND,1.609188
02/22/2021,VNIND,1.619057
02/17/2021,VNIND,1.602269
02/08/2021,VNIND,1.508015
02/05/2021,VNIND,1.57238
02/03/2021,VNIND,1.568197
02/01/2021,VNIND,1.501059
01/27/2021,VNIND,1.647737
01/25/2021,VNIND,1.72719
01/21/2021,VNIND,1.686198
