date,ticker,value
04/22/2009,VNINDEX,1.6033576954
04/24/2009,VNINDEX,1.5477130181
04/25/2009,VNINDEX,1.5477130181
04/27/2009,VNINDEX,1.5662233143
04/28/2009,VNINDEX,1.5764551966
04/29/2009,VNINDEX,1.6059777122
05/04/2009,VNINDEX,1.6275175956
05/05/2009,VNINDEX,1.756464252
05/06/2009,VNINDEX,1.7482520121
05/07/2009,VNINDEX,1.8169796401
05/08/2009,VNINDEX,1.8291510232
05/11/2009,VNINDEX,1.8636177318
05/12/2009,VNINDEX,1.9090719485
05/13/2009,VNINDEX,1.892113368
05/14/2009,VNINDEX,1.8846851652
05/15/2009,VNINDEX,1.9520942183
05/18/2009,VNINDEX,1.9601116878
05/19/2009,VNINDEX,2.0220743395
05/20/2009,VNINDEX,2.0711238653
05/21/2009,VNINDEX,2.0823763287
05/22/2009,VNINDEX,1.9793907701
05/25/2009,VNINDEX,2.0637030425
05/26/2009,VNINDEX,2.0796522129
05/27/2009,VNINDEX,2.0801335316
05/28/2009,VNINDEX,2.0220452294
05/29/2009,VNINDEX,2.0035405447
06/01/2009,VNINDEX,2.071955545
06/02/2009,VNINDEX,2.1409072894
06/03/2009,VNINDEX,2.1624029016
06/04/2009,VNINDEX,2.2276066279
06/05/2009,VNINDEX,2.3274370739
06/08/2009,VNINDEX,2.4380838626
06/09/2009,VNINDEX,2.4919333291
06/10/2009,VNINDEX,2.4191808031
06/11/2009,VNINDEX,2.4856185013
06/12/2009,VNINDEX,2.4770837536
06/13/2009,VNINDEX,2.4770837536
06/15/2009,VNINDEX,2.3981884053
06/16/2009,VNINDEX,2.2932757974
06/17/2009,VNINDEX,2.2938764871
06/18/2009,VNINDEX,2.3237656247
06/19/2009,VNINDEX,2.3045476591
06/22/2009,VNINDEX,2.2221750792
06/23/2009,VNINDEX,2.1272555285
06/24/2009,VNINDEX,2.2247223864
06/25/2009,VNINDEX,2.2850000597
06/26/2009,VNINDEX,2.3235773283
06/29/2009,VNINDEX,2.3175608932
06/30/2009,VNINDEX,2.0792983359
07/01/2009,VNINDEX,1.9943959146
07/02/2009,VNINDEX,2.4833530205
07/03/2009,VNINDEX,2.4745242125
07/06/2009,VNINDEX,2.5823389111
07/07/2009,VNINDEX,2.5356527199
07/08/2009,VNINDEX,2.5243441442
07/09/2009,VNINDEX,2.4883801905
07/10/2009,VNINDEX,2.4553020415
07/13/2009,VNINDEX,2.3786867254
07/14/2009,VNINDEX,2.3306903097
07/15/2009,VNINDEX,2.3796737204
07/16/2009,VNINDEX,2.5171631397
07/17/2009,VNINDEX,2.4777322746
07/20/2009,VNINDEX,2.3795090594
07/21/2009,VNINDEX,2.386477203
07/22/2009,VNINDEX,2.4075701239
07/23/2009,VNINDEX,2.4258315156
07/24/2009,VNINDEX,2.5389641837
07/27/2009,VNINDEX,2.6324894147
07/28/2009,VNINDEX,2.5870222971
07/29/2009,VNINDEX,2.2616815048
07/30/2009,VNINDEX,2.5043112347
07/31/2009,VNINDEX,2.6091159723
08/03/2009,VNINDEX,2.6337292186
08/04/2009,VNINDEX,2.6862592611
08/05/2009,VNINDEX,2.7006090522
08/06/2009,VNINDEX,2.6911566349
08/07/2009,VNINDEX,2.6830772031
08/10/2009,VNINDEX,2.7376608781
08/11/2009,VNINDEX,2.7454280673
08/12/2009,VNINDEX,2.7526976758
08/13/2009,VNINDEX,2.784162883
08/14/2009,VNINDEX,2.8001473222
08/17/2009,VNINDEX,2.7623217283
08/18/2009,VNINDEX,2.7606809917
08/19/2009,VNINDEX,2.806731154
08/20/2009,VNINDEX,2.8282884553
08/21/2009,VNINDEX,2.8556670782
08/24/2009,VNINDEX,2.8971863071
08/25/2009,VNINDEX,2.8914875394
08/26/2009,VNINDEX,2.8820345033
08/27/2009,VNINDEX,2.8861548523
08/28/2009,VNINDEX,2.9273440168
08/31/2009,VNINDEX,2.9850520106
09/01/2009,VNINDEX,2.9868426181
09/03/2009,VNINDEX,2.9484836838
09/04/2009,VNINDEX,2.8827112822
09/05/2009,VNINDEX,2.8827112822
09/07/2009,VNINDEX,2.8503756336
09/08/2009,VNINDEX,2.9139375464
09/09/2009,VNINDEX,2.9020218348
09/10/2009,VNINDEX,2.9130297443
09/11/2009,VNINDEX,2.943588023
09/14/2009,VNINDEX,2.9794292976
09/15/2009,VNINDEX,2.9771439931
09/16/2009,VNINDEX,3.0123197365
09/17/2009,VNINDEX,3.0224352028
09/18/2009,VNINDEX,3.0802338534
09/21/2009,VNINDEX,3.0986956131
09/22/2009,VNINDEX,3.1074362827
09/23/2009,VNINDEX,3.1071442139
09/24/2009,VNINDEX,3.0614063341
09/25/2009,VNINDEX,3.1152846827
09/28/2009,VNINDEX,3.1021655918
09/29/2009,VNINDEX,3.0997571621
09/30/2009,VNINDEX,3.0873298865
10/01/2009,VNINDEX,3.0303306151
10/02/2009,VNINDEX,2.9318113822
10/05/2009,VNINDEX,2.9283647324
10/06/2009,VNINDEX,2.9366312587
10/07/2009,VNINDEX,3.0034700352
10/08/2009,VNINDEX,3.025875827
10/09/2009,VNINDEX,3.0729652041
10/12/2009,VNINDEX,3.1381031819
10/13/2009,VNINDEX,3.0958930459
10/14/2009,VNINDEX,3.1898692441
10/15/2009,VNINDEX,3.2583178564
10/16/2009,VNINDEX,3.218523081
10/19/2009,VNINDEX,3.1784049323
10/20/2009,VNINDEX,3.2310772939
10/21/2009,VNINDEX,3.2285635976
10/22/2009,VNINDEX,3.2610176392
10/23/2009,VNINDEX,3.2371033185
10/26/2009,VNINDEX,3.1963077648
10/27/2009,VNINDEX,2.9117336782
10/28/2009,VNINDEX,2.9232706131
10/29/2009,VNINDEX,2.8316558916
10/30/2009,VNINDEX,2.8612375761
11/02/2009,VNINDEX,2.7564495992
11/03/2009,VNINDEX,2.6517068905
11/04/2009,VNINDEX,2.6138705469
11/05/2009,VNINDEX,2.7516979378
11/06/2009,VNINDEX,2.730099389
11/09/2009,VNINDEX,2.630991646
11/10/2009,VNINDEX,2.4945683961
11/11/2009,VNINDEX,2.5511963653
11/12/2009,VNINDEX,2.5904295803
11/13/2009,VNINDEX,2.5958011412
11/16/2009,VNINDEX,2.5822543326
11/17/2009,VNINDEX,2.5829334621
11/18/2009,VNINDEX,2.60649124
11/19/2009,VNINDEX,2.6337894585
11/20/2009,VNINDEX,2.6119318861
11/23/2009,VNINDEX,2.5277338785
11/24/2009,VNINDEX,2.4753985321
11/25/2009,VNINDEX,2.3539721607
11/26/2009,VNINDEX,2.2554379629
11/27/2009,VNINDEX,2.305394371
11/30/2009,VNINDEX,2.3764572757
12/01/2009,VNINDEX,2.4389770214
12/02/2009,VNINDEX,2.3685442169
12/03/2009,VNINDEX,2.3531573652
12/04/2009,VNINDEX,2.3497056412
12/07/2009,VNINDEX,2.365127777
12/08/2009,VNINDEX,2.3112150545
12/09/2009,VNINDEX,2.2242194282
12/10/2009,VNINDEX,2.1822575841
12/11/2009,VNINDEX,2.1094369063
12/14/2009,VNINDEX,2.1871491022
12/15/2009,VNINDEX,2.2090284356
12/16/2009,VNINDEX,2.1292697208
12/17/2009,VNINDEX,2.1081268719
12/18/2009,VNINDEX,2.1831957054
12/21/2009,VNINDEX,2.263863436
12/22/2009,VNINDEX,2.2728583175
12/23/2009,VNINDEX,2.2881438551
12/24/2009,VNINDEX,2.318344485
12/25/2009,VNINDEX,2.39024148
12/28/2009,VNINDEX,2.3755819957
12/29/2009,VNINDEX,2.339454528
12/30/2009,VNINDEX,2.3863437418
12/31/2009,VNINDEX,2.3912801738
01/04/2010,VNINDEX,2.5020017292
01/05/2010,VNINDEX,2.5705480404
01/06/2010,VNINDEX,2.5612643804
01/07/2010,VNINDEX,2.5484657428
01/08/2010,VNINDEX,2.4969106987
01/11/2010,VNINDEX,2.4745370972
01/12/2010,VNINDEX,2.3962587457
01/13/2010,VNINDEX,2.4458847243
01/14/2010,VNINDEX,2.4577084028
01/15/2010,VNINDEX,2.4235580548
01/18/2010,VNINDEX,2.3370261731
01/19/2010,VNINDEX,2.3786280454
01/20/2010,VNINDEX,2.3423567048
01/21/2010,VNINDEX,2.2931536814
01/22/2010,VNINDEX,2.2910830269
01/25/2010,VNINDEX,2.306275072
01/26/2010,VNINDEX,2.379678255
01/27/2010,VNINDEX,2.3286733914
01/28/2010,VNINDEX,2.2712154886
01/29/2010,VNINDEX,2.2468636486
02/01/2010,VNINDEX,2.266711564
02/02/2010,VNINDEX,2.2753949938
02/03/2010,VNINDEX,2.3120475578
02/04/2010,VNINDEX,2.3449149864
02/05/2010,VNINDEX,2.3036677028
02/08/2010,VNINDEX,2.2954724765
02/09/2010,VNINDEX,2.2328327848
02/10/2010,VNINDEX,2.295557634
02/11/2010,VNINDEX,2.3422763502
02/12/2010,VNINDEX,2.3713081247
02/22/2010,VNINDEX,2.3911280515
02/23/2010,VNINDEX,2.3369686891
02/24/2010,VNINDEX,2.3410254431
02/25/2010,VNINDEX,2.3470023607
02/26/2010,VNINDEX,2.3704370739
03/01/2010,VNINDEX,2.4087060611
03/02/2010,VNINDEX,2.3897777619
03/03/2010,VNINDEX,2.4143904789
03/04/2010,VNINDEX,2.4317748306
03/05/2010,VNINDEX,2.432598939
03/08/2010,VNINDEX,2.4629017188
03/09/2010,VNINDEX,2.49653163
03/10/2010,VNINDEX,2.4891424047
03/11/2010,VNINDEX,2.4796804602
03/12/2010,VNINDEX,2.5078528867
03/15/2010,VNINDEX,2.5062968675
03/16/2010,VNINDEX,2.431709427
03/17/2010,VNINDEX,2.4006178158
03/18/2010,VNINDEX,2.4386288898
03/19/2010,VNINDEX,2.4144020657
03/22/2010,VNINDEX,2.404678933
03/23/2010,VNINDEX,2.3857860955
03/24/2010,VNINDEX,2.4086278422
