date,ticker,value
11/17/2020,VNIT,2.587995
11/18/2020,VNIT,2.584051
11/19/2020,VNIT,2.634522
11/20/2020,VNIT,2.651257
11/23/2020,VNIT,2.688209
11/24/2020,VNIT,2.673408
11/25/2020,VNIT,2.660094
11/26/2020,VNIT,2.682279
11/27/2020,VNIT,2.701956
11/30/2020,VNIT,2.666039
12/01/2020,VNIT,2.656915
12/03/2020,VNIT,2.67119
12/04/2020,VNIT,2.674848
12/07/2020,VNIT,2.678596
12/08/2020,VNIT,2.702592
12/09/2020,VNIT,2.754252
12/10/2020,VNIT,2.723612
12/11/2020,VNIT,2.748202
12/14/2020,VNIT,2.760482
12/15/2020,VNIT,2.738095
12/16/2020,VNIT,2.756877
12/17/2020,VNIT,2.731229
12/18/2020,VNIT,2.746733
12/21/2020,VNIT,2.771772
12/22/2020,VNIT,2.797574
12/23/2020,VNIT,2.775506
12/24/2020,VNIT,2.760153
12/25/2020,VNIT,2.787857
12/28/2020,VNIT,2.810313
12/29/2020,VNIT,2.840128
12/30/2020,VNIT,2.831959
12/31/2020,VNIT,2.887858
01/04/2021,VNIT,2.940291
01/05/2021,VNIT,3.039071
01/06/2021,VNIT,3.02184
01/07/2021,VNIT,3.020473
01/08/2021,VNIT,3.058108
01/11/2021,VNIT,3.125294
01/13/2021,VNIT,3.197963
01/15/2021,VNIT,3.204002
01/19/2021,VNIT,2.975364
01/21/2021,VNIT,3.139697
01/25/2021,VNIT,3.179879
01/27/2021,VNIT,2.872724
02/01/2021,VNIT,2.868968
02/03/2021,VNIT,3.147557
02/05/2021,VNIT,3.285186
02/08/2021,VNIT,3.20499
02/17/2021,VNIT,3.502349
02/22/2021,VNIT,3.46733
02/24/2021,VNIT,3.409126
03/01/2021,VNIT,3.52711
03/03/2021,VNIT,3.524542
03/04/2021,VNIT,3.450732
03/05/2021,VNIT,3.468119
03/09/2021,VNIT,3.438672
03/12/2021,VNIT,3.515026
03/16/2021,VNIT,3.738074
03/18/2021,VNIT,3.731194
03/22/2021,VNIT,3.640501
03/24/2021,VNIT,3.549745
03/25/2021,VNIT,3.529341
03/26/2021,VNIT,3.49887
03/29/2021,VNIT,3.579088
03/30/2021,VNIT,3.555757
03/31/2021,VNIT,3.569107
04/01/2021,VNIT,3.657987
04/02/2021,VNIT,3.663061
