date,ticker,value
11/17/2020,VNMAT,1.550297
11/18/2020,VNMAT,1.589376
11/19/2020,VNMAT,1.612703
11/20/2020,VNMAT,1.626183
11/23/2020,VNMAT,1.677592
11/24/2020,VNMAT,1.68334
11/25/2020,VNMAT,1.622269
11/26/2020,VNMAT,1.612101
11/27/2020,VNMAT,1.644875
11/30/2020,VNMAT,1.620053
12/01/2020,VNMAT,1.626601
12/03/2020,VNMAT,1.666553
12/04/2020,VNMAT,1.670835
12/07/2020,VNMAT,1.717945
12/08/2020,VNMAT,1.729793
12/09/2020,VNMAT,1.728862
12/10/2020,VNMAT,1.69234
12/11/2020,VNMAT,1.73846
12/14/2020,VNMAT,1.756473
12/15/2020,VNMAT,1.739009
12/16/2020,VNMAT,1.747237
12/17/2020,VNMAT,1.70947
12/18/2020,VNMAT,1.74534
12/21/2020,VNMAT,1.747826
12/22/2020,VNMAT,1.792211
12/23/2020,VNMAT,1.807492
12/24/2020,VNMAT,1.793376
12/25/2020,VNMAT,1.82399
12/28/2020,VNMAT,1.84789
12/29/2020,VNMAT,1.849561
12/30/2020,VNMAT,1.829729
12/31/2020,VNMAT,1.849174
01/04/2021,VNMAT,1.889616
01/05/2021,VNMAT,1.894367
01/06/2021,VNMAT,1.906286
01/07/2021,VNMAT,1.913401
01/08/2021,VNMAT,1.916968
01/11/2021,VNMAT,1.930719
01/12/2021,VNMAT,1.995422
01/13/2021,VNMAT,1.988606
01/14/2021,VNMAT,1.982195
01/15/2021,VNMAT,1.989536
01/18/2021,VNMAT,2.000017
01/19/2021,VNMAT,1.882633
01/20/2021,VNMAT,1.884501
01/21/2021,VNMAT,1.976532
01/22/2021,VNMAT,1.957595
01/25/2021,VNMAT,1.956805
01/26/2021,VNMAT,1.89371
01/27/2021,VNMAT,1.812887
01/28/2021,VNMAT,1.681604
02/01/2021,VNMAT,1.603368
02/02/2021,VNMAT,1.666186
02/03/2021,VNMAT,1.727018
02/04/2021,VNMAT,1.724962
02/05/2021,VNMAT,1.748613
02/08/2021,VNMAT,1.694325
02/09/2021,VNMAT,1.726652
02/17/2021,VNMAT,1.795526
02/19/2021,VNMAT,1.805381
02/23/2021,VNMAT,1.807983
02/25/2021,VNMAT,1.828453
03/02/2021,VNMAT,1.93463
03/04/2021,VNMAT,1.9264
03/05/2021,VNMAT,1.936941
03/08/2021,VNMAT,1.953083
03/11/2021,VNMAT,1.964569
03/15/2021,VNMAT,1.966019
03/17/2021,VNMAT,1.970149
03/19/2021,VNMAT,1.998857
03/23/2021,VNMAT,1.982225
03/25/2021,VNMAT,1.918068
03/26/2021,VNMAT,1.945792
03/29/2021,VNMAT,1.961341
03/30/2021,VNMAT,1.968742
03/31/2021,VNMAT,1.985029
04/01/2021,VNMAT,2.038762
04/02/2021,VNMAT,2.052366
04/05/2021,VNMAT,2.056394
04/07/2021,VNMAT,2.070228
04/08/2021,VNMAT,2.067797
04/09/2021,VNMAT,2.075708
04/12/2021,VNMAT,2.122865
04/13/2021,VNMAT,2.08305
04/14/2021,VNMAT,2.170823
04/16/2021,VNMAT,2.186636
04/19/2021,VNMAT,2.280898
04/20/2021,VNMAT,2.258
04/22/2021,VNMAT,2.160954
04/26/2021,VNMAT,2.16383
04/27/2021,VNMAT,2.085533
04/28/2021,VNMAT,2.06774
04/29/2021,VNMAT,2.12494
05/04/2021,VNMAT,2.173807
05/05/2021,VNMAT,2.150124
05/06/2021,VNMAT,2.154657
05/07/2021,VNMAT,2.196612
05/10/2021,VNMAT,2.2768
05/11/2021,VNMAT,2.247697
05/12/2021,VNMAT,2.277161
05/13/2021,VNMAT,2.242091
05/14/2021,VNMAT,2.239312
05/17/2021,VNMAT,2.243058
03/24/2021,VNMAT,1.932694
03/22/2021,VNMAT,1.986601
03/18/2021,VNMAT,1.980295
03/16/2021,VNMAT,1.956041
03/12/2021,VNMAT,1.962695
03/09/2021,VNMAT,1.942993
03/03/2021,VNMAT,1.952007
03/01/2021,VNMAT,1.909435
02/24/2021,VNMAT,1.809683
