date,ticker,value
05/15/2015,VNMID,1.4206081833
05/28/2015,VNMID,1.49539272
05/29/2015,VNMID,1.4706397053
06/01/2015,VNMID,1.47585244
06/02/2015,VNMID,1.4533224704
06/03/2015,VNMID,1.4509308228
06/04/2015,VNMID,1.4523309757
06/05/2015,VNMID,1.4698684255
06/08/2015,VNMID,1.4797327096
06/09/2015,VNMID,1.4687788166
06/10/2015,VNMID,1.4487720553
06/11/2015,VNMID,1.4483957316
06/12/2015,VNMID,1.4569304767
06/15/2015,VNMID,1.4773310063
06/16/2015,VNMID,1.4659484645
06/17/2015,VNMID,1.4722010891
06/18/2015,VNMID,1.470631448
06/19/2015,VNMID,1.4740300851
06/22/2015,VNMID,1.4816043445
06/23/2015,VNMID,1.4686259291
06/24/2015,VNMID,1.464820435
06/25/2015,VNMID,1.4524808439
06/26/2015,VNMID,1.4380179733
06/29/2015,VNMID,1.4529307427
06/30/2015,VNMID,1.4362994833
07/01/2015,VNMID,1.4274376828
07/02/2015,VNMID,1.4487543311
07/03/2015,VNMID,1.4592002205
07/06/2015,VNMID,1.4709424779
07/07/2015,VNMID,1.4791990927
07/08/2015,VNMID,1.4919296274
07/09/2015,VNMID,1.4797370273
07/10/2015,VNMID,1.5125198803
07/13/2015,VNMID,1.5443706679
07/14/2015,VNMID,1.5444197503
07/15/2015,VNMID,1.5147265763
07/16/2015,VNMID,1.4966219658
07/17/2015,VNMID,1.507719351
07/20/2015,VNMID,1.5152576311
07/21/2015,VNMID,1.5207802501
07/22/2015,VNMID,1.548625213
07/23/2015,VNMID,1.552576836
07/24/2015,VNMID,1.5667597133
07/27/2015,VNMID,1.7445238935
07/28/2015,VNMID,1.8929591729
07/29/2015,VNMID,1.8677689867
07/30/2015,VNMID,1.8629855421
07/31/2015,VNMID,1.8393462492
08/03/2015,VNMID,1.8222120486
08/04/2015,VNMID,1.8252127373
08/05/2015,VNMID,1.8485594511
08/06/2015,VNMID,1.8377366495
08/07/2015,VNMID,1.8351425933
08/10/2015,VNMID,1.8905402389
08/11/2015,VNMID,1.8833498426
08/12/2015,VNMID,1.8752349907
08/13/2015,VNMID,1.8752349907
08/14/2015,VNMID,1.8725316066
08/17/2015,VNMID,1.8435472801
08/18/2015,VNMID,1.8328224173
08/19/2015,VNMID,1.8171698349
08/20/2015,VNMID,1.78307113
08/21/2015,VNMID,1.7632532656
08/24/2015,VNMID,1.6750358476
08/25/2015,VNMID,1.7010277435
08/26/2015,VNMID,1.7240242944
08/27/2015,VNMID,1.7439964266
08/28/2015,VNMID,1.7623578207
08/31/2015,VNMID,1.7742992961
09/01/2015,VNMID,1.7603847956
09/03/2015,VNMID,1.7324960296
09/04/2015,VNMID,1.7348310633
09/07/2015,VNMID,1.7178768124
09/08/2015,VNMID,1.7336751164
09/09/2015,VNMID,1.7283538402
09/10/2015,VNMID,1.7243048865
09/11/2015,VNMID,1.7210938578
09/14/2015,VNMID,1.7030686372
09/15/2015,VNMID,1.6931068711
09/16/2015,VNMID,1.6976346851
09/17/2015,VNMID,1.7079756534
09/18/2015,VNMID,1.7251795596
09/21/2015,VNMID,1.7499549396
09/22/2015,VNMID,1.7604779131
09/23/2015,VNMID,1.7641333022
09/24/2015,VNMID,1.7554129101
09/25/2015,VNMID,1.7743397243
09/28/2015,VNMID,1.7748941758
09/29/2015,VNMID,1.7644317211
09/30/2015,VNMID,1.7799338705
10/01/2015,VNMID,1.7876638126
10/02/2015,VNMID,1.792295022
10/05/2015,VNMID,1.8193239545
10/06/2015,VNMID,1.8503469146
10/07/2015,VNMID,1.8460883927
10/08/2015,VNMID,1.8908174004
10/09/2015,VNMID,1.8723748394
10/12/2015,VNMID,1.8542332731
10/13/2015,VNMID,1.8706663089
10/14/2015,VNMID,1.8765263123
10/15/2015,VNMID,1.8914226601
10/16/2015,VNMID,1.914485783
10/19/2015,VNMID,1.9089820086
10/20/2015,VNMID,1.9066708637
10/21/2015,VNMID,1.8831797997
10/22/2015,VNMID,1.9008054825
10/23/2015,VNMID,1.8922135782
10/26/2015,VNMID,1.8921266973
10/27/2015,VNMID,1.9420349681
10/28/2015,VNMID,1.9433497237
10/29/2015,VNMID,1.987232845
10/30/2015,VNMID,2.0094819055
11/02/2015,VNMID,1.9704603903
