date,ticker,value
11/17/2020,VNREAL,2.788867
11/18/2020,VNREAL,2.767663
11/19/2020,VNREAL,2.762653
11/20/2020,VNREAL,2.780014
11/23/2020,VNREAL,2.80426
11/24/2020,VNREAL,2.84012
11/25/2020,VNREAL,2.853993
11/26/2020,VNREAL,2.849431
11/27/2020,VNREAL,2.844726
11/30/2020,VNREAL,2.827815
12/01/2020,VNREAL,2.848817
12/03/2020,VNREAL,2.882206
12/04/2020,VNREAL,2.881581
12/07/2020,VNREAL,2.885667
12/08/2020,VNREAL,2.872287
12/09/2020,VNREAL,2.899662
12/10/2020,VNREAL,2.870491
12/11/2020,VNREAL,2.911133
12/14/2020,VNREAL,2.974633
12/15/2020,VNREAL,2.947691
12/16/2020,VNREAL,2.961562
12/17/2020,VNREAL,2.910222
12/18/2020,VNREAL,2.921921
12/21/2020,VNREAL,2.971958
12/22/2020,VNREAL,2.973426
12/23/2020,VNREAL,2.981511
12/24/2020,VNREAL,2.959186
12/25/2020,VNREAL,2.988177
12/28/2020,VNREAL,2.999107
12/29/2020,VNREAL,3.052582
12/30/2020,VNREAL,3.065722
12/31/2020,VNREAL,3.057613
01/04/2021,VNREAL,3.08677
01/05/2021,VNREAL,3.159954
01/06/2021,VNREAL,3.165828
01/07/2021,VNREAL,3.192765
01/08/2021,VNREAL,3.258286
01/11/2021,VNREAL,3.374776
01/12/2021,VNREAL,3.385399
01/13/2021,VNREAL,3.318181
01/14/2021,VNREAL,3.309061
01/15/2021,VNREAL,3.339756
01/18/2021,VNREAL,3.331046
01/19/2021,VNREAL,3.177121
01/20/2021,VNREAL,3.185681
01/21/2021,VNREAL,3.247328
01/22/2021,VNREAL,3.271048
01/25/2021,VNREAL,3.296753
01/26/2021,VNREAL,3.23285
01/27/2021,VNREAL,3.138402
01/28/2021,VNREAL,2.924689
02/01/2021,VNREAL,2.914728
02/02/2021,VNREAL,3.064416
02/03/2021,VNREAL,3.142003
02/04/2021,VNREAL,3.119902
02/05/2021,VNREAL,3.158462
02/08/2021,VNREAL,2.999798
02/09/2021,VNREAL,3.09837
02/17/2021,VNREAL,3.205809
02/19/2021,VNREAL,3.247958
02/22/2021,VNREAL,3.281035
02/23/2021,VNREAL,3.276566
02/24/2021,VNREAL,3.217535
02/25/2021,VNREAL,3.221453
03/01/2021,VNREAL,3.231567
03/02/2021,VNREAL,3.223718
03/03/2021,VNREAL,3.21097
03/04/2021,VNREAL,3.176292
03/05/2021,VNREAL,3.148918
03/08/2021,VNREAL,3.142391
03/09/2021,VNREAL,3.140044
03/11/2021,VNREAL,3.190279
03/12/2021,VNREAL,3.188354
03/15/2021,VNREAL,3.187663
03/16/2021,VNREAL,3.179969
03/17/2021,VNREAL,3.169046
03/18/2021,VNREAL,3.202064
03/19/2021,VNREAL,3.194727
03/22/2021,VNREAL,3.20505
03/23/2021,VNREAL,3.180668
03/24/2021,VNREAL,3.166998
03/25/2021,VNREAL,3.185405
03/26/2021,VNREAL,3.191834
03/29/2021,VNREAL,3.215009
03/30/2021,VNREAL,3.264769
03/31/2021,VNREAL,3.288038
04/01/2021,VNREAL,3.379596
04/02/2021,VNREAL,3.405686
04/05/2021,VNREAL,3.449291
04/07/2021,VNREAL,3.484876
04/08/2021,VNREAL,3.457072
04/09/2021,VNREAL,3.45068
04/12/2021,VNREAL,3.583876
04/13/2021,VNREAL,3.678603
04/14/2021,VNREAL,3.662693
04/16/2021,VNREAL,3.749909
04/19/2021,VNREAL,3.813982
04/20/2021,VNREAL,3.853877
04/22/2021,VNREAL,3.709702
04/26/2021,VNREAL,3.585482
04/27/2021,VNREAL,3.611557
04/28/2021,VNREAL,3.598494
04/29/2021,VNREAL,3.587535
05/04/2021,VNREAL,3.534448
05/05/2021,VNREAL,3.550114
05/06/2021,VNREAL,3.533413
05/07/2021,VNREAL,3.502585
05/10/2021,VNREAL,3.505866
05/11/2021,VNREAL,3.476743
05/12/2021,VNREAL,3.47801
05/13/2021,VNREAL,3.444007
05/14/2021,VNREAL,3.435734
05/17/2021,VNREAL,3.461523
05/18/2021,VNREAL,3.415065
05/19/2021,VNREAL,3.418837
05/20/2021,VNREAL,3.46319
05/21/2021,VNREAL,3.487815
05/24/2021,VNREAL,3.508117
05/25/2021,VNREAL,3.498087
05/26/2021,VNREAL,3.494238
05/27/2021,VNREAL,3.477098
