date,ticker,value
09/15/2021,VNSI,2.932087
09/16/2021,VNSI,2.921032
09/17/2021,VNSI,2.929186
09/20/2021,VNSI,2.938273
09/21/2021,VNSI,2.920203
09/22/2021,VNSI,2.940558
09/23/2021,VNSI,2.945567
09/24/2021,VNSI,2.951332
09/27/2021,VNSI,2.911232
09/28/2021,VNSI,2.927174
09/29/2021,VNSI,2.916869
09/30/2021,VNSI,2.929819
10/01/2021,VNSI,2.905067
10/04/2021,VNSI,2.896139
10/05/2021,VNSI,2.919199
10/06/2021,VNSI,2.913128
10/07/2021,VNSI,2.923051
10/08/2021,VNSI,2.943214
10/11/2021,VNSI,3.015921
10/12/2021,VNSI,3.016456
10/13/2021,VNSI,3.015317
10/14/2021,VNSI,3.019222
10/15/2021,VNSI,3.019877
10/18/2021,VNSI,3.019117
10/19/2021,VNSI,3.029614
10/20/2021,VNSI,3.018251
10/21/2021,VNSI,2.982831
10/22/2021,VNSI,2.993069
10/25/2021,VNSI,2.987556
10/26/2021,VNSI,2.979298
10/27/2021,VNSI,3.041423
10/28/2021,VNSI,3.044342
10/29/2021,VNSI,3.046105
11/01/2021,VNSI,2.950861
11/02/2021,VNSI,2.952963
11/03/2021,VNSI,2.950065
11/04/2021,VNSI,2.94168
11/05/2021,VNSI,2.955586
11/08/2021,VNSI,2.96621
11/09/2021,VNSI,2.950787
11/10/2021,VNSI,2.948924
11/11/2021,VNSI,2.934227
11/12/2021,VNSI,2.953319
11/15/2021,VNSI,2.94535
11/16/2021,VNSI,2.936146
11/17/2021,VNSI,2.947583
11/18/2021,VNSI,2.922833
11/19/2021,VNSI,2.919665
11/22/2021,VNSI,2.948043
11/23/2021,VNSI,2.971893
11/24/2021,VNSI,3.018221
11/25/2021,VNSI,3.033471
11/26/2021,VNSI,3.058961
11/29/2021,VNSI,3.087164
11/30/2021,VNSI,3.061925
12/01/2021,VNSI,3.093784
12/02/2021,VNSI,3.081739
12/03/2021,VNSI,3.004526
12/06/2021,VNSI,2.968928
12/07/2021,VNSI,3.017098
12/08/2021,VNSI,3.016779
12/09/2021,VNSI,3.052049
12/10/2021,VNSI,3.012173
12/13/2021,VNSI,3.010318
12/14/2021,VNSI,2.989603
12/15/2021,VNSI,2.974133
12/16/2021,VNSI,2.96026
12/17/2021,VNSI,2.980508
12/20/2021,VNSI,2.953247
12/21/2021,VNSI,2.955649
12/22/2021,VNSI,2.937483
12/23/2021,VNSI,2.882566
12/24/2021,VNSI,2.937955
12/27/2021,VNSI,2.964661
12/28/2021,VNSI,2.964813
12/29/2021,VNSI,2.945951
12/30/2021,VNSI,2.953011
12/31/2021,VNSI,2.985169
01/04/2022,VNSI,3.038525
01/05/2022,VNSI,3.015257
01/06/2022,VNSI,3.02637
01/07/2022,VNSI,2.988762
01/10/2022,VNSI,2.954299
01/11/2022,VNSI,2.92884
01/12/2022,VNSI,2.963324
01/13/2022,VNSI,2.953131
01/14/2022,VNSI,2.950161
01/17/2022,VNSI,2.870599
01/18/2022,VNSI,2.860941
01/19/2022,VNSI,2.877913
01/20/2022,VNSI,2.894815
01/21/2022,VNSI,2.90638
01/24/2022,VNSI,2.85102
01/25/2022,VNSI,2.899119
01/26/2022,VNSI,2.912691
01/27/2022,VNSI,2.916494
01/28/2022,VNSI,2.836546
02/07/2022,VNSI,2.807511
02/08/2022,VNSI,2.783005
02/09/2022,VNSI,2.757579
02/10/2022,VNSI,2.746133
