date,ticker,value
05/15/2015,VNSML,1.0863780937
05/28/2015,VNSML,1.1230734255
05/29/2015,VNSML,1.1772109505
06/01/2015,VNSML,1.1726473418
06/02/2015,VNSML,1.1263183075
06/03/2015,VNSML,1.1351341998
06/04/2015,VNSML,1.1359936403
06/05/2015,VNSML,1.1407631588
06/08/2015,VNSML,1.1448944889
06/09/2015,VNSML,1.1416950006
06/10/2015,VNSML,1.1465794288
06/11/2015,VNSML,1.159034712
06/12/2015,VNSML,1.1652954481
06/15/2015,VNSML,1.1728952128
06/16/2015,VNSML,1.177898067
06/17/2015,VNSML,1.1715276355
06/18/2015,VNSML,1.1748604332
06/19/2015,VNSML,1.1807101841
06/22/2015,VNSML,1.1646753371
06/23/2015,VNSML,1.1707938208
06/24/2015,VNSML,1.1705543263
06/25/2015,VNSML,1.162896315
06/26/2015,VNSML,1.1629348168
06/29/2015,VNSML,1.1623555594
06/30/2015,VNSML,1.161760668
07/01/2015,VNSML,1.1388163537
07/02/2015,VNSML,1.1381741585
07/03/2015,VNSML,1.1519333019
07/06/2015,VNSML,1.1639997402
07/07/2015,VNSML,1.1652170328
07/08/2015,VNSML,1.1742634561
07/09/2015,VNSML,1.1836093321
07/10/2015,VNSML,1.1832643804
07/13/2015,VNSML,1.1743024644
07/14/2015,VNSML,1.1723004209
07/15/2015,VNSML,1.1687193888
07/16/2015,VNSML,1.1681591655
07/17/2015,VNSML,1.1665992065
07/20/2015,VNSML,1.1559895521
07/21/2015,VNSML,1.156007553
07/22/2015,VNSML,1.1602040941
07/23/2015,VNSML,1.1583827539
07/24/2015,VNSML,1.1592359284
07/27/2015,VNSML,1.132566194
07/28/2015,VNSML,1.1291413188
07/29/2015,VNSML,1.1276644445
07/30/2015,VNSML,1.1145417249
07/31/2015,VNSML,1.1063676715
08/03/2015,VNSML,1.0993030499
08/04/2015,VNSML,1.1066574927
08/05/2015,VNSML,1.1243360283
08/06/2015,VNSML,1.1182571518
08/07/2015,VNSML,1.1159850969
08/10/2015,VNSML,1.1154371786
08/11/2015,VNSML,1.1162034267
08/12/2015,VNSML,1.1091826942
08/13/2015,VNSML,1.1091826942
08/14/2015,VNSML,1.0963095037
08/17/2015,VNSML,1.0831268057
08/18/2015,VNSML,1.0817898664
08/19/2015,VNSML,1.0779791927
08/20/2015,VNSML,1.0723606542
08/21/2015,VNSML,1.0630925468
08/24/2015,VNSML,1.042609306
