date,ticker,value
05/04/2016,VNXALL,1.4566294583
10/24/2016,VNXALL,3.1596491742
10/25/2016,VNXALL,3.1549908372
10/26/2016,VNXALL,3.1440120147
10/27/2016,VNXALL,3.1780107265
10/28/2016,VNXALL,3.0478943787
10/31/2016,VNXALL,3.072444287
11/01/2016,VNXALL,3.439137077
11/02/2016,VNXALL,3.4015837593
11/03/2016,VNXALL,3.4095548972
11/04/2016,VNXALL,3.3997028785
11/07/2016,VNXALL,3.410753514
11/08/2016,VNXALL,3.4182195364
11/09/2016,VNXALL,3.4069648281
11/10/2016,VNXALL,3.4325590408
11/11/2016,VNXALL,3.4382834849
11/14/2016,VNXALL,3.3757185971
11/15/2016,VNXALL,3.3757185971
11/16/2016,VNXALL,3.3757185971
11/17/2016,VNXALL,3.3757185971
11/18/2016,VNXALL,3.3757185971
11/21/2016,VNXALL,3.3757185971
11/22/2016,VNXALL,3.3757185971
11/23/2016,VNXALL,3.3757185971
11/24/2016,VNXALL,3.3757185971
11/25/2016,VNXALL,3.3201441077
11/28/2016,VNXALL,3.2571663603
11/29/2016,VNXALL,3.3112463084
11/30/2016,VNXALL,3.3500240803
12/01/2016,VNXALL,3.4201155992
12/02/2016,VNXALL,3.4242715897
12/05/2016,VNXALL,3.4088439727
12/06/2016,VNXALL,3.3877870792
12/07/2016,VNXALL,3.3583988382
12/08/2016,VNXALL,3.4080928433
12/09/2016,VNXALL,3.4270941404
12/12/2016,VNXALL,3.3844990033
12/13/2016,VNXALL,3.3324204416
12/14/2016,VNXALL,3.3379250999
12/15/2016,VNXALL,3.2757623307
12/16/2016,VNXALL,3.3267870391
12/19/2016,VNXALL,3.3093815749
12/20/2016,VNXALL,3.2221213757
12/21/2016,VNXALL,4.7635359484
12/22/2016,VNXALL,3.1144270714
12/23/2016,VNXALL,4.7481416076
12/26/2016,VNXALL,3.108377592
12/27/2016,VNXALL,3.144083501
12/28/2016,VNXALL,3.1392549731
12/29/2016,VNXALL,4.6321151608
12/30/2016,VNXALL,3.1357977329
01/03/2017,VNXALL,3.1554349877
01/04/2017,VNXALL,3.1656941338
01/05/2017,VNXALL,3.1669973948
01/06/2017,VNXALL,4.8950597524
01/09/2017,VNXALL,4.8791213626
01/10/2017,VNXALL,3.1616092968
01/12/2017,VNXALL,3.1769590602
01/13/2017,VNXALL,3.171706644
01/16/2017,VNXALL,4.8714524703
01/17/2017,VNXALL,5.0532910474
01/18/2017,VNXALL,5.2535181353
01/19/2017,VNXALL,5.3144712716
01/20/2017,VNXALL,5.3246999968
01/23/2017,VNXALL,5.2601651588
01/24/2017,VNXALL,5.2517725914
01/25/2017,VNXALL,5.3045540866
02/02/2017,VNXALL,5.1799759192
02/03/2017,VNXALL,5.1113377038
02/06/2017,VNXALL,5.6075907035
02/07/2017,VNXALL,5.5996615353
02/08/2017,VNXALL,5.5763919933
02/09/2017,VNXALL,5.4373531391
02/10/2017,VNXALL,5.5034491219
02/13/2017,VNXALL,5.4963099193
02/14/2017,VNXALL,5.5688610688
02/15/2017,VNXALL,5.5080697027
02/16/2017,VNXALL,5.5535834309
02/17/2017,VNXALL,5.5356445343
02/20/2017,VNXALL,5.6218653552
02/21/2017,VNXALL,5.6846387299
02/22/2017,VNXALL,5.8307319218
02/23/2017,VNXALL,5.8990166239
02/24/2017,VNXALL,5.8963525903
02/27/2017,VNXALL,5.833463992
02/28/2017,VNXALL,5.9322263512
03/01/2017,VNXALL,6.0136840792
03/02/2017,VNXALL,6.0372043323
03/03/2017,VNXALL,6.105580282
03/06/2017,VNXALL,6.1092776535
03/07/2017,VNXALL,6.0142267112
03/08/2017,VNXALL,5.8912353695
03/09/2017,VNXALL,5.8191468237
03/10/2017,VNXALL,5.693984986
03/13/2017,VNXALL,5.6243155137
03/14/2017,VNXALL,5.8007387927
03/15/2017,VNXALL,5.6777631845
03/16/2017,VNXALL,5.643670935
03/17/2017,VNXALL,5.4980539657
03/20/2017,VNXALL,5.5776385241
03/21/2017,VNXALL,5.4719058699
03/22/2017,VNXALL,5.4097636747
03/23/2017,VNXALL,5.3829613094
03/24/2017,VNXALL,5.3593813219
03/27/2017,VNXALL,5.3755220099
03/28/2017,VNXALL,5.3594472085
03/29/2017,VNXALL,5.3852750921
03/30/2017,VNXALL,5.3996465698
03/31/2017,VNXALL,5.3595148738
04/03/2017,VNXALL,5.3519826342
04/04/2017,VNXALL,5.343802596
04/05/2017,VNXALL,5.2633691492
04/07/2017,VNXALL,5.3152934235
04/10/2017,VNXALL,5.4197903154
04/11/2017,VNXALL,3.2431896473
04/12/2017,VNXALL,3.2416377807
04/13/2017,VNXALL,5.3299682011
04/14/2017,VNXALL,5.3022821641
04/17/2017,VNXALL,5.3752172762
04/18/2017,VNXALL,5.3052225205
04/19/2017,VNXALL,5.2319072483
04/20/2017,VNXALL,5.3683935748
04/21/2017,VNXALL,5.1472146234
04/24/2017,VNXALL,5.1148349524
04/25/2017,VNXALL,4.8340827687
04/27/2017,VNXALL,4.8384057033
05/03/2017,VNXALL,4.8097956957
05/05/2017,VNXALL,4.5125009833
05/09/2017,VNXALL,4.3910114046
05/12/2017,VNXALL,4.3894366553
05/15/2017,VNXALL,4.3162598216
05/16/2017,VNXALL,4.2540671157
05/17/2017,VNXALL,4.1972422596
05/18/2017,VNXALL,4.2321381945
05/19/2017,VNXALL,4.25223454
05/22/2017,VNXALL,4.2829611448
05/23/2017,VNXALL,4.3627950096
05/25/2017,VNXALL,4.2771387324
05/26/2017,VNXALL,4.2449449052
05/30/2017,VNXALL,4.2944141061
05/31/2017,VNXALL,4.2592793461
06/01/2017,VNXALL,4.2705082694
06/02/2017,VNXALL,4.2830542348
06/05/2017,VNXALL,4.2934269556
06/07/2017,VNXALL,4.3106479122
06/08/2017,VNXALL,4.2915128805
06/09/2017,VNXALL,4.2877084451
06/12/2017,VNXALL,4.3468620281
06/13/2017,VNXALL,4.3602081863
06/14/2017,VNXALL,4.458555936
06/15/2017,VNXALL,4.4564149274
06/20/2017,VNXALL,4.5257765625
06/21/2017,VNXALL,4.5768107602
