date,ticker,value
04/15/2021,AAT,1.3021330187
04/16/2021,AAT,1.3512701138
04/19/2021,AAT,1.3267015663
04/20/2021,AAT,1.3758386613
04/22/2021,AAT,1.3103225346
04/23/2021,AAT,1.4004072088
04/26/2021,AAT,1.3758386613
04/27/2021,AAT,1.3758386613
04/28/2021,AAT,1.3840281772
04/29/2021,AAT,1.3717439034
05/04/2021,AAT,1.3512701138
05/05/2021,AAT,1.4158666563
05/06/2021,AAT,1.4920747766
05/07/2021,AAT,1.459987147
05/10/2021,AAT,1.4439433322
05/11/2021,AAT,1.459987147
05/12/2021,AAT,1.4519652396
05/13/2021,AAT,1.5522390821
05/14/2021,AAT,1.6324581561
05/17/2021,AAT,1.5883376654
05/18/2021,AAT,1.5722938506
05/19/2021,AAT,1.6645457857
05/20/2021,AAT,1.7247100912
05/21/2021,AAT,1.6846005542
05/24/2021,AAT,1.6645457857
05/25/2021,AAT,1.6565238783
05/26/2021,AAT,1.6244362487
05/27/2021,AAT,1.5642719432
05/28/2021,AAT,1.5883376654
05/31/2021,AAT,1.5642719432
06/01/2021,AAT,1.5642719432
06/02/2021,AAT,1.5482281284
06/03/2021,AAT,1.5642719432
06/04/2021,AAT,1.5602609895
06/07/2021,AAT,1.5722938506
06/08/2021,AAT,1.5883376654
06/09/2021,AAT,1.6003705265
06/10/2021,AAT,1.5923486191
06/11/2021,AAT,1.6685567394
06/14/2021,AAT,1.6525129246
06/15/2021,AAT,1.660534832
06/16/2021,AAT,1.6444910172
06/17/2021,AAT,1.6364691098
06/18/2021,AAT,1.6444910172
06/21/2021,AAT,1.6244362487
06/22/2021,AAT,1.6284472024
06/23/2021,AAT,1.620425295
06/24/2021,AAT,1.6124033876
06/25/2021,AAT,1.6244362487
06/28/2021,AAT,1.6003705265
06/29/2021,AAT,1.6003705265
06/30/2021,AAT,1.5843267117
07/01/2021,AAT,1.5923486191
07/02/2021,AAT,1.5883376654
07/05/2021,AAT,1.580315758
07/06/2021,AAT,1.5522390821
07/07/2021,AAT,1.5241624062
07/08/2021,AAT,1.4920747766
07/09/2021,AAT,1.4920747766
07/12/2021,AAT,1.4278995174
07/13/2021,AAT,1.4038337952
07/14/2021,AAT,1.3476804434
07/15/2021,AAT,1.3236147211
07/16/2021,AAT,1.3516913971
07/19/2021,AAT,1.3316366286
07/20/2021,AAT,1.4118557026
07/21/2021,AAT,1.4439433322
07/22/2021,AAT,1.4519652396
07/23/2021,AAT,1.4278995174
07/26/2021,AAT,1.4038337952
07/27/2021,AAT,1.369531397
07/28/2021,AAT,1.3617939314
07/29/2021,AAT,1.3617939314
07/30/2021,AAT,1.3617939314
08/02/2021,AAT,1.385006328
08/03/2021,AAT,1.385006328
08/04/2021,AAT,1.3772688625
08/05/2021,AAT,1.4546435177
08/06/2021,AAT,1.4314311211
08/09/2021,AAT,1.4314311211
08/10/2021,AAT,1.4082187246
08/11/2021,AAT,1.497199578
08/12/2021,AAT,1.4894621125
08/13/2021,AAT,1.5165432418
08/16/2021,AAT,1.5320181729
08/17/2021,AAT,1.5320181729
08/18/2021,AAT,1.5088057763
08/19/2021,AAT,1.5320181729
08/20/2021,AAT,1.5088057763
08/23/2021,AAT,1.4855933798
08/24/2021,AAT,1.4894621125
08/25/2021,AAT,1.4933308453
08/26/2021,AAT,1.5707055005
08/27/2021,AAT,1.6093928281
08/30/2021,AAT,1.593917897
08/31/2021,AAT,1.5745742332
09/01/2021,AAT,1.5900491643
09/06/2021,AAT,1.6983736815
09/07/2021,AAT,1.675161285
09/08/2021,AAT,1.6790300177
09/09/2021,AAT,1.6790300177
09/10/2021,AAT,1.7757483367
09/13/2021,AAT,1.7370610091
09/14/2021,AAT,1.7254548109
09/15/2021,AAT,1.7641421385
09/16/2021,AAT,1.7447984747
09/17/2021,AAT,1.7796170695
09/20/2021,AAT,1.7564046729
09/21/2021,AAT,1.7022424143
09/22/2021,AAT,1.7486672074
09/23/2021,AAT,1.7409297419
09/24/2021,AAT,1.7293235436
09/27/2021,AAT,1.6945049488
09/28/2021,AAT,1.6790300177
09/29/2021,AAT,1.7099798798
09/30/2021,AAT,1.7022424143
10/01/2021,AAT,1.7022424143
10/04/2021,AAT,1.7177173453
10/05/2021,AAT,1.7138486126
10/06/2021,AAT,1.7486672074
10/07/2021,AAT,1.8066981988
10/08/2021,AAT,1.7950920005
10/11/2021,AAT,1.8028294661
10/12/2021,AAT,1.8105669316
10/13/2021,AAT,1.8337793281
10/14/2021,AAT,1.7772184552
10/15/2021,AAT,1.7340820849
10/18/2021,AAT,1.6823184406
10/19/2021,AAT,1.6305547963
10/20/2021,AAT,1.6259264971
10/21/2021,AAT,1.6645368889
10/22/2021,AAT,1.681697063
10/25/2021,AAT,1.6516667583
10/26/2021,AAT,1.6473767147
10/27/2021,AAT,1.7460477159
10/28/2021,AAT,1.7374447474
10/29/2021,AAT,1.7417347344
11/01/2021,AAT,1.7374447474
11/02/2021,AAT,1.7374447474
11/03/2021,AAT,1.6988348641
11/04/2021,AAT,1.681674916
11/05/2021,AAT,1.6988348641
11/08/2021,AAT,1.7760546307
11/09/2021,AAT,1.827534475
11/10/2021,AAT,1.8146645139
11/11/2021,AAT,1.8103745269
11/12/2021,AAT,1.8446944231
11/15/2021,AAT,1.8017945528
11/16/2021,AAT,1.8017945528
11/17/2021,AAT,1.8017945528
11/18/2021,AAT,1.7846346047
11/19/2021,AAT,1.7588946825
11/22/2021,AAT,1.6730949419
11/23/2021,AAT,1.6988348641
11/24/2021,AAT,1.677384929
11/25/2021,AAT,1.7374447474
11/26/2021,AAT,1.7074148382
11/29/2021,AAT,1.6945448771
11/30/2021,AAT,1.681674916
12/01/2021,AAT,1.7031248511
12/02/2021,AAT,1.69025489
12/03/2021,AAT,1.6945448771
12/06/2021,AAT,1.6645149679
12/07/2021,AAT,1.6602249808
12/08/2021,AAT,1.6516450068
12/09/2021,AAT,1.6130351235
12/10/2021,AAT,1.6216150976
12/13/2021,AAT,1.6216150976
12/14/2021,AAT,1.6216150976
12/15/2021,AAT,1.6173251105
12/16/2021,AAT,1.6087451365
12/17/2021,AAT,1.6130351235
12/20/2021,AAT,1.5872952013
12/21/2021,AAT,1.5872952013
12/22/2021,AAT,1.7716751103
12/23/2021,AAT,1.7080765166
12/24/2021,AAT,1.7262475434
12/27/2021,AAT,1.6808199765
12/28/2021,AAT,1.6626489497
12/29/2021,AAT,1.5945075993
12/30/2021,AAT,1.5945075993
12/31/2021,AAT,1.6353924095
01/04/2022,AAT,1.6172213828
01/05/2022,AAT,1.6035931127
01/06/2022,AAT,1.6217641394
01/07/2022,AAT,1.5763365725
01/10/2022,AAT,1.5263662489
01/11/2022,AAT,1.5081952221
01/12/2022,AAT,1.4718531686
01/13/2022,AAT,1.4309683583
01/14/2022,AAT,1.4173400883
01/17/2022,AAT,1.3491987379
01/18/2022,AAT,1.258343604
01/19/2022,AAT,1.8693226822
01/20/2022,AAT,1.9045929215
01/21/2022,AAT,1.87637673
01/24/2022,AAT,1.7494038686
01/25/2022,AAT,1.7494038686
01/26/2022,AAT,1.7352957729
01/27/2022,AAT,1.7211876772
01/28/2022,AAT,1.7494038686
02/07/2022,AAT,1.8128902993
02/08/2022,AAT,1.8340524429
02/09/2022,AAT,1.8340524429
02/10/2022,AAT,1.8975388736
02/11/2022,AAT,1.9398631608
02/14/2022,AAT,1.9187010172
02/15/2022,AAT,1.9469172086
02/16/2022,AAT,1.2840727896
02/17/2022,AAT,1.2792992848
02/18/2022,AAT,1.2936197992
02/21/2022,AAT,1.298393304
02/22/2022,AAT,1.3174873232
02/23/2022,AAT,1.3270343328
02/24/2022,AAT,1.3270343328
02/25/2022,AAT,1.3270343328
02/28/2022,AAT,1.298393304
03/01/2022,AAT,1.2936197992
03/02/2022,AAT,1.2936197992
03/03/2022,AAT,1.3413548472
03/04/2022,AAT,1.3509018567
03/07/2022,AAT,1.3604488663
03/08/2022,AAT,1.3843163903
03/09/2022,AAT,1.3938633999
03/10/2022,AAT,1.3890898951
03/11/2022,AAT,1.3890898951
03/14/2022,AAT,1.3843163903
03/15/2022,AAT,1.3461283519
03/16/2022,AAT,1.3699958759
03/17/2022,AAT,1.4034104095
03/18/2022,AAT,1.3986369047
03/21/2022,AAT,1.4081839143
03/22/2022,AAT,1.4120084565
03/23/2022,AAT,1.4024678588
03/24/2022,AAT,1.4024678588
03/25/2022,AAT,1.3738460658
03/28/2022,AAT,1.3499945716
03/29/2022,AAT,1.3452242727
03/30/2022,AAT,1.307061882
03/31/2022,AAT,1.307061882
04/01/2022,AAT,1.278440089
04/04/2022,AAT,1.2927509855
04/05/2022,AAT,1.3118321809
04/06/2022,AAT,1.2975212843
04/07/2022,AAT,1.307061882
04/08/2022,AAT,1.2879806867
04/12/2022,AAT,1.2307371006
04/13/2022,AAT,1.2355073994
04/14/2022,AAT,1.2450479971
04/15/2022,AAT,1.2593588936
04/18/2022,AAT,1.2307371006
04/19/2022,AAT,1.2211965029
04/20/2022,AAT,1.2306977029
04/21/2022,AAT,1.2116171183
04/22/2022,AAT,1.2306977029
04/25/2022,AAT,1.2211574106
04/26/2022,AAT,1.2116171183
04/27/2022,AAT,1.2306977029
04/28/2022,AAT,1.3165603333
04/29/2022,AAT,1.3785722331
05/04/2022,AAT,1.3785722331
05/05/2022,AAT,1.4358139867
05/06/2022,AAT,1.411963256
05/09/2022,AAT,1.3547215024
05/10/2022,AAT,1.4310438406
05/11/2022,AAT,1.4405841328
05/12/2022,AAT,1.411963256
05/13/2022,AAT,1.4310438406
05/16/2022,AAT,1.445354279
05/17/2022,AAT,1.4310438406
05/18/2022,AAT,1.4024229637
05/19/2022,AAT,1.4024229637
05/20/2022,AAT,1.4024229637
05/23/2022,AAT,1.4024229637
05/24/2022,AAT,1.3976528176
05/25/2022,AAT,1.3928826715
05/26/2022,AAT,1.3976528176
05/27/2022,AAT,1.4405841328
05/30/2022,AAT,1.4310438406
05/31/2022,AAT,1.4071931099
06/01/2022,AAT,1.3356409178
06/02/2022,AAT,1.2736290181
06/03/2022,AAT,1.2879394565
06/06/2022,AAT,1.3165603333
06/07/2022,AAT,1.2879394565
06/08/2022,AAT,1.2879394565
06/09/2022,AAT,1.2879394565
06/10/2022,AAT,1.3165603333
06/13/2022,AAT,1.2259275567
06/14/2022,AAT,1.1829962415
06/15/2022,AAT,1.1019037572
06/16/2022,AAT,1.1066739034
06/17/2022,AAT,1.0303515652
06/20/2022,AAT,0.9587993732
06/21/2022,AAT,0.8920173273
06/22/2022,AAT,0.8815230058
06/23/2022,AAT,0.8681665966
06/24/2022,AAT,0.9063277657
06/27/2022,AAT,0.9130059703
06/28/2022,AAT,0.954029227
06/29/2022,AAT,0.9349486425
06/30/2022,AAT,0.8872471811
07/01/2022,AAT,0.9063277657
07/04/2022,AAT,0.8843850935
07/05/2022,AAT,0.8395457198
07/06/2022,AAT,0.810924843
07/07/2022,AAT,0.8586263043
07/08/2022,AAT,0.9063277657
07/11/2022,AAT,0.9254083502
07/12/2022,AAT,0.9349486425
07/13/2022,AAT,0.9235002918
07/14/2022,AAT,0.9235002918
07/15/2022,AAT,0.98742025
07/18/2022,AAT,1.0208112729
07/19/2022,AAT,1.0446620036
07/20/2022,AAT,1.0971336111
07/21/2022,AAT,1.1114440495
07/22/2022,AAT,1.0971336111
07/25/2022,AAT,1.0780530265
07/26/2022,AAT,1.0780530265
07/27/2022,AAT,1.1114440495
07/28/2022,AAT,1.1734559493
07/29/2022,AAT,1.1829962415
08/01/2022,AAT,1.1591455108
08/02/2022,AAT,1.1734559493
08/03/2022,AAT,1.2068469722
08/04/2022,AAT,1.2783991642
08/05/2022,AAT,1.1292561954
08/08/2022,AAT,1.1208289104
08/09/2022,AAT,1.1376834804
08/10/2022,AAT,1.1713926206
08/11/2022,AAT,1.1629653356
08/12/2022,AAT,1.1629653356
08/15/2022,AAT,1.1334698379
08/16/2022,AAT,1.1039743403
08/17/2022,AAT,1.0744788426
08/18/2022,AAT,1.0281287749
08/19/2022,AAT,1.0028469198
08/22/2022,AAT,0.9649241371
08/23/2022,AAT,1.0323424174
08/24/2022,AAT,1.0660515576
08/25/2022,AAT,1.05341063
08/26/2022,AAT,1.0281287749
08/29/2022,AAT,0.9944196347
08/30/2022,AAT,0.9902059922
08/31/2022,AAT,0.9817787072
09/05/2022,AAT,0.9733514221
09/06/2022,AAT,0.9649241371
09/07/2022,AAT,0.9607104946
09/08/2022,AAT,0.939642282
09/09/2022,AAT,0.9270013544
09/12/2022,AAT,0.9438559245
09/13/2022,AAT,0.939642282
09/14/2022,AAT,0.9270013544
09/15/2022,AAT,0.9607104946
09/16/2022,AAT,0.9564968521
09/19/2022,AAT,0.8932922143
09/20/2022,AAT,0.9270013544
09/21/2022,AAT,0.9143604269
09/22/2022,AAT,0.9017194993
09/23/2022,AAT,0.9017194993
09/26/2022,AAT,0.842728504
09/27/2022,AAT,0.834301219
09/28/2022,AAT,0.8090193639
09/29/2022,AAT,0.8005920788
09/30/2022,AAT,0.8005920788
10/03/2022,AAT,0.7921647938
10/04/2022,AAT,0.7879511513
10/05/2022,AAT,0.7778384092
10/06/2022,AAT,0.7584556536
10/07/2022,AAT,0.7053637579
10/10/2022,AAT,0.7053637579
10/11/2022,AAT,0.6564855046
10/12/2022,AAT,0.6573282331
10/13/2022,AAT,0.6952510158
10/14/2022,AAT,0.6910373733
10/17/2022,AAT,0.6564855046
10/18/2022,AAT,0.6649127897
10/19/2022,AAT,0.6640700612
10/20/2022,AAT,0.6564855046
10/21/2022,AAT,0.6109781654
10/24/2022,AAT,0.5730553827
10/25/2022,AAT,0.6067645229
10/26/2022,AAT,0.5899099528
10/27/2022,AAT,0.5915954098
10/28/2022,AAT,0.6328891065
10/31/2022,AAT,0.6480582196
11/01/2022,AAT,0.6379454775
11/02/2022,AAT,0.6362600205
