date,ticker,value
06/12/2018,ABR,0.9356329004
06/13/2018,ABR,0.9356329004
06/14/2018,ABR,0.9356329004
06/15/2018,ABR,0.9356329004
06/18/2018,ABR,0.9356329004
06/19/2018,ABR,0.9356329004
06/20/2018,ABR,0.9356329004
06/21/2018,ABR,0.9356329004
06/22/2018,ABR,0.9356329004
06/25/2018,ABR,0.9356329004
06/26/2018,ABR,0.9356329004
06/27/2018,ABR,0.9356329004
06/28/2018,ABR,0.9356329004
06/29/2018,ABR,0.7452984361
07/02/2018,ABR,0.6667943804
07/03/2018,ABR,0.5702905298
07/04/2018,ABR,0.5435581612
07/05/2018,ABR,0.5524689507
07/06/2018,ABR,0.5212811874
07/09/2018,ABR,0.5168257926
07/10/2018,ABR,0.5308157322
07/11/2018,ABR,0.5358057743
07/12/2018,ABR,0.5435581612
07/13/2018,ABR,0.5028358531
07/16/2018,ABR,0.4990042136
07/17/2018,ABR,0.5079150031
07/18/2018,ABR,0.5168257926
07/19/2018,ABR,0.5168257926
12/01/2014,AMD,1.855702641
12/02/2014,AMD,1.7130443673
12/03/2014,AMD,1.7318428154
12/04/2014,AMD,1.5964367349
12/05/2014,AMD,1.6976811686
12/08/2014,AMD,1.6785964497
12/09/2014,AMD,1.5657103375
12/10/2014,AMD,1.5559771308
12/11/2014,AMD,1.5260141222
12/12/2014,AMD,1.5504425624
12/15/2014,AMD,1.5788787935
12/16/2014,AMD,1.5150404088
12/17/2014,AMD,1.4748670756
12/18/2014,AMD,1.5229605672
12/19/2014,AMD,1.5098875347
12/22/2014,AMD,1.5506334096
12/23/2014,AMD,1.5431903692
12/24/2014,AMD,1.5575993319
12/25/2014,AMD,1.5388008838
12/26/2014,AMD,1.5198115885
12/29/2014,AMD,1.519239047
12/30/2014,AMD,1.5100783819
12/31/2014,AMD,1.5208612481
01/05/2015,AMD,1.5279225941
01/06/2015,AMD,1.5276363233
07/20/2018,ABR,0.5168257926
07/23/2018,ABR,0.5168257926
07/24/2018,ABR,0.5257365822
07/25/2018,ABR,0.5079150031
07/26/2018,ABR,0.5079150031
07/27/2018,ABR,0.5168257926
07/30/2018,ABR,0.5168257926
07/31/2018,ABR,0.5168257926
08/01/2018,ABR,0.5168257926
08/02/2018,ABR,0.5168257926
08/03/2018,ABR,0.5168257926
08/06/2018,ABR,0.5168257926
08/07/2018,ABR,0.5435581612
08/08/2018,ABR,0.5346473717
08/09/2018,ABR,0.5613797403
08/10/2018,ABR,0.5613797403
08/13/2018,ABR,0.5613797403
08/14/2018,ABR,0.6186567722
08/15/2018,ABR,0.5613797403
