date,ticker,value
02/24/2009,PVI,1.5511246919
04/10/2009,PVI,1.4152386188
04/13/2009,PVI,1.505095005
04/14/2009,PVI,1.5511246919
04/15/2009,PVI,1.4691524505
04/17/2009,PVI,1.3658175468
04/20/2009,PVI,1.2988883256
04/21/2009,PVI,1.2083734273
04/22/2009,PVI,1.2762595415
04/23/2009,PVI,1.2174248695
04/24/2009,PVI,1.1812189817
04/27/2009,PVI,1.1947962045
04/28/2009,PVI,1.2219506502
04/29/2009,PVI,1.2807853221
05/04/2009,PVI,1.3486714363
05/05/2009,PVI,1.3803516626
05/06/2009,PVI,1.3260427713
05/07/2009,PVI,1.3939288854
05/08/2009,PVI,1.3531972169
05/11/2009,PVI,1.3577229976
05/12/2009,PVI,1.3894032239
05/13/2009,PVI,1.3577229976
05/14/2009,PVI,1.3486714363
05/15/2009,PVI,1.4301348924
05/18/2009,PVI,1.3984546661
05/19/2009,PVI,1.4301348924
05/20/2009,PVI,1.4165576696
05/21/2009,PVI,1.4075061082
05/22/2009,PVI,1.3577229976
05/25/2009,PVI,1.4527635574
05/26/2009,PVI,1.5478042364
05/27/2009,PVI,1.620216012
05/28/2009,PVI,1.5020948648
05/29/2009,PVI,1.457522273
06/01/2009,PVI,1.5466674566
06/02/2009,PVI,1.5823254585
06/03/2009,PVI,1.5511246919
06/04/2009,PVI,1.5332956314
06/05/2009,PVI,1.6402697563
06/08/2009,PVI,1.7517011165
06/09/2009,PVI,1.7650729417
06/10/2009,PVI,1.6714705228
06/11/2009,PVI,1.6937568187
06/12/2009,PVI,1.6937568187
06/15/2009,PVI,1.5555819272
06/16/2009,PVI,1.4530650377
06/17/2009,PVI,1.4084925651
06/18/2009,PVI,1.5020948648
06/19/2009,PVI,1.6046117544
06/22/2009,PVI,1.6491842269
06/23/2009,PVI,1.5377528667
06/24/2009,PVI,1.5377528667
06/25/2009,PVI,1.5110093355
06/26/2009,PVI,1.4708940982
06/29/2009,PVI,1.4218642711
06/30/2009,PVI,1.4218642711
07/01/2009,PVI,1.2792321443
07/02/2009,PVI,1.3059756755
07/03/2009,PVI,1.3059756755
07/06/2009,PVI,1.3772916793
07/07/2009,PVI,1.3772916793
07/08/2009,PVI,1.3460909128
07/09/2009,PVI,1.3460909128
07/10/2009,PVI,1.3282619714
07/13/2009,PVI,1.3015184402
07/14/2009,PVI,1.2926038503
07/15/2009,PVI,1.3104329109
07/16/2009,PVI,1.3371764421
07/17/2009,PVI,1.3193473815
07/20/2009,PVI,1.2524886131
07/21/2009,PVI,1.3148901462
07/22/2009,PVI,1.3639199733
07/23/2009,PVI,1.3639199733
07/24/2009,PVI,1.4842658042
07/27/2009,PVI,1.5644963979
07/28/2009,PVI,1.542210102
07/29/2009,PVI,1.51546669
07/30/2009,PVI,1.444150567
07/31/2009,PVI,1.4798085689
08/03/2009,PVI,1.4221513271
08/04/2009,PVI,1.4484064579
08/05/2009,PVI,1.4440306425
08/06/2009,PVI,1.4396547079
08/07/2009,PVI,1.4265272617
08/10/2009,PVI,1.4352788925
08/11/2009,PVI,1.4352788925
08/12/2009,PVI,1.4440306425
08/13/2009,PVI,1.4834132194
08/14/2009,PVI,1.4484064579
08/17/2009,PVI,1.4265272617
08/18/2009,PVI,1.4090237617
08/19/2009,PVI,1.4352788925
08/20/2009,PVI,1.4352788925
08/21/2009,PVI,1.4571582078
08/24/2009,PVI,1.4746615886
08/25/2009,PVI,3.6624000072
08/26/2009,PVI,1.4702857732
08/27/2009,PVI,1.4484064579
08/28/2009,PVI,1.4484064579
08/31/2009,PVI,1.5184201002
09/01/2009,PVI,1.5402992963
09/03/2009,PVI,1.4834132194
09/04/2009,PVI,1.4615340232
09/07/2009,PVI,1.4177755117
09/08/2009,PVI,1.4396548271
09/09/2009,PVI,1.4352788925
09/10/2009,PVI,1.4396548271
09/11/2009,PVI,1.4484064579
09/14/2009,PVI,1.4440306425
09/15/2009,PVI,1.4309030771
09/16/2009,PVI,1.4352788925
09/17/2009,PVI,1.4396548271
09/18/2009,PVI,1.4352788925
09/21/2009,PVI,1.4352788925
09/22/2009,PVI,1.4177755117
09/23/2009,PVI,1.4352788925
09/24/2009,PVI,1.3871445655
09/25/2009,PVI,1.3652652502
09/28/2009,PVI,1.3827687501
09/29/2009,PVI,1.3783928155
09/30/2009,PVI,1.3608894348
10/01/2009,PVI,1.343386054
10/02/2009,PVI,1.2777483463
10/05/2009,PVI,1.2821241617
10/06/2009,PVI,1.2777483463
10/07/2009,PVI,1.3608894348
10/08/2009,PVI,1.3871445655
10/09/2009,PVI,1.4309030771
10/12/2009,PVI,1.4527822732
10/13/2009,PVI,1.4002721309
10/14/2009,PVI,1.4133995771
10/15/2009,PVI,1.4615340232
10/16/2009,PVI,1.4177755117
10/19/2009,PVI,1.4352788925
10/20/2009,PVI,1.4921649694
10/21/2009,PVI,1.5884336233
10/22/2009,PVI,1.614688754
10/23/2009,PVI,1.5271717309
10/26/2009,PVI,1.4659098386
10/27/2009,PVI,1.3866568803
10/28/2009,PVI,1.3996163606
10/29/2009,PVI,1.3261796236
10/30/2009,PVI,1.3780173063
11/02/2009,PVI,1.2873014211
11/03/2009,PVI,1.2613825798
11/04/2009,PVI,1.2786617279
11/05/2009,PVI,1.3175400495
11/06/2009,PVI,1.3348193168
11/09/2009,PVI,1.2527430057
11/10/2009,PVI,1.2138646841
11/11/2009,PVI,1.2441034317
11/12/2009,PVI,1.3218598365
11/13/2009,PVI,1.3261796236
11/16/2009,PVI,1.3002607822
11/17/2009,PVI,1.3304995298
11/18/2009,PVI,1.3391391038
11/19/2009,PVI,1.3304995298
11/20/2009,PVI,1.360738039
11/23/2009,PVI,1.3089004755
11/24/2009,PVI,1.2570627927
11/25/2009,PVI,1.1793062686
11/26/2009,PVI,1.0972300767
11/27/2009,PVI,1.0626716613
11/30/2009,PVI,1.1015497446
12/01/2009,PVI,1.1706668138
12/02/2009,PVI,1.1188290119
12/03/2009,PVI,1.0929102897
12/04/2009,PVI,1.0885905027
12/07/2009,PVI,1.1274687051
12/08/2009,PVI,1.0972300767
12/09/2009,PVI,1.045392394
12/10/2009,PVI,1.03675282
12/11/2009,PVI,0.9978745579
12/14/2009,PVI,1.0324329137
12/15/2009,PVI,1.045392394
12/16/2009,PVI,0.9978745579
12/17/2009,PVI,0.9762755632
12/18/2009,PVI,1.03675282
12/21/2009,PVI,1.1015497446
12/22/2009,PVI,1.1015497446
12/23/2009,PVI,1.1620271205
12/24/2009,PVI,1.2311439514
12/25/2009,PVI,1.2527430057
12/28/2009,PVI,1.2181845903
12/29/2009,PVI,1.2138646841
12/30/2009,PVI,1.2225043773
12/31/2009,PVI,1.1793062686
01/04/2010,PVI,1.2441034317
01/05/2010,PVI,1.3218598365
01/06/2010,PVI,1.2613825798
01/07/2010,PVI,1.2441034317
01/08/2010,PVI,1.2354637384
01/11/2010,PVI,1.2225043773
01/12/2010,PVI,1.1706668138
01/13/2010,PVI,1.1620271205
01/14/2010,PVI,1.200905323
01/15/2010,PVI,1.1706668138
01/18/2010,PVI,1.1231487989
01/19/2010,PVI,1.1274687051
01/20/2010,PVI,1.1231487989
01/21/2010,PVI,1.0756310224
01/22/2010,PVI,1.0799509286
01/25/2010,PVI,1.0669914484
01/26/2010,PVI,1.1145092248
01/27/2010,PVI,1.1058696508
01/28/2010,PVI,1.0620850324
01/29/2010,PVI,1.0663505792
02/01/2010,PVI,1.0663505792
02/02/2010,PVI,1.0620850324
02/03/2010,PVI,1.057819724
02/04/2010,PVI,1.0663505792
02/05/2010,PVI,1.0620850324
02/08/2010,PVI,1.0748813152
02/09/2010,PVI,1.0663505792
02/10/2010,PVI,1.0706160068
02/11/2010,PVI,1.0748813152
02/12/2010,PVI,1.1090044975
02/22/2010,PVI,1.1175353527
02/23/2010,PVI,1.0706160068
02/24/2010,PVI,1.0706160068
02/25/2010,PVI,1.0748813152
02/26/2010,PVI,1.0748813152
03/01/2010,PVI,1.1218007802
03/02/2010,PVI,1.1260660886
03/03/2010,PVI,1.151658535
03/04/2010,PVI,1.1815164089
03/05/2010,PVI,1.1559239625
03/08/2010,PVI,1.1687201261
03/09/2010,PVI,1.2113741636
03/10/2010,PVI,1.2071088552
03/11/2010,PVI,1.2028434276
03/12/2010,PVI,1.2284358739
03/15/2010,PVI,1.2241704463
03/16/2010,PVI,1.1687201261
03/17/2010,PVI,1.1345969438
03/18/2010,PVI,1.1473931074
03/19/2010,PVI,1.1601893901
03/22/2010,PVI,1.1601893901
03/23/2010,PVI,1.1303315162
03/24/2010,PVI,1.1388623714
03/25/2010,PVI,1.1047390699
03/26/2010,PVI,1.1175353527
03/29/2010,PVI,1.1175353527
03/30/2010,PVI,1.1090044975
03/31/2010,PVI,1.1687201261
04/01/2010,PVI,1.2497628927
04/02/2010,PVI,1.3180092573
04/05/2010,PVI,1.2881513833
04/06/2010,PVI,1.2753552198
04/07/2010,PVI,1.2838859558
04/08/2010,PVI,1.2924169301
04/09/2010,PVI,1.262558937
04/12/2010,PVI,1.2412319183
04/13/2010,PVI,1.2540282011
04/14/2010,PVI,1.2838859558
04/15/2010,PVI,1.3009476661
04/16/2010,PVI,1.5489807128
04/19/2010,PVI,1.6526299715
04/20/2010,PVI,1.7044546604
04/21/2010,PVI,1.6583883762
04/22/2010,PVI,1.6583883762
04/26/2010,PVI,1.6353551149
04/27/2010,PVI,1.6411135196
04/28/2010,PVI,1.6295969486
04/29/2010,PVI,1.6353551149
05/04/2010,PVI,1.6756632328
05/05/2010,PVI,1.6468718051
05/06/2010,PVI,1.6986963748
05/07/2010,PVI,1.6871798038
05/10/2010,PVI,1.6411135196
05/11/2010,PVI,1.7390043735
05/12/2010,PVI,1.6353551149
05/13/2010,PVI,1.5892887115
05/14/2010,PVI,1.5547391176
05/17/2010,PVI,1.5374641418
05/18/2010,PVI,1.4683647155
05/19/2010,PVI,1.4107817411
05/20/2010,PVI,1.3992650508
05/21/2010,PVI,1.3935068845
05/24/2010,PVI,1.4395732879
05/25/2010,PVI,1.4395732879
05/26/2010,PVI,1.4568481445
05/27/2010,PVI,1.4453314542
05/28/2010,PVI,1.5029144287
05/31/2010,PVI,1.451089859
06/01/2010,PVI,1.4338149116
06/02/2010,PVI,1.4395732044
06/03/2010,PVI,1.4683646685
06/04/2010,PVI,1.4144405945
06/07/2010,PVI,1.3992651547
06/08/2010,PVI,1.3587539569
06/09/2010,PVI,1.3865972757
06/10/2010,PVI,1.3921659394
06/11/2010,PVI,1.4144405945
06/14/2010,PVI,1.425577922
06/15/2010,PVI,1.4311465857
06/16/2010,PVI,1.4311465857
06/17/2010,PVI,1.3921659394
06/18/2010,PVI,1.4589899045
06/21/2010,PVI,1.5035392146
06/22/2010,PVI,1.4645585683
06/23/2010,PVI,1.447852577
06/24/2010,PVI,1.4311465857
06/25/2010,PVI,1.3977346032
06/28/2010,PVI,1.4566585488
06/29/2010,PVI,1.5140073106
06/30/2010,PVI,1.5426816915
07/01/2010,PVI,1.5025375582
07/02/2010,PVI,1.4853329297
07/05/2010,PVI,1.4853329297
07/06/2010,PVI,1.4681283012
07/07/2010,PVI,1.4451887964
07/08/2010,PVI,1.4451887964
07/09/2010,PVI,1.4509236726
07/12/2010,PVI,1.4681283012
07/13/2010,PVI,1.496802682
07/14/2010,PVI,1.4910678059
07/15/2010,PVI,1.4738631773
07/16/2010,PVI,1.4681283012
07/19/2010,PVI,1.4566585488
07/20/2010,PVI,1.4509236726
07/21/2010,PVI,1.5905240191
07/22/2010,PVI,1.5587135387
07/23/2010,PVI,1.5650756348
07/26/2010,PVI,1.5587135387
07/27/2010,PVI,1.5459893465
07/28/2010,PVI,1.5141788662
07/29/2010,PVI,1.5078167701
07/30/2010,PVI,1.5141788662
08/02/2010,PVI,1.5141788662
08/03/2010,PVI,1.077825234
08/04/2010,PVI,1.0506531692
08/05/2010,PVI,1.0461244918
08/06/2010,PVI,1.0415958143
08/09/2010,PVI,1.0144237496
08/10/2010,PVI,0.9691369751
08/11/2010,PVI,0.97819433
08/12/2010,PVI,0.9419649103
08/13/2010,PVI,0.9329075554
08/16/2010,PVI,0.9872516849
08/17/2010,PVI,0.9827230074
08/18/2010,PVI,0.9555509427
08/19/2010,PVI,0.9419649103
08/20/2010,PVI,0.9374362329
08/23/2010,PVI,0.9419649103
08/24/2010,PVI,0.8921494583
08/25/2010,PVI,0.8378053289
08/26/2010,PVI,0.8242192965
08/27/2010,PVI,0.8242192965
08/30/2010,PVI,0.878563426
08/31/2010,PVI,0.8921494583
09/01/2010,PVI,0.9057354907
