date,ticker,value
10/26/2010,ARM,1.5981278654
10/27/2010,ARM,1.7046697231
10/28/2010,ARM,1.7614920472
10/29/2010,ARM,1.6407446085
11/01/2010,ARM,1.5555111224
11/02/2010,ARM,1.4560720552
11/03/2010,ARM,1.356632988
11/04/2010,ARM,1.2713995018
11/05/2010,ARM,1.2074743872
11/08/2010,ARM,1.2500911303
11/09/2010,ARM,1.2216799682
11/10/2010,ARM,1.1648576441
11/11/2010,ARM,1.1151381105
11/12/2010,ARM,1.0441102054
11/15/2010,ARM,0.9730823003
11/16/2010,ARM,0.9162599762
11/17/2010,ARM,0.9162599762
11/18/2010,ARM,0.9659795098
11/19/2010,ARM,0.9588767192
11/22/2010,ARM,0.8949516046
11/23/2010,ARM,0.9233627667
11/24/2010,ARM,0.9801850908
11/25/2010,ARM,1.0228018339
11/26/2010,ARM,0.9588767192
11/29/2010,ARM,1.0156990433
11/30/2010,ARM,1.0228018339
12/01/2010,ARM,0.9943906718
12/02/2010,ARM,1.0299046244
12/03/2010,ARM,1.0654185769
12/06/2010,ARM,1.0299046244
12/07/2010,ARM,1.0228018339
12/08/2010,ARM,0.9659795098
12/09/2010,ARM,0.9659795098
12/10/2010,ARM,0.9659795098
12/13/2010,ARM,1.0228018339
12/14/2010,ARM,1.0085962528
12/15/2010,ARM,1.0654185769
12/16/2010,ARM,0.9943906718
12/17/2010,ARM,0.9810287104
12/20/2010,ARM,0.9333398147
12/21/2010,ARM,0.9333398147
12/22/2010,ARM,0.9878414098
12/23/2010,ARM,0.9878414098
12/24/2010,ARM,0.9469652135
12/27/2010,ARM,0.9537779129
12/28/2010,ARM,0.9060890172
12/29/2010,ARM,0.919714416
12/30/2010,ARM,0.919714416
12/31/2010,ARM,0.919714416
01/04/2011,ARM,0.9401525141
01/05/2011,ARM,0.9469652135
01/06/2011,ARM,0.9469652135
01/07/2011,ARM,0.9537779129
01/10/2011,ARM,0.9129017166
01/11/2011,ARM,0.865212821
01/12/2011,ARM,0.919714416
01/13/2011,ARM,0.9810287104
01/14/2011,ARM,0.974216011
01/17/2011,ARM,0.9878414098
01/18/2011,ARM,0.9537779129
01/19/2011,ARM,0.974216011
01/20/2011,ARM,0.9537779129
01/21/2011,ARM,0.9674033116
01/24/2011,ARM,0.9537779129
01/25/2011,ARM,0.8992763178
01/26/2011,ARM,0.9605906122
01/27/2011,ARM,0.9946541091
01/28/2011,ARM,0.9946541091
02/08/2011,ARM,0.9537779129
02/09/2011,ARM,0.9537779129
02/10/2011,ARM,0.9073831057
02/11/2011,ARM,0.9203457215
02/14/2011,ARM,0.9268270294
02/15/2011,ARM,0.8944204899
02/16/2011,ARM,0.8490513346
02/17/2011,ARM,0.9073831057
02/18/2011,ARM,0.9203457215
02/21/2011,ARM,0.8684952583
02/22/2011,ARM,0.8684952583
02/23/2011,ARM,0.8620139504
02/24/2011,ARM,0.8166447951
02/25/2011,ARM,0.8360887188
02/28/2011,ARM,0.8944204899
03/01/2011,ARM,0.952752261
03/02/2011,ARM,0.9009017978
03/03/2011,ARM,0.8684952583
03/04/2011,ARM,0.8684952583
03/07/2011,ARM,0.9268270294
03/08/2011,ARM,0.9851588005
03/09/2011,ARM,1.0305279558
03/10/2011,ARM,0.9592335689
03/11/2011,ARM,0.8944204899
03/14/2011,ARM,0.9009017978
03/15/2011,ARM,0.9592335689
03/16/2011,ARM,0.9592335689
03/17/2011,ARM,0.8944204899
03/18/2011,ARM,0.8749765662
03/21/2011,ARM,0.8814578741
03/22/2011,ARM,0.8749765662
