date,ticker,value
06/12/2009,SFN,0.997359395
06/15/2009,SFN,1.1408151388
06/16/2009,SFN,1.1066590547
06/17/2009,SFN,1.1066590547
06/18/2009,SFN,1.0998277664
06/19/2009,SFN,1.1408151388
06/22/2009,SFN,1.0656716823
06/23/2009,SFN,1.0656716823
06/24/2009,SFN,1.0656716823
06/25/2009,SFN,0.997359395
06/26/2009,SFN,1.0520092248
06/29/2009,SFN,0.9836969375
06/30/2009,SFN,0.9836969375
07/01/2009,SFN,0.867566049
07/02/2009,SFN,0.867566049
07/03/2009,SFN,0.9495407938
07/06/2009,SFN,1.0110218524
07/07/2009,SFN,1.0725028514
07/08/2009,SFN,1.031515479
07/09/2009,SFN,1.0861653089
07/10/2009,SFN,1.1066590547
07/13/2009,SFN,1.0383467674
07/14/2009,SFN,1.1066590547
07/15/2009,SFN,1.1066590547
07/16/2009,SFN,1.1613088846
07/17/2009,SFN,1.0861653089
07/20/2009,SFN,1.1203215122
07/21/2009,SFN,1.1339839696
07/22/2009,SFN,1.1476464271
07/23/2009,SFN,1.1058740615
07/24/2009,SFN,1.1519521474
07/27/2009,SFN,1.0992914438
07/28/2009,SFN,1.0334656238
07/29/2009,SFN,1.026883006
07/30/2009,SFN,1.0137178897
07/31/2009,SFN,1.0795437097
08/03/2009,SFN,1.0795437097
08/04/2009,SFN,1.0729610919
08/05/2009,SFN,1.0992914438
08/06/2009,SFN,1.0663785934
08/07/2009,SFN,1.0795437097
08/10/2009,SFN,1.0861263275
08/11/2009,SFN,1.0992914438
08/12/2009,SFN,1.0795437097
08/13/2009,SFN,1.0532133579
08/14/2009,SFN,1.0663785934
08/17/2009,SFN,1.0597959756
08/18/2009,SFN,1.0532133579
08/19/2009,SFN,1.0663785934
08/20/2009,SFN,1.0597959756
08/21/2009,SFN,1.0663785934
08/24/2009,SFN,1.0663785934
08/25/2009,SFN,1.5831935405
08/26/2009,SFN,1.0729610919
08/27/2009,SFN,1.0729610919
08/28/2009,SFN,1.0795437097
08/31/2009,SFN,1.1519521474
09/01/2009,SFN,1.165117383
09/03/2009,SFN,1.165117383
09/04/2009,SFN,1.1519521474
09/07/2009,SFN,1.1124566793
09/08/2009,SFN,1.1190392971
09/09/2009,SFN,1.1322044134
09/10/2009,SFN,1.165117383
09/11/2009,SFN,1.184865117
09/14/2009,SFN,1.2111954689
09/15/2009,SFN,1.2177779674
09/16/2009,SFN,1.2572735548
09/17/2009,SFN,1.2704386711
09/18/2009,SFN,1.2638560533
09/21/2009,SFN,1.2638560533
09/22/2009,SFN,1.3428471088
09/23/2009,SFN,1.4284206628
09/24/2009,SFN,1.5074115991
09/25/2009,SFN,1.6061503887
09/28/2009,SFN,1.579820156
09/29/2009,SFN,1.5008291006
09/30/2009,SFN,1.4810813665
10/01/2009,SFN,1.5074115991
10/02/2009,SFN,1.4086729288
10/05/2009,SFN,1.3955076932
10/06/2009,SFN,1.4284206628
10/07/2009,SFN,1.467916131
10/08/2009,SFN,1.4218380451
10/09/2009,SFN,1.4218380451
10/12/2009,SFN,1.5008291006
10/13/2009,SFN,1.553489685
10/14/2009,SFN,1.5469071865
10/15/2009,SFN,1.6324806213
10/16/2009,SFN,1.7443846464
10/19/2009,SFN,1.86287117
10/20/2009,SFN,1.9813576936
10/21/2009,SFN,1.8562885522
10/22/2009,SFN,1.777297616
10/23/2009,SFN,1.7246369123
10/26/2009,SFN,1.6785588264
10/27/2009,SFN,1.5786448717
10/28/2009,SFN,1.6538183689
10/29/2009,SFN,1.6162315607
10/30/2009,SFN,1.6538183689
11/02/2009,SFN,1.5410580635
11/03/2009,SFN,1.4408265352
11/04/2009,SFN,1.3907109498
11/05/2009,SFN,1.4596199989
11/06/2009,SFN,1.5285290479
11/09/2009,SFN,1.4220331907
11/10/2009,SFN,1.3343306779
11/11/2009,SFN,1.3531241416
11/12/2009,SFN,1.4157687425
11/13/2009,SFN,1.365653038
11/16/2009,SFN,1.365653038
11/17/2009,SFN,1.365653038
11/18/2009,SFN,1.3844465017
11/19/2009,SFN,1.434562087
11/20/2009,SFN,1.4095042943
11/23/2009,SFN,1.3593885898
11/24/2009,SFN,1.3280662298
11/25/2009,SFN,1.2716860771
11/26/2009,SFN,1.1902480125
11/27/2009,SFN,1.140132308
11/30/2009,SFN,1.2153059244
12/01/2009,SFN,1.2904794216
12/02/2009,SFN,1.365653038
12/03/2009,SFN,1.2842150926
12/04/2009,SFN,1.2528927326
12/07/2009,SFN,1.2842150926
12/08/2009,SFN,1.2090414762
12/09/2009,SFN,1.1276034116
12/10/2009,SFN,1.0649588108
12/11/2009,SFN,1.0273720026
12/14/2009,SFN,1.0900167226
12/15/2009,SFN,1.0962810516
12/16/2009,SFN,1.0774877071
12/17/2009,SFN,1.0900167226
12/18/2009,SFN,1.1276034116
12/21/2009,SFN,1.1902480125
12/22/2009,SFN,1.133867979
12/23/2009,SFN,1.1589257717
12/24/2009,SFN,1.1777192354
12/25/2009,SFN,1.1965125799
12/28/2009,SFN,1.1902480125
12/29/2009,SFN,1.1526613235
12/30/2009,SFN,1.1902480125
12/31/2009,SFN,1.171454668
01/04/2010,SFN,1.2278348207
01/05/2010,SFN,1.3030084371
01/06/2010,SFN,1.3593885898
01/07/2010,SFN,1.3468596935
