date,ticker,value
11/23/2009,HDO,0.0
11/26/2009,HDO,0.0
11/30/2009,HDO,0.0
12/02/2009,HDO,0.0
12/09/2009,HDO,0.0
12/15/2009,HDO,0.0
12/23/2009,HDO,0.0
01/05/2010,HDO,0.0
01/11/2010,HDO,0.0
01/13/2010,HDO,0.0
01/14/2010,HDO,0.0
01/26/2010,HDO,0.0
01/27/2010,HDO,0.0
02/05/2010,HDO,0.0
03/01/2010,HDO,0.0
03/02/2010,HDO,0.0
03/03/2010,HDO,0.0
03/04/2010,HDO,0.0
03/05/2010,HDO,0.0
03/08/2010,HDO,0.0
03/09/2010,HDO,0.0
03/10/2010,HDO,0.0
03/11/2010,HDO,0.0
03/12/2010,HDO,0.0
03/15/2010,HDO,0.0
03/16/2010,HDO,0.0
03/17/2010,HDO,0.0
03/18/2010,HDO,0.0
03/19/2010,HDO,0.0
03/22/2010,HDO,0.0
03/23/2010,HDO,0.0
03/24/2010,HDO,0.0
03/26/2010,HDO,0.0
03/29/2010,HDO,0.0
03/30/2010,HDO,0.0
03/31/2010,HDO,0.0
04/01/2010,HDO,0.0
04/02/2010,HDO,0.0
04/05/2010,HDO,0.0
04/06/2010,HDO,0.0
04/07/2010,HDO,0.0
04/08/2010,HDO,0.0
04/09/2010,HDO,0.0
04/12/2010,HDO,0.0
04/13/2010,HDO,0.0
04/14/2010,HDO,0.0
04/15/2010,HDO,0.0
04/16/2010,HDO,0.0
04/19/2010,HDO,0.0
04/20/2010,HDO,0.0
04/21/2010,HDO,0.0
04/22/2010,HDO,0.0
04/26/2010,HDO,0.0
04/27/2010,HDO,0.0
04/28/2010,HDO,0.0
04/29/2010,HDO,0.0
05/04/2010,HDO,0.0
05/05/2010,HDO,0.0
05/06/2010,HDO,0.0
05/07/2010,HDO,0.0
05/10/2010,HDO,0.0
05/11/2010,HDO,0.0
05/12/2010,HDO,0.0
05/13/2010,HDO,0.0
05/14/2010,HDO,0.0
05/17/2010,HDO,0.0
05/18/2010,HDO,0.0
05/19/2010,HDO,0.0
05/20/2010,HDO,0.0
05/21/2010,HDO,0.0
05/25/2010,HDO,0.0
05/26/2010,HDO,0.0
05/27/2010,HDO,0.0
05/28/2010,HDO,0.0
05/31/2010,HDO,0.0
06/01/2010,HDO,0.0
06/02/2010,HDO,0.0
06/03/2010,HDO,0.0
06/07/2010,HDO,0.0
06/08/2010,HDO,0.0
06/10/2010,HDO,0.0
06/17/2010,HDO,1.8463323652
06/18/2010,HDO,1.788114678
06/21/2010,HDO,1.7465306157
06/22/2010,HDO,1.7049465535
06/23/2010,HDO,1.8130651154
06/24/2010,HDO,1.9378173022
06/25/2010,HDO,2.0376190517
06/28/2010,HDO,1.9211836773
06/29/2010,HDO,1.9045500524
06/30/2010,HDO,1.8047483029
07/01/2010,HDO,1.788114678
07/02/2010,HDO,1.8380155528
07/05/2010,HDO,1.9461341147
07/06/2010,HDO,1.9378173022
07/07/2010,HDO,1.8879164275
07/08/2010,HDO,1.8712828026
07/09/2010,HDO,1.9295004898
07/12/2010,HDO,1.9710845521
07/13/2010,HDO,2.0043518019
07/14/2010,HDO,2.0209854268
07/15/2010,HDO,2.1291039887
07/16/2010,HDO,2.2538561756
07/19/2010,HDO,2.3952419873
07/20/2010,HDO,2.5615782365
07/21/2010,HDO,2.5698950489
07/22/2010,HDO,2.5449446115
07/23/2010,HDO,2.6197959236
07/26/2010,HDO,2.8027657977
07/27/2010,HDO,2.9857356717
07/28/2010,HDO,2.9108843596
07/29/2010,HDO,2.7279144856
07/30/2010,HDO,2.6613799859
08/02/2010,HDO,2.5449446115
08/03/2010,HDO,2.4534596745
08/04/2010,HDO,2.4784101119
08/05/2010,HDO,2.4950437368
08/06/2010,HDO,2.4451428621
08/09/2010,HDO,2.3037570503
08/10/2010,HDO,2.1457376136
08/11/2010,HDO,2.1873216759
08/12/2010,HDO,2.1623712386
08/13/2010,HDO,2.2039553008
08/16/2010,HDO,2.3287074877
08/17/2010,HDO,2.2538561756
08/18/2010,HDO,2.170688051
08/19/2010,HDO,2.1873216759
08/20/2010,HDO,2.1623712386
08/23/2010,HDO,2.1124703638
08/24/2010,HDO,1.9794013645
08/25/2010,HDO,1.8463323652
08/26/2010,HDO,1.7548474282
08/27/2010,HDO,1.6550456787
08/30/2010,HDO,1.7548474282
08/31/2010,HDO,1.8629659901
09/01/2010,HDO,1.9544509272
09/06/2010,HDO,2.0875199265
09/07/2010,HDO,2.1124703638
09/08/2010,HDO,2.0043518019
09/09/2010,HDO,2.1291039887
09/10/2010,HDO,2.1207871763
09/13/2010,HDO,2.1041535514
09/14/2010,HDO,2.2039553008
09/15/2010,HDO,2.079203114
09/16/2010,HDO,2.1540544261
09/17/2010,HDO,2.2205889258
09/20/2010,HDO,2.2205889258
09/21/2010,HDO,2.2289057382
09/22/2010,HDO,2.1540544261
09/23/2010,HDO,2.0542526766
09/24/2010,HDO,2.0542526766
09/27/2010,HDO,2.0708863015
09/28/2010,HDO,2.0958367389
09/29/2010,HDO,2.1041535514
09/30/2010,HDO,2.0542526766
10/01/2010,HDO,2.0625694891
10/04/2010,HDO,1.9378173022
10/05/2010,HDO,1.987718177
10/06/2010,HDO,2.0542526766
10/07/2010,HDO,2.0043518019
10/08/2010,HDO,2.0424009192
10/11/2010,HDO,1.9562236652
10/12/2010,HDO,2.05963637
10/13/2010,HDO,1.9906945668
10/14/2010,HDO,1.9993122922
10/15/2010,HDO,1.9131350382
10/18/2010,HDO,1.7924868827
10/19/2010,HDO,1.8700464113
10/20/2010,HDO,1.8183400589
10/21/2010,HDO,1.8528109605
10/22/2010,HDO,1.9476059398
10/25/2010,HDO,2.0251654684
10/26/2010,HDO,2.0251654684
10/27/2010,HDO,1.9045173128
10/28/2010,HDO,1.7752514319
10/29/2010,HDO,1.7063096287
11/01/2010,HDO,1.6890741779
11/02/2010,HDO,1.5942791985
11/03/2010,HDO,1.5253373953
11/04/2010,HDO,1.4908664938
11/05/2010,HDO,1.5598082969
11/08/2010,HDO,1.5511905715
11/09/2010,HDO,1.4908664938
11/10/2010,HDO,1.5081019446
11/11/2010,HDO,1.5081019446
11/12/2010,HDO,1.4822487684
11/15/2010,HDO,1.4908664938
11/16/2010,HDO,1.4477778668
11/17/2010,HDO,1.4822487684
11/18/2010,HDO,1.5339551207
11/19/2010,HDO,1.5425728461
11/22/2010,HDO,1.5339551207
11/23/2010,HDO,1.5167196699
11/24/2010,HDO,1.6028969239
11/25/2010,HDO,1.7149273541
