date,ticker,value
06/15/2018,HAV,0.6221319273
06/18/2018,HAV,0.5332559377
06/19/2018,HAV,0.5865815314
06/20/2018,HAV,0.5154807397
06/21/2018,HAV,0.5154807397
06/22/2018,HAV,0.4591333623
06/25/2018,HAV,0.4404694045
06/26/2018,HAV,0.4644659217
06/27/2018,HAV,0.4900622067
06/28/2018,HAV,0.5688063335
06/29/2018,HAV,0.5688063335
07/02/2018,HAV,0.5688063335
07/03/2018,HAV,0.5688063335
07/04/2018,HAV,0.5688063335
07/05/2018,HAV,0.5688063335
07/06/2018,HAV,0.5688063335
07/09/2018,HAV,0.5688063335
07/10/2018,HAV,0.5688063335
07/11/2018,HAV,0.5688063335
07/12/2018,HAV,0.5688063335
07/13/2018,HAV,0.5688063335
02/24/2009,VDL,1.2284142971
04/10/2009,VDL,1.1878226995
04/13/2009,VDL,1.265712738
04/14/2009,VDL,1.2284142971
04/15/2009,VDL,1.2527310848
04/17/2009,VDL,1.2527310848
04/20/2009,VDL,1.1641263961
04/21/2009,VDL,1.1641263961
04/22/2009,VDL,1.1641263961
04/23/2009,VDL,1.1641263961
04/24/2009,VDL,1.2449684143
04/27/2009,VDL,1.2449684143
04/28/2009,VDL,1.2449684143
04/29/2009,VDL,1.3258105516
05/04/2009,VDL,1.2934737205
05/05/2009,VDL,1.2934737205
05/06/2009,VDL,1.2934737205
05/07/2009,VDL,1.3258105516
05/08/2009,VDL,1.2902400493
05/11/2009,VDL,1.3872505426
05/12/2009,VDL,1.3872505426
05/13/2009,VDL,1.3904842138
05/14/2009,VDL,1.3581473827
05/15/2009,VDL,1.3581473827
05/18/2009,VDL,1.2967073917
05/19/2009,VDL,1.3419790267
05/20/2009,VDL,1.2934737205
05/21/2009,VDL,1.2934737205
05/22/2009,VDL,1.1984529495
05/25/2009,VDL,1.1984529495
05/26/2009,VDL,1.2014490365
05/27/2009,VDL,1.2014490365
05/28/2009,VDL,1.1445225477
05/29/2009,VDL,1.1984529495
06/01/2009,VDL,1.2284142971
06/02/2009,VDL,1.2583755254
06/03/2009,VDL,1.2284142971
06/04/2009,VDL,1.3123059272
06/05/2009,VDL,1.3812170028
06/08/2009,VDL,1.4770932197
06/09/2009,VDL,1.5310236215
06/10/2009,VDL,1.4651087522
06/11/2009,VDL,1.5759656429
06/12/2009,VDL,1.5759656429
06/15/2009,VDL,1.5370159149
06/16/2009,VDL,1.4321511983
06/17/2009,VDL,1.3362749814
06/18/2009,VDL,1.4231628179
06/19/2009,VDL,1.3302826881
06/22/2009,VDL,1.3842130899
06/23/2009,VDL,1.3932014703
06/24/2009,VDL,1.3932014703
06/25/2009,VDL,1.4411395788
06/26/2009,VDL,1.3812170028
06/29/2009,VDL,1.3842130899
06/30/2009,VDL,1.3842130899
07/01/2009,VDL,1.4711009263
07/02/2009,VDL,1.4711009263
07/03/2009,VDL,1.4171705245
07/06/2009,VDL,1.4950699806
07/07/2009,VDL,1.4201667308
07/08/2009,VDL,1.4471318721
07/09/2009,VDL,1.4441357851
07/10/2009,VDL,1.4441357851
07/13/2009,VDL,1.4441357851
07/14/2009,VDL,1.4351474046
07/15/2009,VDL,1.4351474046
07/16/2009,VDL,1.4081821441
07/17/2009,VDL,1.4081821441
07/20/2009,VDL,1.4081821441
07/21/2009,VDL,1.4081821441
07/22/2009,VDL,1.3812170028
07/23/2009,VDL,1.3812170028
07/24/2009,VDL,1.4381434917
07/27/2009,VDL,1.4381434917
07/28/2009,VDL,1.4381434917
07/29/2009,VDL,1.3482595682
07/30/2009,VDL,1.423633337
07/31/2009,VDL,1.3318880796
08/03/2009,VDL,1.2907608747
08/04/2009,VDL,1.3445425033
08/05/2009,VDL,1.3825061321
08/06/2009,VDL,1.4774149656
08/07/2009,VDL,1.4774149656
08/10/2009,VDL,1.4774149656
08/11/2009,VDL,1.4774149656
08/12/2009,VDL,1.4742513895
08/13/2009,VDL,1.4805786609
08/14/2009,VDL,1.4805786609
08/17/2009,VDL,1.483742237
08/18/2009,VDL,1.4710876941
08/19/2009,VDL,1.4710876941
08/20/2009,VDL,1.4805786609
08/21/2009,VDL,1.4869059324
08/24/2009,VDL,1.4900695085
08/25/2009,VDL,4.6549582481
08/26/2009,VDL,1.4963968992
08/27/2009,VDL,1.483742237
08/28/2009,VDL,1.5153785943
08/31/2009,VDL,1.5596693754
09/01/2009,VDL,1.6324328184
09/03/2009,VDL,1.6229419708
09/04/2009,VDL,1.6039601564
09/07/2009,VDL,1.5501785278
09/08/2009,VDL,1.5659966468
09/09/2009,VDL,1.5849784612
09/10/2009,VDL,1.5976328849
09/11/2009,VDL,1.5944693088
09/14/2009,VDL,1.5944693088
09/15/2009,VDL,1.6134511232
09/16/2009,VDL,1.641839981
09/17/2009,VDL,1.7280844449
09/18/2009,VDL,1.8143289089
09/21/2009,VDL,1.811134696
09/22/2009,VDL,1.9197388887
09/23/2009,VDL,1.8143289089
09/24/2009,VDL,1.8526599407
09/25/2009,VDL,1.9389044046
09/28/2009,VDL,2.0379257202
09/29/2009,VDL,2.0059833526
09/30/2009,VDL,1.9676526784
10/01/2009,VDL,2.0762565135
10/02/2009,VDL,2.1241703033
10/05/2009,VDL,1.990012288
10/06/2009,VDL,1.8718252182
10/07/2009,VDL,1.9357100725
10/08/2009,VDL,2.48959136
10/09/2009,VDL,2.4953410625
10/12/2009,VDL,2.5643367767
10/13/2009,VDL,2.5528373718
10/14/2009,VDL,2.6505811214
10/15/2009,VDL,2.6793293952
10/16/2009,VDL,2.7540748119
10/19/2009,VDL,2.6563310623
10/20/2009,VDL,2.7195768356
10/21/2009,VDL,2.6620805263
10/22/2009,VDL,2.5413382053
10/23/2009,VDL,2.4665927886
10/26/2009,VDL,2.5700864791
10/27/2009,VDL,2.293608427
10/28/2009,VDL,2.3095731735
10/29/2009,VDL,2.2563574314
10/30/2009,VDL,2.4053621292
11/02/2009,VDL,2.3468246459
11/03/2009,VDL,2.2084629535
11/04/2009,VDL,2.3574676513
11/05/2009,VDL,2.3148949146
11/06/2009,VDL,2.4532563686
11/09/2009,VDL,2.2882869243
11/10/2009,VDL,2.3468246459
11/11/2009,VDL,2.3308596611
11/12/2009,VDL,2.3893971443
11/13/2009,VDL,2.2510356903
11/16/2009,VDL,2.3893971443
11/17/2009,VDL,2.3521461486
11/18/2009,VDL,2.4266486167
11/19/2009,VDL,2.4905076026
11/20/2009,VDL,2.4692211151
11/23/2009,VDL,2.4692211151
