date,ticker,value
01/22/2010,CMG,3.3095068931
01/25/2010,CMG,3.148759365
01/26/2010,CMG,2.9974677562
01/27/2010,CMG,2.8556315898
01/28/2010,CMG,2.4296591281
01/29/2010,CMG,2.3111391067
02/01/2010,CMG,2.3111391067
02/02/2010,CMG,2.218016386
02/03/2010,CMG,2.3280704021
02/04/2010,CMG,2.3365364074
02/05/2010,CMG,2.2349476814
02/08/2010,CMG,2.2010848522
02/09/2010,CMG,2.1248936653
02/10/2010,CMG,2.2010848522
02/11/2010,CMG,2.2349476814
02/12/2010,CMG,2.2010848522
02/22/2010,CMG,2.2772762775
02/23/2010,CMG,2.2010848522
02/24/2010,CMG,2.2518789768
02/25/2010,CMG,2.1587562561
02/26/2010,CMG,2.0740993022
03/01/2010,CMG,2.0825648307
03/02/2010,CMG,2.1164276599
03/03/2010,CMG,2.1164276599
03/04/2010,CMG,2.1164276599
03/05/2010,CMG,2.0825648307
03/08/2010,CMG,2.0910305976
03/09/2010,CMG,2.0994963645
03/10/2010,CMG,2.0825648307
03/11/2010,CMG,2.0402362346
03/12/2010,CMG,2.0487022399
03/15/2010,CMG,2.0487022399
03/16/2010,CMG,2.0233049392
03/17/2010,CMG,1.9725106954
03/18/2010,CMG,2.0656335353
03/19/2010,CMG,2.0487022399
03/22/2010,CMG,1.9894419908
03/23/2010,CMG,1.9132505655
03/24/2010,CMG,1.8624563217
03/25/2010,CMG,1.8624563217
03/26/2010,CMG,1.8624563217
03/29/2010,CMG,1.8624563217
03/30/2010,CMG,1.7777992486
03/31/2010,CMG,1.8624563217
04/01/2010,CMG,1.9209669828
04/02/2010,CMG,2.0124416351
04/05/2010,CMG,2.1122319698
04/06/2010,CMG,2.1621272563
04/07/2010,CMG,2.2037067413
04/08/2010,CMG,2.2286543846
04/09/2010,CMG,2.3284449577
04/12/2010,CMG,2.4116036891
04/13/2010,CMG,2.5280258655
04/14/2010,CMG,2.6527640819
04/15/2010,CMG,2.7775020599
04/16/2010,CMG,2.6444480419
04/19/2010,CMG,2.5363416671
04/20/2010,CMG,2.6610798835
04/21/2010,CMG,2.6610798835
04/22/2010,CMG,2.5779211521
04/26/2010,CMG,2.5612893104
04/27/2010,CMG,2.4947624206
04/28/2010,CMG,2.4116036891
04/29/2010,CMG,2.4116036891
05/04/2010,CMG,2.4032878875
05/05/2010,CMG,2.3284449577
05/06/2010,CMG,2.444867134
05/07/2010,CMG,2.3450767993
05/10/2010,CMG,2.4410476684
05/11/2010,CMG,2.3746247291
05/12/2010,CMG,2.2583842277
05/13/2010,CMG,2.2666871547
05/14/2010,CMG,2.3248074054
05/17/2010,CMG,2.208566904
05/18/2010,CMG,2.1421439647
05/19/2010,CMG,2.0425093173
05/20/2010,CMG,1.9926919937
05/21/2010,CMG,1.8930573463
05/24/2010,CMG,1.9843890666
