date,ticker,value
03/11/2010,CMT,0.0
03/12/2010,CMT,0.0
03/15/2010,CMT,0.0
03/16/2010,CMT,0.0
03/17/2010,CMT,0.0
03/18/2010,CMT,0.0
03/19/2010,CMT,0.0
03/22/2010,CMT,0.0
03/23/2010,CMT,0.0
03/24/2010,CMT,0.0
03/25/2010,CMT,23.4194126129
03/26/2010,CMT,23.6248455047
03/29/2010,CMT,22.5976772308
03/30/2010,CMT,22.80311203
03/31/2010,CMT,23.2139778137
04/01/2010,CMT,24.2411460876
04/02/2010,CMT,25.2683124542
04/05/2010,CMT,26.5009136199
04/06/2010,CMT,25.2683124542
04/07/2010,CMT,26.5009136199
04/08/2010,CMT,5.4951305389
04/09/2010,CMT,5.3692879676
04/12/2010,CMT,5.1176023483
04/13/2010,CMT,4.9078645706
04/14/2010,CMT,4.9498124122
04/15/2010,CMT,4.9498124122
04/16/2010,CMT,4.7820219993
04/19/2010,CMT,4.6981267929
04/20/2010,CMT,4.6561794281
04/21/2010,CMT,4.8659172058
04/22/2010,CMT,4.8659172058
04/26/2010,CMT,4.6561794281
04/27/2010,CMT,4.6561794281
04/28/2010,CMT,4.4883890151
04/29/2010,CMT,4.6981267929
05/04/2010,CMT,4.6981267929
05/05/2010,CMT,4.5303368568
05/06/2010,CMT,4.6142315864
05/07/2010,CMT,4.5303368568
05/10/2010,CMT,4.3205986022
05/11/2010,CMT,4.2367038726
05/12/2010,CMT,4.0269656181
05/13/2010,CMT,4.0269656181
05/14/2010,CMT,3.8340072631
05/17/2010,CMT,3.6494376659
05/18/2010,CMT,3.5235950946
05/19/2010,CMT,3.4480895996
05/20/2010,CMT,3.615879774
05/21/2010,CMT,3.4397001266
05/24/2010,CMT,3.3558049201
05/25/2010,CMT,3.5235950946
05/26/2010,CMT,3.6997749805
05/27/2010,CMT,3.7333328723
05/28/2010,CMT,3.9179022312
05/31/2010,CMT,3.9011230468
06/01/2010,CMT,3.7752804769
06/02/2010,CMT,3.7752804769
06/03/2010,CMT,3.7417224282
06/04/2010,CMT,3.6997748673
06/07/2010,CMT,3.5152055996
06/08/2010,CMT,3.682995843
06/09/2010,CMT,3.7585014525
06/10/2010,CMT,3.7585014525
06/11/2010,CMT,3.8591755986
06/14/2010,CMT,4.0017973055
06/15/2010,CMT,4.0689134029
06/16/2010,CMT,4.0689134029
06/17/2010,CMT,3.9430707203
06/18/2010,CMT,3.9430707203
06/21/2010,CMT,3.9934077933
06/22/2010,CMT,3.9011231594
06/23/2010,CMT,3.8256175499
06/24/2010,CMT,3.7752804769
06/25/2010,CMT,3.6913853552
06/28/2010,CMT,3.7417224282
06/29/2010,CMT,3.7585014525
06/30/2010,CMT,3.7417224282
07/01/2010,CMT,3.6578273065
07/02/2010,CMT,3.7585014525
07/05/2010,CMT,3.7752804769
07/06/2010,CMT,3.63265877
07/07/2010,CMT,3.6242692578
07/08/2010,CMT,3.4816475509
07/09/2010,CMT,3.5655426726
07/12/2010,CMT,3.6074902335
07/13/2010,CMT,3.6158797456
07/14/2010,CMT,3.5655426726
07/15/2010,CMT,3.5235951117
07/16/2010,CMT,3.5403741361
07/19/2010,CMT,3.5235951117
07/20/2010,CMT,3.5235951117
07/21/2010,CMT,3.4564790144
07/22/2010,CMT,3.4480895022
07/23/2010,CMT,3.4145314535
07/26/2010,CMT,3.43969999
07/27/2010,CMT,3.43969999
07/28/2010,CMT,3.3558048683
07/29/2010,CMT,3.1880146249
07/30/2010,CMT,3.1880146249
08/02/2010,CMT,3.0789509667
08/03/2010,CMT,3.0202243815
08/04/2010,CMT,2.9363292598
08/05/2010,CMT,2.7937075529
08/06/2010,CMT,2.9279397476
08/09/2010,CMT,3.0034453571
08/10/2010,CMT,2.9363292598
08/11/2010,CMT,2.8943816989
08/12/2010,CMT,2.751759992
08/13/2010,CMT,2.7685390164
08/16/2010,CMT,2.8524341381
08/17/2010,CMT,2.8440446259
08/18/2010,CMT,2.8356551137
08/19/2010,CMT,2.7937075529
08/20/2010,CMT,2.7937075529
08/23/2010,CMT,2.7601495042
08/24/2010,CMT,2.7265914555
08/25/2010,CMT,2.5923592608
08/26/2010,CMT,2.4665165782
08/27/2010,CMT,2.4665165782
08/30/2010,CMT,2.5839697486
08/31/2010,CMT,2.5168536512
09/01/2010,CMT,2.6343068216
09/06/2010,CMT,2.7601495042
09/07/2010,CMT,2.7601495042
09/08/2010,CMT,2.6259173095
09/09/2010,CMT,2.6007487729
09/10/2010,CMT,2.5336326756
09/13/2010,CMT,2.5336326756
09/14/2010,CMT,2.4832956025
09/15/2010,CMT,2.4329585295
09/16/2010,CMT,2.5168536512
09/17/2010,CMT,2.5839697486
09/20/2010,CMT,2.5588012121
09/21/2010,CMT,2.5671907243
09/22/2010,CMT,2.5923592608
09/23/2010,CMT,2.5168536512
09/24/2010,CMT,2.4749060904
09/27/2010,CMT,2.4329585295
09/28/2010,CMT,2.4916851147
09/29/2010,CMT,2.4329585295
09/30/2010,CMT,2.3742319443
10/01/2010,CMT,2.2735577983
10/04/2010,CMT,2.1644941401
10/05/2010,CMT,2.2651682861
