date,ticker,value
08/19/2019,VXP,1.0012103523
08/20/2019,VXP,1.0012103523
08/21/2019,VXP,1.0012103523
08/22/2019,VXP,1.0012103523
08/23/2019,VXP,1.0012103523
08/26/2019,VXP,1.0012103523
08/27/2019,VXP,1.0012103523
08/28/2019,VXP,1.0012103523
08/29/2019,VXP,1.0012103523
08/30/2019,VXP,1.0012103523
09/03/2019,VXP,1.0012103523
09/04/2019,VXP,1.0012103523
09/05/2019,VXP,1.0012103523
09/06/2019,VXP,1.0012103523
09/09/2019,VXP,1.0012103523
09/10/2019,VXP,1.0012103523
09/11/2019,VXP,1.0012103523
09/12/2019,VXP,1.0012103523
09/13/2019,VXP,1.0012103523
09/16/2019,VXP,1.0012103523
09/17/2019,VXP,1.0012103523
09/18/2019,VXP,1.0012103523
09/19/2019,VXP,1.0012103523
09/20/2019,VXP,1.0012103523
09/23/2019,VXP,1.0012103523
09/24/2019,VXP,1.0012103523
09/25/2019,VXP,1.0012103523
09/26/2019,VXP,1.0012103523
09/27/2019,VXP,1.0012103523
09/30/2019,VXP,1.0012103523
10/01/2019,VXP,1.0012103523
10/02/2019,VXP,1.0012103523
10/03/2019,VXP,1.0012103523
10/04/2019,VXP,1.0012103523
10/07/2019,VXP,1.0012103523
10/08/2019,VXP,1.0012103523
10/09/2019,VXP,1.0012103523
10/10/2019,VXP,1.0012103523
10/11/2019,VXP,1.0012103523
10/14/2019,VXP,1.0012103523
10/15/2019,VXP,1.0012103523
10/16/2019,VXP,1.0012103523
10/17/2019,VXP,1.0012103523
10/18/2019,VXP,1.0012103523
10/21/2019,VXP,1.0012103523
10/22/2019,VXP,1.3965927844
10/23/2019,VXP,1.3965927844
10/24/2019,VXP,1.3965927844
10/25/2019,VXP,1.3965927844
10/28/2019,VXP,1.3965927844
10/29/2019,VXP,1.3965927844
10/30/2019,VXP,1.3965927844
10/31/2019,VXP,1.3965927844
11/01/2019,VXP,1.3965927844
11/04/2019,VXP,1.3965927844
11/05/2019,VXP,1.3965927844
11/06/2019,VXP,1.3965927844
11/07/2019,VXP,1.3965927844
11/08/2019,VXP,1.3965927844
11/11/2019,VXP,1.3965927844
11/12/2019,VXP,1.3965927844
11/13/2019,VXP,1.3965927844
11/14/2019,VXP,1.3965927844
11/15/2019,VXP,1.3965927844
11/18/2019,VXP,1.3965927844
11/19/2019,VXP,1.3965927844
11/20/2019,VXP,1.3965927844
11/21/2019,VXP,1.3965927844
11/22/2019,VXP,1.3965927844
11/25/2019,VXP,1.3965927844
11/26/2019,VXP,1.3965927844
11/27/2019,VXP,1.3965927844
11/28/2019,VXP,1.3965927844
11/29/2019,VXP,1.3965927844
12/02/2019,VXP,1.3965927844
12/03/2019,VXP,1.3965927844
12/04/2019,VXP,1.3965927844
12/05/2019,VXP,1.3965927844
12/06/2019,VXP,1.3965927844
12/09/2019,VXP,1.3965927844
12/10/2019,VXP,1.3965927844
12/11/2019,VXP,1.3965927844
12/12/2019,VXP,1.3965927844
12/13/2019,VXP,1.3965927844
12/16/2019,VXP,1.3965927844
12/17/2019,VXP,1.3965927844
12/18/2019,VXP,1.3965927844
12/19/2019,VXP,1.3965927844
12/20/2019,VXP,1.3965927844
12/23/2019,VXP,1.3965927844
12/24/2019,VXP,1.3965927844
12/25/2019,VXP,1.3965927844
12/26/2019,VXP,1.3965927844
12/27/2019,VXP,1.3965927844
12/30/2019,VXP,1.3965927844
12/31/2019,VXP,1.3965927844
01/02/2020,VXP,1.3965927844
01/03/2020,VXP,1.3965927844
01/06/2020,VXP,1.3965927844
01/07/2020,VXP,1.3965927844
01/08/2020,VXP,1.3965927844
01/09/2020,VXP,1.3965927844
01/10/2020,VXP,1.3965927844
01/13/2020,VXP,1.3965927844
01/14/2020,VXP,1.3965927844
01/15/2020,VXP,1.3965927844
01/16/2020,VXP,1.3965927844
01/17/2020,VXP,1.3965927844
01/20/2020,VXP,1.3965927844
01/21/2020,VXP,1.3965927844
01/22/2020,VXP,1.3965927844
01/30/2020,VXP,1.3965927844
01/31/2020,VXP,1.3965927844
02/03/2020,VXP,1.3965927844
02/04/2020,VXP,1.3965927844
02/05/2020,VXP,1.3965927844
02/06/2020,VXP,1.3965927844
02/07/2020,VXP,1.3965927844
02/10/2020,VXP,1.3965927844
02/11/2020,VXP,1.3965927844
02/12/2020,VXP,1.3965927844
02/13/2020,VXP,1.3965927844
02/14/2020,VXP,1.3965927844
02/17/2020,VXP,1.3965927844
02/18/2020,VXP,1.3965927844
02/19/2020,VXP,1.3965927844
02/20/2020,VXP,1.3965927844
02/21/2020,VXP,1.3965927844
