date,ticker,value
07/19/2011,CIG,0.8658876243
07/20/2011,CIG,0.8117715402
07/21/2011,CIG,0.7723651547
07/22/2011,CIG,0.7408400463
07/25/2011,CIG,0.709314938
07/26/2011,CIG,0.6777898296
07/27/2011,CIG,0.6462647213
07/28/2011,CIG,0.6541459984
07/29/2011,CIG,0.6322957081
08/01/2011,CIG,0.6322957081
08/02/2011,CIG,0.6006809227
08/03/2011,CIG,0.5769698336
08/04/2011,CIG,0.58487353
08/05/2011,CIG,0.58487353
08/08/2011,CIG,0.58487353
08/09/2011,CIG,0.5690661373
08/10/2011,CIG,0.5611624409
08/11/2011,CIG,0.5532587446
08/12/2011,CIG,0.5374513519
08/15/2011,CIG,0.5137402628
08/16/2011,CIG,0.4900291738
08/17/2011,CIG,0.4663180847
08/18/2011,CIG,0.4584143884
08/19/2011,CIG,0.4742217811
08/22/2011,CIG,0.4742217811
08/23/2011,CIG,0.4979328701
08/24/2011,CIG,0.4742217811
08/25/2011,CIG,0.4584143884
08/26/2011,CIG,0.4742217811
08/29/2011,CIG,0.4821254774
08/30/2011,CIG,0.4663180847
08/31/2011,CIG,0.4821254774
09/01/2011,CIG,0.4900291738
09/05/2011,CIG,0.513424115
09/06/2011,CIG,0.5045719751
09/07/2011,CIG,0.5222762549
09/08/2011,CIG,0.5311283948
09/09/2011,CIG,0.5045719751
09/12/2011,CIG,0.5045719751
09/13/2011,CIG,0.513424115
09/14/2011,CIG,0.5311283948
09/15/2011,CIG,0.5576848145
09/16/2011,CIG,0.5576848145
09/19/2011,CIG,0.5842412343
09/20/2011,CIG,0.5930933742
09/21/2011,CIG,0.5665369545
09/22/2011,CIG,0.5753890944
09/23/2011,CIG,0.5488326746
09/26/2011,CIG,0.5488326746
09/27/2011,CIG,0.5488326746
09/28/2011,CIG,0.5222762549
09/29/2011,CIG,0.5045719751
09/30/2011,CIG,0.4868676952
10/03/2011,CIG,0.5045719751
10/04/2011,CIG,0.5222762549
10/05/2011,CIG,0.5399805347
10/06/2011,CIG,0.513424115
10/07/2011,CIG,0.5222762549
10/10/2011,CIG,0.5045719751
10/11/2011,CIG,0.5222762549
10/12/2011,CIG,0.5045719751
10/13/2011,CIG,0.5222762549
10/14/2011,CIG,0.5045719751
10/17/2011,CIG,0.4868676952
10/18/2011,CIG,0.4188959066
