date,ticker,value
02/24/2009,CTC,0.9985461235
04/10/2009,CTC,0.7158162593
04/13/2009,CTC,0.7447381615
04/14/2009,CTC,0.9985461235
04/15/2009,CTC,0.7302772402
04/17/2009,CTC,0.7591990828
04/20/2009,CTC,0.75976336
04/21/2009,CTC,0.6874049305
04/22/2009,CTC,0.7235841155
04/23/2009,CTC,0.7235841155
04/24/2009,CTC,0.7235841155
04/27/2009,CTC,0.6729332804
04/28/2009,CTC,0.6801691055
04/29/2009,CTC,0.7163482904
05/04/2009,CTC,0.7235841155
05/05/2009,CTC,0.7380558252
05/06/2009,CTC,0.7380558252
05/07/2009,CTC,0.7380558252
05/08/2009,CTC,0.7742350101
05/11/2009,CTC,0.7742350101
05/12/2009,CTC,0.7814708948
05/13/2009,CTC,0.7742350101
05/14/2009,CTC,0.7742350101
05/15/2009,CTC,0.75976336
05/18/2009,CTC,0.75976336
05/19/2009,CTC,0.7959425449
05/20/2009,CTC,0.8176500797
05/21/2009,CTC,0.8538292646
05/22/2009,CTC,0.8610651493
05/25/2009,CTC,0.9044801592
05/26/2009,CTC,0.9406594038
05/27/2009,CTC,0.926187694
05/28/2009,CTC,0.9189279675
05/29/2009,CTC,0.9189279675
06/01/2009,CTC,0.9189279675
06/02/2009,CTC,0.9680309891
06/03/2009,CTC,0.9680309891
06/04/2009,CTC,0.996089816
06/05/2009,CTC,1.0732517242
06/08/2009,CTC,1.1363841295
06/09/2009,CTC,1.1925019025
06/10/2009,CTC,1.1223547458
06/11/2009,CTC,1.199516654
06/12/2009,CTC,1.199516654
06/15/2009,CTC,1.3047374486
06/16/2009,CTC,1.2626490592
06/17/2009,CTC,1.2907079458
06/18/2009,CTC,1.3748846054
06/19/2009,CTC,1.4660758972
06/22/2009,CTC,1.3818992376
06/23/2009,CTC,1.2907079458
06/24/2009,CTC,1.2907079458
06/25/2009,CTC,1.3047374486
10/26/2010,DSN,2.204495292
10/27/2010,DSN,2.0942705274
10/28/2010,DSN,1.9932311598
10/29/2010,DSN,1.9013771893
11/01/2010,DSN,1.8830063952
11/02/2010,DSN,1.9748603657
11/03/2010,DSN,2.0667143362
11/04/2010,DSN,2.1677537038
11/05/2010,DSN,2.2687930713
11/08/2010,DSN,2.3790178359
11/09/2010,DSN,2.2779784684
11/10/2010,DSN,2.3698324389
11/11/2010,DSN,2.2779784684
11/12/2010,DSN,2.3790178359
11/15/2010,DSN,2.2687930713
11/16/2010,DSN,2.2779784684
11/17/2010,DSN,2.2963492625
11/18/2010,DSN,2.1861244979
11/19/2010,DSN,2.0850851303
11/22/2010,DSN,2.1585683067
11/23/2010,DSN,2.2320514831
06/26/2009,CTC,1.3187668323
06/29/2009,CTC,1.3608551025
06/30/2009,CTC,1.3608551025
07/01/2009,CTC,1.3187668323
07/02/2009,CTC,1.3187668323
07/03/2009,CTC,1.2135460376
07/06/2009,CTC,1.2275755405
07/07/2009,CTC,1.1854871511
07/08/2009,CTC,1.199516654
07/09/2009,CTC,1.2345901727
07/10/2009,CTC,1.2766785621
07/13/2009,CTC,1.2345901727
07/14/2009,CTC,1.1925019025
07/15/2009,CTC,1.2626490592
07/16/2009,CTC,1.2135460376
07/17/2009,CTC,1.1574283838
07/20/2009,CTC,1.0942958593
07/21/2009,CTC,1.1293694972
07/22/2009,CTC,1.199516654
07/23/2009,CTC,1.199516654
07/24/2009,CTC,1.332796216
07/27/2009,CTC,1.423987627
07/28/2009,CTC,1.4053200483
07/29/2009,CTC,1.4399337768
07/30/2009,CTC,1.3568607568
07/31/2009,CTC,1.3568607568
08/03/2009,CTC,0.9622634649
08/04/2009,CTC,0.9830317497
08/05/2009,CTC,0.9899544715
08/06/2009,CTC,0.9899544715
08/07/2009,CTC,0.9899544715
08/10/2009,CTC,0.9830317497
08/11/2009,CTC,0.9830317497
11/24/2010,DSN,2.2412368802
11/25/2010,DSN,2.2228660861
11/26/2010,DSN,2.2228660861
11/29/2010,DSN,2.204495292
11/30/2010,DSN,2.3147200566
12/01/2010,DSN,2.4249448212
12/02/2010,DSN,2.4800572035
12/03/2010,DSN,2.5535403799
12/06/2010,DSN,2.571911174
12/07/2010,DSN,2.3239054536
12/08/2010,DSN,2.213680689
12/09/2010,DSN,2.2871638654
12/10/2010,DSN,2.204495292
12/13/2010,DSN,2.3147200566
12/14/2010,DSN,2.213680689
12/15/2010,DSN,2.1769391008
12/16/2010,DSN,2.0850851303
12/17/2010,DSN,1.656051623
12/20/2010,DSN,1.6271249571
12/21/2010,DSN,1.6415882901
12/22/2010,DSN,1.6632832895
12/23/2010,DSN,1.6415882901
12/24/2010,DSN,1.656051623
12/27/2010,DSN,1.6632832895
12/28/2010,DSN,1.6343566236
12/29/2010,DSN,1.6415882901
12/30/2010,DSN,1.6198932906
12/31/2010,DSN,1.6343566236
01/04/2011,DSN,1.6415882901
01/05/2011,DSN,1.6198932906
01/06/2011,DSN,1.6126616242
01/07/2011,DSN,1.6126616242
