date,ticker,value
10/13/2010,ELC,3.4797648773
10/14/2010,ELC,3.4797648773
10/15/2010,ELC,3.3215937465
10/18/2010,ELC,3.2583252942
10/19/2010,ELC,3.2899595203
10/20/2010,ELC,3.2899595203
10/21/2010,ELC,3.2899595203
10/22/2010,ELC,3.2899595203
10/25/2010,ELC,3.2899595203
10/26/2010,ELC,3.3215937465
10/27/2010,ELC,3.3215937465
10/28/2010,ELC,3.1634226157
10/29/2010,ELC,3.226691068
11/01/2010,ELC,3.2583252942
11/02/2010,ELC,3.1317883895
11/03/2010,ELC,3.1634226157
11/04/2010,ELC,3.1634226157
11/05/2010,ELC,3.1634226157
11/08/2010,ELC,3.1634226157
11/09/2010,ELC,3.1507689252
11/10/2010,ELC,3.14444208
11/11/2010,ELC,3.1317883895
11/12/2010,ELC,3.0938273182
11/15/2010,ELC,3.0938273182
11/16/2010,ELC,2.9546367231
11/17/2010,ELC,3.0368857111
11/18/2010,ELC,3.0368857111
11/19/2010,ELC,3.0368857111
11/22/2010,ELC,3.0052514849
11/23/2010,ELC,3.0242320206
11/24/2010,ELC,3.0242320206
11/25/2010,ELC,3.0242320206
11/26/2010,ELC,3.0242320206
11/29/2010,ELC,2.9862709492
11/30/2010,ELC,2.9862709492
12/01/2010,ELC,2.9736172588
12/02/2010,ELC,2.9736172588
12/03/2010,ELC,3.1001541634
12/06/2010,ELC,3.1317883895
12/07/2010,ELC,3.0811736277
12/08/2010,ELC,3.0052514849
12/09/2010,ELC,3.1064810086
12/10/2010,ELC,3.1001541634
12/13/2010,ELC,3.1001541634
12/14/2010,ELC,3.1001541634
12/15/2010,ELC,2.9736172588
12/16/2010,ELC,3.1001541634
12/17/2010,ELC,2.6347623782
12/20/2010,ELC,2.6293962634
12/21/2010,ELC,2.6186640338
12/22/2010,ELC,2.5971995745
12/23/2010,ELC,2.522073967
12/24/2010,ELC,2.5167078521
12/27/2010,ELC,2.5435384262
12/28/2010,ELC,2.4362161298
12/29/2010,ELC,2.4684128187
12/30/2010,ELC,2.3503582926
12/31/2010,ELC,2.4630467039
01/04/2011,ELC,2.58110123
01/05/2011,ELC,3.4110300057
01/06/2011,ELC,3.2404785054
01/07/2011,ELC,3.0983522551
01/10/2011,ELC,3.1054585677
01/11/2011,ELC,3.1267775052
01/12/2011,ELC,2.3946267327
01/13/2011,ELC,2.4658627682
01/14/2011,ELC,2.4823018533
01/17/2011,ELC,2.4768221583
01/18/2011,ELC,2.4110658178
01/19/2011,ELC,2.438464293
01/20/2011,ELC,2.443943988
01/21/2011,ELC,2.4494236831
01/24/2011,ELC,2.4110658178
01/25/2011,ELC,2.4001064277
01/26/2011,ELC,2.4110658178
01/27/2011,ELC,2.438464293
01/28/2011,ELC,2.5206597186
02/08/2011,ELC,2.575456669
02/09/2011,ELC,2.5206597186
02/10/2011,ELC,2.4768221583
02/11/2011,ELC,2.5590175839
02/14/2011,ELC,2.5590175839
02/15/2011,ELC,2.5206597186
02/16/2011,ELC,2.5425784988
02/17/2011,ELC,2.5425784988
02/18/2011,ELC,2.5480581938
02/21/2011,ELC,2.4220252079
02/22/2011,ELC,2.3343500872
02/23/2011,ELC,2.3562688674
02/24/2011,ELC,2.301471917
02/25/2011,ELC,2.3288703922
02/28/2011,ELC,2.2429930598
03/01/2011,ELC,2.2429930598
03/02/2011,ELC,2.1313749217
03/03/2011,ELC,2.1260597723
03/04/2011,ELC,2.1260597723
03/07/2011,ELC,2.1260597723
03/08/2011,ELC,2.1260597723
03/09/2011,ELC,2.1154294734
03/10/2011,ELC,2.1154294734
03/11/2011,ELC,2.1154294734
03/14/2011,ELC,2.1154294734
03/15/2011,ELC,2.0888537263
03/16/2011,ELC,2.0835385769
03/17/2011,ELC,2.0835385769
03/18/2011,ELC,2.0675931286
03/21/2011,ELC,2.0675931286
03/22/2011,ELC,2.0197567837
03/23/2011,ELC,2.0197567837
03/24/2011,ELC,1.9931810365
03/25/2011,ELC,1.9240840939
03/28/2011,ELC,1.9293992434
03/29/2011,ELC,1.9931810365
03/30/2011,ELC,1.9134537951
03/31/2011,ELC,1.9134537951
04/01/2011,ELC,1.8177811053
04/04/2011,ELC,1.9081386456
04/05/2011,ELC,1.9293992434
04/06/2011,ELC,2.0250719331
04/07/2011,ELC,1.9878658871
04/08/2011,ELC,2.0038113354
04/13/2011,ELC,2.0569628297
04/14/2011,ELC,2.0197567837
04/15/2011,ELC,1.9612901399
04/18/2011,ELC,1.9629052447
04/19/2011,ELC,1.9629052447
04/20/2011,ELC,1.9629052447
04/21/2011,ELC,1.8777928222
04/22/2011,ELC,1.9522661919
04/25/2011,ELC,1.9575857183
04/26/2011,ELC,1.9629052447
04/27/2011,ELC,1.888431875
04/28/2011,ELC,1.8937514014
04/29/2011,ELC,1.8192780317
05/04/2011,ELC,1.8352366109
05/05/2011,ELC,1.8245975581
05/06/2011,ELC,1.7554437148
05/09/2011,ELC,1.7926803996
05/10/2011,ELC,1.7873608732
05/11/2011,ELC,1.7341656091
05/12/2011,ELC,1.744804662
05/13/2011,ELC,1.7394851356
05/16/2011,ELC,1.5582843212
05/17/2011,ELC,1.5733160028
05/18/2011,ELC,1.6033793659
05/19/2011,ELC,1.64346385
05/20/2011,ELC,1.5632948817
05/23/2011,ELC,1.5582843212
05/24/2011,ELC,1.4831259134
05/25/2011,ELC,1.4129780662
05/26/2011,ELC,1.4430414293
05/27/2011,ELC,1.4480519898
05/30/2011,ELC,1.4079675056
05/31/2011,ELC,1.372893582
06/01/2011,ELC,1.4229991872
06/02/2011,ELC,1.4680942319
06/03/2011,ELC,1.4380308688
06/06/2011,ELC,1.3678830215
06/07/2011,ELC,1.4179886267
06/08/2011,ELC,1.4280097477
06/09/2011,ELC,1.4931470345
06/10/2011,ELC,1.5282209581
06/13/2011,ELC,1.5031681555
06/14/2011,ELC,1.4931470345
06/15/2011,ELC,1.4731047924
06/16/2011,ELC,1.4680942319
06/17/2011,ELC,1.4530625503
06/20/2011,ELC,1.4781153529
06/21/2011,ELC,1.4881364739
06/22/2011,ELC,1.4731047924
06/23/2011,ELC,1.4680942319
06/24/2011,ELC,1.4530625503
06/27/2011,ELC,1.4530625503
06/28/2011,ELC,1.4530625503
06/29/2011,ELC,1.4530625503
06/30/2011,ELC,1.4881364739
07/01/2011,ELC,1.4530625503
07/04/2011,ELC,1.4530625503
07/05/2011,ELC,1.4731047924
07/06/2011,ELC,1.4530625503
07/07/2011,ELC,1.4530625503
07/08/2011,ELC,1.4530625503
07/11/2011,ELC,1.4680942319
07/12/2011,ELC,1.4781153529
07/13/2011,ELC,1.4831259134
07/14/2011,ELC,1.4781153529
07/15/2011,ELC,1.4731047924
07/18/2011,ELC,1.4731047924
07/19/2011,ELC,1.4630836713
07/20/2011,ELC,1.4630836713
07/21/2011,ELC,1.4580731108
07/22/2011,ELC,1.4580731108
07/25/2011,ELC,1.4530625503
07/26/2011,ELC,1.4530625503
07/27/2011,ELC,1.4580731108
07/28/2011,ELC,1.4530625503
07/29/2011,ELC,1.4480519898
08/01/2011,ELC,1.4680942319
08/02/2011,ELC,1.575058567
08/03/2011,ELC,1.5587648577
08/04/2011,ELC,1.575058567
08/05/2011,ELC,1.575058567
08/08/2011,ELC,1.5587648577
08/09/2011,ELC,1.5587648577
08/10/2011,ELC,1.5641960941
08/11/2011,ELC,1.5587648577
08/12/2011,ELC,1.5587648577
08/15/2011,ELC,1.5533336212
08/16/2011,ELC,1.5533336212
08/17/2011,ELC,1.5533336212
08/18/2011,ELC,1.5641960941
08/19/2011,ELC,1.5533336212
08/22/2011,ELC,1.5587648577
08/23/2011,ELC,1.5533336212
08/24/2011,ELC,1.5424711483
08/25/2011,ELC,1.5533336212
08/26/2011,ELC,1.526177439
08/29/2011,ELC,1.5479023848
08/30/2011,ELC,1.5533336212
08/31/2011,ELC,1.5587648577
09/01/2011,ELC,1.6360244038
09/05/2011,ELC,1.5762361365
09/06/2011,ELC,1.6523302948
09/07/2011,ELC,1.7338597502
09/08/2011,ELC,1.8099539085
09/09/2011,ELC,1.8697421757
09/12/2011,ELC,1.8969186608
09/13/2011,ELC,1.8099539085
09/14/2011,ELC,1.8425656906
09/15/2011,ELC,1.8153892055
09/16/2011,ELC,1.7501656412
09/19/2011,ELC,1.7447303442
09/20/2011,ELC,1.695812671
09/21/2011,ELC,1.7338597502
09/22/2011,ELC,1.7556009383
09/23/2011,ELC,1.7556009383
09/26/2011,ELC,1.690377374
09/27/2011,ELC,1.6577655918
09/28/2011,ELC,1.7392950472
09/29/2011,ELC,1.6523302948
09/30/2011,ELC,1.6305891067
10/03/2011,ELC,1.5871067306
10/04/2011,ELC,1.5762361365
10/05/2011,ELC,1.6305891067
10/06/2011,ELC,1.6523302948
10/07/2011,ELC,1.6523302948
10/10/2011,ELC,1.6305891067
10/11/2011,ELC,1.5762361365
10/12/2011,ELC,1.5925420276
10/13/2011,ELC,1.5925420276
10/14/2011,ELC,1.5979773246
10/17/2011,ELC,1.6034126216
10/18/2011,ELC,1.5436243544
10/19/2011,ELC,1.5762361365
10/20/2011,ELC,1.5762361365
10/21/2011,ELC,1.5490596514
10/24/2011,ELC,1.6251538097
10/25/2011,ELC,1.6197185127
10/26/2011,ELC,1.6197185127
10/27/2011,ELC,1.6142832157
10/28/2011,ELC,1.6142832157
10/31/2011,ELC,1.5381890573
11/01/2011,ELC,1.4675301961
11/02/2011,ELC,1.4186125229
11/03/2011,ELC,1.3038943524
11/04/2011,ELC,1.3038943524
11/07/2011,ELC,1.2425346182
11/08/2011,ELC,1.2016281287
11/09/2011,ELC,1.2271946847
11/10/2011,ELC,1.262987863
11/11/2011,ELC,1.2527612406
11/14/2011,ELC,1.262987863
11/15/2011,ELC,1.2527612406
11/16/2011,ELC,1.237421307
11/17/2011,ELC,1.237421307
11/18/2011,ELC,1.237421307
11/21/2011,ELC,1.2527612406
11/22/2011,ELC,1.2783277965
11/23/2011,ELC,1.3038943524
11/24/2011,ELC,1.3294609084
11/25/2011,ELC,1.262987863
11/28/2011,ELC,1.2016281287
11/29/2011,ELC,1.1453817057
11/30/2011,ELC,1.1453817057
12/01/2011,ELC,1.1453817057
12/02/2011,ELC,1.1453817057
12/05/2011,ELC,1.1658349504
12/06/2011,ELC,1.2169680623
12/07/2011,ELC,1.2527612406
12/08/2011,ELC,1.1914015063
12/09/2011,ELC,1.1351550833
12/12/2011,ELC,1.1914015063
12/13/2011,ELC,1.2476479294
12/14/2011,ELC,1.3090076636
12/15/2011,ELC,1.3396875307
12/16/2011,ELC,1.401047265
12/19/2011,ELC,1.3345742196
12/20/2011,ELC,1.3805940202
12/21/2011,ELC,1.4112738874
12/22/2011,ELC,1.3448008419
12/23/2011,ELC,1.4061605762
12/26/2011,ELC,1.4266138209
12/27/2011,ELC,1.4266138209
12/28/2011,ELC,1.4930868663
12/29/2011,ELC,1.5442199782
12/30/2011,ELC,1.6106930236
01/03/2012,ELC,1.5339933558
01/04/2012,ELC,1.482860244
01/05/2012,ELC,1.482860244
01/06/2012,ELC,1.5288800446
01/09/2012,ELC,1.5288800446
01/10/2012,ELC,1.5288800446
01/11/2012,ELC,1.5288800446
01/12/2012,ELC,1.5237667335
01/13/2012,ELC,1.4521803768
01/16/2012,ELC,1.3908206426
01/17/2012,ELC,1.4521803768
01/18/2012,ELC,1.4777469328
01/19/2012,ELC,1.4777469328
01/20/2012,ELC,1.4777469328
01/30/2012,ELC,1.4777469328
01/31/2012,ELC,1.5339933558
02/01/2012,ELC,1.5339933558
02/02/2012,ELC,1.5339933558
02/03/2012,ELC,1.457293688
02/06/2012,ELC,1.457293688
02/07/2012,ELC,1.457293688
02/08/2012,ELC,1.4675203104
02/09/2012,ELC,1.4498249065
02/10/2012,ELC,1.3793473068
02/13/2012,ELC,1.3793473068
02/14/2012,ELC,1.3793473068
02/15/2012,ELC,1.3793473068
02/16/2012,ELC,1.3793473068
02/17/2012,ELC,1.3189379357
02/20/2012,ELC,1.3592108498
02/21/2012,ELC,1.3592108498
02/22/2012,ELC,1.3340402785
02/23/2012,ELC,1.344108507
02/24/2012,ELC,1.32397205
02/27/2012,ELC,1.3491426213
02/28/2012,ELC,1.3088697072
02/29/2012,ELC,1.2434262219
03/01/2012,ELC,1.303835593
03/02/2012,ELC,1.3592108498
03/05/2012,ELC,1.4246543352
03/06/2012,ELC,1.4296884494
03/07/2012,ELC,1.4296884494
03/08/2012,ELC,1.4196202209
03/09/2012,ELC,1.3541767356
03/12/2012,ELC,1.3592108498
03/13/2012,ELC,1.3592108498
03/14/2012,ELC,1.3994837639
03/15/2012,ELC,1.3592108498
03/16/2012,ELC,1.4095519924
03/19/2012,ELC,1.4095519924
03/20/2012,ELC,1.3944496496
03/21/2012,ELC,1.3390743928
03/22/2012,ELC,1.3541767356
03/23/2012,ELC,1.3592108498
03/26/2012,ELC,1.3843814211
03/27/2012,ELC,1.3843814211
03/28/2012,ELC,1.3692790783
03/29/2012,ELC,1.3894155354
03/30/2012,ELC,1.3994837639
04/03/2012,ELC,1.459893135
04/04/2012,ELC,1.5253366203
04/05/2012,ELC,1.6008483342
04/06/2012,ELC,1.6109165627
04/09/2012,ELC,1.6914623909
04/10/2012,ELC,1.7745252762
04/11/2012,ELC,1.8626222757
04/12/2012,ELC,1.8752075613
04/13/2012,ELC,1.7871105618
04/16/2012,ELC,1.8185737759
04/17/2012,ELC,1.7934032046
04/18/2012,ELC,1.7519334639
04/19/2012,ELC,1.7395523087
04/20/2012,ELC,1.4560238541
04/23/2012,ELC,1.4659287783
04/24/2012,ELC,1.4362140057
04/25/2012,ELC,1.3916418469
04/26/2012,ELC,1.4064992332
04/27/2012,ELC,1.3866893849
05/02/2012,ELC,1.4015467711
05/03/2012,ELC,1.4015467711
05/04/2012,ELC,1.6690903992
05/07/2012,ELC,1.6749674781
05/08/2012,ELC,1.7043528725
05/09/2012,ELC,1.6867216359
05/10/2012,ELC,1.6867216359
05/11/2012,ELC,1.6632133204
05/14/2012,ELC,1.6573362415
05/15/2012,ELC,1.6455820838
05/16/2012,ELC,1.5868112951
05/17/2012,ELC,1.6161966894
05/18/2012,ELC,1.633827926
05/21/2012,ELC,1.6749674781
05/22/2012,ELC,1.6455820838
05/23/2012,ELC,1.6632133204
05/24/2012,ELC,1.5868112951
