date,ticker,value
07/16/2015,BCG,1.7885212618
07/17/2015,BCG,1.8984303896
07/20/2015,BCG,1.9983477785
07/21/2015,BCG,1.858463434
07/22/2015,BCG,1.7285708284
07/23/2015,BCG,1.6086699617
07/24/2015,BCG,1.4987608339
07/27/2015,BCG,1.5986782228
07/28/2015,BCG,1.7085873507
07/29/2015,BCG,1.7785295229
07/30/2015,BCG,1.6586286562
07/31/2015,BCG,1.5786947451
08/03/2015,BCG,1.5587112673
08/04/2015,BCG,1.5986782228
08/05/2015,BCG,1.5986782228
08/06/2015,BCG,1.5986782228
08/07/2015,BCG,1.5886864839
08/10/2015,BCG,1.5786947451
08/11/2015,BCG,1.5986782228
08/12/2015,BCG,1.5986782228
08/13/2015,BCG,1.5986782228
08/14/2015,BCG,1.5886864839
08/17/2015,BCG,1.5786947451
08/18/2015,BCG,1.5886864839
08/19/2015,BCG,1.5786947451
10/25/2016,IBC,0.9922526767
10/26/2016,IBC,0.9987023191
10/27/2016,IBC,1.0069380163
10/28/2016,IBC,1.0114031534
10/31/2016,IBC,1.0114031534
11/01/2016,IBC,1.0517878373
11/02/2016,IBC,1.0418653105
11/03/2016,IBC,1.0392854536
11/04/2016,IBC,1.0392854536
11/07/2016,IBC,1.040178481
11/08/2016,IBC,1.0317443332
11/09/2016,IBC,1.0319427838
11/10/2016,IBC,1.0319427838
11/11/2016,IBC,1.0319427838
11/14/2016,IBC,1.0319427838
11/15/2016,IBC,0.9922526767
11/16/2016,IBC,0.9922526767
11/17/2016,IBC,0.9922526767
11/18/2016,IBC,0.9922526767
11/21/2016,IBC,0.9922526767
11/22/2016,IBC,0.9922526767
11/23/2016,IBC,0.9922526767
11/24/2016,IBC,0.9922526767
11/25/2016,IBC,0.9922526767
11/28/2016,IBC,0.9922526767
11/29/2016,IBC,0.9922526767
11/30/2016,IBC,0.9922526767
08/20/2015,BCG,1.5786947451
08/21/2015,BCG,1.5587112673
08/24/2015,BCG,1.5587112673
08/25/2015,BCG,1.5687030062
08/26/2015,BCG,1.5886864839
