date,ticker,value
05/15/2017,MPY,0.0
05/16/2017,MPY,0.0
05/17/2017,MPY,0.0
05/18/2017,MPY,0.0
05/19/2017,MPY,0.0
05/22/2017,MPY,0.0
05/23/2017,MPY,0.0
05/24/2017,MPY,0.0
05/25/2017,MPY,0.0
05/26/2017,MPY,0.0
05/29/2017,MPY,0.0
05/30/2017,MPY,0.0
05/31/2017,MPY,0.0
06/01/2017,MPY,0.0
06/02/2017,MPY,0.0
06/05/2017,MPY,1.0040472971
06/06/2017,MPY,1.0040472971
06/07/2017,MPY,1.0040472971
06/08/2017,MPY,1.0040472971
06/09/2017,MPY,1.0040472971
06/12/2017,MPY,1.0040472971
06/13/2017,MPY,1.0040472971
06/14/2017,MPY,1.0040472971
06/15/2017,MPY,1.0040472971
06/16/2017,MPY,1.0040472971
11/08/2017,MQB,0.0232694891
11/09/2017,MQB,0.0232694891
11/10/2017,MQB,0.0232694891
11/13/2017,MQB,0.0232694891
11/14/2017,MQB,0.0232694891
11/15/2017,MQB,0.0232694891
11/16/2017,MQB,0.0232694891
11/17/2017,MQB,0.0232694891
11/20/2017,MQB,0.0232694891
11/21/2017,MQB,0.0232694891
11/22/2017,MQB,0.0232694891
11/23/2017,MQB,0.0232694891
11/24/2017,MQB,0.0232694891
11/27/2017,MQB,0.0232694891
11/28/2017,MQB,0.0232694891
11/29/2017,MQB,0.0232694891
11/30/2017,MQB,0.0232694891
12/01/2017,MQB,0.0232694891
12/04/2017,MQB,0.0232694891
12/05/2017,MQB,0.0232694891
12/06/2017,MQB,0.0232694891
12/07/2017,MQB,0.0232694891
12/08/2017,MQB,0.0232694891
12/11/2017,MQB,0.0232694891
12/12/2017,MQB,0.0232694891
12/13/2017,MQB,0.0232694891
12/14/2017,MQB,0.0232694891
06/19/2017,MPY,1.0040472971
06/20/2017,MPY,1.0040472971
06/21/2017,MPY,1.0040472971
06/22/2017,MPY,1.0040472971
06/23/2017,MPY,1.0040472971
06/26/2017,MPY,1.0040472971
06/27/2017,MPY,1.0040472971
06/28/2017,MPY,1.0040472971
06/29/2017,MPY,1.0040472971
06/30/2017,MPY,1.0040472971
07/03/2017,MPY,1.0040472971
07/04/2017,MPY,1.0040472971
07/05/2017,MPY,1.0040472971
07/06/2017,MPY,1.0040472971
07/07/2017,MPY,1.0040472971
07/10/2017,MPY,1.0040472971
07/11/2017,MPY,1.0040472971
07/12/2017,MPY,1.0040472971
07/13/2017,MPY,1.0040472971
07/14/2017,MPY,1.0040472971
07/17/2017,MPY,1.0040472971
07/18/2017,MPY,1.0040472971
07/19/2017,MPY,1.0040472971
07/20/2017,MPY,1.0040472971
07/21/2017,MPY,1.0040472971
07/24/2017,MPY,1.0040472971
07/25/2017,MPY,1.0040472971
07/26/2017,MPY,1.0040472971
07/27/2017,MPY,1.0040472971
07/28/2017,MPY,1.0040472971
07/31/2017,MPY,1.0040472971
08/01/2017,MPY,1.0040472971
12/15/2017,MQB,0.0232694891
12/18/2017,MQB,0.0232694891
12/19/2017,MQB,0.0232694891
12/20/2017,MQB,0.0232694891
12/21/2017,MQB,0.0232694891
12/22/2017,MQB,0.0232694891
12/25/2017,MQB,0.0232694891
12/26/2017,MQB,0.0232694891
12/27/2017,MQB,0.0232694891
12/28/2017,MQB,0.0232694891
12/29/2017,MQB,0.0232694891
01/02/2018,MQB,0.0232694891
01/03/2018,MQB,0.0232694891
01/04/2018,MQB,0.0232694891
01/05/2018,MQB,0.0232694891
01/08/2018,MQB,0.0232694891
01/09/2018,MQB,0.0232694891
01/10/2018,MQB,0.0232694891
01/11/2018,MQB,0.0232694891
01/12/2018,MQB,0.0232694891
01/15/2018,MQB,0.0232694891
01/16/2018,MQB,0.0232694891
01/17/2018,MQB,0.0232694891
01/18/2018,MQB,0.0232694891
01/19/2018,MQB,0.0232694891
01/22/2018,MQB,0.0232694891
01/23/2018,MQB,0.0232694891
01/24/2018,MQB,0.0232694891
01/25/2018,MQB,0.0232694891
01/26/2018,MQB,0.0232694891
01/29/2018,MQB,0.0232694891
01/30/2018,MQB,0.0232694891
08/02/2017,MPY,1.0040472971
08/03/2017,MPY,1.0040472971
08/04/2017,MPY,1.0040472971
08/07/2017,MPY,1.0040472971
08/08/2017,MPY,1.0040472971
08/09/2017,MPY,1.0040472971
08/10/2017,MPY,1.0040472971
08/11/2017,MPY,1.0040472971
08/14/2017,MPY,1.0040472971
08/15/2017,MPY,1.0040472971
08/16/2017,MPY,1.0040472971
08/17/2017,MPY,1.0040472971
08/18/2017,MPY,1.0040472971
08/21/2017,MPY,1.0040472971
08/22/2017,MPY,1.0040472971
08/23/2017,MPY,1.0040472971
08/24/2017,MPY,1.0040472971
08/25/2017,MPY,1.0040472971
08/28/2017,MPY,1.0040472971
08/29/2017,MPY,1.0040472971
08/30/2017,MPY,1.0040472971
08/31/2017,MPY,1.0040472971
09/01/2017,MPY,1.0040472971
09/05/2017,MPY,1.0040472971
09/06/2017,MPY,1.0040472971
09/07/2017,MPY,1.0040472971
09/08/2017,MPY,1.0040472971
09/11/2017,MPY,1.0040472971
09/12/2017,MPY,1.0040472971
09/13/2017,MPY,1.0040472971
09/14/2017,MPY,1.0040472971
01/31/2018,MQB,0.0232694891
02/01/2018,MQB,0.0232694891
02/02/2018,MQB,0.0232694891
02/05/2018,MQB,0.0232694891
02/06/2018,MQB,0.0232694891
02/07/2018,MQB,0.0232694891
02/08/2018,MQB,0.0232694891
02/09/2018,MQB,0.0232694891
02/12/2018,MQB,0.0232694891
02/13/2018,MQB,0.0232694891
02/21/2018,MQB,0.0232694891
02/22/2018,MQB,0.0232694891
02/23/2018,MQB,0.0232694891
02/26/2018,MQB,0.0232694891
02/27/2018,MQB,0.0232694891
02/28/2018,MQB,0.0232694891
03/01/2018,MQB,0.0232694891
03/02/2018,MQB,0.0232694891
03/05/2018,MQB,0.0232694891
03/06/2018,MQB,0.0232694891
03/07/2018,MQB,0.0232694891
03/08/2018,MQB,0.0232694891
03/09/2018,MQB,0.0232694891
03/12/2018,MQB,0.0232694891
03/13/2018,MQB,0.0232694891
03/14/2018,MQB,0.0232694891
03/15/2018,MQB,0.0232694891
03/16/2018,MQB,0.0232694891
03/19/2018,MQB,0.0232694891
03/20/2018,MQB,0.0232694891
03/21/2018,MQB,0.0232694891
03/22/2018,MQB,0.0232694891
09/15/2017,MPY,1.0040472971
09/18/2017,MPY,1.0040472971
09/19/2017,MPY,1.0040472971
09/20/2017,MPY,1.0040472971
09/21/2017,MPY,1.0040472971
09/22/2017,MPY,1.0040472971
09/25/2017,MPY,1.0040472971
09/26/2017,MPY,1.0040472971
09/27/2017,MPY,1.0040472971
09/28/2017,MPY,1.0040472971
09/29/2017,MPY,1.0040472971
10/02/2017,MPY,1.0040472971
10/03/2017,MPY,1.0040472971
10/04/2017,MPY,1.0040472971
10/05/2017,MPY,1.0040472971
10/06/2017,MPY,1.0040472971
10/09/2017,MPY,1.0040472971
10/10/2017,MPY,1.0040472971
10/11/2017,MPY,1.0040472971
10/12/2017,MPY,1.0040472971
10/13/2017,MPY,1.0040472971
10/16/2017,MPY,1.0040472971
10/17/2017,MPY,1.0040472971
10/18/2017,MPY,1.0040472971
10/19/2017,MPY,1.0040472971
10/20/2017,MPY,1.0040472971
10/23/2017,MPY,1.0040472971
10/24/2017,MPY,1.0040472971
10/25/2017,MPY,1.0040472971
10/26/2017,MPY,1.0040472971
10/27/2017,MPY,1.0040472971
10/30/2017,MPY,1.0040472971
10/31/2017,MPY,1.0040472971
03/23/2018,MQB,0.0232694891
03/26/2018,MQB,0.0232694891
03/27/2018,MQB,0.0232694891
03/28/2018,MQB,0.0232694891
03/29/2018,MQB,0.0232694891
03/30/2018,MQB,0.0232694891
04/02/2018,MQB,0.0232694891
04/03/2018,MQB,0.0232694891
04/04/2018,MQB,0.0232694891
04/05/2018,MQB,0.0232694891
04/06/2018,MQB,0.0232694891
04/09/2018,MQB,0.0232694891
04/10/2018,MQB,0.0232694891
04/11/2018,MQB,0.0232694891
04/12/2018,MQB,0.0232694891
04/13/2018,MQB,0.0232694891
04/16/2018,MQB,0.0232694891
04/17/2018,MQB,0.0232694891
04/18/2018,MQB,0.0232694891
04/19/2018,MQB,0.0232694891
04/20/2018,MQB,0.0232694891
04/23/2018,MQB,0.0232694891
04/24/2018,MQB,0.0232694891
04/26/2018,MQB,0.0232694891
04/27/2018,MQB,0.0232694891
05/02/2018,MQB,0.0232694891
05/03/2018,MQB,0.0232694891
05/04/2018,MQB,0.0232694891
05/07/2018,MQB,0.0232694891
05/08/2018,MQB,0.0232694891
05/09/2018,MQB,0.0232694891
11/01/2017,MPY,1.0040472971
11/02/2017,MPY,1.0040472971
11/03/2017,MPY,1.0040472971
11/06/2017,MPY,1.0040472971
11/07/2017,MPY,1.0040472971
11/08/2017,MPY,1.0040472971
11/09/2017,MPY,1.0040472971
11/10/2017,MPY,1.0040472971
11/13/2017,MPY,1.0040472971
11/14/2017,MPY,1.0040472971
11/15/2017,MPY,1.0040472971
11/16/2017,MPY,1.0040472971
11/17/2017,MPY,0.9497744702
11/20/2017,MPY,0.9497744702
11/21/2017,MPY,0.9497744702
11/22/2017,MPY,0.9497744702
11/23/2017,MPY,0.9497744702
11/24/2017,MPY,0.9497744702
11/27/2017,MPY,0.9497744702
11/28/2017,MPY,0.9497744702
11/29/2017,MPY,0.9497744702
11/30/2017,MPY,0.9497744702
12/01/2017,MPY,0.9497744702
12/04/2017,MPY,0.9497744702
12/05/2017,MPY,0.9497744702
12/06/2017,MPY,0.9497744702
12/07/2017,MPY,0.9497744702
12/08/2017,MPY,0.9497744702
12/11/2017,MPY,0.9497744702
12/12/2017,MPY,0.9497744702
12/13/2017,MPY,0.9497744702
05/10/2018,MQB,0.0232694891
05/11/2018,MQB,0.0232694891
05/14/2018,MQB,0.0232694891
05/15/2018,MQB,0.0232694891
05/16/2018,MQB,0.0232694891
05/17/2018,MQB,0.0285777838
05/18/2018,MQB,0.0285777838
05/21/2018,MQB,0.0285777838
05/22/2018,MQB,0.0285777838
05/23/2018,MQB,0.0285777838
05/24/2018,MQB,0.0285777838
05/25/2018,MQB,0.0285777838
05/28/2018,MQB,0.0285777838
05/29/2018,MQB,0.0285777838
05/30/2018,MQB,0.0285777838
05/31/2018,MQB,0.0285777838
06/01/2018,MQB,0.0285777838
06/04/2018,MQB,0.0285777838
06/05/2018,MQB,0.0285777838
06/06/2018,MQB,0.0285777838
06/07/2018,MQB,0.0285777838
06/08/2018,MQB,0.0285777838
06/11/2018,MQB,0.0285777838
06/12/2018,MQB,0.0285777838
06/13/2018,MQB,0.0285777838
06/14/2018,MQB,0.0285777838
06/15/2018,MQB,0.0285777838
06/18/2018,MQB,0.0285777838
06/19/2018,MQB,0.0285777838
06/20/2018,MQB,0.0285777838
06/21/2018,MQB,0.0285777838
06/22/2018,MQB,0.0285777838
12/14/2017,MPY,0.9497744702
12/15/2017,MPY,0.9497744702
12/18/2017,MPY,0.9497744702
12/19/2017,MPY,0.9497744702
12/20/2017,MPY,0.9497744702
12/21/2017,MPY,0.9497744702
12/22/2017,MPY,0.9497744702
12/25/2017,MPY,0.9497744702
12/26/2017,MPY,0.9497744702
12/27/2017,MPY,0.9497744702
12/28/2017,MPY,0.9497744702
12/29/2017,MPY,0.9497744702
01/02/2018,MPY,0.9497744702
01/03/2018,MPY,0.9497744702
01/04/2018,MPY,0.9497744702
01/05/2018,MPY,0.9497744702
01/08/2018,MPY,0.9497744702
01/09/2018,MPY,0.9497744702
01/10/2018,MPY,0.9497744702
01/11/2018,MPY,0.9497744702
01/12/2018,MPY,0.9497744702
01/15/2018,MPY,0.9497744702
01/16/2018,MPY,0.9497744702
01/17/2018,MPY,0.9497744702
01/18/2018,MPY,0.9497744702
01/19/2018,MPY,0.9497744702
01/22/2018,MPY,0.9497744702
01/23/2018,MPY,0.9497744702
01/24/2018,MPY,0.9497744702
01/25/2018,MPY,0.9497744702
01/26/2018,MPY,0.9497744702
06/25/2018,MQB,0.0285777838
06/26/2018,MQB,0.0285777838
06/27/2018,MQB,0.0285777838
06/28/2018,MQB,0.0288635617
06/29/2018,MQB,0.0288635617
07/02/2018,MQB,0.0288635617
07/03/2018,MQB,0.0288635617
07/04/2018,MQB,0.0288635617
07/05/2018,MQB,0.0288635617
07/06/2018,MQB,0.0288635617
07/09/2018,MQB,0.0288635617
07/10/2018,MQB,0.0288635617
07/11/2018,MQB,0.0288635617
07/12/2018,MQB,0.0288635617
07/13/2018,MQB,0.0288635617
07/16/2018,MQB,0.0288635617
07/17/2018,MQB,0.0288635617
07/18/2018,MQB,0.0288635617
07/19/2018,MQB,0.0288635617
07/20/2018,MQB,0.0288635617
07/23/2018,MQB,0.0288635617
07/24/2018,MQB,0.0288635617
07/25/2018,MQB,0.0288635617
07/26/2018,MQB,0.0288635617
07/27/2018,MQB,0.0288635617
07/30/2018,MQB,0.0288635617
07/31/2018,MQB,0.0288635617
08/01/2018,MQB,0.0288635617
08/02/2018,MQB,0.0288635617
08/03/2018,MQB,0.0288635617
08/06/2018,MQB,0.0288635617
01/29/2018,MPY,0.9497744702
01/30/2018,MPY,0.9497744702
01/31/2018,MPY,0.9497744702
02/01/2018,MPY,0.9497744702
02/02/2018,MPY,0.9497744702
02/05/2018,MPY,0.9497744702
02/06/2018,MPY,0.9497744702
02/07/2018,MPY,0.9497744702
02/08/2018,MPY,0.9497744702
02/09/2018,MPY,0.9497744702
02/12/2018,MPY,0.9497744702
02/13/2018,MPY,0.9497744702
02/21/2018,MPY,0.9497744702
02/22/2018,MPY,0.9497744702
02/23/2018,MPY,0.9497744702
02/26/2018,MPY,0.9497744702
02/27/2018,MPY,0.9497744702
02/28/2018,MPY,0.9497744702
03/01/2018,MPY,0.9497744702
03/02/2018,MPY,0.9497744702
03/05/2018,MPY,0.9497744702
03/06/2018,MPY,0.9497744702
03/07/2018,MPY,0.9497744702
03/08/2018,MPY,0.9497744702
03/09/2018,MPY,0.9497744702
03/12/2018,MPY,0.9497744702
03/13/2018,MPY,0.9497744702
03/14/2018,MPY,0.9497744702
03/15/2018,MPY,0.9497744702
03/16/2018,MPY,0.9497744702
03/19/2018,MPY,0.9497744702
08/07/2018,MQB,0.0288635617
08/08/2018,MQB,0.0288635617
08/09/2018,MQB,0.0288635617
08/10/2018,MQB,0.0288635617
08/13/2018,MQB,0.0288635617
08/14/2018,MQB,0.0276470041
08/15/2018,MQB,0.0288635617
08/16/2018,MQB,0.0288635617
08/17/2018,MQB,0.0288635617
08/20/2018,MQB,0.0288635617
08/21/2018,MQB,0.0288635617
08/22/2018,MQB,0.0288635617
08/23/2018,MQB,0.0288635617
08/24/2018,MQB,0.0288635617
08/27/2018,MQB,0.0288635617
08/28/2018,MQB,0.0288635617
08/29/2018,MQB,0.0288635617
08/30/2018,MQB,0.0288635617
08/31/2018,MQB,0.0288635617
09/04/2018,MQB,0.0288635617
09/05/2018,MQB,0.0288635617
09/06/2018,MQB,0.0288635617
09/07/2018,MQB,0.0288635617
09/10/2018,MQB,0.0288635617
09/11/2018,MQB,0.0288635617
09/12/2018,MQB,0.0288635617
09/13/2018,MQB,0.0288635617
09/14/2018,MQB,0.0288635617
09/17/2018,MQB,0.0288635617
09/18/2018,MQB,0.0288635617
09/19/2018,MQB,0.0288635617
03/20/2018,MPY,0.9443767805
03/21/2018,MPY,0.9443767805
03/22/2018,MPY,0.9443767805
03/23/2018,MPY,0.9443767805
03/26/2018,MPY,0.9443767805
03/27/2018,MPY,0.9443767805
03/28/2018,MPY,0.9443767805
03/29/2018,MPY,0.9443767805
03/30/2018,MPY,0.9443767805
04/02/2018,MPY,0.9443767805
04/03/2018,MPY,0.9443767805
04/04/2018,MPY,0.9443767805
04/05/2018,MPY,0.9443767805
04/06/2018,MPY,0.9443767805
04/09/2018,MPY,0.9443767805
04/10/2018,MPY,0.9443767805
04/11/2018,MPY,0.9443767805
04/12/2018,MPY,0.9443767805
04/13/2018,MPY,0.9443767805
04/16/2018,MPY,0.9443767805
04/17/2018,MPY,0.9443767805
04/18/2018,MPY,0.9443767805
04/19/2018,MPY,0.9443767805
04/20/2018,MPY,0.9443767805
04/23/2018,MPY,0.9443767805
04/24/2018,MPY,0.9443767805
04/26/2018,MPY,0.9443767805
04/27/2018,MPY,0.9443767805
05/02/2018,MPY,0.9443767805
05/03/2018,MPY,0.9443767805
05/04/2018,MPY,0.9443767805
05/07/2018,MPY,0.9443767805
09/20/2018,MQB,0.0288635617
09/21/2018,MQB,0.0288635617
09/24/2018,MQB,0.0288635617
09/25/2018,MQB,0.0288635617
09/26/2018,MQB,0.0288635617
09/27/2018,MQB,0.0288635617
09/28/2018,MQB,0.0288635617
10/01/2018,MQB,0.0288635617
10/02/2018,MQB,0.0288635617
10/03/2018,MQB,0.0288635617
10/04/2018,MQB,0.0288635617
10/05/2018,MQB,0.0288635617
10/08/2018,MQB,0.0288635617
10/09/2018,MQB,0.0288635617
10/10/2018,MQB,0.0288635617
10/11/2018,MQB,0.0288635617
10/12/2018,MQB,0.0288635617
10/15/2018,MQB,0.0288635617
10/16/2018,MQB,0.0288635617
10/17/2018,MQB,0.0288635617
10/18/2018,MQB,0.0288635617
10/19/2018,MQB,0.0288635617
10/22/2018,MQB,0.0288635617
10/23/2018,MQB,0.0288635617
10/24/2018,MQB,0.0288635617
10/25/2018,MQB,0.0288635617
10/26/2018,MQB,0.0288635617
10/29/2018,MQB,0.0288635617
10/30/2018,MQB,0.0288635617
