date,ticker,value
11/26/2009,GLT,3.67247653
02/24/2009,VTB,0.7961784601
04/10/2009,VTB,0.6903410553
04/13/2009,VTB,0.7245728373
04/14/2009,VTB,0.7961784601
04/15/2009,VTB,0.7759205102
04/17/2009,VTB,0.8044469952
04/20/2009,VTB,0.7645099163
04/21/2009,VTB,0.7302781343
04/22/2009,VTB,0.7131622433
04/23/2009,VTB,0.7131622433
04/24/2009,VTB,0.6846357583
04/27/2009,VTB,0.6960463523
04/28/2009,VTB,0.6846357583
04/29/2009,VTB,0.6903410553
05/04/2009,VTB,0.7245728373
05/05/2009,VTB,0.7416887283
05/06/2009,VTB,0.7131622433
05/07/2009,VTB,0.7131622433
05/08/2009,VTB,0.7017516493
11/27/2009,GLT,3.8990759849
11/30/2009,GLT,4.1569304466
12/01/2009,GLT,4.4460406303
12/02/2009,GLT,4.2506961822
12/03/2009,GLT,3.9772140979
12/04/2009,GLT,3.9068899154
12/07/2009,GLT,3.7349865436
12/08/2009,GLT,3.8443796634
12/09/2009,GLT,3.6646625995
12/10/2009,GLT,3.8209383487
12/11/2009,GLT,3.6802902221
12/14/2009,GLT,3.7428007125
12/15/2009,GLT,3.7428007125
12/16/2009,GLT,3.484945774
12/17/2009,GLT,3.2427186965
12/18/2009,GLT,2.7548122406
12/21/2009,GLT,2.93419528
12/22/2009,GLT,2.93419528
12/23/2009,GLT,2.93419528
12/24/2009,GLT,2.7355926036
12/25/2009,GLT,2.569022417
12/28/2009,GLT,2.4665179252
12/29/2009,GLT,2.6138682365
12/30/2009,GLT,2.793251276
12/31/2009,GLT,2.9854474067
01/04/2010,GLT,2.8829429149
01/05/2010,GLT,2.9021625518
01/06/2010,GLT,2.7163729667
01/07/2010,GLT,2.5626158714
01/08/2010,GLT,2.7163729667
05/11/2009,VTB,0.7017516493
05/12/2009,VTB,0.6748321652
05/13/2009,VTB,0.6803185939
05/14/2009,VTB,0.6803185939
05/15/2009,VTB,0.7132372856
05/18/2009,VTB,0.7461559176
05/19/2009,VTB,0.7790745496
05/20/2009,VTB,0.7790745496
05/21/2009,VTB,0.7790745496
05/22/2009,VTB,0.7794754505
05/25/2009,VTB,0.8184491991
05/26/2009,VTB,0.8184491991
05/27/2009,VTB,0.7850431203
05/28/2009,VTB,0.7850431203
05/29/2009,VTB,0.7794754505
06/01/2009,VTB,0.8128815293
06/02/2009,VTB,0.8351522684
06/03/2009,VTB,0.7961784601
06/04/2009,VTB,0.8351522684
06/05/2009,VTB,0.874126017
06/08/2009,VTB,0.9130998253
06/09/2009,VTB,0.952073574
06/10/2009,VTB,0.9075320959
06/11/2009,VTB,0.9409382343
06/12/2009,VTB,0.8963967561
06/15/2009,VTB,0.9409382343
06/16/2009,VTB,0.8963967561
06/17/2009,VTB,0.8852614164
06/18/2009,VTB,0.8685583472
06/19/2009,VTB,0.8295845985
06/22/2009,VTB,0.7906107902
06/23/2009,VTB,0.7516370415
01/11/2010,GLT,2.9021625518
01/12/2010,GLT,2.7676250934
01/13/2010,GLT,2.7548122406
01/14/2010,GLT,2.8957560062
01/15/2010,GLT,2.9406018257
01/18/2010,GLT,2.9726345539
01/19/2010,GLT,2.79965806
01/20/2010,GLT,2.6459009647
01/21/2010,GLT,2.6523075103
01/22/2010,GLT,2.524176836
01/25/2010,GLT,2.5305831432
01/26/2010,GLT,2.703559637
01/27/2010,GLT,2.703559637
01/28/2010,GLT,2.4726514816
01/29/2010,GLT,2.6367137432
02/01/2010,GLT,2.5605421066
02/02/2010,GLT,2.5195264816
02/03/2010,GLT,2.408198595
02/04/2010,GLT,2.408198595
02/05/2010,GLT,2.4433546066
02/08/2010,GLT,2.44921422
02/09/2010,GLT,2.431636095
02/10/2010,GLT,2.5078077316
02/11/2010,GLT,2.5781202316
02/12/2010,GLT,2.5781202316
02/22/2010,GLT,2.6015574932
02/23/2010,GLT,2.6015574932
02/24/2010,GLT,2.4199171066
02/25/2010,GLT,2.4902296066
02/26/2010,GLT,2.5664012432
03/01/2010,GLT,2.5781202316
06/24/2009,VTB,0.7850431203
06/25/2009,VTB,0.7906107902
06/26/2009,VTB,0.7516370415
06/29/2009,VTB,0.7683400511
06/30/2009,VTB,0.7349339723
07/01/2009,VTB,0.7516370415
07/02/2009,VTB,0.7739077806
07/03/2009,VTB,0.7683400511
07/06/2009,VTB,0.7906107902
07/07/2009,VTB,0.7627723813
07/08/2009,VTB,0.7627723813
07/09/2009,VTB,0.7627723813
07/10/2009,VTB,0.7794754505
07/13/2009,VTB,0.7739077806
07/14/2009,VTB,0.7516370415
07/15/2009,VTB,0.7794754505
07/16/2009,VTB,0.7794754505
07/17/2009,VTB,0.7572047114
07/20/2009,VTB,0.7627723813
07/21/2009,VTB,0.7683400511
07/22/2009,VTB,0.7683400511
07/23/2009,VTB,0.7365229725
07/24/2009,VTB,0.769257307
07/27/2009,VTB,0.7747130393
07/28/2009,VTB,0.7965359687
07/29/2009,VTB,0.7583459019
07/30/2009,VTB,0.7638015747
07/31/2009,VTB,0.7747130393
08/03/2009,VTB,0.7419787049
08/04/2009,VTB,0.7528901696
08/05/2009,VTB,0.7419787049
08/06/2009,VTB,0.7583459019
03/02/2010,GLT,2.6308543682
03/03/2010,GLT,2.6542918682
03/04/2010,GLT,2.8300726413
03/05/2010,GLT,2.8183538913
03/08/2010,GLT,2.7480416297
03/09/2010,GLT,2.7890572547
03/10/2010,GLT,2.8476507663
03/11/2010,GLT,3.0468690395
03/12/2010,GLT,3.2578060626
03/15/2010,GLT,3.4746029376
03/16/2010,GLT,3.4863214492
03/17/2010,GLT,3.2636656761
03/18/2010,GLT,3.2812438011
03/19/2010,GLT,3.1640565395
03/22/2010,GLT,3.3046813011
03/23/2010,GLT,3.1113221645
03/24/2010,GLT,2.9941349029
03/25/2010,GLT,3.0937440395
03/26/2010,GLT,3.2519469261
03/29/2010,GLT,3.2167906761
03/30/2010,GLT,3.1933534145
03/31/2010,GLT,3.2812438011
04/01/2010,GLT,3.5038995742
04/02/2010,GLT,3.4921808242
04/05/2010,GLT,3.4453058242
04/06/2010,GLT,3.4863214492
04/07/2010,GLT,3.6972584724
04/08/2010,GLT,3.7206962108
04/09/2010,GLT,3.7031180858
04/12/2010,GLT,3.6132802963
08/07/2009,VTB,0.7419787049
08/10/2009,VTB,0.7528901696
08/11/2009,VTB,0.769257307
08/12/2009,VTB,0.769257307
08/13/2009,VTB,0.769257307
08/14/2009,VTB,0.7528901696
08/17/2009,VTB,0.769257307
08/18/2009,VTB,0.769257307
08/19/2009,VTB,0.7801687717
08/20/2009,VTB,0.8019917011
08/21/2009,VTB,0.8074474334
08/24/2009,VTB,0.8074474334
08/25/2009,VTB,1.3614979982
08/26/2009,VTB,0.8129031658
08/27/2009,VTB,0.8183588981
08/28/2009,VTB,0.8401818275
08/31/2009,VTB,0.8783718347
09/01/2009,VTB,0.8729161024
09/03/2009,VTB,0.8729161024
09/04/2009,VTB,0.8456375002
09/07/2009,VTB,0.8729161024
09/08/2009,VTB,0.8892832398
09/09/2009,VTB,0.8892832398
09/10/2009,VTB,0.8947389721
09/11/2009,VTB,0.9383848309
09/14/2009,VTB,0.9820306301
09/15/2009,VTB,0.9820306301
09/16/2009,VTB,0.9874863624
09/17/2009,VTB,0.9874863624
09/18/2009,VTB,0.9820306301
09/21/2009,VTB,0.9820306301
04/13/2010,GLT,3.3658742904
04/14/2010,GLT,3.14148283
04/15/2010,GLT,3.3198451995
04/16/2010,GLT,3.1760044097
04/19/2010,GLT,3.0494246482
04/20/2010,GLT,3.2565555572
04/21/2010,GLT,3.3543670177
04/22/2010,GLT,3.2335407733
04/26/2010,GLT,3.1242218017
04/27/2010,GLT,3.2738163471
04/28/2010,GLT,3.1184682846
04/29/2010,GLT,3.164497137
05/04/2010,GLT,3.112714529
05/05/2010,GLT,3.0724391937
05/06/2010,GLT,3.14148283
05/07/2010,GLT,3.0724391937
05/10/2010,GLT,2.9285984039
05/11/2010,GLT,2.934351921
05/12/2010,GLT,2.9746272563
05/13/2010,GLT,2.9573664665
05/14/2010,GLT,2.8595547676
05/17/2010,GLT,2.7905113697
05/18/2010,GLT,2.7099604606
05/19/2010,GLT,2.7272212505
05/20/2010,GLT,2.8192791938
05/21/2010,GLT,2.6869459152
05/24/2010,GLT,2.5891342163
05/25/2010,GLT,2.7559895515
05/26/2010,GLT,2.7226183414
05/27/2010,GLT,2.5776267051
05/28/2010,GLT,2.754838705
09/22/2009,VTB,0.9765748977
09/23/2009,VTB,0.9711191654
09/24/2009,VTB,0.9547520279
09/25/2009,VTB,0.9547520279
09/28/2009,VTB,0.965663433
09/29/2009,VTB,0.9547520279
09/30/2009,VTB,0.9602077007
10/01/2009,VTB,0.965663433
10/02/2009,VTB,0.9547520279
10/05/2009,VTB,0.9547520279
10/06/2009,VTB,0.9547520279
10/07/2009,VTB,0.9547520279
10/08/2009,VTB,0.9547520279
10/09/2009,VTB,0.9820306301
10/12/2009,VTB,0.9874863624
10/13/2009,VTB,0.965663433
10/14/2009,VTB,0.9711191654
10/15/2009,VTB,0.9765748977
10/16/2009,VTB,0.9765748977
10/19/2009,VTB,1.0038535594
10/20/2009,VTB,1.0529551506
10/21/2009,VTB,1.1020565032
10/22/2009,VTB,1.1566138267
10/23/2009,VTB,1.2111711502
10/26/2009,VTB,1.2548168897
10/27/2009,VTB,1.1728651523
10/28/2009,VTB,1.2309801578
10/29/2009,VTB,1.2890950441
10/30/2009,VTB,1.3524931669
11/02/2009,VTB,1.2890950441
11/03/2009,VTB,1.2256969213
11/04/2009,VTB,1.167582035
11/05/2009,VTB,1.2045642137
05/31/2010,GLT,2.8676095008
06/01/2010,GLT,2.9642706801
06/02/2010,GLT,3.1334274309
06/03/2010,GLT,3.1737028477
06/04/2010,GLT,2.9813415064
06/07/2010,GLT,3.0689867639
06/08/2010,GLT,2.9285076063
06/09/2010,GLT,2.9586984064
06/10/2010,GLT,2.9737938064
06/11/2010,GLT,2.8530306062
06/14/2010,GLT,2.8454829061
06/15/2010,GLT,2.792649006
06/16/2010,GLT,2.9737938064
06/17/2010,GLT,3.0568185066
06/18/2010,GLT,2.9662461064
06/21/2010,GLT,2.9586984064
06/22/2010,GLT,2.9964369065
06/23/2010,GLT,2.9964369065
06/24/2010,GLT,2.9813415064
06/25/2010,GLT,2.9737938064
06/28/2010,GLT,3.0719139066
06/29/2010,GLT,3.0115323065
06/30/2010,GLT,2.9134122063
07/01/2010,GLT,2.9058645063
07/02/2010,GLT,2.8983168063
07/05/2010,GLT,2.8605783062
07/06/2010,GLT,2.800196706
07/07/2010,GLT,2.792649006
07/08/2010,GLT,2.8530306062
07/09/2010,GLT,2.8530306062
07/12/2010,GLT,2.800196706
07/13/2010,GLT,2.792649006
07/14/2010,GLT,2.777553606
11/06/2009,VTB,1.167582035
11/09/2009,VTB,1.1094670295
11/10/2009,VTB,1.0566352605
11/11/2009,VTB,1.0566352605
11/12/2009,VTB,1.1094670295
11/13/2009,VTB,1.0724847316
11/16/2009,VTB,1.0989006757
11/17/2009,VTB,1.1094670295
11/18/2009,VTB,1.104183793
11/19/2009,VTB,1.104183793
11/20/2009,VTB,1.1094670295
11/23/2009,VTB,1.0724847316
11/24/2009,VTB,1.0407857894
11/25/2009,VTB,1.0407857894
11/26/2009,VTB,0.9456885457
11/27/2009,VTB,0.9034231305
11/30/2009,VTB,0.929839015
12/01/2009,VTB,0.9562549591
12/02/2009,VTB,0.9087063074
12/03/2009,VTB,0.9087063074
12/04/2009,VTB,0.9087063074
12/07/2009,VTB,0.9087063074
12/08/2009,VTB,0.8981399536
12/09/2009,VTB,0.824175477
12/10/2009,VTB,0.7871932983
12/11/2009,VTB,0.75021106
12/14/2009,VTB,0.7713437676
12/15/2009,VTB,0.8083260059
12/16/2009,VTB,0.7713437676
12/17/2009,VTB,0.7449278831
12/18/2009,VTB,0.824175477
12/21/2009,VTB,0.8611577153
12/22/2009,VTB,0.8453081846
07/15/2010,GLT,2.792649006
07/16/2010,GLT,2.8077444061
07/19/2010,GLT,2.9309655104
07/20/2010,GLT,2.8140386949
07/21/2010,GLT,2.8062435738
07/22/2010,GLT,2.8841947842
07/23/2010,GLT,2.9153752684
07/26/2010,GLT,2.8763996632
07/27/2010,GLT,2.837424058
07/28/2010,GLT,3.1824648307
07/29/2010,GLT,3.1483365215
07/30/2010,GLT,3.1654006761
08/02/2010,GLT,3.1654006761
08/03/2010,GLT,3.2165931398
08/04/2010,GLT,3.0800799031
