date,ticker,value
07/23/2009,DHC,1.0156812667
07/24/2009,DHC,1.0623792409
07/27/2009,DHC,1.0098439455
07/28/2009,DHC,0.9631459712
07/29/2009,DHC,0.9281225204
07/30/2009,DHC,0.8872617483
07/31/2009,DHC,0.9281225204
08/03/2009,DHC,0.9339597225
08/04/2009,DHC,0.8872617483
08/05/2009,DHC,0.8872617483
08/06/2009,DHC,0.9281225204
08/07/2009,DHC,0.9281225204
08/10/2009,DHC,0.9281225204
08/11/2009,DHC,0.9339597225
08/12/2009,DHC,0.9339597225
08/13/2009,DHC,0.916447997
08/14/2009,DHC,0.9047734737
08/17/2009,DHC,0.916447997
08/18/2009,DHC,0.916447997
08/19/2009,DHC,0.9106107354
08/20/2009,DHC,0.916447997
08/21/2009,DHC,0.8930990099
08/24/2009,DHC,0.9106107354
08/25/2009,DHC,0.0
08/26/2009,DHC,0.9047735929
08/27/2009,DHC,0.910610795
08/28/2009,DHC,0.9514715671
08/31/2009,DHC,0.9981695413
09/01/2009,DHC,1.0273557901
09/03/2009,DHC,1.0740537643
09/04/2009,DHC,1.0740537643
09/07/2009,DHC,1.021518588
09/08/2009,DHC,1.0331929922
09/09/2009,DHC,0.986495018
09/10/2009,DHC,0.986495018
09/11/2009,DHC,0.9981695413
09/14/2009,DHC,0.9981695413
09/15/2009,DHC,0.9923322796
09/16/2009,DHC,1.0390301942
09/17/2009,DHC,1.0390301942
09/18/2009,DHC,1.0623792409
09/21/2009,DHC,1.0798909664
09/22/2009,DHC,1.0798909664
09/23/2009,DHC,1.0857282876
09/24/2009,DHC,1.0740537643
09/25/2009,DHC,1.0740537643
09/28/2009,DHC,1.0565420389
09/29/2009,DHC,1.0682165622
09/30/2009,DHC,1.0915654897
10/01/2009,DHC,1.0623792409
10/02/2009,DHC,1.0798909664
10/05/2009,DHC,1.0740537643
10/06/2009,DHC,1.0798909664
02/24/2009,HAP,1.0123265981
04/10/2009,HAP,0.5491341352
04/13/2009,HAP,0.5730095505
04/14/2009,HAP,1.0123265981
04/15/2009,HAP,0.5730095505
04/17/2009,HAP,0.557092607
04/20/2009,HAP,0.5292379856
04/21/2009,HAP,0.5053625702
04/22/2009,HAP,0.5053625702
04/23/2009,HAP,0.4814872145
04/24/2009,HAP,0.465570271
04/27/2009,HAP,0.4695495069
04/28/2009,HAP,0.4894456565
04/29/2009,HAP,0.513321042
05/04/2009,HAP,0.513321042
05/05/2009,HAP,0.5610718727
05/06/2009,HAP,0.557092607
05/07/2009,HAP,0.584947288
05/08/2009,HAP,0.6128019094
05/11/2009,HAP,0.6406565308
10/07/2009,DHC,1.0798909664
10/08/2009,DHC,1.0798909664
10/09/2009,DHC,1.1324262619
10/12/2009,DHC,1.1849614381
10/13/2009,DHC,1.2433340549
10/14/2009,DHC,1.3017064332
10/15/2009,DHC,1.3659161329
10/16/2009,DHC,1.4301259517
10/19/2009,DHC,1.5001728534
10/20/2009,DHC,1.5702199935
10/21/2009,DHC,1.5060101747
10/22/2009,DHC,1.5760571956
10/23/2009,DHC,1.5001728534
10/26/2009,DHC,1.4884984493
10/27/2009,DHC,1.4242886304
10/28/2009,DHC,1.4301259517
10/29/2009,DHC,1.3600789308
10/30/2009,DHC,1.4242886304
11/02/2009,DHC,1.3542417287
11/03/2009,DHC,1.2900320291
11/04/2009,DHC,1.3250553607
11/05/2009,DHC,1.3892651796
11/06/2009,DHC,1.4534748792
11/09/2009,DHC,1.3834279775
11/10/2009,DHC,1.3717534542
11/11/2009,DHC,1.3717534542
11/12/2009,DHC,1.4009397029
11/13/2009,DHC,1.3892651796
11/16/2009,DHC,1.3775907754
11/17/2009,DHC,1.3250553607
11/18/2009,DHC,1.3075437545
11/19/2009,DHC,1.3250553607
11/20/2009,DHC,1.330892682
05/12/2009,HAP,0.6724904179
05/13/2009,HAP,0.7043242454
05/14/2009,HAP,0.7361581325
05/15/2009,HAP,0.7719712257
05/18/2009,HAP,0.8077843189
05/19/2009,HAP,0.8685035109
05/20/2009,HAP,0.9092783331
05/21/2009,HAP,0.9459756612
05/22/2009,HAP,0.9094478487
05/25/2009,HAP,0.954714477
05/26/2009,HAP,0.9094478487
05/27/2009,HAP,0.9176781177
05/28/2009,HAP,0.8765266537
05/29/2009,HAP,0.888872087
06/01/2009,HAP,0.9300236105
06/02/2009,HAP,0.9670599102
06/03/2009,HAP,1.0123265981
06/04/2009,HAP,1.0617083311
06/05/2009,HAP,1.1110901832
06/08/2009,HAP,1.1645870208
06/09/2009,HAP,1.213968873
06/10/2009,HAP,1.1563568115
06/11/2009,HAP,1.213968873
06/12/2009,HAP,1.1851627826
06/15/2009,HAP,1.1275507211
06/16/2009,HAP,1.0740537643
06/17/2009,HAP,1.0205568075
06/18/2009,HAP,0.9711750745
06/19/2009,HAP,0.9259084463
06/22/2009,HAP,0.9259084463
06/23/2009,HAP,0.880641818
06/24/2009,HAP,0.921793282
06/25/2009,HAP,0.9670599102
11/23/2009,DHC,1.3075437545
11/24/2009,DHC,1.284194827
11/25/2009,DHC,1.2199850082
11/26/2009,DHC,1.1616125106
11/27/2009,DHC,1.1616125106
11/30/2009,DHC,1.2141476869
12/01/2009,DHC,1.2725201845
12/02/2009,DHC,1.2374966144
12/03/2009,DHC,1.284194827
12/04/2009,DHC,1.284194827
12/07/2009,DHC,1.284194827
12/08/2009,DHC,1.2783573865
12/09/2009,DHC,1.2199850082
12/10/2009,DHC,1.1616125106
12/11/2009,DHC,1.1090773344
12/14/2009,DHC,1.1090773344
12/15/2009,DHC,1.1557753086
12/16/2009,DHC,1.1674497127
12/17/2009,DHC,1.1601531505
12/18/2009,DHC,1.2112290859
12/21/2009,DHC,1.2696015834
12/22/2009,DHC,1.3060843944
12/23/2009,DHC,1.2623050212
12/24/2009,DHC,1.2623050212
12/25/2009,DHC,1.2696015834
12/28/2009,DHC,1.2696015834
12/29/2009,DHC,1.2696015834
12/30/2009,DHC,1.2623050212
12/31/2009,DHC,1.255008459
01/04/2010,DHC,1.284194827
01/05/2010,DHC,1.327974081
01/06/2010,DHC,1.2696015834
01/07/2010,DHC,1.2696015834
02/24/2009,SVI,1.7805893421
04/10/2009,SVI,1.2309291362
04/13/2009,SVI,1.2928627729
04/14/2009,SVI,1.7805893421
04/15/2009,SVI,1.3160878419
04/17/2009,SVI,1.3006044626
04/20/2009,SVI,1.2928627729
04/21/2009,SVI,1.2309291362
04/22/2009,SVI,1.1612539291
04/23/2009,SVI,1.091578722
04/24/2009,SVI,1.0838370323
04/27/2009,SVI,1.0838370323
04/28/2009,SVI,1.1535122394
04/29/2009,SVI,1.2309291362
05/04/2009,SVI,1.3160878419
05/05/2009,SVI,1.3935047388
05/06/2009,SVI,1.3702796697
05/07/2009,SVI,1.4012464284
05/08/2009,SVI,1.4089881181
05/11/2009,SVI,1.4476965665
06/26/2009,HAP,0.9794053435
06/29/2009,HAP,0.9752902388
06/30/2009,HAP,0.9670599102
07/01/2009,HAP,0.921793282
07/02/2009,HAP,0.9259084463
07/03/2009,HAP,0.9259084463
07/06/2009,HAP,0.962944746
07/07/2009,HAP,0.9588296413
07/08/2009,HAP,0.9382538795
07/09/2009,HAP,0.9464842081
07/10/2009,HAP,0.9012175202
07/13/2009,HAP,0.8600660562
07/14/2009,HAP,0.8189145922
07/15/2009,HAP,0.8065690994
07/16/2009,HAP,0.8394902944
07/17/2009,HAP,0.8312600255
07/20/2009,HAP,0.7901085615
07/21/2009,HAP,0.7654176354
07/22/2009,HAP,0.7407267689
07/23/2009,HAP,0.7777630686
07/24/2009,HAP,0.8147994279
07/27/2009,HAP,0.8518357872
