date,ticker,value
07/23/2015,ACM,0.9911780016
07/24/2015,ACM,0.9439790491
07/27/2015,ACM,0.8779005157
07/28/2015,ACM,0.9062198872
07/29/2015,ACM,0.9250994682
07/30/2015,ACM,0.9250994682
07/31/2015,ACM,0.8967800967
08/03/2015,ACM,0.8495811442
08/04/2015,ACM,0.8590209347
08/05/2015,ACM,0.8873403062
08/06/2015,ACM,0.8684607252
08/07/2015,ACM,0.8873403062
08/10/2015,ACM,0.8590209347
08/11/2015,ACM,0.8684607252
08/12/2015,ACM,0.8684607252
08/13/2015,ACM,0.8590209347
08/14/2015,ACM,0.7740628203
08/17/2015,ACM,0.6985444964
08/18/2015,ACM,0.6324659629
08/19/2015,ACM,0.57582722
08/20/2015,ACM,0.519188477
08/21/2015,ACM,0.4719895246
08/24/2015,ACM,0.4247905721
08/25/2015,ACM,0.3870314101
08/26/2015,ACM,0.3492722482
02/15/2012,AMC,1.0790433067
02/16/2012,AMC,1.1529503825
02/17/2012,AMC,1.2268574583
02/20/2012,AMC,1.3081552417
02/21/2012,AMC,1.3598901947
02/22/2012,AMC,1.3968437326
02/23/2012,AMC,1.4929229312
02/24/2012,AMC,1.4855322236
02/27/2012,AMC,1.4855322236
02/28/2012,AMC,1.4264065629
02/29/2012,AMC,1.4264065629
03/01/2012,AMC,1.4190158554
03/02/2012,AMC,1.4190158554
03/05/2012,AMC,1.4411879781
03/06/2012,AMC,1.5150950539
03/07/2012,AMC,1.4411879781
03/08/2012,AMC,1.478141516
03/09/2012,AMC,1.4559693933
03/12/2012,AMC,1.3598901947
03/13/2012,AMC,1.3598901947
03/14/2012,AMC,1.2712017038
08/27/2015,ACM,0.3209528767
08/28/2015,ACM,0.3492722482
08/31/2015,ACM,0.3775916197
09/01/2015,ACM,0.4153507816
09/03/2015,ACM,0.4531099436
09/04/2015,ACM,0.4153507816
09/07/2015,ACM,0.3775916197
09/08/2015,ACM,0.3681518292
09/09/2015,ACM,0.3492722482
09/10/2015,ACM,0.3398324577
09/11/2015,ACM,0.3681518292
09/14/2015,ACM,0.3681518292
09/15/2015,ACM,0.3775916197
09/16/2015,ACM,0.3492722482
09/17/2015,ACM,0.3492722482
09/18/2015,ACM,0.3492722482
09/21/2015,ACM,0.3398324577
09/22/2015,ACM,0.3587120387
09/23/2015,ACM,0.3398324577
09/24/2015,ACM,0.3492722482
09/25/2015,ACM,0.3398324577
09/28/2015,ACM,0.3303926672
09/29/2015,ACM,0.3303926672
09/30/2015,ACM,0.3303926672
10/01/2015,ACM,0.3115130862
10/02/2015,ACM,0.3398324577
10/05/2015,ACM,0.3303926672
10/06/2015,ACM,0.3303926672
10/07/2015,ACM,0.3398324577
10/08/2015,ACM,0.3492722482
10/09/2015,ACM,0.3398324577
10/12/2015,ACM,0.3303926672
03/15/2012,AMC,1.1825132128
03/16/2012,AMC,1.1159968446
03/19/2012,AMC,1.0716525991
03/20/2012,AMC,1.0568711839
03/21/2012,AMC,1.0716525991
03/22/2012,AMC,1.0716525991
03/23/2012,AMC,1.1455596749
03/26/2012,AMC,1.2194667507
03/27/2012,AMC,1.2933738265
03/28/2012,AMC,1.3303273644
03/29/2012,AMC,1.3303273644
03/30/2012,AMC,1.2416388734
04/03/2012,AMC,1.2416388734
04/04/2012,AMC,1.2416388734
04/05/2012,AMC,1.2416388734
04/06/2012,AMC,1.1603410901
04/09/2012,AMC,1.1603410901
04/10/2012,AMC,1.1577805178
04/11/2012,AMC,1.1577805178
04/12/2012,AMC,1.1577805178
04/13/2012,AMC,1.1577805178
04/16/2012,AMC,1.1577805178
04/17/2012,AMC,1.1577805178
04/18/2012,AMC,1.1577805178
04/19/2012,AMC,1.1577805178
04/20/2012,AMC,1.2810854246
04/23/2012,AMC,1.3654682969
04/24/2012,AMC,1.4191664884
04/25/2012,AMC,1.4191664884
04/26/2012,AMC,1.3424547863
04/27/2012,AMC,1.4345088288
05/02/2012,AMC,1.5342340415
10/13/2015,ACM,0.3303926672
10/14/2015,ACM,0.3209528767
10/15/2015,ACM,0.3303926672
10/16/2015,ACM,0.3398324577
10/19/2015,ACM,0.3398324577
10/20/2015,ACM,0.3115130862
10/21/2015,ACM,0.3115130862
10/22/2015,ACM,0.3115130862
10/23/2015,ACM,0.3115130862
10/26/2015,ACM,0.3209528767
10/27/2015,ACM,0.3209528767
10/28/2015,ACM,0.3209528767
10/29/2015,ACM,0.3209528767
10/30/2015,ACM,0.3209528767
11/02/2015,ACM,0.3492722482
11/03/2015,ACM,0.3492722482
11/04/2015,ACM,0.3398324577
11/05/2015,ACM,0.3587120387
11/06/2015,ACM,0.3492722482
11/09/2015,ACM,0.3775916197
11/10/2015,ACM,0.3964712006
11/11/2015,ACM,0.3775916197
11/12/2015,ACM,0.4059109911
11/13/2015,ACM,0.4059109911
11/16/2015,ACM,0.4436701531
11/17/2015,ACM,0.4342303626
11/18/2015,ACM,0.4436701531
11/19/2015,ACM,0.4814293151
11/20/2015,ACM,0.5097486865
11/23/2015,ACM,0.5475078485
11/24/2015,ACM,0.5475078485
11/25/2015,ACM,0.5286282675
05/03/2012,AMC,1.6032745734
05/04/2012,AMC,1.4728646798
05/07/2012,AMC,1.4728646798
05/08/2012,AMC,1.3327130715
05/09/2012,AMC,1.2494185045
05/10/2012,AMC,1.2494185045
05/11/2012,AMC,1.1661239376
05/14/2012,AMC,1.0897705845
05/15/2012,AMC,1.0897705845
05/16/2012,AMC,1.0897705845
05/17/2012,AMC,1.0272996593
05/18/2012,AMC,1.0272996593
05/21/2012,AMC,1.0967117984
05/22/2012,AMC,1.0967117984
05/23/2012,AMC,1.0967117984
05/24/2012,AMC,1.0967117984
05/25/2012,AMC,1.1730651515
05/28/2012,AMC,1.1105942262
05/29/2012,AMC,1.1105942262
05/30/2012,AMC,1.1869475793
05/31/2012,AMC,1.1869475793
06/01/2012,AMC,1.1869475793
06/04/2012,AMC,1.214712435
06/05/2012,AMC,1.2355360767
06/06/2012,AMC,1.2355360767
06/07/2012,AMC,1.2355360767
06/08/2012,AMC,1.2355360767
06/11/2012,AMC,1.2355360767
06/12/2012,AMC,1.2355360767
06/13/2012,AMC,1.2494185045
06/14/2012,AMC,1.2494185045
06/15/2012,AMC,1.2494185045
11/26/2015,ACM,0.4908691056
11/27/2015,ACM,0.4625497341
11/30/2015,ACM,0.4342303626
12/01/2015,ACM,0.4531099436
12/02/2015,ACM,0.4625497341
12/03/2015,ACM,0.4436701531
12/04/2015,ACM,0.4342303626
12/07/2015,ACM,0.4153507816
12/08/2015,ACM,0.4531099436
12/09/2015,ACM,0.4719895246
12/10/2015,ACM,0.4625497341
12/11/2015,ACM,0.4342303626
12/14/2015,ACM,0.4059109911
12/15/2015,ACM,0.4342303626
12/16/2015,ACM,0.4436701531
12/17/2015,ACM,0.4342303626
12/18/2015,ACM,0.4342303626
12/21/2015,ACM,0.4342303626
12/22/2015,ACM,0.4247905721
12/23/2015,ACM,0.4059109911
12/24/2015,ACM,0.4247905721
12/25/2015,ACM,0.4153507816
12/28/2015,ACM,0.3870314101
12/29/2015,ACM,0.4059109911
12/30/2015,ACM,0.3964712006
12/31/2015,ACM,0.3964712006
01/04/2016,ACM,0.3964712006
01/05/2016,ACM,0.3870314101
01/06/2016,ACM,0.3775916197
01/07/2016,ACM,0.3681518292
01/08/2016,ACM,0.3398324577
01/11/2016,ACM,0.3587120387
06/18/2012,AMC,1.2494185045
06/19/2012,AMC,1.2494185045
06/20/2012,AMC,1.2494185045
06/21/2012,AMC,1.2494185045
06/22/2012,AMC,1.2494185045
06/25/2012,AMC,1.2494185045
06/26/2012,AMC,1.2494185045
06/27/2012,AMC,1.2494185045
06/28/2012,AMC,1.2494185045
06/29/2012,AMC,1.2494185045
07/02/2012,AMC,1.2494185045
07/03/2012,AMC,1.2494185045
07/04/2012,AMC,1.2494185045
07/05/2012,AMC,1.2494185045
07/06/2012,AMC,1.2494185045
07/09/2012,AMC,1.2494185045
07/10/2012,AMC,1.2494185045
07/11/2012,AMC,1.2494185045
07/12/2012,AMC,1.2494185045
07/13/2012,AMC,1.2494185045
07/16/2012,AMC,1.2494185045
07/17/2012,AMC,1.2996995477
07/18/2012,AMC,1.2996995477
07/19/2012,AMC,1.2996995477
07/20/2012,AMC,1.2996995477
07/23/2012,AMC,1.3403014155
07/24/2012,AMC,1.3403014155
07/25/2012,AMC,1.3403014155
07/26/2012,AMC,1.3403014155
07/27/2012,AMC,1.3403014155
07/30/2012,AMC,1.3403014155
01/12/2016,ACM,0.3681518292
01/13/2016,ACM,0.3870314101
01/14/2016,ACM,0.3775916197
01/15/2016,ACM,0.3587120387
01/18/2016,ACM,0.3492722482
01/19/2016,ACM,0.3587120387
01/20/2016,ACM,0.3587120387
01/21/2016,ACM,0.3587120387
01/22/2016,ACM,0.3492722482
01/25/2016,ACM,0.3660885873
01/26/2016,ACM,0.4026974461
01/27/2016,ACM,0.4210018754
01/28/2016,ACM,0.4026974461
01/29/2016,ACM,0.4301540901
02/01/2016,ACM,0.4118496608
02/02/2016,ACM,0.3935452314
02/03/2016,ACM,0.4301540901
02/04/2016,ACM,0.4393063048
02/05/2016,ACM,0.4301540901
02/15/2016,ACM,0.4210018754
02/16/2016,ACM,0.4484585195
02/17/2016,ACM,0.4484585195
02/18/2016,ACM,0.4393063048
02/19/2016,ACM,0.4210018754
02/22/2016,ACM,0.4301540901
02/23/2016,ACM,0.4301540901
02/24/2016,ACM,0.4576107342
02/25/2016,ACM,0.4576107342
02/26/2016,ACM,0.4576107342
02/29/2016,ACM,0.4667629489
03/01/2016,ACM,0.4667629489
03/02/2016,ACM,0.4759151635
07/31/2012,AMC,1.3403014155
08/01/2012,AMC,1.3403014155
08/02/2012,AMC,1.3403014155
08/03/2012,AMC,1.3403014155
08/06/2012,AMC,1.3403014155
08/07/2012,AMC,1.3403014155
08/08/2012,AMC,1.3403014155
08/09/2012,AMC,1.3403014155
08/10/2012,AMC,1.3403014155
08/13/2012,AMC,1.3403014155
08/14/2012,AMC,1.3403014155
08/15/2012,AMC,1.3403014155
08/16/2012,AMC,1.3403014155
08/17/2012,AMC,1.3403014155
08/20/2012,AMC,1.3403014155
08/21/2012,AMC,1.3403014155
08/22/2012,AMC,1.3403014155
08/23/2012,AMC,1.3403014155
08/24/2012,AMC,1.3403014155
08/27/2012,AMC,1.3403014155
08/28/2012,AMC,1.3403014155
08/29/2012,AMC,1.3403014155
08/30/2012,AMC,1.3403014155
08/31/2012,AMC,1.3403014155
09/04/2012,AMC,1.3403014155
09/05/2012,AMC,1.3403014155
09/06/2012,AMC,1.3403014155
09/07/2012,AMC,1.3403014155
09/10/2012,AMC,1.3403014155
09/11/2012,AMC,1.3403014155
09/12/2012,AMC,1.3403014155
09/13/2012,AMC,1.3403014155
03/03/2016,ACM,0.4667629489
03/04/2016,ACM,0.4667629489
03/07/2016,ACM,0.4667629489
03/08/2016,ACM,0.4759151635
03/09/2016,ACM,0.4576107342
03/10/2016,ACM,0.4210018754
03/11/2016,ACM,0.4118496608
03/14/2016,ACM,0.4393063048
03/15/2016,ACM,0.4301540901
03/16/2016,ACM,0.4301540901
03/17/2016,ACM,0.4393063048
03/18/2016,ACM,0.4301540901
03/21/2016,ACM,0.4210018754
03/22/2016,ACM,0.4210018754
03/23/2016,ACM,0.4301540901
03/24/2016,ACM,0.4212494307
03/25/2016,ACM,0.4212494307
03/28/2016,ACM,0.4120918344
03/29/2016,ACM,0.3937766418
03/30/2016,ACM,0.4029342381
03/31/2016,ACM,0.3937766418
04/01/2016,ACM,0.3846190454
04/04/2016,ACM,0.3663038528
04/05/2016,ACM,0.3663038528
04/06/2016,ACM,0.3937766418
04/07/2016,ACM,0.3846190454
04/08/2016,ACM,0.3754614491
04/11/2016,ACM,0.3754614491
04/12/2016,ACM,0.3846190454
04/13/2016,ACM,0.3846190454
04/14/2016,ACM,0.3937766418
04/15/2016,ACM,0.3846190454
09/14/2012,AMC,1.3403014155
09/17/2012,AMC,1.3403014155
09/18/2012,AMC,1.3403014155
09/19/2012,AMC,1.3403014155
09/20/2012,AMC,1.3403014155
09/21/2012,AMC,1.3403014155
09/24/2012,AMC,1.3403014155
09/25/2012,AMC,1.3403014155
09/26/2012,AMC,1.3403014155
09/27/2012,AMC,1.3403014155
09/28/2012,AMC,1.3403014155
10/01/2012,AMC,1.3403014155
10/02/2012,AMC,1.3519160241
10/03/2012,AMC,1.3519160241
10/04/2012,AMC,1.3519160241
10/05/2012,AMC,1.3519160241
10/08/2012,AMC,1.3519160241
10/09/2012,AMC,1.3519160241
10/10/2012,AMC,1.3519160241
10/11/2012,AMC,1.3519160241
10/12/2012,AMC,1.3519160241
10/15/2012,AMC,1.3519160241
10/16/2012,AMC,1.4063219319
10/17/2012,AMC,1.4063219319
10/18/2012,AMC,1.4063219319
10/19/2012,AMC,1.4063219319
10/22/2012,AMC,1.4063219319
10/23/2012,AMC,1.2820140504
10/24/2012,AMC,1.2820140504
10/25/2012,AMC,1.2820140504
10/26/2012,AMC,1.2820140504
10/29/2012,AMC,1.2820140504
04/19/2016,ACM,0.3846190454
04/20/2016,ACM,0.3754614491
04/21/2016,ACM,0.3937766418
04/22/2016,ACM,0.3818457202
04/25/2016,ACM,0.3818457202
04/26/2016,ACM,0.3727541554
04/27/2016,ACM,0.3727541554
04/28/2016,ACM,0.3727541554
04/29/2016,ACM,0.3636625906
05/04/2016,ACM,0.3430065555
05/05/2016,ACM,0.3727541554
05/06/2016,ACM,0.3636625906
05/09/2016,ACM,0.3727541554
05/10/2016,ACM,0.3909372849
05/11/2016,ACM,0.3909372849
05/12/2016,ACM,0.3818457202
05/13/2016,ACM,0.3727541554
05/16/2016,ACM,0.3727541554
05/17/2016,ACM,0.3818457202
05/18/2016,ACM,0.3727541554
05/19/2016,ACM,0.3727541554
05/20/2016,ACM,0.3818457202
05/23/2016,ACM,0.3727541554
05/24/2016,ACM,0.3727541554
05/25/2016,ACM,0.3909372849
05/26/2016,ACM,0.4000288497
05/27/2016,ACM,0.4182119792
05/30/2016,ACM,0.4000288497
05/31/2016,ACM,0.427303544
06/01/2016,ACM,0.4091204145
06/02/2016,ACM,0.4091204145
06/03/2016,ACM,0.4091204145
10/30/2012,AMC,1.2820140504
10/31/2012,AMC,1.2820140504
