date,ticker,value
08/11/2009,CSM,4.5877022743
08/12/2009,CSM,4.8170871734
08/13/2009,CSM,5.0464725494
08/14/2009,CSM,5.2758574485
08/17/2009,CSM,5.5052428245
08/18/2009,CSM,5.7805047035
08/19/2009,CSM,6.0557670593
08/20/2009,CSM,6.3310289382
08/21/2009,CSM,6.606291294
08/24/2009,CSM,6.9274301528
08/25/2009,CSM,7.75
08/26/2009,CSM,6.9733076095
08/27/2009,CSM,6.9274306297
08/28/2009,CSM,7.110938549
08/31/2009,CSM,7.2944469451
09/01/2009,CSM,7.340323925
09/03/2009,CSM,7.1568155288
09/04/2009,CSM,7.1568155288
09/07/2009,CSM,7.110938549
09/08/2009,CSM,7.2485694885
09/09/2009,CSM,7.2944469451
09/10/2009,CSM,7.6155862808
09/11/2009,CSM,7.9826021194
09/14/2009,CSM,8.349617958
09/15/2009,CSM,8.762512207
09/16/2009,CSM,8.7166347503
09/17/2009,CSM,8.7166347503
09/18/2009,CSM,9.1295270919
09/21/2009,CSM,9.5424213409
09/22/2009,CSM,10.0011911392
09/23/2009,CSM,10.4599609375
09/24/2009,CSM,10.9187316894
09/25/2009,CSM,11.3775024414
09/28/2009,CSM,11.9280261993
09/29/2009,CSM,12.4785509109
09/30/2009,CSM,11.9280261993
10/01/2009,CSM,11.3775024414
10/02/2009,CSM,10.8269777297
10/05/2009,CSM,10.3682079315
10/06/2009,CSM,10.7352237701
10/07/2009,CSM,11.1939935684
10/08/2009,CSM,11.3775024414
10/09/2009,CSM,10.9187316894
10/12/2009,CSM,10.9187316894
10/13/2009,CSM,10.9187316894
10/14/2009,CSM,11.3775024414
10/15/2009,CSM,11.6527643203
10/16/2009,CSM,11.1939935684
10/19/2009,CSM,11.0104856491
10/20/2009,CSM,11.1939935684
10/21/2009,CSM,11.7445173263
10/22/2009,CSM,12.2950420379
10/23/2009,CSM,11.7445173263
10/26/2009,CSM,11.1939935684
10/27/2009,CSM,10.6434698104
10/28/2009,CSM,10.3682079315
10/29/2009,CSM,10.0011911392
10/30/2009,CSM,10.4599609375
11/02/2009,CSM,10.0011911392
11/03/2009,CSM,9.5424213409
11/04/2009,CSM,9.0836505889
11/05/2009,CSM,9.4506664276
11/06/2009,CSM,9.9094371795
11/09/2009,CSM,9.4506664276
11/10/2009,CSM,9.0836505889
11/11/2009,CSM,9.2671594619
11/12/2009,CSM,9.3589124679
11/13/2009,CSM,9.2671594619
11/16/2009,CSM,9.0836505889
11/17/2009,CSM,9.0836505889
11/18/2009,CSM,9.4506664276
11/19/2009,CSM,9.5424213409
11/20/2009,CSM,9.2671594619
11/23/2009,CSM,8.9001426696
11/24/2009,CSM,8.762512207
11/25/2009,CSM,8.349617958
11/26/2009,CSM,7.9367251396
11/27/2009,CSM,7.9367251396
11/30/2009,CSM,8.1202335357
12/01/2009,CSM,8.4413728713
12/02/2009,CSM,8.0284795761
12/03/2009,CSM,7.9826021194
12/04/2009,CSM,7.8908476829
12/07/2009,CSM,7.9367251396
12/08/2009,CSM,7.7532167434
12/09/2009,CSM,7.386200428
12/10/2009,CSM,7.0191845893
12/11/2009,CSM,6.6980452537
12/14/2009,CSM,6.9274306297
12/15/2009,CSM,6.606291294
12/16/2009,CSM,6.2851519584
12/17/2009,CSM,3.2978229522
12/18/2009,CSM,3.4488680362
12/21/2009,CSM,3.5999135971
12/22/2009,CSM,3.7761330604
12/23/2009,CSM,3.9523525238
12/24/2009,CSM,4.1033978462
12/25/2009,CSM,4.1285719871
12/28/2009,CSM,4.1789207458
12/29/2009,CSM,4.3853492736
12/30/2009,CSM,4.5817079544
12/31/2009,CSM,4.8107933998
01/04/2010,CSM,5.0398788452
01/05/2010,CSM,5.2362380027
01/06/2010,CSM,5.1053318977
01/07/2010,CSM,5.1053318977
01/08/2010,CSM,5.1053318977
01/11/2010,CSM,4.9744257926
01/12/2010,CSM,4.7453403472
01/13/2010,CSM,4.908973217
01/14/2010,CSM,4.941699028
01/15/2010,CSM,4.8435201644
01/18/2010,CSM,4.6144342422
01/19/2010,CSM,4.6471610069
01/20/2010,CSM,4.4508023262
01/21/2010,CSM,4.2544431686
01/22/2010,CSM,4.2544431686
01/25/2010,CSM,4.2544431686
01/26/2010,CSM,4.4508023262
01/27/2010,CSM,4.2544431686
01/28/2010,CSM,4.1889901161
01/29/2010,CSM,4.2544431686
02/01/2010,CSM,4.1889901161
02/02/2010,CSM,4.1235370635
02/03/2010,CSM,4.1235370635
02/04/2010,CSM,4.1889901161
02/05/2010,CSM,4.0908107757
02/08/2010,CSM,3.9599049091
02/09/2010,CSM,3.7962725162
02/10/2010,CSM,3.9599049091
02/11/2010,CSM,4.1562638282
02/12/2010,CSM,4.2871699333
02/22/2010,CSM,4.352622509
02/23/2010,CSM,4.1562638282
02/24/2010,CSM,4.1235370635
02/25/2010,CSM,4.0253577232
02/26/2010,CSM,4.0580844879
03/01/2010,CSM,4.1889901161
03/02/2010,CSM,4.1889901161
03/03/2010,CSM,4.2217164039
03/04/2010,CSM,4.1889901161
03/05/2010,CSM,4.1889901161
03/08/2010,CSM,4.3853492736
03/09/2010,CSM,4.5817079544
03/10/2010,CSM,4.7453403472
03/11/2010,CSM,4.6144342422
03/12/2010,CSM,4.5489811897
03/15/2010,CSM,4.6471610069
03/16/2010,CSM,4.4180755615
03/17/2010,CSM,4.3198962211
03/18/2010,CSM,4.5162553787
03/19/2010,CSM,4.4508023262
03/22/2010,CSM,4.4180755615
03/23/2010,CSM,4.2544431686
03/24/2010,CSM,4.352622509
03/25/2010,CSM,4.1889901161
03/26/2010,CSM,3.7409236431
03/29/2010,CSM,3.799375534
03/30/2010,CSM,3.7116975784
03/31/2010,CSM,3.6532459259
04/01/2010,CSM,3.6824715137
04/02/2010,CSM,3.799375534
04/05/2010,CSM,3.857827425
04/06/2010,CSM,3.799375534
04/07/2010,CSM,3.799375534
04/08/2010,CSM,3.7701494693
04/09/2010,CSM,3.799375534
04/12/2010,CSM,3.799375534
04/13/2010,CSM,3.7701494693
04/14/2010,CSM,3.7701494693
04/15/2010,CSM,3.7409236431
04/16/2010,CSM,3.7701494693
04/19/2010,CSM,3.7116975784
04/20/2010,CSM,3.7116975784
04/21/2010,CSM,3.6824715137
04/22/2010,CSM,3.857827425
04/26/2010,CSM,3.799375534
04/27/2010,CSM,3.7409236431
04/28/2010,CSM,3.7701494693
04/29/2010,CSM,3.7409236431
05/04/2010,CSM,3.7409236431
05/05/2010,CSM,3.6824715137
05/06/2010,CSM,3.6824715137
05/07/2010,CSM,3.5655679702
05/10/2010,CSM,3.4778900146
05/11/2010,CSM,3.6240198612
05/12/2010,CSM,3.4778900146
05/13/2010,CSM,3.4778900146
05/14/2010,CSM,3.4778900146
05/17/2010,CSM,3.3609859943
05/18/2010,CSM,3.2733082771
05/19/2010,CSM,3.1271784305
05/20/2010,CSM,3.1271784305
05/21/2010,CSM,2.9810483455
05/24/2010,CSM,2.9810483455
05/25/2010,CSM,2.9810483455
05/26/2010,CSM,3.1271784305
05/27/2010,CSM,3.1271784305
05/28/2010,CSM,3.2440822124
05/31/2010,CSM,3.2148563861
06/01/2010,CSM,3.1564043095
06/02/2010,CSM,3.1564043095
06/03/2010,CSM,3.1271783437
06/04/2010,CSM,2.9118928265
06/07/2010,CSM,3.1564043095
06/08/2010,CSM,2.9950897644
06/09/2010,CSM,2.9673574518
06/10/2010,CSM,2.9673574518
06/11/2010,CSM,3.0355789409
06/14/2010,CSM,2.9202125203
06/15/2010,CSM,2.8769501126
06/16/2010,CSM,2.9202125203
06/17/2010,CSM,2.9418437242
06/18/2010,CSM,2.9346333229
06/21/2010,CSM,2.9274229216
06/22/2010,CSM,2.8841605139
06/23/2010,CSM,2.8841605139
06/24/2010,CSM,2.8697397113
06/25/2010,CSM,2.812056501
06/28/2010,CSM,2.7976356985
06/29/2010,CSM,2.7760044946
06/30/2010,CSM,2.7832148959
07/01/2010,CSM,2.7327420869
07/02/2010,CSM,2.7039004818
07/05/2010,CSM,2.8336877049
07/06/2010,CSM,2.8408981062
07/07/2010,CSM,2.7832148959
07/08/2010,CSM,2.7832148959
07/09/2010,CSM,2.7832148959
07/12/2010,CSM,2.7904252972
07/13/2010,CSM,2.86252931
07/14/2010,CSM,2.8769501126
07/15/2010,CSM,2.8408981062
07/16/2010,CSM,2.8264773036
07/19/2010,CSM,2.812056501
07/20/2010,CSM,2.7904252972
07/21/2010,CSM,2.7471628895
07/22/2010,CSM,2.7471628895
07/23/2010,CSM,2.6482212057
07/26/2010,CSM,2.5853346863
07/27/2010,CSM,2.5853346863
07/28/2010,CSM,2.5224481669
07/29/2010,CSM,2.5154607759
07/30/2010,CSM,2.5154607759
08/02/2010,CSM,2.4385994744
08/03/2010,CSM,2.4316120833
08/04/2010,CSM,2.375712955
08/05/2010,CSM,2.3687255639
08/06/2010,CSM,2.3477633908
08/09/2010,CSM,2.2988516535
08/10/2010,CSM,2.2709020893
08/11/2010,CSM,2.2359651341
08/12/2010,CSM,2.1241668774
08/13/2010,CSM,2.1800660057
08/16/2010,CSM,2.2848768714
08/17/2010,CSM,2.2639146983
08/18/2010,CSM,2.228977743
08/19/2010,CSM,2.1730786147
08/20/2010,CSM,2.2359651341
08/23/2010,CSM,2.2359651341
08/24/2010,CSM,2.1241668774
08/25/2010,CSM,2.0333307938
08/26/2010,CSM,2.0263434028
08/27/2010,CSM,2.0542929669
08/30/2010,CSM,2.1521164416
08/31/2010,CSM,2.2569273072
09/01/2010,CSM,2.2848680564
09/06/2010,CSM,2.3757037895
09/07/2010,CSM,2.3477543332
09/08/2010,CSM,2.2639059641
09/09/2010,CSM,2.1800575951
09/10/2010,CSM,2.1800575951
09/13/2010,CSM,2.1100980442
09/14/2010,CSM,2.1240722034
09/15/2010,CSM,2.1170851238
09/16/2010,CSM,2.1380189348
09/17/2010,CSM,2.2078888346
09/20/2010,CSM,2.2078888346
09/21/2010,CSM,2.1659668948
09/22/2010,CSM,2.1939148547
09/23/2010,CSM,2.1450059248
09/24/2010,CSM,2.1380189348
09/27/2010,CSM,2.1240449549
09/28/2010,CSM,2.1380189348
09/29/2010,CSM,2.1310319448
09/30/2010,CSM,2.1310319448
10/01/2010,CSM,2.1380189348
10/04/2010,CSM,2.0960969949
10/05/2010,CSM,2.0891100049
10/06/2010,CSM,2.1240449549
10/07/2010,CSM,2.1100709749
10/08/2010,CSM,2.0960969949
10/11/2010,CSM,2.0891100049
10/12/2010,CSM,2.047188065
10/13/2010,CSM,2.061162045
10/14/2010,CSM,2.061162045
10/15/2010,CSM,2.1100709749
10/18/2010,CSM,2.1100709749
10/19/2010,CSM,2.061162045
10/20/2010,CSM,1.9843051552
10/21/2010,CSM,1.9912921452
10/22/2010,CSM,1.9134792572
10/25/2010,CSM,1.8869031564
10/26/2010,CSM,1.9134792572
10/27/2010,CSM,1.9001912068
10/28/2010,CSM,1.8935471816
10/29/2010,CSM,1.8935471816
11/01/2010,CSM,1.8935471816
11/02/2010,CSM,1.84039498
11/03/2010,CSM,1.8603270556
11/04/2010,CSM,1.8536830304
11/05/2010,CSM,1.9267673075
11/08/2010,CSM,1.906835232
11/09/2010,CSM,1.8603270556
11/10/2010,CSM,1.8869031564
11/11/2010,CSM,1.8536830304
11/12/2010,CSM,1.8271069296
11/15/2010,CSM,1.8005308288
11/16/2010,CSM,1.7938868036
11/18/2010,CSM,1.6610062996
11/19/2010,CSM,1.6477182492
11/22/2010,CSM,1.6277861736
11/23/2010,CSM,1.6875824004
11/24/2010,CSM,1.6610062996
11/25/2010,CSM,1.6875824004
11/26/2010,CSM,1.67429435
11/29/2010,CSM,1.7540226524
11/30/2010,CSM,1.807174854
12/01/2010,CSM,1.7805987532
12/02/2010,CSM,1.8669710808
12/03/2010,CSM,1.9599874335
12/06/2010,CSM,2.0530037863
12/07/2010,CSM,1.9932075595
12/08/2010,CSM,1.8935471816
12/09/2010,CSM,1.9267673075
12/10/2010,CSM,2.0197836603
12/13/2010,CSM,2.1194440383
12/14/2010,CSM,2.1194440383
12/15/2010,CSM,2.1260880635
12/16/2010,CSM,2.0197836603
12/17/2010,CSM,2.0596478115
12/20/2010,CSM,2.0795798871
12/21/2010,CSM,2.0928679375
12/22/2010,CSM,2.0928679375
12/23/2010,CSM,2.0330717107
12/24/2010,CSM,2.0397157359
12/27/2010,CSM,2.0397157359
12/28/2010,CSM,2.0397157359
12/29/2010,CSM,2.0397157359
12/30/2010,CSM,2.1260880635
12/31/2010,CSM,2.1260880635
01/04/2011,CSM,2.1194440383
01/05/2011,CSM,2.0662918367
01/06/2011,CSM,2.0795798871
01/07/2011,CSM,2.0928679375
01/10/2011,CSM,2.0995119627
01/11/2011,CSM,2.0729358619
01/12/2011,CSM,2.0530301235
01/13/2011,CSM,2.0463860131
01/14/2011,CSM,2.0663183444
01/17/2011,CSM,2.0663183444
01/18/2011,CSM,2.0463860131
01/19/2011,CSM,2.059674234
01/20/2011,CSM,1.9932331296
01/21/2011,CSM,2.0131654609
01/24/2011,CSM,1.9932331296
01/25/2011,CSM,1.8454346908
01/26/2011,CSM,1.7828775826
01/27/2011,CSM,1.7828775826
01/28/2011,CSM,1.8704575341
02/08/2011,CSM,1.8641779084
02/09/2011,CSM,1.8141328639
02/10/2011,CSM,1.8078772333
02/11/2011,CSM,1.7891103416
02/14/2011,CSM,1.8141328639
02/15/2011,CSM,1.8141328639
02/16/2011,CSM,1.7828547111
02/17/2011,CSM,1.7390652971
02/18/2011,CSM,1.7202984054
02/21/2011,CSM,1.6389752081
02/22/2011,CSM,1.5576520107
02/23/2011,CSM,1.5326294885
02/24/2011,CSM,1.4575619217
02/25/2011,CSM,1.4700731828
02/28/2011,CSM,1.43879503
03/01/2011,CSM,1.4385864572
03/02/2011,CSM,1.3760392199
03/03/2011,CSM,1.3072372589
03/04/2011,CSM,1.2947278114
03/07/2011,CSM,1.2947278114
03/08/2011,CSM,1.3009825352
03/09/2011,CSM,1.2697089165
03/10/2011,CSM,1.3322561538
03/11/2011,CSM,1.3322561538
03/14/2011,CSM,1.3009825352
03/15/2011,CSM,1.2384352979
03/16/2011,CSM,1.1821427844
03/17/2011,CSM,1.2384352979
03/18/2011,CSM,1.2947278114
03/21/2011,CSM,1.3572750487
03/22/2011,CSM,1.3760392199
03/23/2011,CSM,1.3885486673
03/24/2011,CSM,1.3197467063
03/25/2011,CSM,1.3197467063
03/28/2011,CSM,1.3009825352
03/29/2011,CSM,1.2697089165
03/30/2011,CSM,1.2321805742
03/31/2011,CSM,1.2509447454
04/01/2011,CSM,1.2571994691
04/04/2011,CSM,1.2196711267
04/05/2011,CSM,1.2384352979
04/06/2011,CSM,1.2634541928
04/07/2011,CSM,1.2384352979
04/08/2011,CSM,1.2384352979
04/13/2011,CSM,1.2196711267
04/14/2011,CSM,1.213416403
04/15/2011,CSM,1.1821427844
04/18/2011,CSM,1.1383597183
04/19/2011,CSM,1.1070860996
04/20/2011,CSM,1.1195955471
04/21/2011,CSM,1.0945766522
04/22/2011,CSM,1.0570483098
04/25/2011,CSM,1.107100302
04/26/2011,CSM,1.100845498
04/27/2011,CSM,1.0945906941
04/28/2011,CSM,1.0820810861
04/29/2011,CSM,1.107100302
05/04/2011,CSM,1.0945906941
05/05/2011,CSM,1.0695714782
05/06/2011,CSM,1.0758262822
05/09/2011,CSM,1.0945906941
05/10/2011,CSM,1.0695714782
05/11/2011,CSM,1.0508070663
05/12/2011,CSM,1.0570618703
02/24/2009,DRC,4.7210516929
04/10/2009,DRC,1.8252435922
04/13/2009,DRC,1.9128552675
04/14/2009,DRC,4.7210516929
04/15/2009,DRC,1.7741367816
04/17/2009,DRC,1.847146511
04/20/2009,DRC,1.7163016796
04/21/2009,DRC,1.7234232425
04/22/2009,DRC,1.8088822364
04/23/2009,DRC,1.8160039186
04/24/2009,DRC,1.7875175476
04/27/2009,DRC,1.8088822364
04/28/2009,DRC,1.8943412303
04/29/2009,DRC,1.9869219064
05/04/2009,DRC,1.9869219064
05/05/2009,DRC,2.1792047023
05/13/2011,CSM,1.0695714782
05/16/2011,CSM,1.0273898894
05/17/2011,CSM,0.9902553151
05/18/2011,CSM,0.9593098365
05/19/2011,CSM,0.9902553151
05/20/2011,CSM,0.9840662193
05/23/2011,CSM,0.9407425493
05/24/2011,CSM,0.8974188793
05/25/2011,CSM,0.860284305
05/26/2011,CSM,0.8974188793
05/27/2011,CSM,0.8107715392
05/30/2011,CSM,0.8107715392
05/31/2011,CSM,0.8107715392
06/01/2011,CSM,0.8479061135
06/02/2011,CSM,0.8850406878
06/03/2011,CSM,0.8664734007
06/06/2011,CSM,0.8788515921
06/07/2011,CSM,0.9221752621
06/08/2011,CSM,0.9221752621
06/09/2011,CSM,0.9283643579
06/10/2011,CSM,0.9407425493
06/13/2011,CSM,0.9407425493
06/14/2011,CSM,0.9283643579
06/15/2011,CSM,0.8850406878
06/16/2011,CSM,0.9221752621
06/17/2011,CSM,0.8974188793
06/20/2011,CSM,0.8726624964
06/21/2011,CSM,0.9159861664
06/22/2011,CSM,0.8850406878
06/23/2011,CSM,0.8664734007
10/07/2009,SRC,3.7621510028
10/08/2009,SRC,3.9502584934
10/09/2009,SRC,4.1383662223
10/12/2009,SRC,4.3264737129
10/13/2009,SRC,4.5145812034
10/14/2009,SRC,4.7403101921
10/15/2009,SRC,4.9660396575
10/16/2009,SRC,5.1917686462
10/19/2009,SRC,5.417497158
10/20/2009,SRC,5.6808481216
10/21/2009,SRC,5.9441986083
10/22/2009,SRC,6.2075490951
10/23/2009,SRC,6.5085215568
10/26/2009,SRC,6.24517107
10/27/2009,SRC,5.9441986083
10/28/2009,SRC,5.7937126159
10/29/2009,SRC,5.5303621292
10/30/2009,SRC,5.7937126159
11/02/2009,SRC,5.5303621292
05/06/2009,DRC,2.2860283851
05/07/2009,DRC,2.3999736309
05/08/2009,DRC,2.513919115
05/11/2009,DRC,2.6349859237
05/12/2009,DRC,2.7631745338
05/13/2009,DRC,2.8984847068
05/14/2009,DRC,2.9910652637
05/15/2009,DRC,3.1406185626
05/18/2009,DRC,3.0622811317
05/19/2009,DRC,3.2118341922
05/20/2009,DRC,3.3685090541
05/21/2009,DRC,3.532305479
05/22/2009,DRC,3.6916494369
05/25/2009,DRC,3.8691325187
05/26/2009,DRC,4.0466156005
05/27/2009,DRC,4.2240986824
05/28/2009,DRC,4.2240986824
05/29/2009,DRC,4.117609024
06/01/2009,DRC,4.2950921058
06/02/2009,DRC,4.5080718994
06/03/2009,DRC,4.7210516929
06/04/2009,DRC,4.9340314865
06/05/2009,DRC,5.14701128
06/08/2009,DRC,5.3954877853
06/09/2009,DRC,5.6439638137
06/10/2009,DRC,5.892440319
06/11/2009,DRC,6.176413536
06/12/2009,DRC,6.4603862762
06/15/2009,DRC,6.7798562049
06/16/2009,DRC,6.637869358
06/17/2009,DRC,6.8508491516
06/18/2009,DRC,7.1703190803
06/24/2011,CSM,0.8912297835
06/27/2011,CSM,0.8912297835
06/28/2011,CSM,0.8664734007
06/29/2011,CSM,0.8788515921
06/30/2011,CSM,0.8479061135
07/01/2011,CSM,0.8479061135
07/04/2011,CSM,0.8417170178
07/05/2011,CSM,0.8788515921
07/06/2011,CSM,0.8788515921
07/07/2011,CSM,0.8664734007
07/08/2011,CSM,0.8664734007
07/11/2011,CSM,0.8726624964
07/12/2011,CSM,0.8540952092
07/13/2011,CSM,0.8664734007
07/14/2011,CSM,0.860284305
07/15/2011,CSM,0.8664734007
07/18/2011,CSM,0.860284305
07/19/2011,CSM,0.860284305
07/20/2011,CSM,0.860284305
07/21/2011,CSM,0.8540952092
07/22/2011,CSM,0.8540952092
07/25/2011,CSM,0.8355279221
07/26/2011,CSM,0.9410903918
07/27/2011,CSM,0.9339609192
07/28/2011,CSM,0.9125725012
07/29/2011,CSM,0.8983135558
08/01/2011,CSM,0.8983135558
08/02/2011,CSM,0.8697956652
08/03/2011,CSM,0.8626661925
08/04/2011,CSM,0.9054430285
08/05/2011,CSM,0.8983135558
08/08/2011,CSM,0.8697956652
11/03/2009,SRC,5.2670116424
11/04/2009,SRC,5.0036606788
11/05/2009,SRC,5.2293901443
11/06/2009,SRC,5.417497158
11/09/2009,SRC,5.1541466712
11/10/2009,SRC,4.9660396575
11/11/2009,SRC,5.078903675
11/12/2009,SRC,5.2293901443
11/13/2009,SRC,5.2293901443
11/16/2009,SRC,5.078903675
11/17/2009,SRC,5.078903675
11/18/2009,SRC,5.3046331405
11/19/2009,SRC,5.417497158
11/20/2009,SRC,5.1917686462
11/23/2009,SRC,4.9660396575
11/24/2009,SRC,4.7403101921
11/25/2009,SRC,4.5145812034
11/26/2009,SRC,4.2888522148
11/27/2009,SRC,4.2136092185
11/30/2009,SRC,4.4017167091
12/01/2009,SRC,4.5898241996
12/02/2009,SRC,4.4017167091
12/03/2009,SRC,4.5898241996
12/04/2009,SRC,4.8155531883
12/07/2009,SRC,4.9660396575
12/08/2009,SRC,4.7403101921
12/09/2009,SRC,4.5145812034
12/10/2009,SRC,4.2888522148
12/11/2009,SRC,4.1007447242
12/14/2009,SRC,4.2512307167
12/15/2009,SRC,4.2512307167
06/19/2009,DRC,7.0993256568
06/22/2009,DRC,6.7443594932
06/23/2009,DRC,6.4248895645
06/24/2009,DRC,6.1054201126
06/25/2009,DRC,6.3893933296
06/26/2009,DRC,6.3893933296
06/29/2009,DRC,6.0699234008
06/30/2009,DRC,5.7859506607
07/01/2009,DRC,5.5019774436
07/02/2009,DRC,5.3244943618
07/03/2009,DRC,5.1825079917
07/06/2009,DRC,5.4309840202
07/07/2009,DRC,5.6794605255
07/08/2009,DRC,5.9634337425
07/09/2009,DRC,5.9634337425
07/10/2009,DRC,5.9634337425
07/13/2009,DRC,5.6794605255
07/14/2009,DRC,5.7859506607
07/15/2009,DRC,5.7859506607
07/16/2009,DRC,6.0699234008
07/17/2009,DRC,6.2474064826
07/20/2009,DRC,5.9634337425
07/21/2009,DRC,5.7149572372
07/22/2009,DRC,5.7504539489
07/23/2009,DRC,6.0344266891
07/24/2009,DRC,6.3183999061
07/27/2009,DRC,6.4603862762
07/28/2009,DRC,3.7040970325
07/29/2009,DRC,3.6184532642
07/30/2009,DRC,3.5328094959
07/31/2009,DRC,3.6612751483
08/03/2009,DRC,3.6398642063
08/09/2011,CSM,0.8484072472
08/10/2011,CSM,0.8626661925
08/11/2011,CSM,0.8626661925
08/12/2011,CSM,0.8697956652
08/15/2011,CSM,0.8983135558
08/16/2011,CSM,0.8769251378
08/17/2011,CSM,0.9197019738
08/18/2011,CSM,0.9482198645
08/19/2011,CSM,0.9410903918
08/22/2011,CSM,0.9767377552
08/23/2011,CSM,0.9696082825
08/24/2011,CSM,0.9482198645
08/25/2011,CSM,0.9553493372
08/26/2011,CSM,0.9482198645
08/29/2011,CSM,0.9838672278
08/30/2011,CSM,0.9909967005
08/31/2011,CSM,0.9909967005
09/01/2011,CSM,0.9909967005
09/05/2011,CSM,0.9624788098
09/06/2011,CSM,0.9339609192
09/07/2011,CSM,0.9696082825
