date,ticker,value
10/14/2016,APL,0.0
10/17/2016,APL,0.0
10/18/2016,APL,0.0
10/19/2016,APL,0.0
10/20/2016,APL,0.0
10/21/2016,APL,0.0
10/24/2016,APL,0.0
10/25/2016,APL,0.0
10/26/2016,APL,0.0
10/27/2016,APL,0.0
10/28/2016,APL,0.0
10/31/2016,APL,0.0
11/01/2016,APL,0.0
11/02/2016,APL,0.0
11/03/2016,APL,0.0
11/04/2016,APL,0.0
11/07/2016,APL,0.0
11/08/2016,APL,0.0
11/09/2016,APL,0.0
11/10/2016,APL,0.0
11/11/2016,APL,0.0
11/14/2016,APL,0.0
11/15/2016,APL,0.0
11/16/2016,APL,0.0
11/17/2016,APL,0.0
11/18/2016,APL,0.0
11/21/2016,APL,0.0
11/22/2016,APL,0.0
11/23/2016,APL,0.0
11/24/2016,APL,0.0
11/25/2016,APL,0.0
11/28/2016,APL,0.0
11/29/2016,APL,0.0
11/30/2016,APL,0.0
12/01/2016,APL,0.0
12/02/2016,APL,0.0
12/05/2016,APL,0.0
12/06/2016,APL,0.0
12/07/2016,APL,0.0
12/08/2016,APL,0.0
12/09/2016,APL,0.0
12/12/2016,APL,0.0
12/13/2016,APL,0.0
12/14/2016,APL,0.0
12/15/2016,APL,0.0
12/16/2016,APL,0.0
12/19/2016,APL,0.0
12/20/2016,APL,0.0
12/21/2016,APL,0.0
12/22/2016,APL,0.0
12/23/2016,APL,0.0
12/26/2016,APL,0.0
12/27/2016,APL,0.0
12/28/2016,APL,0.0
12/29/2016,APL,0.0
12/30/2016,APL,0.0
01/03/2017,APL,0.0
01/04/2017,APL,0.0
01/05/2017,APL,0.0
01/06/2017,APL,0.0
01/09/2017,APL,0.0
01/10/2017,APL,0.0
01/11/2017,APL,0.0
01/12/2017,APL,0.0
01/13/2017,APL,0.0
01/16/2017,APL,0.0
01/17/2017,APL,0.0
01/18/2017,APL,0.0
01/19/2017,APL,0.0
01/20/2017,APL,0.0
01/23/2017,APL,0.0
01/24/2017,APL,0.0
01/25/2017,APL,0.0
02/02/2017,APL,0.0
02/03/2017,APL,0.0
02/06/2017,APL,0.0
02/07/2017,APL,0.0
02/08/2017,APL,0.0
02/09/2017,APL,0.0
02/10/2017,APL,0.0
02/13/2017,APL,0.0
02/14/2017,APL,0.0
02/15/2017,APL,0.0
02/16/2017,APL,0.0
02/17/2017,APL,0.0
02/20/2017,APL,0.0
02/21/2017,APL,0.0
02/22/2017,APL,0.0
02/24/2009,CTB,0.9294452667
04/10/2009,CTB,0.8725572824
04/13/2009,CTB,0.9152698516
04/14/2009,CTB,0.9294452667
04/15/2009,CTB,0.9152698516
04/17/2009,CTB,0.8542518615
04/20/2009,CTB,0.8054374456
04/21/2009,CTB,0.7566230893
04/22/2009,CTB,0.7871320843
04/23/2009,CTB,0.7871320843
04/24/2009,CTB,0.8115392923
04/27/2009,CTB,0.7871320843
04/28/2009,CTB,0.7871320843
04/29/2009,CTB,0.7383176684
05/04/2009,CTB,0.7749284505
05/05/2009,CTB,0.8237428665
05/06/2009,CTB,0.7932338714
02/23/2017,APL,0.0
02/24/2017,APL,0.0
02/27/2017,APL,0.0
02/28/2017,APL,0.0
03/01/2017,APL,0.0
03/02/2017,APL,0.0
03/03/2017,APL,0.0
03/06/2017,APL,0.0
03/07/2017,APL,0.0
03/08/2017,APL,0.0
03/09/2017,APL,0.0
03/10/2017,APL,0.0
03/13/2017,APL,0.0
03/14/2017,APL,0.0
03/15/2017,APL,0.0
03/16/2017,APL,0.0
03/17/2017,APL,0.0
03/20/2017,APL,0.0
03/21/2017,APL,0.0
03/22/2017,APL,0.0
03/23/2017,APL,0.0
03/24/2017,APL,0.0
03/27/2017,APL,0.0
03/28/2017,APL,0.0
03/29/2017,APL,0.0
03/30/2017,APL,0.0
03/31/2017,APL,0.0
04/03/2017,APL,0.0
04/04/2017,APL,0.0
04/05/2017,APL,0.0
04/07/2017,APL,0.0
05/07/2009,CTB,0.8359464406
05/08/2009,CTB,0.8725572824
05/11/2009,CTB,0.8847608566
05/12/2009,CTB,0.8847608566
05/13/2009,CTB,0.8542518615
05/14/2009,CTB,0.7993356585
05/15/2009,CTB,0.8542518615
05/18/2009,CTB,0.8359464406
05/19/2009,CTB,0.8847608566
05/20/2009,CTB,0.9274734258
05/21/2009,CTB,0.9335752725
05/22/2009,CTB,0.8725572824
05/25/2009,CTB,0.9396770596
05/26/2009,CTB,0.9762878417
05/27/2009,CTB,0.9274734258
05/28/2009,CTB,0.8470894098
05/29/2009,CTB,0.8470894098
06/01/2009,CTB,0.8706196546
06/02/2009,CTB,0.9294452667
06/03/2009,CTB,0.9294452667
06/04/2009,CTB,0.9059150218
06/05/2009,CTB,0.9470930099
06/08/2009,CTB,1.0118012428
06/09/2009,CTB,1.0823919773
06/10/2009,CTB,1.0588617324
06/11/2009,CTB,1.0706268548
06/12/2009,CTB,1.0706268548
06/15/2009,CTB,1.1176873445
06/16/2009,CTB,1.0765094757
06/17/2009,CTB,1.1412175893
06/18/2009,CTB,1.0823919773
06/19/2009,CTB,1.0412139892
04/10/2017,APL,0.0
04/11/2017,APL,0.0
04/12/2017,APL,0.0
04/13/2017,APL,0.0
04/14/2017,APL,0.0
04/17/2017,APL,0.0
04/18/2017,APL,0.0
04/19/2017,APL,0.0
04/20/2017,APL,0.0
04/21/2017,APL,0.0
04/24/2017,APL,0.0
04/25/2017,APL,0.0
04/26/2017,APL,0.0
04/27/2017,APL,0.0
04/28/2017,APL,0.0
05/03/2017,APL,0.0
05/04/2017,APL,0.0
