date,ticker,value
09/24/2009,AAM,1.3147226572
09/25/2009,AAM,1.3781522512
09/28/2009,AAM,1.441581726
09/29/2009,AAM,1.5136609077
09/30/2009,AAM,1.5857399702
10/01/2009,AAM,1.6578190326
10/02/2009,AAM,1.7298980951
10/05/2009,AAM,1.8163930177
10/06/2009,AAM,1.8163930177
10/07/2009,AAM,1.7443139553
10/08/2009,AAM,1.7875614166
10/09/2009,AAM,1.8740563392
10/12/2009,AAM,1.9605512619
10/13/2009,AAM,1.8884720802
10/14/2009,AAM,1.9461354017
10/15/2009,AAM,1.9605512619
10/16/2009,AAM,1.9173036813
10/19/2009,AAM,1.9605512619
10/20/2009,AAM,2.0182144641
10/21/2009,AAM,2.0037987232
10/22/2009,AAM,2.0037987232
10/23/2009,AAM,1.9461354017
10/26/2009,AAM,1.9317196607
10/27/2009,AAM,1.8740563392
10/28/2009,AAM,1.9173036813
10/29/2009,AAM,1.8740563392
10/30/2009,AAM,1.8308088779
11/02/2009,AAM,1.7875614166
11/03/2009,AAM,1.2138118743
11/04/2009,AAM,1.1965129375
11/05/2009,AAM,1.2138118743
11/06/2009,AAM,1.1849802732
11/09/2009,AAM,1.1273169517
11/10/2009,AAM,1.0984853506
11/11/2009,AAM,1.153265357
11/12/2009,AAM,1.1965129375
11/13/2009,AAM,1.2051624059
11/16/2009,AAM,1.170564413
11/17/2009,AAM,1.4805045127
11/18/2009,AAM,1.4655120372
11/19/2009,AAM,1.4992450475
11/20/2009,AAM,1.4917488098
11/23/2009,AAM,1.4242827892
11/24/2009,AAM,1.4242827892
11/25/2009,AAM,1.3530687093
11/26/2009,AAM,1.2856025695
11/27/2009,AAM,1.2930988073
11/30/2009,AAM,1.2631139755
12/01/2009,AAM,1.3118393421
12/02/2009,AAM,1.2481215
12/03/2009,AAM,1.2481215
12/04/2009,AAM,1.2556177377
12/07/2009,AAM,1.2556177377
12/08/2009,AAM,1.2518695592
12/09/2009,AAM,1.1918997764
12/10/2009,AAM,1.1356781721
12/11/2009,AAM,1.1624776124
12/14/2009,AAM,1.218986988
12/15/2009,AAM,1.2109142541
12/16/2009,AAM,1.0799881219
12/17/2009,AAM,1.0799881219
12/18/2009,AAM,1.1324876546
12/21/2009,AAM,1.1812371015
12/22/2009,AAM,1.1624872684
12/23/2009,AAM,1.1249877214
12/24/2009,AAM,1.1324876546
12/25/2009,AAM,1.1887369155
12/28/2009,AAM,1.1999869346
12/29/2009,AAM,1.1999869346
12/30/2009,AAM,1.2599861621
12/31/2009,AAM,1.203736782
01/04/2010,AAM,1.263736248
01/05/2010,AAM,1.2937358617
01/06/2010,AAM,1.2749860286
01/07/2010,AAM,1.338735342
