date,ticker,value
10/07/2015,NAF,2.4536058826
10/08/2015,NAF,2.5158350173
10/09/2015,NAF,2.4891653882
10/12/2015,NAF,2.4447160062
10/13/2015,NAF,2.4358261298
10/14/2015,NAF,2.4358261298
10/15/2015,NAF,2.4269362535
10/16/2015,NAF,2.4269362535
10/19/2015,NAF,2.4180463771
10/20/2015,NAF,2.4091565007
10/21/2015,NAF,2.4091565007
10/22/2015,NAF,2.4091565007
10/23/2015,NAF,2.4269362535
10/26/2015,NAF,2.4269362535
10/27/2015,NAF,2.4002666243
10/28/2015,NAF,2.3913767479
10/29/2015,NAF,2.4713856354
10/30/2015,NAF,2.6402932867
11/02/2015,NAF,2.8180908145
11/03/2015,NAF,2.8447604436
11/04/2015,NAF,2.8180908145
11/05/2015,NAF,2.8269806908
11/06/2015,NAF,2.7825313089
11/09/2015,NAF,2.7825313089
11/10/2015,NAF,2.8180908145
11/11/2015,NAF,2.8180908145
11/12/2015,NAF,2.8092009381
11/13/2015,NAF,2.8447604436
11/16/2015,NAF,2.969218713
11/17/2015,NAF,2.9069895783
11/18/2015,NAF,2.8892098256
11/19/2015,NAF,2.8625401964
11/20/2015,NAF,2.8358705672
11/23/2015,NAF,2.7914211853
11/24/2015,NAF,2.7647515561
11/25/2015,NAF,2.8003110617
11/26/2015,NAF,2.7647515561
11/27/2015,NAF,2.6758527923
11/30/2015,NAF,2.6669629159
12/01/2015,NAF,2.6491831631
12/02/2015,NAF,2.7025224214
12/03/2015,NAF,2.7025224214
12/04/2015,NAF,2.6847426687
12/07/2015,NAF,2.6491831631
12/08/2015,NAF,2.6669629159
12/09/2015,NAF,2.6491831631
12/10/2015,NAF,2.6314034103
12/11/2015,NAF,2.6402932867
12/14/2015,NAF,2.6402932867
12/15/2015,NAF,2.6491831631
12/16/2015,NAF,2.6491831631
12/17/2015,NAF,2.6580730395
12/18/2015,NAF,2.6669629159
12/21/2015,NAF,2.6758527923
12/22/2015,NAF,2.7025224214
12/23/2015,NAF,2.6847426687
12/24/2015,NAF,2.6936325451
12/25/2015,NAF,2.6936325451
12/28/2015,NAF,2.6758527923
12/29/2015,NAF,2.6847426687
12/30/2015,NAF,2.6847426687
12/31/2015,NAF,2.6669629159
01/04/2016,NAF,2.6314034103
01/05/2016,NAF,2.578064152
01/06/2016,NAF,2.5958439048
01/07/2016,NAF,2.578064152
01/08/2016,NAF,2.5513945229
01/11/2016,NAF,2.5513945229
01/12/2016,NAF,2.5602843993
01/13/2016,NAF,2.5513945229
01/14/2016,NAF,2.5336147701
01/15/2016,NAF,2.4980552646
01/18/2016,NAF,2.4269362535
01/19/2016,NAF,2.4713856354
01/20/2016,NAF,2.4447160062
01/21/2016,NAF,2.4269362535
01/22/2016,NAF,2.4447160062
01/25/2016,NAF,2.6136236576
01/26/2016,NAF,2.5602843993
01/27/2016,NAF,2.5869540284
01/28/2016,NAF,2.5513945229
01/29/2016,NAF,2.5691742756
02/01/2016,NAF,2.5602843993
02/02/2016,NAF,2.5513945229
02/03/2016,NAF,2.5425046465
02/04/2016,NAF,2.5425046465
02/05/2016,NAF,2.5336147701
02/15/2016,NAF,2.4802755118
02/16/2016,NAF,2.4891653882
02/17/2016,NAF,2.4891653882
02/18/2016,NAF,2.5069451409
02/19/2016,NAF,2.379871671
02/22/2016,NAF,2.3883109322
02/23/2016,NAF,2.3883109322
02/24/2016,NAF,2.379871671
02/25/2016,NAF,2.3714324097
02/26/2016,NAF,2.3714324097
02/29/2016,NAF,2.3545538872
03/01/2016,NAF,2.3714324097
03/02/2016,NAF,2.3883109322
03/03/2016,NAF,2.379871671
03/04/2016,NAF,2.3883109322
03/07/2016,NAF,2.379871671
03/08/2016,NAF,2.3714324097
03/09/2016,NAF,2.3629931485
03/10/2016,NAF,2.3714324097
03/11/2016,NAF,2.3714324097
03/14/2016,NAF,2.379871671
03/15/2016,NAF,2.3714324097
03/16/2016,NAF,2.379871671
03/17/2016,NAF,2.3883109322
03/18/2016,NAF,2.3967501934
03/21/2016,NAF,2.3967501934
03/22/2016,NAF,2.3967501934
03/23/2016,NAF,2.4051894547
03/24/2016,NAF,2.4051894547
03/25/2016,NAF,2.4136287159
03/28/2016,NAF,2.4473857609
03/29/2016,NAF,2.4895820671
03/30/2016,NAF,2.4895820671
03/31/2016,NAF,2.4544409866
04/01/2016,NAF,2.4376297469
04/04/2016,NAF,2.4376297469
04/05/2016,NAF,2.4880634658
04/06/2016,NAF,2.5216859451
04/07/2016,NAF,2.5300915649
04/08/2016,NAF,2.5048747055
04/11/2016,NAF,2.4880634658
04/12/2016,NAF,2.479657846
04/13/2016,NAF,2.479657846
04/14/2016,NAF,2.479657846
04/15/2016,NAF,2.4880634658
04/19/2016,NAF,2.4460353667
04/20/2016,NAF,2.4628466064
04/21/2016,NAF,2.4880634658
04/22/2016,NAF,2.5132803253
04/25/2016,NAF,2.4964690856
04/26/2016,NAF,2.5132803253
04/27/2016,NAF,2.4964690856
04/28/2016,NAF,2.4964690856
04/29/2016,NAF,2.4964690856
05/04/2016,NAF,2.4050684726
05/05/2016,NAF,2.4572052206
05/06/2016,NAF,2.4738079585
05/09/2016,NAF,2.4489038516
05/10/2016,NAF,2.4489038516
05/11/2016,NAF,2.4489038516
05/12/2016,NAF,2.4406024826
05/13/2016,NAF,2.4239997446
05/16/2016,NAF,2.4239997446
05/17/2016,NAF,2.4239997446
05/18/2016,NAF,2.4156983756
05/19/2016,NAF,2.4156983756
05/20/2016,NAF,2.4073970066
05/23/2016,NAF,2.3990956377
05/24/2016,NAF,2.4073970066
05/25/2016,NAF,2.4073970066
05/26/2016,NAF,2.3492874237
05/27/2016,NAF,2.3492874237
05/30/2016,NAF,2.3575887927
05/31/2016,NAF,2.3575887927
06/01/2016,NAF,2.3575887927
06/02/2016,NAF,2.3409860547
06/03/2016,NAF,2.3409860547
06/06/2016,NAF,2.3326846857
06/07/2016,NAF,2.3409860547
06/08/2016,NAF,2.3409860547
