date,ticker,value
12/24/2013,PVB,1.2253771184
12/25/2013,PVB,1.3471537265
12/26/2013,PVB,1.4765413725
12/27/2013,PVB,1.6211510946
12/30/2013,PVB,1.7429277026
12/31/2013,PVB,1.7200945886
01/02/2014,PVB,1.5754848666
01/03/2014,PVB,1.5526517526
01/06/2014,PVB,1.4232641065
01/07/2014,PVB,1.5602627906
01/08/2014,PVB,1.5602627906
01/09/2014,PVB,1.5907069426
01/10/2014,PVB,1.5879203797
01/13/2014,PVB,1.618904192
01/14/2014,PVB,1.7738232534
01/15/2014,PVB,1.7118556288
01/16/2014,PVB,1.7428394411
01/17/2014,PVB,1.7041096758
01/20/2014,PVB,1.5646825205
01/21/2014,PVB,1.6576339573
01/22/2014,PVB,1.6653799104
01/23/2014,PVB,1.5016145917
01/24/2014,PVB,1.5016145917
01/27/2014,PVB,1.5016145917
02/06/2014,PVB,1.5016145917
02/07/2014,PVB,1.4599030753
02/10/2014,PVB,1.4112396394
02/11/2014,PVB,1.3903838812
02/12/2014,PVB,1.4181915588
02/13/2014,PVB,1.4320953976
02/14/2014,PVB,1.4390473171
02/17/2014,PVB,1.4599030753
02/18/2014,PVB,1.6058933828
02/19/2014,PVB,1.7657875291
02/20/2014,PVB,1.8770182396
02/21/2014,PVB,1.9048259173
02/24/2014,PVB,2.0855758218
02/25/2014,PVB,2.2663257264
02/26/2014,PVB,2.2524218876
02/27/2014,PVB,2.0299604666
02/28/2014,PVB,2.0230085472
03/03/2014,PVB,1.9882489501
03/04/2014,PVB,2.0160566278
03/05/2014,PVB,2.0091047084
03/06/2014,PVB,2.0230085472
03/07/2014,PVB,2.0230085472
03/10/2014,PVB,2.0230085472
03/11/2014,PVB,1.9812970307
03/12/2014,PVB,1.9465374337
03/13/2014,PVB,1.9812970307
03/14/2014,PVB,1.9465374337
03/17/2014,PVB,1.8978739979
03/18/2014,PVB,1.9187297561
03/19/2014,PVB,1.9187297561
03/20/2014,PVB,1.8770182396
03/21/2014,PVB,1.9117778367
03/24/2014,PVB,1.8909220785
03/25/2014,PVB,1.8631144008
03/26/2014,PVB,1.6893164157
03/27/2014,PVB,1.8561624814
03/28/2014,PVB,1.9187297561
03/31/2014,PVB,1.9117778367
04/01/2014,PVB,1.8839701591
04/02/2014,PVB,1.8561624814
04/03/2014,PVB,1.7866432874
04/04/2014,PVB,1.7935952068
04/07/2014,PVB,1.7935952068
04/08/2014,PVB,1.7657875291
04/10/2014,PVB,1.8214028844
04/11/2014,PVB,1.8074990456
04/14/2014,PVB,1.7657875291
04/15/2014,PVB,1.8214028844
04/16/2014,PVB,1.8214028844
04/17/2014,PVB,1.8770182396
04/18/2014,PVB,1.8422586426
04/21/2014,PVB,1.747645929
04/22/2014,PVB,1.7343051204
04/23/2014,PVB,1.8010091635
04/24/2014,PVB,1.8010091635
04/25/2014,PVB,1.8076795678
04/28/2014,PVB,1.8210203764
04/29/2014,PVB,1.8210203764
05/05/2014,PVB,1.7743275463
05/06/2014,PVB,1.7743275463
05/07/2014,PVB,1.7676571419
05/08/2014,PVB,1.6676010773
05/09/2014,PVB,1.7676571419
05/12/2014,PVB,1.5942266299
05/13/2014,PVB,1.5675450127
05/14/2014,PVB,1.660930673
05/15/2014,PVB,1.6342490558
