date,ticker,value
02/24/2009,ASP,1.124657154
04/10/2009,ASP,0.9326342344
04/13/2009,ASP,0.978351593
04/14/2009,ASP,1.124657154
04/15/2009,ASP,1.0149254798
04/17/2009,ASP,0.9874950647
04/20/2009,ASP,0.9396313428
04/21/2009,ASP,0.8940181732
04/22/2009,ASP,0.8666502237
04/23/2009,ASP,0.8392823338
04/24/2009,ASP,0.8027918338
04/27/2009,ASP,0.8392823338
04/28/2009,ASP,0.8575276136
04/29/2009,ASP,0.8575276136
05/04/2009,ASP,0.8575276136
05/05/2009,ASP,0.9305086731
05/06/2009,ASP,0.8848955035
05/07/2009,ASP,0.921386063
05/08/2009,ASP,0.921386063
05/11/2009,ASP,0.9669992327
05/12/2009,ASP,1.0126123428
05/13/2009,ASP,1.0582255125
05/14/2009,ASP,1.0582255125
05/15/2009,ASP,1.0673482418
05/18/2009,ASP,0.9943671226
05/19/2009,ASP,1.0399802923
05/20/2009,ASP,1.0855934619
05/21/2009,ASP,1.1312066316
05/22/2009,ASP,1.0367933511
05/25/2009,ASP,1.080725193
05/26/2009,ASP,1.0631524324
05/27/2009,ASP,1.0543661117
05/28/2009,ASP,1.0367933511
05/29/2009,ASP,1.0367933511
06/01/2009,ASP,1.080725193
06/02/2009,ASP,1.1334435939
06/03/2009,ASP,1.124657154
06/04/2009,ASP,1.1773754358
06/05/2009,ASP,1.2300938367
06/08/2009,ASP,1.2915984392
06/09/2009,ASP,1.3531031608
06/10/2009,ASP,1.2915984392
06/11/2009,ASP,1.3531031608
06/12/2009,ASP,1.3794623613
06/15/2009,ASP,1.3179576396
06/16/2009,ASP,1.256452918
06/17/2009,ASP,1.1949481964
06/18/2009,ASP,1.2476665973
06/19/2009,ASP,1.2037346363
06/22/2009,ASP,1.1510163545
06/23/2009,ASP,1.0982980728
06/24/2009,ASP,1.1510163545
06/25/2009,ASP,1.1334435939
06/26/2009,ASP,1.1334435939
06/29/2009,ASP,1.0895116329
06/30/2009,ASP,1.0367933511
07/01/2009,ASP,1.00164783
07/02/2009,ASP,1.0455796718
07/03/2009,ASP,1.0455796718
07/06/2009,ASP,1.0895116329
07/07/2009,ASP,1.0895116329
07/08/2009,ASP,1.0543661117
07/09/2009,ASP,1.0719388723
07/10/2009,ASP,1.0543661117
07/13/2009,ASP,1.0104341506
07/14/2009,ASP,1.0104341506
07/15/2009,ASP,1.0455796718
07/16/2009,ASP,1.0543661117
07/17/2009,ASP,1.0367933511
07/20/2009,ASP,1.0104341506
07/21/2009,ASP,1.0192205905
07/22/2009,ASP,1.0280069112
07/23/2009,ASP,1.0543661117
07/24/2009,ASP,1.1070843935
07/27/2009,ASP,1.1598026752
07/28/2009,ASP,1.2125209569
07/29/2009,ASP,1.2652393579
07/30/2009,ASP,1.1385850906
07/31/2009,ASP,1.1468958854
08/03/2009,ASP,1.1219633817
08/04/2009,ASP,1.088719964
08/05/2009,ASP,1.1219633817
08/06/2009,ASP,1.1468958854
08/07/2009,ASP,1.1385850906
08/10/2009,ASP,1.188450098
08/11/2009,ASP,1.188450098
08/12/2009,ASP,1.1718283891
08/13/2009,ASP,1.1635175943
08/14/2009,ASP,1.1302741765
08/17/2009,ASP,1.1302741765
08/18/2009,ASP,1.1302741765
08/19/2009,ASP,1.1635175943
