date,ticker,value
09/23/2014,TVC,1.510415476
09/24/2014,TVC,1.6595923131
09/25/2014,TVC,1.8180927026
09/26/2014,TVC,1.9952401967
09/29/2014,TVC,2.1817112431
09/30/2014,TVC,2.3961529465
10/01/2014,TVC,2.6292417546
10/02/2014,TVC,2.4427707081
10/03/2014,TVC,2.3308880803
10/06/2014,TVC,2.3868293942
10/07/2014,TVC,2.3961529465
10/08/2014,TVC,2.2749467664
10/09/2014,TVC,2.265623214
10/10/2014,TVC,2.1910347955
10/13/2014,TVC,2.4054764989
10/14/2014,TVC,2.6385653069
10/15/2014,TVC,2.7504479347
10/16/2014,TVC,2.6478888592
10/17/2014,TVC,2.6758595162
10/20/2014,TVC,2.6851830685
10/21/2014,TVC,2.7038301731
10/22/2014,TVC,2.7690950394
10/23/2014,TVC,2.787742144
10/24/2014,TVC,2.7404143376
10/27/2014,TVC,2.7584433793
10/28/2014,TVC,2.7945014627
10/29/2014,TVC,2.8846466712
10/30/2014,TVC,3.1009951715
10/31/2014,TVC,3.3173436719
11/03/2014,TVC,3.0469080464
11/04/2014,TVC,3.0018354422
11/05/2014,TVC,3.0288790047
11/06/2014,TVC,3.0288790047
11/07/2014,TVC,3.0378935256
11/10/2014,TVC,3.0198644839
11/11/2014,TVC,3.0288790047
11/12/2014,TVC,3.0469080464
11/13/2014,TVC,3.0288790047
11/14/2014,TVC,3.0288790047
11/17/2014,TVC,3.0469080464
11/18/2014,TVC,3.0649370881
11/19/2014,TVC,3.0919806507
11/20/2014,TVC,3.1190242132
11/21/2014,TVC,3.1190242132
11/24/2014,TVC,3.1550822966
11/25/2014,TVC,3.1550822966
11/26/2014,TVC,3.19114038
11/27/2014,TVC,3.2452275051
11/28/2014,TVC,3.2903001093
12/01/2014,TVC,3.2542420259
12/02/2014,TVC,3.1190242132
12/03/2014,TVC,3.1009951715
12/04/2014,TVC,3.1190242132
12/05/2014,TVC,3.1009951715
12/08/2014,TVC,3.0198644839
12/09/2014,TVC,2.7674579002
12/10/2014,TVC,2.7674579002
12/11/2014,TVC,2.7494288585
12/12/2014,TVC,2.776472421
12/15/2014,TVC,2.7945014627
12/16/2014,TVC,2.8035159835
12/17/2014,TVC,2.7494288585
12/18/2014,TVC,2.7584433793
12/19/2014,TVC,2.7494288585
12/22/2014,TVC,2.7404143376
12/23/2014,TVC,2.7223852959
12/24/2014,TVC,2.5330803581
12/25/2014,TVC,2.5511093998
12/26/2014,TVC,2.3167318578
12/29/2014,TVC,2.1815140451
12/30/2014,TVC,2.2356011701
12/31/2014,TVC,2.3978625454
01/05/2015,TVC,2.3888480246
01/06/2015,TVC,2.3437754203
01/07/2015,TVC,2.361804462
01/08/2015,TVC,2.3708189829
01/09/2015,TVC,2.3978625454
