date,ticker,value
03/12/2012,ASA,0.0
03/13/2012,ASA,0.0
03/14/2012,ASA,0.0
03/15/2012,ASA,0.0
03/16/2012,ASA,0.0
03/19/2012,ASA,0.0
03/20/2012,ASA,0.0
03/21/2012,ASA,0.0
03/22/2012,ASA,0.0
03/23/2012,ASA,0.0
03/26/2012,ASA,0.0
03/27/2012,ASA,0.0
03/28/2012,ASA,0.0
03/29/2012,ASA,0.0
03/30/2012,ASA,0.0
04/03/2012,ASA,0.0
04/04/2012,ASA,0.0
04/05/2012,ASA,0.0
04/06/2012,ASA,0.0
04/09/2012,ASA,0.0
04/10/2012,ASA,0.0
04/11/2012,ASA,0.0
04/12/2012,ASA,0.0
04/13/2012,ASA,0.0
04/16/2012,ASA,0.0
04/17/2012,ASA,1.3731190361
04/18/2012,ASA,1.3923234982
04/19/2012,ASA,1.4307324223
04/20/2012,ASA,1.5267547325
04/23/2012,ASA,1.6035725807
04/24/2012,ASA,1.5363569635
04/25/2012,ASA,1.4979480394
04/26/2012,ASA,1.4211301913
04/27/2012,ASA,1.4403346533
05/02/2012,ASA,1.4211301913
05/03/2012,ASA,1.4211301913
05/04/2012,ASA,1.4211301913
05/07/2012,ASA,1.5171525015
05/08/2012,ASA,1.6227770427
05/09/2012,ASA,1.5987186807
05/10/2012,ASA,1.5795723492
05/11/2012,ASA,1.4742675259
05/14/2012,ASA,1.3785358684
05/15/2012,ASA,1.3115237081
05/16/2012,ASA,1.3306700396
05/17/2012,ASA,1.3019505423
05/18/2012,ASA,1.3210968738
05/21/2012,ASA,1.4072553656
05/22/2012,ASA,1.3210968738
05/23/2012,ASA,1.3115237081
05/24/2012,ASA,1.3019505423
05/25/2012,ASA,1.3881090341
05/28/2012,ASA,1.3785358684
05/29/2012,ASA,1.3593895369
05/30/2012,ASA,1.3498163711
05/31/2012,ASA,1.3306700396
06/01/2012,ASA,1.4168285314
06/04/2012,ASA,1.3402432054
06/05/2012,ASA,1.4264016971
06/06/2012,ASA,1.5221333547
06/07/2012,ASA,1.6274381779
06/08/2012,ASA,1.5795723492
06/11/2012,ASA,1.5508528519
06/12/2012,ASA,1.4646943601
06/13/2012,ASA,1.4264016971
06/14/2012,ASA,1.4072553656
06/15/2012,ASA,1.4168285314
06/18/2012,ASA,1.4455480286
06/19/2012,ASA,1.4455480286
06/20/2012,ASA,1.4455480286
06/21/2012,ASA,1.4455480286
06/22/2012,ASA,1.4168285314
06/25/2012,ASA,1.3881090341
06/26/2012,ASA,1.3689627026
06/27/2012,ASA,1.3593895369
06/28/2012,ASA,1.3785358684
06/29/2012,ASA,1.3976821999
07/02/2012,ASA,1.3881090341
07/03/2012,ASA,1.3689627026
07/04/2012,ASA,1.3498163711
07/05/2012,ASA,1.3689627026
07/06/2012,ASA,1.3785358684
07/09/2012,ASA,1.3593895369
07/10/2012,ASA,1.3498163711
07/11/2012,ASA,1.3593895369
07/12/2012,ASA,1.3593895369
07/13/2012,ASA,1.3785358684
07/16/2012,ASA,1.3306700396
07/17/2012,ASA,1.3689627026
07/18/2012,ASA,1.3593895369
07/19/2012,ASA,1.3976821999
07/20/2012,ASA,1.3689627026
07/23/2012,ASA,1.356271457
07/24/2012,ASA,1.356271457
07/25/2012,ASA,1.356271457
07/26/2012,ASA,1.3658226644
07/27/2012,ASA,1.3467202496
