date,ticker,value
12/17/2010,EVE,1.3039750779
12/20/2010,EVE,1.3677249706
12/21/2010,EVE,1.3474409138
12/22/2010,EVE,1.3474409138
12/23/2010,EVE,1.3184636898
12/24/2010,EVE,1.3387477466
12/27/2010,EVE,1.3387477466
12/28/2010,EVE,1.2721001315
12/29/2010,EVE,1.2749978539
12/30/2010,EVE,1.3039750779
12/31/2010,EVE,1.3039750779
01/04/2011,EVE,1.2749978539
01/05/2011,EVE,1.24602063
01/06/2011,EVE,1.231532018
01/07/2011,EVE,1.2605092419
01/10/2011,EVE,1.1996570716
01/11/2011,EVE,1.2576115195
01/12/2011,EVE,1.2721001315
01/13/2011,EVE,1.2894864659
01/14/2011,EVE,1.2923841883
01/17/2011,EVE,1.2923841883
01/18/2011,EVE,1.3126682451
01/19/2011,EVE,1.2981796331
01/20/2011,EVE,1.2981796331
01/21/2011,EVE,1.3097705227
01/24/2011,EVE,1.3039750779
01/25/2011,EVE,1.2894864659
01/26/2011,EVE,1.2807932987
01/27/2011,EVE,1.3068728003
01/28/2011,EVE,1.3213614122
02/08/2011,EVE,1.3242591346
02/09/2011,EVE,1.327156857
02/10/2011,EVE,1.3242591346
02/11/2011,EVE,1.3242591346
02/14/2011,EVE,1.2894864659
02/15/2011,EVE,1.2923841883
02/16/2011,EVE,1.2981796331
02/17/2011,EVE,1.2836910211
02/18/2011,EVE,1.2807932987
02/21/2011,EVE,1.217043406
02/22/2011,EVE,1.0440502811
02/23/2011,EVE,1.0806836243
02/24/2011,EVE,1.106850298
02/25/2011,EVE,1.1304003043
02/28/2011,EVE,1.1304003043
03/01/2011,EVE,1.1304003043
03/02/2011,EVE,1.1304003043
03/03/2011,EVE,1.1304003043
03/04/2011,EVE,1.1304003043
03/07/2011,EVE,1.0754502895
03/08/2011,EVE,1.0754502895
03/09/2011,EVE,1.0754502895
03/10/2011,EVE,1.1277836369
03/11/2011,EVE,1.1330169717
03/14/2011,EVE,1.0780669569
03/15/2011,EVE,1.0283502768
03/16/2011,EVE,0.9786335968
03/17/2011,EVE,0.9786335968
03/18/2011,EVE,1.0257336095
03/21/2011,EVE,1.0702169548
03/22/2011,EVE,1.0178836074
03/23/2011,EVE,1.0178836074
03/24/2011,EVE,1.0395434413
03/25/2011,EVE,1.0689392713
03/28/2011,EVE,1.0956627531
03/29/2011,EVE,1.0956627531
03/30/2011,EVE,1.1384203239
03/31/2011,EVE,1.1384203239
04/01/2011,EVE,1.1384203239
04/04/2011,EVE,1.0956627531
04/05/2011,EVE,1.0689392713
04/06/2011,EVE,1.0689392713
04/07/2011,EVE,1.0689392713
04/08/2011,EVE,1.0689392713
04/13/2011,EVE,1.0689392713
04/14/2011,EVE,1.0956627531
04/15/2011,EVE,1.0956627531
04/18/2011,EVE,1.0689392713
04/19/2011,EVE,1.0154923077
04/20/2011,EVE,1.0635945749
04/21/2011,EVE,1.0128199595
04/22/2011,EVE,1.0582498786
04/25/2011,EVE,1.0689392713
04/26/2011,EVE,1.0689392713
04/27/2011,EVE,1.0956627531
