date,ticker,value
08/02/2017,BHA,1.1732699564
08/03/2017,BHA,1.1732699564
08/04/2017,BHA,1.1732699564
08/07/2017,BHA,1.2905969521
08/08/2017,BHA,1.2905969521
08/09/2017,BHA,1.2905969521
08/10/2017,BHA,1.2905969521
08/11/2017,BHA,1.2905969521
08/14/2017,BHA,1.2905969521
08/15/2017,BHA,1.2905969521
08/16/2017,BHA,1.2905969521
08/17/2017,BHA,1.2905969521
08/18/2017,BHA,1.2905969521
08/21/2017,BHA,1.2905969521
08/22/2017,BHA,1.2905969521
08/23/2017,BHA,1.2905969521
08/24/2017,BHA,1.2905969521
08/25/2017,BHA,1.2905969521
08/28/2017,BHA,1.2905969521
08/29/2017,BHA,1.2905969521
08/30/2017,BHA,1.2905969521
08/31/2017,BHA,1.2905969521
09/01/2017,BHA,1.2905969521
09/05/2017,BHA,1.2905969521
09/06/2017,BHA,1.2905969521
09/07/2017,BHA,1.2905969521
09/08/2017,BHA,1.4718671603
09/11/2017,BHA,1.4665874455
09/12/2017,BHA,1.4665874455
09/13/2017,BHA,1.4665874455
09/14/2017,BHA,1.4665874455
09/15/2017,BHA,1.4665874455
09/18/2017,BHA,1.4783201451
09/19/2017,BHA,1.4783201451
09/20/2017,BHA,1.4783201451
09/21/2017,BHA,1.4783201451
09/22/2017,BHA,1.4783201451
09/25/2017,BHA,1.4783201451
09/26/2017,BHA,1.4783201451
09/27/2017,BHA,1.5956471407
09/28/2017,BHA,1.5956471407
09/29/2017,BHA,1.5252509433
10/02/2017,BHA,1.5252509433
10/03/2017,BHA,1.5252509433
10/04/2017,BHA,1.5436712817
10/05/2017,BHA,1.5487163425
10/06/2017,BHA,1.5487163425
10/09/2017,BHA,1.5487163425
10/10/2017,BHA,1.5487163425
10/11/2017,BHA,1.5487163425
10/12/2017,BHA,1.5487163425
10/13/2017,BHA,1.7716376342
10/16/2017,BHA,2.0297570246
10/17/2017,BHA,2.0297570246
10/18/2017,BHA,2.0297570246
10/19/2017,BHA,1.7599049346
10/20/2017,BHA,1.9006973294
10/23/2017,BHA,1.9006973294
10/24/2017,BHA,1.9006973294
10/25/2017,BHA,1.9006973294
10/26/2017,BHA,1.9006973294
10/27/2017,BHA,1.9006973294
10/30/2017,BHA,1.9006973294
10/31/2017,BHA,1.9006973294
11/01/2017,BHA,1.6191125399
11/02/2017,BHA,1.6191125399
11/03/2017,BHA,1.8420338316
11/06/2017,BHA,1.8420338316
11/07/2017,BHA,1.5839144412
11/08/2017,BHA,1.5545826922
11/09/2017,BHA,1.7833703337
11/10/2017,BHA,1.9828262263
11/13/2017,BHA,1.6895087372
11/14/2017,BHA,1.9358954281
11/15/2017,BHA,1.6543106385
11/16/2017,BHA,1.8654992307
11/17/2017,BHA,1.8654992307
11/20/2017,BHA,1.9945589259
11/21/2017,BHA,1.9945589259
11/22/2017,BHA,1.9945589259
11/23/2017,BHA,1.9945589259
11/24/2017,BHA,1.9945589259
11/25/2009,BTP,1.1535253524
11/26/2009,BTP,1.0979338884
11/27/2009,BTP,1.1465765237
11/30/2009,BTP,1.0909849405
12/01/2009,BTP,1.0909849405
12/02/2009,BTP,1.0423423051
12/03/2009,BTP,0.9936996102
12/04/2009,BTP,0.9450569748
12/07/2009,BTP,0.9728527665
12/08/2009,BTP,0.9381080865
12/09/2009,BTP,0.8964143395
12/10/2009,BTP,0.8547206521
12/11/2009,BTP,0.8269248604
12/14/2009,BTP,0.8408227562
12/15/2009,BTP,0.9587615728
12/16/2009,BTP,0.9361136555
12/17/2009,BTP,0.92856431
11/27/2017,BHA,1.9945589259
11/28/2017,BHA,1.9945589259
11/29/2017,BHA,1.9945589259
11/30/2017,BHA,1.9945589259
12/01/2017,BHA,1.9945589259
12/04/2017,BHA,1.9945589259
12/05/2017,BHA,2.0414897242
12/06/2017,BHA,2.0414897242
12/07/2017,BHA,2.0414897242
12/08/2017,BHA,2.0532224237
12/11/2017,BHA,2.0532224237
12/12/2017,BHA,2.0532224237
12/13/2017,BHA,2.0532224237
12/14/2017,BHA,2.0532224237
12/15/2017,BHA,2.0532224237
12/18/2017,BHA,2.0532224237
12/19/2017,BHA,2.0532224237
12/20/2017,BHA,1.7540385848
12/21/2017,BHA,1.5369836429
12/22/2017,BHA,1.7599049346
12/25/2017,BHA,1.9828262263
12/26/2017,BHA,1.6922072581
12/27/2017,BHA,1.9358954281
12/28/2017,BHA,1.9358954281
12/29/2017,BHA,1.9358954281
01/02/2018,BHA,1.7012414368
01/03/2018,BHA,1.535458392
01/04/2018,BHA,1.722360296
01/05/2018,BHA,1.7247068359
01/08/2018,BHA,1.6939671631
01/09/2018,BHA,1.6895087372
01/10/2018,BHA,1.7599049346
12/18/2009,BTP,0.9738601446
12/21/2009,BTP,1.0191559791
12/22/2009,BTP,1.0191559791
12/23/2009,BTP,1.0116066932
12/24/2009,BTP,1.0040574073
12/25/2009,BTP,1.041803956
12/28/2009,BTP,1.0191559791
12/29/2009,BTP,1.0191559791
12/30/2009,BTP,1.0191559791
12/31/2009,BTP,0.9814094305
01/04/2010,BTP,1.026705265
01/05/2010,BTP,1.026705265
01/06/2010,BTP,1.026705265
01/07/2010,BTP,0.9965081214
01/08/2010,BTP,0.9889587759
01/11/2010,BTP,0.9738601446
01/12/2010,BTP,0.9814094305
01/13/2010,BTP,0.9587615728
01/14/2010,BTP,0.9663108587
01/15/2010,BTP,0.943663001
01/18/2010,BTP,0.9210150837
01/19/2010,BTP,0.9210150837
01/20/2010,BTP,0.92856431
01/21/2010,BTP,0.8983671069
01/22/2010,BTP,0.9059163928
01/25/2010,BTP,0.8983671069
01/26/2010,BTP,0.9059163928
01/27/2010,BTP,0.9059163928
01/28/2010,BTP,0.8757191896
01/29/2010,BTP,0.9059163928
02/01/2010,BTP,0.8757191896
02/02/2010,BTP,0.890817821
01/11/2018,BHA,1.7599049346
01/12/2018,BHA,1.7599049346
01/15/2018,BHA,1.5734320287
01/16/2018,BHA,1.5734320287
01/17/2018,BHA,1.5734320287
01/18/2018,BHA,1.5734320287
01/19/2018,BHA,1.6439217836
01/22/2018,BHA,1.6468588567
01/23/2018,BHA,1.6468588567
01/24/2018,BHA,1.625879763
01/25/2018,BHA,1.625879763
01/26/2018,BHA,1.625879763
01/29/2018,BHA,1.625879763
01/30/2018,BHA,1.625879763
01/31/2018,BHA,1.625879763
02/01/2018,BHA,1.5821383526
02/02/2018,BHA,1.5176276394
02/05/2018,BHA,1.5209842944
02/06/2018,BHA,1.5209842944
02/07/2018,BHA,1.5209842944
02/08/2018,BHA,1.5209842944
02/09/2018,BHA,1.5734320287
02/12/2018,BHA,1.5734320287
02/13/2018,BHA,1.5734320287
02/21/2018,BHA,1.5734320287
02/22/2018,BHA,1.4171377805
02/23/2018,BHA,1.4160888258
02/26/2018,BHA,1.4160888258
02/27/2018,BHA,1.4160888258
02/28/2018,BHA,1.4160888258
03/01/2018,BHA,1.4160888258
03/02/2018,BHA,1.4160888258
02/03/2010,BTP,0.92856431
02/04/2010,BTP,0.9663108587
02/05/2010,BTP,0.9210150837
02/08/2010,BTP,0.9245829582
02/09/2010,BTP,0.9094258546
02/10/2010,BTP,0.9094258546
02/11/2010,BTP,0.9094258546
02/12/2010,BTP,0.9245829582
02/22/2010,BTP,0.9170044064
02/23/2010,BTP,0.9170044064
02/24/2010,BTP,0.9018472433
02/25/2010,BTP,0.9094258546
02/26/2010,BTP,0.9321614503
03/01/2010,BTP,0.8942687511
03/02/2010,BTP,0.8866901993
03/03/2010,BTP,0.9094258546
03/04/2010,BTP,0.8942687511
03/05/2010,BTP,0.8715331554
03/08/2010,BTP,0.8942687511
03/09/2010,BTP,0.8791116476
03/10/2010,BTP,0.8942687511
03/11/2010,BTP,0.8866901993
03/12/2010,BTP,0.8866901993
03/15/2010,BTP,0.8866901993
03/16/2010,BTP,0.8791116476
03/17/2010,BTP,0.8715331554
03/18/2010,BTP,0.8791116476
03/19/2010,BTP,0.8715331554
03/22/2010,BTP,0.863954544
03/23/2010,BTP,0.863954544
03/24/2010,BTP,0.8866901993
03/25/2010,BTP,0.8866901993
03/26/2010,BTP,0.8715331554
03/05/2018,BHA,1.4160888258
03/06/2018,BHA,1.4160888258
