date,ticker,value
03/11/2010,CKV,0.9277112483
03/12/2010,CKV,0.9918614625
03/15/2010,CKV,1.0609462261
03/16/2010,CKV,1.1349658966
03/17/2010,CKV,1.2139199972
03/18/2010,CKV,1.1547044515
03/19/2010,CKV,1.0905541181
03/22/2010,CKV,1.149769783
03/23/2010,CKV,1.0905541181
03/24/2010,CKV,1.0313385725
03/25/2010,CKV,1.0017306804
03/26/2010,CKV,0.9523843526
03/29/2010,CKV,0.9918614625
03/30/2010,CKV,0.9375805258
03/31/2010,CKV,0.8931687474
04/01/2010,CKV,0.9079726934
04/02/2010,CKV,0.9326458573
04/05/2010,CKV,0.8931687474
04/06/2010,CKV,0.8931687474
04/07/2010,CKV,0.8882341384
04/08/2010,CKV,0.9326458573
04/09/2010,CKV,0.9918614625
04/12/2010,CKV,0.9573189616
04/13/2010,CKV,0.9227765798
04/14/2010,CKV,0.8931687474
04/15/2010,CKV,0.9688802957
04/16/2010,CKV,1.0218245983
04/19/2010,CKV,1.0641800165
04/20/2010,CKV,1.0588855743
04/21/2010,CKV,1.1330075263
04/22/2010,CKV,1.1012409925
04/26/2010,CKV,1.0271189212
04/27/2010,CKV,0.9847636222
04/28/2010,CKV,1.0112357139
04/29/2010,CKV,1.0112357139
05/04/2010,CKV,1.0800632238
05/05/2010,CKV,1.1541852951
05/06/2010,CKV,1.2336016893
05/07/2010,CKV,1.3130180835
05/10/2010,CKV,1.2336016893
05/11/2010,CKV,1.1541852951
05/12/2010,CKV,1.0747689008
05/13/2010,CKV,1.0059413909
05/14/2010,CKV,1.0694744586
05/17/2010,CKV,1.0535911321
05/18/2010,CKV,0.9900580048
05/19/2010,CKV,0.9318193197
05/20/2010,CKV,0.9265248179
05/21/2010,CKV,0.8682861328
05/24/2010,CKV,0.9000527262
05/25/2010,CKV,0.9265248179
05/26/2010,CKV,0.942408204
05/27/2010,CKV,0.9529970288
05/28/2010,CKV,1.0006468296
05/31/2010,CKV,1.0588855743
06/01/2010,CKV,0.9847635824
06/02/2010,CKV,0.9741747267
06/03/2010,CKV,0.9424081595
06/04/2010,CKV,0.9318193038
06/07/2010,CKV,0.9371137317
06/08/2010,CKV,0.8841694531
06/09/2010,CKV,0.9424081595
06/10/2010,CKV,0.926524876
06/11/2010,CKV,0.9318193038
06/14/2010,CKV,0.9529970153
06/15/2010,CKV,0.9794691546
06/16/2010,CKV,0.9741747267
06/17/2010,CKV,0.9477025874
06/18/2010,CKV,0.9688802989
06/21/2010,CKV,0.9847635824
06/22/2010,CKV,0.9582914431
06/23/2010,CKV,0.9477025874
06/24/2010,CKV,1.000646866
06/25/2010,CKV,1.0641800004
06/28/2010,CKV,1.0906521397
06/29/2010,CKV,1.0377078611
06/30/2010,CKV,0.9847635824
07/01/2010,CKV,0.9688802989
07/02/2010,CKV,1.0271190053
07/05/2010,CKV,1.0482967168
07/06/2010,CKV,0.9847635824
07/07/2010,CKV,0.9900580103
07/08/2010,CKV,0.9794691546
07/09/2010,CKV,0.9847635824
07/12/2010,CKV,0.9847635824
07/13/2010,CKV,0.9900580103
07/14/2010,CKV,0.9900580103
07/15/2010,CKV,0.963585871
07/16/2010,CKV,1.0271190053
07/19/2010,CKV,1.080063284
07/20/2010,CKV,1.1435964183
07/21/2010,CKV,1.0959465676
07/22/2010,CKV,1.0377078611
07/23/2010,CKV,1.0324134332
07/26/2010,CKV,0.9900580103
07/27/2010,CKV,0.9794691546
07/28/2010,CKV,0.9688802989
07/29/2010,CKV,0.9900580103
07/30/2010,CKV,0.9953524382
08/02/2010,CKV,0.9741747267
08/03/2010,CKV,0.963585871
08/04/2010,CKV,0.9529970153
08/05/2010,CKV,0.9529970153
08/06/2010,CKV,0.9477025874
08/09/2010,CKV,0.8947583088
08/10/2010,CKV,0.9053471645
08/11/2010,CKV,0.8947583088
08/12/2010,CKV,0.847108458
08/13/2010,CKV,0.8206363187
08/16/2010,CKV,0.8682861695
08/17/2010,CKV,0.8788750252
08/18/2010,CKV,0.847108458
08/19/2010,CKV,0.847108458
08/20/2010,CKV,0.8312251744
08/23/2010,CKV,0.8312251744
08/24/2010,CKV,0.7782808958
08/25/2010,CKV,0.7253366172
08/26/2010,CKV,0.7412199008
08/27/2010,CKV,0.7094533336
08/30/2010,CKV,0.7571031843
08/31/2010,CKV,0.7941641794
09/01/2010,CKV,0.7888697515
09/06/2010,CKV,0.8365196023
09/07/2010,CKV,0.8524028859
09/08/2010,CKV,0.8047530351
09/09/2010,CKV,0.8365196023
09/10/2010,CKV,0.7941641794
09/13/2010,CKV,0.847108458
09/14/2010,CKV,0.7994586072
09/15/2010,CKV,0.7676920401
09/16/2010,CKV,0.7941641794
09/17/2010,CKV,0.8259307466
09/20/2010,CKV,0.7994586072
09/21/2010,CKV,0.7835753237
09/22/2010,CKV,0.7623976122
09/23/2010,CKV,0.7412199008
09/24/2010,CKV,0.7465143286
09/27/2010,CKV,0.7253366172
09/28/2010,CKV,0.7571031843
09/29/2010,CKV,0.7782808958
09/30/2010,CKV,0.7782808958
10/01/2010,CKV,0.730631045
10/04/2010,CKV,0.6882756221
10/05/2010,CKV,0.6829811943
10/06/2010,CKV,0.7253366172
10/07/2010,CKV,0.7200421893
10/08/2010,CKV,0.7261885041
10/11/2010,CKV,0.6992926336
10/12/2010,CKV,0.6992926336
10/13/2010,CKV,0.6992926336
10/14/2010,CKV,0.7100509818
10/15/2010,CKV,0.6831551112
10/18/2010,CKV,0.6777759371
10/19/2010,CKV,0.6885342854
10/20/2010,CKV,0.6455008925
10/21/2010,CKV,0.6616384148
10/22/2010,CKV,0.6992926336
10/25/2010,CKV,0.672396763
10/26/2010,CKV,0.6885342854
10/27/2010,CKV,0.7100509818
10/28/2010,CKV,0.6616384148
10/29/2010,CKV,0.6508800666
11/01/2010,CKV,0.6885342854
11/02/2010,CKV,0.6455008925
11/03/2010,CKV,0.6885342854
11/04/2010,CKV,0.7100509818
11/05/2010,CKV,0.7584635487
11/08/2010,CKV,0.7423260264
11/09/2010,CKV,0.7423260264
11/10/2010,CKV,0.6939134595
11/11/2010,CKV,0.6455008925
11/12/2010,CKV,0.6024674997
11/15/2010,CKV,0.5970883256
11/16/2010,CKV,0.5755716292
11/17/2010,CKV,0.6078466738
11/18/2010,CKV,0.6078466738
11/19/2010,CKV,0.5809508033
11/22/2010,CKV,0.5486757586
11/23/2010,CKV,0.5110215399
12/29/2010,KST,1.3848619757
12/30/2010,KST,1.4365788129
12/31/2010,KST,1.4365788129
01/04/2011,KST,1.3388914537
01/05/2011,KST,1.2469504096
01/06/2011,KST,1.1607556808
01/07/2011,KST,1.0803072673
01/10/2011,KST,1.005605169
01/11/2011,KST,0.936649386
01/12/2011,KST,0.8734399182
01/13/2011,KST,0.9251567555
01/14/2011,KST,0.9021714945
01/17/2011,KST,0.9423957013
01/18/2011,KST,0.8791862335
01/19/2011,KST,0.8274693962
01/20/2011,KST,0.79873782
01/21/2011,KST,0.752767298
01/24/2011,KST,0.8044841352
01/25/2011,KST,0.8504546572
01/26/2011,KST,0.8504546572
11/24/2010,CKV,0.5325382363
11/25/2010,CKV,0.5594341068
11/26/2010,CKV,0.5917091515
11/29/2010,CKV,0.5701924551
11/30/2010,CKV,0.6024674997
12/01/2010,CKV,0.6024674997
12/02/2010,CKV,0.5917091515
12/03/2010,CKV,0.6293633702
12/06/2010,CKV,0.672396763
12/07/2010,CKV,0.6992926336
12/08/2010,CKV,0.6831551112
12/09/2010,CKV,0.6455008925
12/10/2010,CKV,0.6670175889
12/13/2010,CKV,0.7100509818
12/14/2010,CKV,0.7046718077
12/15/2010,CKV,0.6616384148
12/16/2010,CKV,0.6293633702
12/17/2010,CKV,0.6600044199
12/20/2010,CKV,0.6600044199
12/21/2010,CKV,0.643774803
12/22/2010,CKV,0.6762340368
12/23/2010,CKV,0.7141031428
12/24/2010,CKV,0.6816439091
12/27/2010,CKV,0.643774803
12/28/2010,CKV,0.6708241645
12/29/2010,CKV,0.6600044199
12/30/2010,CKV,0.6221353138
12/31/2010,CKV,0.6491846753
01/04/2011,CKV,0.6167254415
01/05/2011,CKV,0.6545945476
01/06/2011,CKV,0.6329550584
01/07/2011,CKV,0.6113155692
