date,ticker,value
05/14/2020,BBH,0.7004610469
05/15/2020,BBH,0.7004610469
05/18/2020,BBH,0.7004610469
05/19/2020,BBH,0.7004610469
05/20/2020,BBH,0.7004610469
05/21/2020,BBH,0.7004610469
05/22/2020,BBH,0.7004610469
05/25/2020,BBH,0.7004610469
05/26/2020,BBH,0.7004610469
05/27/2020,BBH,0.7004610469
05/28/2020,BBH,0.7004610469
05/29/2020,BBH,0.7004610469
06/01/2020,BBH,0.7004610469
06/02/2020,BBH,0.7004610469
06/03/2020,BBH,0.7004610469
06/04/2020,BBH,0.7004610469
06/05/2020,BBH,0.7004610469
06/08/2020,BBH,0.7004610469
06/09/2020,BBH,0.7004610469
06/10/2020,BBH,0.7004610469
06/11/2020,BBH,0.7004610469
06/12/2020,BBH,0.7004610469
06/15/2020,BBH,0.7004610469
06/16/2020,BBH,0.7004610469
06/17/2020,BBH,0.7004610469
06/18/2020,BBH,0.7004610469
06/19/2020,BBH,0.7004610469
06/22/2020,BBH,0.7004610469
06/23/2020,BBH,0.7004610469
02/24/2009,BBS,1.0461002588
04/10/2009,BBS,0.7959949374
04/13/2009,BBS,0.8664369583
04/14/2009,BBS,1.0461002588
04/15/2009,BBS,0.8453043699
04/17/2009,BBS,0.7889507412
04/20/2009,BBS,0.753729701
04/21/2009,BBS,0.7959949374
04/22/2009,BBS,0.7959949374
04/23/2009,BBS,0.774862349
04/24/2009,BBS,0.7889507412
04/27/2009,BBS,0.831215918
04/28/2009,BBS,0.8382601737
04/29/2009,BBS,0.852348566
05/04/2009,BBS,0.8805253505
05/05/2009,BBS,0.929834783
05/06/2009,BBS,0.8664369583
05/07/2009,BBS,0.9348024725
05/08/2009,BBS,0.9066880941
06/24/2020,BBH,0.7004610469
06/25/2020,BBH,0.7004610469
06/26/2020,BBH,0.7004610469
06/29/2020,BBH,0.7004610469
06/30/2020,BBH,0.7004610469
07/01/2020,BBH,0.7004610469
07/02/2020,BBH,0.7004610469
07/03/2020,BBH,0.7004610469
07/06/2020,BBH,0.7004610469
07/07/2020,BBH,0.7004610469
07/08/2020,BBH,0.7004610469
07/09/2020,BBH,0.7004610469
07/10/2020,BBH,0.7004610469
07/13/2020,BBH,0.7004610469
07/14/2020,BBH,0.7004610469
07/15/2020,BBH,0.6690971194
07/16/2020,BBH,0.6690971194
07/17/2020,BBH,0.6690971194
07/20/2020,BBH,0.6690971194
07/21/2020,BBH,0.6690971194
07/22/2020,BBH,0.6690971194
07/23/2020,BBH,0.6690971194
07/24/2020,BBH,0.6690971194
07/27/2020,BBH,0.6690971194
07/28/2020,BBH,0.6690971194
07/29/2020,BBH,0.6690971194
07/30/2020,BBH,0.6690971194
07/31/2020,BBH,0.6690971194
08/03/2020,BBH,0.6690971194
08/04/2020,BBH,0.6690971194
08/05/2020,BBH,0.6690971194
05/11/2009,BBS,0.8996595144
05/12/2009,BBS,0.9207453131
05/13/2009,BBS,0.9277738928
05/14/2009,BBS,0.8926309347
05/15/2009,BBS,0.9348024725
05/18/2009,BBS,0.9418310523
05/19/2009,BBS,0.9488596916
05/20/2009,BBS,1.0121170282
05/21/2009,BBS,1.0613170862
05/22/2009,BBS,1.0066248178
05/25/2009,BBS,1.0724172592
05/26/2009,BBS,1.0724172592
05/27/2009,BBS,1.0526795387
05/28/2009,BBS,0.9934663176
05/29/2009,BBS,1.0000455379
06/01/2009,BBS,1.0592588186
06/02/2009,BBS,1.0592588186
06/03/2009,BBS,1.0461002588
06/04/2009,BBS,1.0592588186
06/05/2009,BBS,1.1250512599
06/08/2009,BBS,1.1908437013
06/09/2009,BBS,1.1908437013
06/10/2009,BBS,1.1382097005
06/11/2009,BBS,1.1974229812
06/12/2009,BBS,1.1974229812
06/15/2009,BBS,1.1053135395
06/16/2009,BBS,1.0395209789
06/17/2009,BBS,0.9868870377
06/18/2009,BBS,1.0526795387
06/19/2009,BBS,1.0724172592
06/22/2009,BBS,1.0066248178
08/06/2020,BBH,0.6690971194
08/07/2020,BBH,0.6690971194
08/10/2020,BBH,0.6690971194
08/11/2020,BBH,0.6690971194
08/12/2020,BBH,0.6690971194
08/13/2020,BBH,0.6690971194
08/14/2020,BBH,0.6690971194
08/17/2020,BBH,0.6690971194
08/18/2020,BBH,0.6690971194
08/19/2020,BBH,0.6690971194
08/20/2020,BBH,0.6690971194
08/21/2020,BBH,0.6690971194
08/24/2020,BBH,0.6690971194
08/25/2020,BBH,0.6690971194
08/26/2020,BBH,0.6690971194
08/27/2020,BBH,0.6690971194
08/28/2020,BBH,0.6690971194
08/31/2020,BBH,0.6690971194
09/01/2020,BBH,0.6690971194
09/03/2020,BBH,0.6690971194
09/04/2020,BBH,0.4077310571
09/07/2020,BBH,0.4077310571
09/08/2020,BBH,0.4077310571
09/09/2020,BBH,0.4077310571
09/10/2020,BBH,0.4077310571
09/11/2020,BBH,0.4077310571
09/14/2020,BBH,0.4077310571
09/15/2020,BBH,0.4077310571
09/16/2020,BBH,0.4077310571
09/17/2020,BBH,0.4077310571
09/18/2020,BBH,0.4077310571
09/21/2020,BBH,0.4077310571
06/23/2009,BBS,0.9474115967
06/24/2009,BBS,0.9474115967
06/25/2009,BBS,1.0395209789
06/26/2009,BBS,1.0263625383
