date,ticker,value
02/24/2009,CAP,1.2511948347
04/10/2009,CAP,0.9287914633
04/13/2009,CAP,0.8975715637
04/14/2009,CAP,1.2511948347
04/15/2009,CAP,0.8039119243
04/17/2009,CAP,0.7883020043
04/20/2009,CAP,0.7895749211
04/21/2009,CAP,0.7973924875
04/22/2009,CAP,0.7973924875
04/23/2009,CAP,0.7973924875
04/24/2009,CAP,0.7973924875
04/27/2009,CAP,0.7973924875
04/28/2009,CAP,0.7973924875
04/29/2009,CAP,0.8286627531
05/04/2009,CAP,0.8130276203
05/05/2009,CAP,0.8130276203
05/06/2009,CAP,0.8442978858
05/07/2009,CAP,0.8286627531
05/08/2009,CAP,0.8286627531
05/11/2009,CAP,0.7739397287
05/12/2009,CAP,0.7739397287
05/13/2009,CAP,0.8208451867
05/14/2009,CAP,0.7661221623
05/15/2009,CAP,0.8130276203
05/18/2009,CAP,0.7895749211
05/19/2009,CAP,0.8442978858
05/20/2009,CAP,0.8833857774
05/21/2009,CAP,0.8912033438
05/22/2009,CAP,0.929942131
05/25/2009,CAP,1.0144822597
05/26/2009,CAP,1.0905684232
05/27/2009,CAP,1.1666545867
05/28/2009,CAP,1.1751086711
05/29/2009,CAP,1.1751086711
06/01/2009,CAP,1.0990225076
06/02/2009,CAP,1.1751086711
06/03/2009,CAP,1.2511948347
06/04/2009,CAP,1.3357350826
06/05/2009,CAP,1.4287291765
06/08/2009,CAP,1.5217233896
06/09/2009,CAP,1.6231716871
06/10/2009,CAP,1.7246198654
06/11/2009,CAP,1.8345221281
06/12/2009,CAP,1.8345221281
06/15/2009,CAP,1.9444243907
06/16/2009,CAP,1.8429762125
06/17/2009,CAP,1.6316256523
06/18/2009,CAP,1.5809016227
06/19/2009,CAP,1.5893555879
06/22/2009,CAP,1.4794533252
06/23/2009,CAP,1.3780051469
06/24/2009,CAP,1.3780051469
06/25/2009,CAP,1.4033671617
06/26/2009,CAP,1.318827033
06/29/2009,CAP,1.2681028842
06/30/2009,CAP,1.2173787355
07/01/2009,CAP,1.141292572
07/02/2009,CAP,1.141292572
07/03/2009,CAP,1.2173787355
07/06/2009,CAP,1.3019189834
07/07/2009,CAP,1.2596487998
07/08/2009,CAP,1.2596487998
07/09/2009,CAP,1.318827033
07/10/2009,CAP,1.352643013
07/13/2009,CAP,1.2681028842
07/14/2009,CAP,1.2681028842
07/15/2009,CAP,1.2681028842
07/16/2009,CAP,1.2004706859
07/17/2009,CAP,1.1582006216
