date,ticker,value
10/31/2017,CTR,1.9085554518
11/01/2017,CTR,1.7867680853
11/02/2017,CTR,1.6335710001
11/03/2017,CTR,1.4364135895
11/06/2017,CTR,1.5744038553
11/07/2017,CTR,1.7953343723
11/08/2017,CTR,1.9236958659
11/09/2017,CTR,2.0103694511
11/10/2017,CTR,1.9306555185
11/13/2017,CTR,1.8183609596
11/14/2017,CTR,1.8326240338
11/15/2017,CTR,1.8242978737
11/16/2017,CTR,1.8532584305
11/17/2017,CTR,1.8739652286
11/20/2017,CTR,1.8167681289
11/21/2017,CTR,1.791282839
11/22/2017,CTR,1.7442219342
11/23/2017,CTR,1.7244563542
11/24/2017,CTR,1.7416154841
11/27/2017,CTR,1.7317688947
11/28/2017,CTR,1.7389366326
11/29/2017,CTR,1.7424118994
11/30/2017,CTR,1.7907036278
12/01/2017,CTR,1.765435542
12/04/2017,CTR,1.8206054027
12/05/2017,CTR,1.8898211334
12/06/2017,CTR,1.9962511796
12/07/2017,CTR,2.0098626413
12/08/2017,CTR,1.9663494048
12/11/2017,CTR,1.8820017831
12/12/2017,CTR,1.8521724096
12/13/2017,CTR,1.8562268876
12/14/2017,CTR,1.843194637
12/15/2017,CTR,1.8745444397
12/18/2017,CTR,1.9231257737
12/19/2017,CTR,2.0074733954
12/20/2017,CTR,2.0099350427
12/21/2017,CTR,1.8967716671
12/22/2017,CTR,1.9688834535
12/25/2017,CTR,1.9157408318
12/26/2017,CTR,1.8467423052
12/27/2017,CTR,1.8355200895
12/28/2017,CTR,1.8227774445
12/29/2017,CTR,1.862960217
01/02/2018,CTR,1.8998125255
01/03/2018,CTR,1.8919207738
01/04/2018,CTR,1.8956132448
01/05/2018,CTR,1.8948168295
01/08/2018,CTR,1.8459458899
01/09/2018,CTR,1.8274835349
01/10/2018,CTR,1.9735171426
01/11/2018,CTR,1.8973508782
01/12/2018,CTR,1.8589057391
01/15/2018,CTR,1.8004054143
01/16/2018,CTR,1.8824361915
01/17/2018,CTR,1.8119172357
01/18/2018,CTR,1.7647115281
01/19/2018,CTR,1.780205426
01/22/2018,CTR,1.8245874793
01/23/2018,CTR,1.8310312031
01/24/2018,CTR,1.8351580825
01/25/2018,CTR,1.8287143586
01/26/2018,CTR,1.8545616555
01/29/2018,CTR,1.8500003678
01/30/2018,CTR,1.7969301475
01/31/2018,CTR,1.7958441266
02/01/2018,CTR,1.8031566672
02/02/2018,CTR,1.7528376998
02/05/2018,CTR,1.7541409249
02/06/2018,CTR,1.7031813758
02/07/2018,CTR,1.7031813758
02/08/2018,CTR,1.5944924117
02/09/2018,CTR,1.6588576195
02/12/2018,CTR,1.6553007749
02/13/2018,CTR,1.681361502
02/21/2018,CTR,1.7257536591
02/22/2018,CTR,1.7059174102
02/23/2018,CTR,1.6878595835
02/26/2018,CTR,1.7205551939
02/27/2018,CTR,1.7269848746
02/28/2018,CTR,1.7404598437
03/01/2018,CTR,1.747094727
03/02/2018,CTR,1.7182979655
03/05/2018,CTR,1.7094058539
03/06/2018,CTR,1.7100214617
03/07/2018,CTR,1.6833451269
03/08/2018,CTR,1.6843027389
03/09/2018,CTR,1.6864915664
03/12/2018,CTR,1.6925108419
03/13/2018,CTR,1.6953152771
03/14/2018,CTR,1.7009241475
03/15/2018,CTR,1.7031813758
03/16/2018,CTR,1.6637824814
03/19/2018,CTR,1.6758210324
03/20/2018,CTR,1.6432622238
03/21/2018,CTR,1.6647400934
03/22/2018,CTR,1.6637824814
03/23/2018,CTR,1.6758210324
03/26/2018,CTR,1.6581052101
03/27/2018,CTR,1.6553007749
03/28/2018,CTR,1.6498287062
03/29/2018,CTR,1.6484606891
03/30/2018,CTR,1.7077642333
04/02/2018,CTR,1.7305417192
04/03/2018,CTR,1.6503759131
04/04/2018,CTR,1.6434336853
04/05/2018,CTR,1.6360161171
04/06/2018,CTR,1.623834973
04/09/2018,CTR,1.5985199697
04/10/2018,CTR,1.6039640564
04/11/2018,CTR,1.6104289094
04/12/2018,CTR,1.603623801
04/13/2018,CTR,1.6060055889
04/16/2018,CTR,1.6302317749
04/17/2018,CTR,1.6332260226
04/18/2018,CTR,1.6450669113
04/19/2018,CTR,1.6341106867
04/20/2018,CTR,1.6345189932
04/23/2018,CTR,1.6356758617
04/24/2018,CTR,1.6400311311
04/26/2018,CTR,1.6490819253
04/27/2018,CTR,1.6088637345
05/02/2018,CTR,1.6093400921
05/03/2018,CTR,1.5998129403
05/04/2018,CTR,1.6021266771
05/07/2018,CTR,1.5690538502
05/08/2018,CTR,1.6166215581
05/09/2018,CTR,1.5764033673
05/10/2018,CTR,1.5949132622
05/11/2018,CTR,1.5767436227
05/14/2018,CTR,1.4981507029
05/15/2018,CTR,1.5305237855
05/16/2018,CTR,1.533064128
05/17/2018,CTR,1.3728271398
05/18/2018,CTR,1.5239449498
05/21/2018,CTR,1.4981507029
05/22/2018,CTR,1.4748967986
05/23/2018,CTR,1.5236844019
05/24/2018,CTR,1.5046644016
05/25/2018,CTR,1.4747013876
05/28/2018,CTR,1.4556162504
05/29/2018,CTR,1.5307191965
05/30/2018,CTR,1.5307191965
05/31/2018,CTR,1.4659078943
06/01/2018,CTR,1.487728785
06/04/2018,CTR,1.6313558415
06/05/2018,CTR,1.5712995394
06/06/2018,CTR,1.5088331688
06/07/2018,CTR,1.5017983742
06/08/2018,CTR,1.5251174156
06/11/2018,CTR,1.623865088
06/12/2018,CTR,1.6265357045
06/13/2018,CTR,1.6973396094
06/14/2018,CTR,1.7973248846
06/15/2018,CTR,1.7504262539
06/18/2018,CTR,1.7056771438
06/19/2018,CTR,1.6720013215
06/20/2018,CTR,1.7302989249
06/21/2018,CTR,1.7215705686
06/22/2018,CTR,1.734988788
06/25/2018,CTR,1.7341420071
06/26/2018,CTR,1.7116046096
06/27/2018,CTR,1.7105624178
06/28/2018,CTR,1.6818370065
06/29/2018,CTR,1.6925194724
07/02/2018,CTR,1.6660738556
07/03/2018,CTR,1.6434713211
07/04/2018,CTR,1.6662692666
07/05/2018,CTR,1.6298576908
07/06/2018,CTR,1.6296622799
07/09/2018,CTR,1.6571500884
07/10/2018,CTR,1.5979405672
07/11/2018,CTR,1.5636785119
07/12/2018,CTR,1.6740205681
07/13/2018,CTR,1.6359154306
07/16/2018,CTR,1.5537776899
07/17/2018,CTR,1.5838709779
07/18/2018,CTR,1.5914268684
07/19/2018,CTR,1.5911663205
07/20/2018,CTR,1.5739050189
07/23/2018,CTR,1.5763150874
07/24/2018,CTR,1.5514327584
07/25/2018,CTR,1.5204275525
07/26/2018,CTR,1.5524098132
07/27/2018,CTR,1.5000396756
07/30/2018,CTR,1.5344320047
07/31/2018,CTR,1.5854342656
08/01/2018,CTR,1.6000249507
08/02/2018,CTR,1.6209990606
08/03/2018,CTR,1.5709441495
08/06/2018,CTR,1.6387629115
08/07/2018,CTR,1.5617365461
08/08/2018,CTR,1.5235091166
08/09/2018,CTR,1.5647845803
08/10/2018,CTR,1.5423688285
08/13/2018,CTR,1.5738016816
08/14/2018,CTR,1.6178861827
08/15/2018,CTR,1.5993924691
08/16/2018,CTR,1.5368442664
08/17/2018,CTR,1.577484723
08/20/2018,CTR,1.5826282808
08/21/2018,CTR,1.5840887972
08/22/2018,CTR,1.5938679071
08/23/2018,CTR,1.5875178357
08/24/2018,CTR,1.544019847
08/27/2018,CTR,1.5880893421
08/28/2018,CTR,1.5785642351
08/29/2018,CTR,1.569293131
08/30/2018,CTR,1.6491135277
08/31/2018,CTR,1.5932328999
09/04/2018,CTR,1.5799612508
09/05/2018,CTR,1.563959071
09/06/2018,CTR,1.5628795589
09/07/2018,CTR,1.5621175504
09/10/2018,CTR,1.5489729027
09/11/2018,CTR,1.555767479
09/12/2018,CTR,1.5677691138
09/13/2018,CTR,1.5684676217
09/14/2018,CTR,1.5594505204
09/17/2018,CTR,1.546686877
09/18/2018,CTR,1.53271672
09/19/2018,CTR,1.5740556845
09/20/2018,CTR,1.6026310055
09/21/2018,CTR,1.6253642609
09/24/2018,CTR,1.6445414764
09/25/2018,CTR,1.6188871882
09/26/2018,CTR,1.7229648575
09/27/2018,CTR,1.7575092456
09/28/2018,CTR,1.7333789745
10/01/2018,CTR,1.7087406977
10/02/2018,CTR,1.7112172255
10/03/2018,CTR,1.7291879274
10/04/2018,CTR,1.6696877589
10/05/2018,CTR,1.7121697362
10/08/2018,CTR,1.754080207
10/09/2018,CTR,1.7023906263
10/10/2018,CTR,1.6260627688
10/11/2018,CTR,1.6113306033
10/12/2018,CTR,1.5988209627
10/15/2018,CTR,1.59145488
10/16/2018,CTR,1.5764052109
10/17/2018,CTR,1.6180616789
10/18/2018,CTR,1.5837077929
10/19/2018,CTR,1.5751986973
10/22/2018,CTR,1.5859303179
10/23/2018,CTR,1.584787305
10/24/2018,CTR,1.5064909254
10/25/2018,CTR,1.4918222606
10/26/2018,CTR,1.502363379
10/29/2018,CTR,1.4770265944
10/30/2018,CTR,1.460262406
10/31/2018,CTR,1.3629158123
11/01/2018,CTR,1.4852816871
11/02/2018,CTR,1.3990983223
11/05/2018,CTR,1.4252603724
11/06/2018,CTR,1.3892349288
11/07/2018,CTR,1.3524877734
11/08/2018,CTR,1.3537507689
11/09/2018,CTR,1.3674031491
11/12/2018,CTR,1.3791309646
11/13/2018,CTR,1.3838822335
11/14/2018,CTR,1.3782288249
11/15/2018,CTR,1.3647568727
11/16/2018,CTR,1.3170517251
11/19/2018,CTR,1.3343848351
11/20/2018,CTR,1.2821870346
11/21/2018,CTR,1.2823193484
11/22/2018,CTR,1.3175148235
11/23/2018,CTR,1.3198303153
11/26/2018,CTR,1.3139423505
11/27/2018,CTR,1.3071943459
11/28/2018,CTR,1.2963288074
11/29/2018,CTR,1.2930210023
11/30/2018,CTR,1.2922271291
12/03/2018,CTR,1.3089646228
12/04/2018,CTR,1.3385364001
12/05/2018,CTR,1.3571262646
12/06/2018,CTR,1.3576555134
12/07/2018,CTR,1.3890135055
12/10/2018,CTR,1.4514648653
12/11/2018,CTR,1.4619175293
12/12/2018,CTR,1.4763395594
12/13/2018,CTR,1.4438569136
12/14/2018,CTR,1.4342642789
12/17/2018,CTR,1.4371089912
12/18/2018,CTR,1.427185576
12/19/2018,CTR,1.4260609223
12/20/2018,CTR,1.408926492
12/21/2018,CTR,1.3673143042
12/24/2018,CTR,1.3662558066
12/25/2018,CTR,1.3274883312
12/26/2018,CTR,1.3588463233
12/27/2018,CTR,1.3663219627
12/28/2018,CTR,1.3506429667
01/02/2019,CTR,1.3638080309
01/03/2019,CTR,1.3437627321
01/04/2019,CTR,1.3190203502
01/07/2019,CTR,1.3478644104
01/08/2019,CTR,1.3405210832
01/09/2019,CTR,1.3327808193
01/10/2019,CTR,1.3465412884
01/11/2019,CTR,1.3493198447
01/14/2019,CTR,1.3518999326
01/15/2019,CTR,1.3532892107
01/16/2019,CTR,1.3642049675
01/17/2019,CTR,1.3690343629
01/18/2019,CTR,1.3603017575
01/21/2019,CTR,1.3103539009
01/22/2019,CTR,1.3296053264
01/23/2019,CTR,1.3288776093
01/24/2019,CTR,1.322791248
01/25/2019,CTR,1.3401241466
01/28/2019,CTR,1.3269590824
01/29/2019,CTR,1.3331115998
01/30/2019,CTR,1.3327146632
01/31/2019,CTR,1.315646389
02/01/2019,CTR,1.3036721347
02/11/2019,CTR,1.3073107203
02/12/2019,CTR,1.2867361727
02/13/2019,CTR,1.2961303391
02/14/2019,CTR,1.281046748
02/15/2019,CTR,1.3261505403
02/18/2019,CTR,1.3214289516
02/19/2019,CTR,1.3331302799
02/20/2019,CTR,1.3429156013
02/21/2019,CTR,1.3015845937
02/22/2019,CTR,1.3110277709
02/25/2019,CTR,1.3083590469
02/26/2019,CTR,1.3011740208
02/27/2019,CTR,1.3066483264
02/28/2019,CTR,1.3054166077
03/01/2019,CTR,1.3490741951
03/04/2019,CTR,1.4400160975
03/05/2019,CTR,1.4690983462
03/06/2019,CTR,1.454317721
03/07/2019,CTR,1.4526070004
03/08/2019,CTR,1.4534281463
03/11/2019,CTR,1.5266469842
03/12/2019,CTR,1.5355427308
03/13/2019,CTR,1.5392378871
03/14/2019,CTR,1.5279471318
03/15/2019,CTR,1.5588085298
03/18/2019,CTR,1.7449349214
03/19/2019,CTR,1.9258607227
03/20/2019,CTR,1.9129276756
03/21/2019,CTR,1.9073849411
03/22/2019,CTR,1.7742224565
03/25/2019,CTR,1.6515295815
03/26/2019,CTR,1.6851281323
03/27/2019,CTR,1.7543780986
03/28/2019,CTR,1.7855132119
03/29/2019,CTR,1.7800389063
04/01/2019,CTR,1.7636159894
04/02/2019,CTR,1.7556782462
04/03/2019,CTR,1.8041942799
04/04/2019,CTR,1.8123373095
04/05/2019,CTR,1.7766858941
04/08/2019,CTR,1.786608073
04/09/2019,CTR,1.7215135451
04/10/2019,CTR,1.6945783446
04/11/2019,CTR,1.6854217132
04/12/2019,CTR,1.6627640631
04/16/2019,CTR,1.6346926383
04/17/2019,CTR,1.6815451831
04/18/2019,CTR,1.6768666123
04/19/2019,CTR,1.7034676291
04/22/2019,CTR,1.6975191605
04/23/2019,CTR,1.6899666105
04/24/2019,CTR,1.6965166096
04/25/2019,CTR,1.7434359911
04/26/2019,CTR,1.6414077484
05/02/2019,CTR,1.6564358325
05/03/2019,CTR,1.6093941409
05/06/2019,CTR,1.6078787038
05/07/2019,CTR,1.6358511459
05/08/2019,CTR,1.7048035314
05/09/2019,CTR,1.7525397983
05/10/2019,CTR,1.7299345291
05/13/2019,CTR,1.78758428
05/14/2019,CTR,1.7870791343
05/15/2019,CTR,1.822755048
05/16/2019,CTR,1.777986512
05/17/2019,CTR,1.7755239268
05/20/2019,CTR,1.7558232453
05/21/2019,CTR,1.7679467416
05/22/2019,CTR,1.7536132329
05/23/2019,CTR,1.7169270278
05/24/2019,CTR,1.7216627686
05/27/2019,CTR,1.7283559488
05/28/2019,CTR,1.8030543665
05/29/2019,CTR,1.8602621149
05/30/2019,CTR,1.816440727
05/31/2019,CTR,1.7472989119
06/03/2019,CTR,1.6540363905
06/04/2019,CTR,1.663507872
06/05/2019,CTR,1.684850277
06/06/2019,CTR,1.6775256646
06/07/2019,CTR,1.7184424648
06/10/2019,CTR,1.7567703934
06/11/2019,CTR,1.7471094823
06/12/2019,CTR,1.734101981
06/13/2019,CTR,1.7178110327
06/14/2019,CTR,1.7208419068
06/17/2019,CTR,1.7318919686
06/18/2019,CTR,1.7485617761
06/19/2019,CTR,1.7716090478
06/20/2019,CTR,1.7716090478
06/21/2019,CTR,1.7553812428
06/24/2019,CTR,1.7411740205
06/25/2019,CTR,1.7318288254
06/26/2019,CTR,1.7549392403
06/27/2019,CTR,1.756959823
06/28/2019,CTR,1.7562021045
07/01/2019,CTR,1.7821539639
07/02/2019,CTR,1.8113892702
07/03/2019,CTR,1.7939617442
07/04/2019,CTR,1.7932671689
07/05/2019,CTR,1.8394879987
07/08/2019,CTR,1.8394879987
07/09/2019,CTR,1.9499886165
07/10/2019,CTR,1.9907159871
07/11/2019,CTR,2.0400308342
07/12/2019,CTR,2.0283493404
07/15/2019,CTR,2.0195092909
07/16/2019,CTR,2.0716024393
07/17/2019,CTR,2.1158658297
07/18/2019,CTR,2.1549514768
07/19/2019,CTR,2.2193575511
07/22/2019,CTR,2.1892382399
07/23/2019,CTR,2.3350359122
07/24/2019,CTR,2.4872741919
07/25/2019,CTR,2.5905764837
07/26/2019,CTR,2.5534482762
07/29/2019,CTR,2.7132637411
07/30/2019,CTR,2.7284812548
07/31/2019,CTR,2.7443933437
08/01/2019,CTR,2.8453573258
08/02/2019,CTR,3.1399788043
08/05/2019,CTR,3.5839770034
08/06/2019,CTR,3.6368786501
08/07/2019,CTR,3.354089611
08/08/2019,CTR,3.5369602737
08/09/2019,CTR,3.579031169
08/12/2019,CTR,3.5372106957
08/13/2019,CTR,3.448310887
08/14/2019,CTR,3.5044054142
08/15/2019,CTR,3.7443096865
08/16/2019,CTR,4.0170192403
08/19/2019,CTR,3.9043919475
08/20/2019,CTR,4.0414353849
08/21/2019,CTR,4.0953387196
08/22/2019,CTR,4.0630342821
08/23/2019,CTR,4.0763692534
08/26/2019,CTR,4.0724251069
08/27/2019,CTR,4.0522035308
08/28/2019,CTR,3.9551024017
08/29/2019,CTR,3.740866384
08/30/2019,CTR,3.7491303099
09/03/2019,CTR,3.5442851171
09/04/2019,CTR,3.0833834331
09/05/2019,CTR,3.0943393955
09/06/2019,CTR,3.182945378
09/09/2019,CTR,2.9760616261
09/10/2019,CTR,2.6977134131
09/11/2019,CTR,2.9860841151
09/12/2019,CTR,3.3552865538
09/13/2019,CTR,3.4205088981
09/16/2019,CTR,3.4254921784
09/17/2019,CTR,3.3379183565
09/18/2019,CTR,3.3560193892
09/19/2019,CTR,3.3190112051
09/20/2019,CTR,3.3198173239
09/23/2019,CTR,3.3160798637
09/24/2019,CTR,3.2495384159
09/25/2019,CTR,3.1533171372
09/26/2019,CTR,3.2545949796
