date,ticker,value
08/16/2017,LBC,0.0
08/17/2017,LBC,0.0
08/18/2017,LBC,0.0
08/21/2017,LBC,0.0
08/22/2017,LBC,0.0
08/23/2017,LBC,0.0
08/24/2017,LBC,0.0
08/25/2017,LBC,0.0
08/28/2017,LBC,0.0
08/29/2017,LBC,0.0
08/30/2017,LBC,0.0
08/31/2017,LBC,0.0
09/01/2017,LBC,0.0
09/05/2017,LBC,0.0
09/06/2017,LBC,0.0
09/07/2017,LBC,0.0
09/08/2017,LBC,0.0
09/11/2017,LBC,0.0
09/12/2017,LBC,0.0
09/13/2017,LBC,0.0
09/14/2017,LBC,0.0
09/15/2017,LBC,0.0
09/18/2017,LBC,0.0
09/19/2017,LBC,0.0
09/20/2017,LBC,0.0
09/21/2017,LBC,0.0
09/22/2017,LBC,0.0
09/25/2017,LBC,0.0
09/26/2017,LBC,0.0
09/27/2017,LBC,0.0
09/28/2017,LBC,0.0
09/29/2017,LBC,0.0
10/02/2017,LBC,0.0
10/03/2017,LBC,0.0
10/04/2017,LBC,0.0
10/05/2017,LBC,0.0
10/06/2017,LBC,0.0
10/09/2017,LBC,0.0
10/10/2017,LBC,0.0
10/11/2017,LBC,0.0
10/12/2017,LBC,0.0
10/13/2017,LBC,0.0
10/16/2017,LBC,0.0
10/17/2017,LBC,0.0
10/18/2017,LBC,0.0
10/19/2017,LBC,0.0
10/20/2017,LBC,0.0
10/23/2017,LBC,0.0
10/24/2017,LBC,0.0
10/25/2017,LBC,0.0
10/26/2017,LBC,0.0
10/27/2017,LBC,0.0
10/30/2017,LBC,0.0
10/31/2017,LBC,0.0
11/01/2017,LBC,0.0
11/02/2017,LBC,0.0
11/03/2017,LBC,0.0
11/06/2017,LBC,0.0
11/07/2017,LBC,0.0
11/08/2017,LBC,0.0
11/09/2017,LBC,4.5448517988
11/10/2017,LBC,4.5448517988
11/13/2017,LBC,4.5448517988
11/14/2017,LBC,4.5448517988
11/15/2017,LBC,4.5448517988
11/16/2017,LBC,4.5448517988
11/17/2017,LBC,4.5448517988
11/20/2017,LBC,4.5448517988
11/21/2017,LBC,4.5448517988
11/22/2017,LBC,4.5448517988
11/23/2017,LBC,4.5448517988
11/24/2017,LBC,4.5448517988
11/27/2017,LBC,4.5448517988
11/28/2017,LBC,4.5448517988
11/29/2017,LBC,4.5448517988
11/30/2017,LBC,4.5448517988
12/01/2017,LBC,4.5448517988
12/04/2017,LBC,4.5448517988
12/05/2017,LBC,4.5448517988
12/06/2017,LBC,4.5448517988
12/07/2017,LBC,4.5448517988
12/08/2017,LBC,4.5448517988
12/11/2017,LBC,4.5448517988
12/12/2017,LBC,4.5448517988
12/13/2017,LBC,4.5448517988
12/14/2017,LBC,4.5448517988
12/15/2017,LBC,4.5448517988
12/18/2017,LBC,4.5448517988
12/19/2017,LBC,4.5448517988
12/20/2017,LBC,4.5448517988
12/21/2017,LBC,4.5448517988
12/22/2017,LBC,4.5448517988
12/25/2017,LBC,4.5448517988
12/26/2017,LBC,4.5448517988
12/27/2017,LBC,4.5448517988
12/28/2017,LBC,4.5448517988
12/29/2017,LBC,4.5448517988
01/02/2018,LBC,4.5448517988
01/03/2018,LBC,4.5448517988
01/04/2018,LBC,4.5448517988
01/05/2018,LBC,4.5448517988
01/08/2018,LBC,4.5448517988
01/09/2018,LBC,4.5448517988
01/10/2018,LBC,4.5448517988
01/11/2018,LBC,4.5448517988
01/12/2018,LBC,4.5448517988
01/15/2018,LBC,4.5448517988
01/16/2018,LBC,4.5448517988
01/17/2018,LBC,4.5448517988
01/18/2018,LBC,4.5448517988
01/19/2018,LBC,4.5448517988
01/22/2018,LBC,4.5448517988
01/23/2018,LBC,4.5448517988
01/24/2018,LBC,4.5448517988
01/25/2018,LBC,4.5448517988
01/26/2018,LBC,4.5448517988
01/29/2018,LBC,4.5448517988
01/30/2018,LBC,4.5448517988
01/31/2018,LBC,4.5448517988
02/01/2018,LBC,4.5448517988
02/02/2018,LBC,4.5448517988
11/11/2009,TH1,14.8293972015
11/12/2009,TH1,14.9394073486
11/13/2009,TH1,14.1033287048
11/16/2009,TH1,13.8173017501
11/17/2009,TH1,13.6412849426
11/18/2009,TH1,13.9933185577
11/19/2009,TH1,14.9394073486
11/20/2009,TH1,15.3794488906
11/23/2009,TH1,14.565372467
11/24/2009,TH1,13.8613061904
11/25/2009,TH1,13.025226593
11/26/2009,TH1,12.1451444625
11/27/2009,TH1,11.4850816726
11/30/2009,TH1,11.3090648651
12/01/2009,TH1,11.9471254348
12/02/2009,TH1,11.6831007003
12/03/2009,TH1,11.3750715255
12/04/2009,TH1,11.3310670852
12/07/2009,TH1,11.4190759658
12/08/2009,TH1,11.199054718
02/05/2018,LBC,4.5448517988
02/06/2018,LBC,4.5448517988
02/07/2018,LBC,4.5448517988
02/08/2018,LBC,4.5448517988
02/09/2018,LBC,3.8434902692
02/12/2018,LBC,3.8540343254
02/13/2018,LBC,3.8540343254
02/21/2018,LBC,3.8540343254
02/22/2018,LBC,3.8540343254
02/23/2018,LBC,3.8540343254
02/26/2018,LBC,3.8540343254
02/27/2018,LBC,3.8540343254
02/28/2018,LBC,3.8540343254
03/01/2018,LBC,3.8540343254
03/02/2018,LBC,3.8540343254
03/05/2018,LBC,3.8540343254
03/06/2018,LBC,3.8540343254
03/07/2018,LBC,3.8540343254
03/08/2018,LBC,3.8540343254
03/09/2018,LBC,3.8540343254
03/12/2018,LBC,3.8540343254
03/13/2018,LBC,3.8540343254
03/14/2018,LBC,3.9994695829
03/15/2018,LBC,3.9994695829
03/16/2018,LBC,3.9994695829
03/19/2018,LBC,3.9994695829
03/20/2018,LBC,4.0721872117
03/21/2018,LBC,4.1085460261
03/22/2018,LBC,4.1085460261
03/23/2018,LBC,4.1085460261
03/26/2018,LBC,4.1085460261
03/27/2018,LBC,4.1085460261
12/09/2009,TH1,10.4509840011
12/10/2009,TH1,10.0329446792
12/11/2009,TH1,9.4828929901
12/14/2009,TH1,10.0989513397
12/15/2009,TH1,9.9669389724
12/16/2009,TH1,9.3508806228
12/17/2009,TH1,8.9768457412
12/18/2009,TH1,9.5929040908
12/21/2009,TH1,10.2309637069
12/22/2009,TH1,10.0109434127
12/23/2009,TH1,10.0109434127
12/24/2009,TH1,10.1869592666
12/25/2009,TH1,10.8470220565
12/28/2009,TH1,11.3090648651
12/29/2009,TH1,12.0571355819
12/30/2009,TH1,12.4531726837
12/31/2009,TH1,11.7711086273
01/04/2010,TH1,12.4531726837
01/05/2010,TH1,13.3112535476
01/06/2010,TH1,14.1913366317
