date,ticker,value
04/05/2018,BHK,7.5517534326
04/06/2018,BHK,7.5517534326
04/09/2018,BHK,7.5517534326
04/10/2018,BHK,7.5517534326
04/11/2018,BHK,7.5517534326
04/12/2018,BHK,7.5517534326
04/13/2018,BHK,7.5517534326
04/16/2018,BHK,7.5517534326
04/17/2018,BHK,7.5517534326
04/18/2018,BHK,7.5517534326
04/19/2018,BHK,7.5517534326
04/20/2018,BHK,7.5517534326
04/23/2018,BHK,7.5517534326
04/24/2018,BHK,7.5517534326
04/26/2018,BHK,7.5517534326
04/27/2018,BHK,9.0621041191
05/02/2018,BHK,9.0621041191
05/03/2018,BHK,9.0621041191
05/04/2018,BHK,9.0621041191
05/07/2018,BHK,9.0621041191
05/08/2018,BHK,9.0621041191
05/09/2018,BHK,9.0621041191
05/10/2018,BHK,9.0621041191
05/11/2018,BHK,9.0621041191
05/14/2018,BHK,9.0621041191
05/15/2018,BHK,9.0621041191
05/16/2018,BHK,9.0621041191
05/17/2018,BHK,9.0621041191
05/18/2018,BHK,9.0621041191
05/21/2018,BHK,9.0621041191
05/22/2018,BHK,9.0621041191
05/23/2018,BHK,9.0621041191
05/24/2018,BHK,9.0621041191
05/25/2018,BHK,9.0621041191
05/28/2018,BHK,9.0621041191
05/29/2018,BHK,9.0621041191
05/30/2018,BHK,9.0621041191
05/31/2018,BHK,9.0621041191
06/01/2018,BHK,9.0621041191
06/04/2018,BHK,9.0621041191
06/05/2018,BHK,9.0621041191
06/06/2018,BHK,9.0621041191
06/07/2018,BHK,9.0621041191
06/08/2018,BHK,9.0621041191
06/11/2018,BHK,9.0621041191
06/12/2018,BHK,9.0621041191
06/13/2018,BHK,9.0621041191
06/14/2018,BHK,9.0621041191
06/15/2018,BHK,9.0621041191
06/18/2018,BHK,9.0621041191
06/19/2018,BHK,9.0621041191
06/20/2018,BHK,9.0621041191
06/21/2018,BHK,9.0621041191
06/22/2018,BHK,9.0621041191
06/25/2018,BHK,9.0621041191
06/26/2018,BHK,9.0621041191
06/27/2018,BHK,9.0621041191
06/28/2018,BHK,9.0621041191
06/29/2018,BHK,8.3371357896
07/02/2018,BHK,8.3371357896
07/03/2018,BHK,8.3371357896
07/04/2018,BHK,8.3371357896
07/05/2018,BHK,8.3371357896
07/06/2018,BHK,8.3371357896
07/09/2018,BHK,8.3371357896
