date,ticker,value
02/24/2009,PVI,12.9413719177
04/10/2009,PVI,17.896326065
04/13/2009,PVI,19.0326004028
04/14/2009,PVI,12.9413719177
04/15/2009,PVI,18.5780906677
04/17/2009,PVI,17.2713756561
04/20/2009,PVI,16.3055419921
04/21/2009,PVI,15.1692667007
04/22/2009,PVI,16.0214729309
04/23/2009,PVI,15.2828941345
04/24/2009,PVI,14.8283843994
04/27/2009,PVI,14.9988250732
04/28/2009,PVI,15.3397083282
04/29/2009,PVI,16.0782871246
05/04/2009,PVI,16.9304924011
05/05/2009,PVI,17.3281879425
05/06/2009,PVI,16.6464233398
05/07/2009,PVI,17.4986305236
05/08/2009,PVI,16.9873065948
05/11/2009,PVI,17.0441207885
05/12/2009,PVI,17.4418163299
05/13/2009,PVI,17.0441207885
05/14/2009,PVI,16.9304924011
05/15/2009,PVI,17.9531402587
05/18/2009,PVI,17.55544281
05/19/2009,PVI,17.9531402587
05/20/2009,PVI,17.7826976776
05/21/2009,PVI,17.6690711975
05/22/2009,PVI,17.0441207885
05/25/2009,PVI,18.2372074127
05/26/2009,PVI,19.4302959442
05/27/2009,PVI,20.3393173217
05/28/2009,PVI,17.7422904968
05/29/2009,PVI,17.2158126831
06/01/2009,PVI,18.2687664031
06/02/2009,PVI,18.6899490356
06/03/2009,PVI,18.3214149475
06/04/2009,PVI,18.1108245849
06/05/2009,PVI,19.3743705749
06/08/2009,PVI,20.6905632019
06/09/2009,PVI,20.8485069274
06/10/2009,PVI,19.742904663
06/11/2009,PVI,20.0061435699
06/12/2009,PVI,20.0061435699
06/15/2009,PVI,18.3740634918
06/16/2009,PVI,17.1631641387
06/17/2009,PVI,16.636686325
06/18/2009,PVI,17.7422904968
06/19/2009,PVI,18.9531879425
06/22/2009,PVI,19.4796657562
06/23/2009,PVI,18.1634712219
06/24/2009,PVI,18.1634712219
06/25/2009,PVI,17.8475856781
06/26/2009,PVI,17.3737564086
06/29/2009,PVI,16.7946300506
06/30/2009,PVI,16.7946300506
07/01/2009,PVI,15.1099023818
07/02/2009,PVI,15.4257888793
07/03/2009,PVI,15.4257888793
07/06/2009,PVI,16.2681522369
07/07/2009,PVI,16.2681522369
07/08/2009,PVI,15.8996191024
07/09/2009,PVI,15.8996191024
07/10/2009,PVI,15.6890277862
07/13/2009,PVI,15.3731412887
07/14/2009,PVI,15.2678461074
07/15/2009,PVI,15.47843647
07/16/2009,PVI,15.7943229675
07/17/2009,PVI,15.5837326049
07/20/2009,PVI,14.7940158843
07/21/2009,PVI,15.5310840606
07/22/2009,PVI,16.1102104187
07/23/2009,PVI,16.1102104187
07/24/2009,PVI,17.5316982269
07/27/2009,PVI,18.479358673
07/28/2009,PVI,18.2161197662
07/29/2009,PVI,17.900232315
07/30/2009,PVI,17.0578689575
07/31/2009,PVI,17.4790515899
08/03/2009,PVI,16.501674652
08/04/2009,PVI,16.8063201904
08/05/2009,PVI,16.7555465698
08/06/2009,PVI,16.7047729492
08/07/2009,PVI,16.5524482727
08/10/2009,PVI,16.6539974212
08/11/2009,PVI,16.6539974212
08/12/2009,PVI,16.7555465698
08/13/2009,PVI,17.2125167846
08/14/2009,PVI,16.8063201904
08/17/2009,PVI,16.5524482727
08/18/2009,PVI,16.3493518829
08/19/2009,PVI,16.6539974212
08/20/2009,PVI,16.6539974212
08/21/2009,PVI,16.9078693389
08/24/2009,PVI,17.1109676361
08/25/2009,PVI,17.0601940155
08/26/2009,PVI,17.0601940155
08/27/2009,PVI,16.8063201904
08/28/2009,PVI,16.8063201904
08/31/2009,PVI,17.6187114715
09/01/2009,PVI,17.8725833892
09/03/2009,PVI,17.2125148773
09/04/2009,PVI,16.9586448669
09/07/2009,PVI,16.4509010314
09/08/2009,PVI,16.7047729492
09/09/2009,PVI,16.6539974212
09/10/2009,PVI,16.7047729492
09/11/2009,PVI,16.8063201904
09/14/2009,PVI,16.7555465698
09/15/2009,PVI,16.6032238006
09/16/2009,PVI,16.6539974212
09/17/2009,PVI,16.7047729492
09/18/2009,PVI,16.6539974212
09/21/2009,PVI,16.6539974212
09/22/2009,PVI,16.4509010314
09/23/2009,PVI,16.6539974212
09/24/2009,PVI,16.0954799652
09/25/2009,PVI,15.8416080474
09/28/2009,PVI,16.0447044372
09/29/2009,PVI,15.9939308166
09/30/2009,PVI,15.7908334732
10/01/2009,PVI,15.5877361297
10/02/2009,PVI,14.8261203765
10/05/2009,PVI,14.8768939971
10/06/2009,PVI,14.8261203765
10/07/2009,PVI,15.7908334732
10/08/2009,PVI,16.0954799652
10/09/2009,PVI,16.6032238006
10/12/2009,PVI,16.8570957183
10/13/2009,PVI,16.2478027343
10/14/2009,PVI,16.4001255035
10/15/2009,PVI,16.9586448669
10/16/2009,PVI,16.4509010314
10/19/2009,PVI,16.6539974212
10/20/2009,PVI,17.3140640258
10/21/2009,PVI,18.4311008453
10/22/2009,PVI,18.735748291
10/23/2009,PVI,17.7202606201
10/26/2009,PVI,17.0094184875
10/27/2009,PVI,13.5652351379
10/28/2009,PVI,13.6920137405
10/29/2009,PVI,12.9736051559
10/30/2009,PVI,13.4807167053
11/02/2009,PVI,12.5932712554
11/03/2009,PVI,12.3397159576
11/04/2009,PVI,12.5087528228
11/05/2009,PVI,12.8890867233
11/06/2009,PVI,13.0581235885
11/09/2009,PVI,12.255197525
11/10/2009,PVI,11.8748636245
11/11/2009,PVI,12.1706781387
11/12/2009,PVI,12.9313459396
11/13/2009,PVI,12.9736051559
11/16/2009,PVI,12.7200489044
11/17/2009,PVI,13.0158643722
11/18/2009,PVI,13.1003828048
11/19/2009,PVI,13.0158643722
11/20/2009,PVI,13.31167984
11/23/2009,PVI,12.8045682907
11/24/2009,PVI,12.2974567413
11/25/2009,PVI,11.5367889404
11/26/2009,PVI,10.7338619232
11/27/2009,PVI,10.3957881927
11/30/2009,PVI,10.7761211395
12/01/2009,PVI,21.7999649047
12/02/2009,PVI,20.8346538543
12/03/2009,PVI,20.3519973754
12/04/2009,PVI,20.2715549468
12/07/2009,PVI,20.9955387115
12/08/2009,PVI,20.432439804
12/09/2009,PVI,19.4671287536
12/10/2009,PVI,19.3062419891
12/11/2009,PVI,18.5822582244
12/14/2009,PVI,19.2257995605
12/15/2009,PVI,19.4671287536
12/16/2009,PVI,18.5822582244
12/17/2009,PVI,18.1800460815
12/18/2009,PVI,19.3062419891
12/21/2009,PVI,20.5128822326
12/22/2009,PVI,20.5128822326
12/23/2009,PVI,21.6390800476
12/24/2009,PVI,22.9261627197
12/25/2009,PVI,23.32837677
12/28/2009,PVI,22.6848354339
12/29/2009,PVI,22.6043930053
12/30/2009,PVI,22.7652778625
12/31/2009,PVI,21.9608516693
01/04/2010,PVI,23.1674919128
01/05/2010,PVI,24.6154594421
01/06/2010,PVI,23.4892616271
01/07/2010,PVI,23.1674919128
01/08/2010,PVI,23.0066051483
01/11/2010,PVI,22.7652778625
01/12/2010,PVI,21.7999649047
01/13/2010,PVI,21.6390800476
01/14/2010,PVI,22.3630638122
01/15/2010,PVI,21.7999649047
01/18/2010,PVI,20.9150962829
01/19/2010,PVI,20.9955387115
01/20/2010,PVI,20.9150962829
01/21/2010,PVI,20.0302276611
01/22/2010,PVI,20.1106700897
01/25/2010,PVI,19.8693408966
01/26/2010,PVI,20.7542114257
