date,ticker,value
10/26/2010,ARM,9.8433891578
10/27/2010,ARM,10.4996151017
10/28/2010,ARM,10.8496022717
10/29/2010,ARM,10.1058795354
11/01/2010,ARM,9.5808987803
11/02/2010,ARM,8.9684212327
11/03/2010,ARM,8.3559436851
11/04/2010,ARM,7.83096293
11/05/2010,ARM,7.4372273637
11/08/2010,ARM,7.6997177412
11/09/2010,ARM,7.5247241562
11/10/2010,ARM,7.1747369861
11/11/2010,ARM,6.8684982123
11/12/2010,ARM,6.4310142498
11/15/2010,ARM,5.9935302872
11/16/2010,ARM,5.6435431171
11/17/2010,ARM,5.6435431171
11/18/2010,ARM,5.9497818909
11/19/2010,ARM,5.9060334947
11/22/2010,ARM,5.5122979284
11/23/2010,ARM,5.6872915134
11/24/2010,ARM,6.0372786834
11/25/2010,ARM,6.299769061
11/26/2010,ARM,5.9060334947
11/29/2010,ARM,6.2560206647
11/30/2010,ARM,6.299769061
12/01/2010,ARM,6.124775476
12/02/2010,ARM,6.3435174572
12/03/2010,ARM,6.5622594385
12/06/2010,ARM,6.3435174572
12/07/2010,ARM,6.299769061
12/08/2010,ARM,5.9497818909
12/09/2010,ARM,5.9497818909
12/10/2010,ARM,5.9497818909
12/13/2010,ARM,6.299769061
12/14/2010,ARM,6.2122722685
12/15/2010,ARM,6.5622594385
12/17/2010,ARM,4.8595455472
12/20/2010,ARM,4.6233176386
12/21/2010,ARM,4.6233176386
12/22/2010,ARM,4.8932923912
12/23/2010,ARM,4.8932923912
12/24/2010,ARM,4.6908113268
12/27/2010,ARM,4.7245581708
12/28/2010,ARM,4.4883302623
12/29/2010,ARM,4.5558239505
12/30/2010,ARM,4.5558239505
12/31/2010,ARM,4.5558239505
01/04/2011,ARM,4.6570644827
01/05/2011,ARM,4.6908113268
01/06/2011,ARM,4.6908113268
01/07/2011,ARM,4.7245581708
01/10/2011,ARM,4.5220771064
01/11/2011,ARM,4.2858491978
01/12/2011,ARM,4.5558239505
01/13/2011,ARM,4.8595455472
01/14/2011,ARM,4.8257987031
01/17/2011,ARM,4.8932923912
01/18/2011,ARM,4.7245581708
01/19/2011,ARM,4.8257987031
01/20/2011,ARM,4.7245581708
01/21/2011,ARM,4.792051859
01/24/2011,ARM,4.7245581708
01/25/2011,ARM,4.4545834182
01/26/2011,ARM,4.7583050149
01/27/2011,ARM,4.9270392353
01/28/2011,ARM,4.9270392353
02/08/2011,ARM,4.7245581708
02/09/2011,ARM,4.7245581708
12/16/2010,ARM,6.124775476
02/10/2011,ARM,4.5200749107
02/11/2011,ARM,4.5846474094
02/14/2011,ARM,4.6169336588
02/15/2011,ARM,4.455502412
02/16/2011,ARM,4.2294986664
02/17/2011,ARM,4.5200749107
02/18/2011,ARM,4.5846474094
02/21/2011,ARM,4.3263574145
02/22/2011,ARM,4.3263574145
02/23/2011,ARM,4.2940711651
02/24/2011,ARM,4.0680674196
02/25/2011,ARM,4.1649261677
02/28/2011,ARM,4.455502412
03/01/2011,ARM,4.7460786562
03/02/2011,ARM,4.4877886613
03/03/2011,ARM,4.3263574145
03/04/2011,ARM,4.3263574145
03/07/2011,ARM,4.6169336588
03/08/2011,ARM,4.907509903
03/09/2011,ARM,5.1335136486
03/10/2011,ARM,4.7783649056
03/11/2011,ARM,4.455502412
03/14/2011,ARM,4.4877886613
03/15/2011,ARM,4.7783649056
03/16/2011,ARM,4.7783649056
03/17/2011,ARM,4.455502412
03/18/2011,ARM,4.3586436639
03/21/2011,ARM,4.3909299132
03/22/2011,ARM,4.3586436639
03/23/2011,ARM,4.3586436639
03/24/2011,ARM,4.3586436639
03/25/2011,ARM,4.3586436639
03/28/2011,ARM,4.3586436639
03/29/2011,ARM,4.3263574145
03/30/2011,ARM,4.3263574145
03/31/2011,ARM,4.3263574145
04/01/2011,ARM,4.3263574145
04/04/2011,ARM,4.3263574145
04/05/2011,ARM,4.1326399183
04/06/2011,ARM,4.1326399183
04/07/2011,ARM,4.3909299132
04/08/2011,ARM,4.1326399183
04/13/2011,ARM,4.3909299132
04/14/2011,ARM,4.1326399183
04/15/2011,ARM,4.7974039847
04/18/2011,ARM,4.7974039847
04/19/2011,ARM,5.1020010631
04/20/2011,ARM,5.3304488719
04/21/2011,ARM,5.3304488719
04/22/2011,ARM,5.0258517935
04/25/2011,ARM,5.2162249675
04/26/2011,ARM,5.0639264283
04/27/2011,ARM,4.8354786195
04/28/2011,ARM,4.9497025239
04/29/2011,ARM,4.6451054455
05/04/2011,ARM,4.5689561759
05/05/2011,ARM,4.7593293499
05/06/2011,ARM,4.8735532543
05/09/2011,ARM,4.8735532543
05/10/2011,ARM,4.6451054455
05/11/2011,ARM,4.4928069063
05/12/2011,ARM,4.7974039847
05/13/2011,ARM,4.9497025239
05/16/2011,ARM,4.9497025239
05/17/2011,ARM,4.6070308107
05/18/2011,ARM,4.3405083671
05/19/2011,ARM,4.6070308107
05/20/2011,ARM,4.8735532543
05/23/2011,ARM,4.5689561759
05/24/2011,ARM,4.7974039847
05/25/2011,ARM,5.1020010631
05/26/2011,ARM,5.0258517935
05/27/2011,ARM,4.8354786195
