date,ticker,value
06/02/2010,AME,0.0
06/03/2010,AME,0.0
06/04/2010,AME,27.5705354003
06/07/2010,AME,0.0
06/08/2010,AME,83.9934888768
06/09/2010,AME,82.691264243
06/10/2010,AME,77.8079218665
06/11/2010,AME,76.8312533912
06/14/2010,AME,77.1568095496
06/15/2010,AME,76.1801410743
06/16/2010,AME,77.8079218665
06/17/2010,AME,77.482365708
06/18/2010,AME,76.5056972327
06/21/2010,AME,75.8545849158
06/22/2010,AME,71.2967986977
06/23/2010,AME,73.9012479652
06/24/2010,AME,78.7845903418
06/25/2010,AME,77.1568095496
06/28/2010,AME,73.2501356483
06/29/2010,AME,71.6223548562
06/30/2010,AME,68.6923494302
07/01/2010,AME,66.7390124796
07/02/2010,AME,68.0412371134
07/26/2010,AME,64.4601193705
08/02/2010,AME,58.2745523602
08/10/2010,AME,52.0889853499
08/17/2010,AME,54.367878459
08/23/2010,AME,51.7634291915
08/26/2010,AME,43.2989690721
09/27/2010,AME,46.8800868149
11/08/2010,AME,32.8811720021
11/25/2010,AME,31.2533912099
12/02/2010,AME,34.5089527943
12/16/2010,AME,31.2533912099
12/17/2010,AME,32.8811720021
12/21/2010,AME,29.9511665762
12/30/2010,AME,29.9511665762
01/06/2011,AME,29.9511665762
01/07/2011,AME,29.9511665762
01/10/2011,AME,28.6489419424
01/11/2011,AME,28.9744981009
01/12/2011,AME,29.3000542593
01/13/2011,AME,29.3000542593
01/17/2011,AME,29.3000542593
01/19/2011,AME,28.9744981009
01/21/2011,AME,28.9744981009
01/25/2011,AME,27.6722734671
01/26/2011,AME,26.6956049918
01/28/2011,AME,27.6722734671
02/11/2011,AME,27.6722734671
02/16/2011,AME,27.3467173087
02/17/2011,AME,26.6956049918
02/25/2011,AME,23.7655995659
02/28/2011,AME,44.160846341
03/01/2011,AME,41.8961875543
03/02/2011,AME,40.7638581609
03/03/2011,AME,38.4991993742
03/07/2011,AME,39.6315287675
03/08/2011,AME,39.6315287675
03/10/2011,AME,40.1976934642
03/14/2011,AME,39.6315287675
03/15/2011,AME,39.6315287675
03/17/2011,AME,39.6315287675
03/18/2011,AME,39.6315287675
03/22/2011,AME,38.4991993742
03/23/2011,AME,40.1976934642
03/24/2011,AME,39.6315287675
03/25/2011,AME,39.0653640709
03/28/2011,AME,38.4991993742
03/29/2011,AME,38.4991993742
03/30/2011,AME,38.4991993742
03/31/2011,AME,38.4991993742
04/01/2011,AME,37.9330346775
04/04/2011,AME,37.3668699808
04/05/2011,AME,37.3668699808
04/06/2011,AME,39.0653640709
04/07/2011,AME,37.9330346775
04/08/2011,AME,37.9330346775
04/15/2011,AME,36.2345405875
04/18/2011,AME,33.9698818007
04/19/2011,AME,34.5360464974
04/21/2011,AME,32.8375524074
04/27/2011,AME,15.5428937854
04/28/2011,AME,15.5428937854
05/09/2011,AME,14.7525771522
05/10/2011,AME,15.01601603
05/11/2011,AME,15.01601603
05/12/2011,AME,15.8063326631
05/13/2011,AME,15.5428937854
05/20/2011,AME,14.4891382745
05/23/2011,AME,13.9622605191
05/24/2011,AME,13.1719438859
05/25/2011,AME,12.3816272528
05/26/2011,AME,12.6450661305
06/02/2011,AME,12.6450661305
06/03/2011,AME,12.118188375
06/06/2011,AME,11.8547494973
06/09/2011,AME,11.8547494973
06/10/2011,AME,12.6450661305
06/13/2011,AME,13.4353827636
06/14/2011,AME,14.2256993968
06/15/2011,AME,13.4353827636
06/17/2011,AME,13.1719438859
06/20/2011,AME,12.6450661305
06/22/2011,AME,12.6450661305
06/23/2011,AME,12.118188375
06/27/2011,AME,12.9085050082
06/29/2011,AME,12.3816272528
06/30/2011,AME,11.8547494973
07/05/2011,AME,12.118188375
07/06/2011,AME,12.3816272528
07/07/2011,AME,12.6450661305
07/08/2011,AME,11.8547494973
07/11/2011,AME,12.118188375
07/13/2011,AME,11.8547494973
07/15/2011,AME,11.5913106196
07/18/2011,AME,11.8547494973
07/19/2011,AME,11.5913106196
07/20/2011,AME,11.5913106196
07/21/2011,AME,11.0644328642
07/22/2011,AME,10.8009939864
07/25/2011,AME,11.3278717419
07/26/2011,AME,10.8009939864
08/01/2011,AME,10.5375551087
08/02/2011,AME,10.8009939864
08/03/2011,AME,10.5375551087
08/08/2011,AME,10.0106773533
08/09/2011,AME,9.7472384756
08/11/2011,AME,9.4837995979
08/12/2011,AME,9.7472384756
08/15/2011,AME,9.7472384756
08/18/2011,AME,10.274116231
08/19/2011,AME,10.0106773533
08/23/2011,AME,10.0106773533
08/24/2011,AME,10.0106773533
08/29/2011,AME,10.0106773533
08/30/2011,AME,10.5375551087
08/31/2011,AME,10.5375551087
09/01/2011,AME,10.5375551087
09/08/2011,AME,10.5375551087
09/09/2011,AME,10.5375551087
09/12/2011,AME,10.8009939864
09/13/2011,AME,11.3278717419
09/15/2011,AME,11.0644328642
09/16/2011,AME,11.0644328642
09/20/2011,AME,10.5375551087
09/21/2011,AME,10.274116231
09/23/2011,AME,10.5375551087
09/26/2011,AME,10.5375551087
09/28/2011,AME,10.8009939864
09/30/2011,AME,10.5375551087
10/03/2011,AME,10.5375551087
10/05/2011,AME,10.8009939864
10/06/2011,AME,10.5375551087
10/10/2011,AME,10.274116231
10/11/2011,AME,10.0106773533
10/13/2011,AME,10.0106773533
10/14/2011,AME,10.5375551087
10/18/2011,AME,10.0106773533
10/19/2011,AME,10.0106773533
10/20/2011,AME,10.0106773533
10/24/2011,AME,10.0106773533
10/25/2011,AME,9.7472384756
10/28/2011,AME,9.7472384756
10/31/2011,AME,10.274116231
11/01/2011,AME,9.7472384756
11/02/2011,AME,9.7472384756
11/03/2011,AME,10.274116231
11/04/2011,AME,9.7472384756
11/07/2011,AME,9.2203607201
11/08/2011,AME,8.6934829647
11/09/2011,AME,8.1666052093
11/10/2011,AME,7.6397274538
11/11/2011,AME,8.1666052093
11/14/2011,AME,7.9031663315
11/15/2011,AME,7.6397274538
11/16/2011,AME,7.3762885761
11/21/2011,AME,7.6397274538
11/22/2011,AME,7.1128496984
11/25/2011,AME,7.3762885761
11/30/2011,AME,7.9031663315
12/05/2011,AME,8.1666052093
12/06/2011,AME,8.1666052093
12/08/2011,AME,7.1128496984
12/09/2011,AME,7.1128496984
12/13/2011,AME,7.6397274538
12/15/2011,AME,7.1128496984
12/20/2011,AME,7.6397274538
12/21/2011,AME,8.1666052093
