date,ticker,value
06/12/2009,SFN,5.2635631561
06/15/2009,SFN,6.0206508636
06/16/2009,SFN,5.8403921127
06/17/2009,SFN,5.8403921127
06/18/2009,SFN,5.8043403625
06/19/2009,SFN,6.0206508636
06/22/2009,SFN,5.6240811347
06/23/2009,SFN,5.6240811347
06/24/2009,SFN,5.6240811347
06/25/2009,SFN,5.2635631561
06/26/2009,SFN,5.5519776344
06/29/2009,SFN,5.1914596557
06/30/2009,SFN,5.1914596557
07/01/2009,SFN,4.5785789489
07/02/2009,SFN,4.5785789489
07/03/2009,SFN,5.011200428
07/06/2009,SFN,5.3356666564
07/07/2009,SFN,5.6601328849
07/08/2009,SFN,5.4438223838
07/09/2009,SFN,5.7322368621
07/10/2009,SFN,5.8403921127
07/13/2009,SFN,5.479874134
07/14/2009,SFN,5.8403921127
07/15/2009,SFN,5.8403921127
07/16/2009,SFN,6.128806591
07/17/2009,SFN,5.7322368621
07/20/2009,SFN,5.912495613
07/21/2009,SFN,5.9845991134
07/22/2009,SFN,6.0567030906
07/23/2009,SFN,5.1025972366
07/24/2009,SFN,5.315205574
07/27/2009,SFN,5.072224617
07/28/2009,SFN,4.7684984207
07/29/2009,SFN,4.738125801
07/30/2009,SFN,4.6773810386
07/31/2009,SFN,4.7028851509
08/03/2009,SFN,4.7028851509
08/04/2009,SFN,4.6742091178
08/05/2009,SFN,4.7889137268
08/06/2009,SFN,4.6455330848
08/07/2009,SFN,4.7028851509
08/10/2009,SFN,4.7315611839
08/11/2009,SFN,4.7889137268
08/12/2009,SFN,4.7028851509
08/13/2009,SFN,4.5881805419
08/14/2009,SFN,4.6455330848
08/17/2009,SFN,4.6168570518
08/18/2009,SFN,4.5881805419
08/19/2009,SFN,4.6455330848
08/20/2009,SFN,4.6168570518
08/21/2009,SFN,4.6455330848
08/24/2009,SFN,4.6455330848
08/25/2009,SFN,4.5549435615
08/26/2009,SFN,4.6115264892
08/27/2009,SFN,4.6115264892
08/28/2009,SFN,4.6398181915
08/31/2009,SFN,4.9510254859
09/01/2009,SFN,5.0076088905
09/03/2009,SFN,5.0076088905
09/04/2009,SFN,4.9510254859
09/07/2009,SFN,4.7812757492
09/08/2009,SFN,4.8095674514
09/09/2009,SFN,4.8661503791
09/10/2009,SFN,5.0076088905
09/11/2009,SFN,5.0924835205
09/14/2009,SFN,5.2056498527
09/15/2009,SFN,5.2339410781
09/16/2009,SFN,5.4036908149
09/17/2009,SFN,5.5344929695
09/18/2009,SFN,5.5058169364
09/21/2009,SFN,5.5058169364
09/22/2009,SFN,5.8499302864
09/23/2009,SFN,6.2227201461
09/24/2009,SFN,6.566833496
09/25/2009,SFN,6.9969754219
09/28/2009,SFN,6.8822712898
09/29/2009,SFN,6.538157463
09/30/2009,SFN,6.452129364
10/01/2009,SFN,6.566833496
10/02/2009,SFN,6.1366915702
10/05/2009,SFN,6.0793395042
10/06/2009,SFN,6.2227201461
10/07/2009,SFN,6.3947768211
10/08/2009,SFN,6.1940441131
10/09/2009,SFN,6.1940441131
10/12/2009,SFN,6.538157463
10/13/2009,SFN,6.7675666809
10/14/2009,SFN,6.7388906478
10/15/2009,SFN,7.1116800308
10/16/2009,SFN,7.5991744995
10/19/2009,SFN,8.1153450012
10/20/2009,SFN,8.6315145492
10/21/2009,SFN,8.0866689682
10/22/2009,SFN,7.7425551414
10/23/2009,SFN,7.5131459236
10/26/2009,SFN,7.3124132156
10/27/2009,SFN,7.407479763
10/28/2009,SFN,7.7602167129
10/29/2009,SFN,7.5838484764
10/30/2009,SFN,7.7602167129
11/02/2009,SFN,7.2311110496
11/03/2009,SFN,6.7607951164
11/04/2009,SFN,6.5256366729
11/05/2009,SFN,6.8489794731
11/06/2009,SFN,7.1723217964
11/09/2009,SFN,6.6726107597
11/10/2009,SFN,6.2610840797
11/11/2009,SFN,6.3492684364
11/12/2009,SFN,6.6432161331
11/13/2009,SFN,6.4080576896
11/16/2009,SFN,6.4080576896
11/17/2009,SFN,6.4080576896
11/18/2009,SFN,6.4962420463
11/19/2009,SFN,6.7314000129
11/20/2009,SFN,6.6138210296
11/23/2009,SFN,6.378663063
11/24/2009,SFN,6.2316894531
11/25/2009,SFN,5.967136383
11/26/2009,SFN,5.5850043296
11/27/2009,SFN,5.349846363
11/30/2009,SFN,5.7025837898
12/01/2009,SFN,6.0553207397
12/02/2009,SFN,6.4080576896
12/03/2009,SFN,6.0259261131
12/04/2009,SFN,5.8789520263
12/07/2009,SFN,6.0259261131
12/08/2009,SFN,5.6731886863
12/09/2009,SFN,5.2910571098
12/10/2009,SFN,4.9971094131
12/11/2009,SFN,4.8207406997
12/14/2009,SFN,5.1146883964
12/15/2009,SFN,5.144083023
12/16/2009,SFN,5.0558986663
12/17/2009,SFN,5.1146883964
12/18/2009,SFN,5.2910571098
12/21/2009,SFN,5.5850043296
12/22/2009,SFN,5.3204517364
12/23/2009,SFN,5.4380307197
12/24/2009,SFN,5.5262150764
12/25/2009,SFN,5.6143994331
12/28/2009,SFN,5.5850043296
12/29/2009,SFN,5.4086360931
12/30/2009,SFN,5.5850043296
12/31/2009,SFN,5.4968204498
01/04/2010,SFN,5.761373043
01/05/2010,SFN,6.1141104698
01/06/2010,SFN,6.378663063
01/07/2010,SFN,6.3198733329
01/08/2010,SFN,5.9965310096
01/11/2010,SFN,5.7907676696
01/12/2010,SFN,5.7319784164
01/13/2010,SFN,6.0259261131
01/14/2010,SFN,5.8201627731
01/15/2010,SFN,5.6143994331
01/18/2010,SFN,5.8201627731
01/19/2010,SFN,5.8789520263
01/20/2010,SFN,5.7319784164
01/21/2010,SFN,5.9965310096
01/22/2010,SFN,5.6143994331
01/25/2010,SFN,5.6437940597
01/26/2010,SFN,5.7319784164
01/27/2010,SFN,5.5262150764
01/28/2010,SFN,4.791891098
01/29/2010,SFN,4.5890598297
02/01/2010,SFN,4.6397676467
02/02/2010,SFN,4.5890598297
02/03/2010,SFN,4.6144137382
02/04/2010,SFN,4.7411832809
02/05/2010,SFN,4.5383520126
02/08/2010,SFN,4.6397676467
02/09/2010,SFN,4.512998104
02/10/2010,SFN,4.7665371894
02/11/2010,SFN,4.7411832809
02/12/2010,SFN,4.7411832809
02/22/2010,SFN,4.7158293724
02/23/2010,SFN,4.7411832809
02/24/2010,SFN,4.7411832809
02/25/2010,SFN,4.7665371894
02/26/2010,SFN,4.791891098
03/01/2010,SFN,4.8172450065
03/02/2010,SFN,4.8172450065
03/03/2010,SFN,4.8679528236
03/04/2010,SFN,4.8679528236
03/05/2010,SFN,4.8425989151
03/08/2010,SFN,4.9947223663
03/09/2010,SFN,4.9693684577
03/10/2010,SFN,4.9186606407
03/11/2010,SFN,4.9186606407
03/12/2010,SFN,4.8933067321
03/15/2010,SFN,5.0200762748
03/16/2010,SFN,5.121491909
03/17/2010,SFN,5.0961380004
03/18/2010,SFN,5.273615837
03/19/2010,SFN,5.1975536346
03/22/2010,SFN,5.273615837
03/23/2010,SFN,5.2482614517
03/24/2010,SFN,5.273615837
03/25/2010,SFN,5.0454301834
03/26/2010,SFN,5.1468458175
03/29/2010,SFN,5.0961380004
03/30/2010,SFN,4.9693684577
03/31/2010,SFN,5.0454301834
04/01/2010,SFN,5.0961380004
04/02/2010,SFN,5.0454301834
04/05/2010,SFN,5.273615837
04/06/2010,SFN,5.0200762748
04/07/2010,SFN,5.0707840919
04/08/2010,SFN,5.0707840919
04/09/2010,SFN,5.0707840919
04/12/2010,SFN,5.1468458175
04/13/2010,SFN,5.028570652
04/14/2010,SFN,4.9782853126
04/15/2010,SFN,5.0788564682
04/16/2010,SFN,5.1039996147
04/19/2010,SFN,5.154284954
04/20/2010,SFN,5.4057135581
04/21/2010,SFN,5.7074279785
04/22/2010,SFN,5.3805708885
04/26/2010,SFN,5.4559993743
04/27/2010,SFN,5.4308567047
04/28/2010,SFN,5.4308567047
04/29/2010,SFN,5.5062851905
05/04/2010,SFN,5.5062851905
05/05/2010,SFN,5.3051424026
05/06/2010,SFN,5.3805708885
05/07/2010,SFN,5.5062851905
05/10/2010,SFN,5.2799992561
05/11/2010,SFN,5.2799992561
05/12/2010,SFN,5.2799992561
05/13/2010,SFN,5.0537137985
05/14/2010,SFN,5.028570652
05/17/2010,SFN,5.0788564682
05/18/2010,SFN,4.7771425247
05/19/2010,SFN,4.5759992599
05/20/2010,SFN,4.6011424064
05/21/2010,SFN,4.8777136802
05/24/2010,SFN,4.8022851943
05/25/2010,SFN,4.8022851943
05/26/2010,SFN,4.701713562
05/27/2010,SFN,4.701713562
05/28/2010,SFN,5.0034279823
05/31/2010,SFN,5.1291422843
06/01/2010,SFN,4.8525709806
06/02/2010,SFN,4.8525709806
06/03/2010,SFN,5.0285709644
06/04/2010,SFN,5.1810431444
06/07/2010,SFN,4.7771424162
06/08/2010,SFN,4.8425830395
06/09/2010,SFN,5.1550077517
06/10/2010,SFN,4.9206892176
06/11/2010,SFN,4.9467246102
06/14/2010,SFN,4.9467246102
06/15/2010,SFN,4.9467246102
06/16/2010,SFN,5.0248307883
06/17/2010,SFN,4.9987953956
06/18/2010,SFN,4.9467246102
06/21/2010,SFN,5.1810431444
06/22/2010,SFN,4.9467246102
06/23/2010,SFN,4.9467246102
06/24/2010,SFN,5.1810431444
06/25/2010,SFN,4.8686184322
06/28/2010,SFN,4.9467246102
06/29/2010,SFN,5.0248307883
06/30/2010,SFN,4.9206892176
07/01/2010,SFN,4.8946538249
07/02/2010,SFN,4.9467246102
07/05/2010,SFN,4.9467246102
07/06/2010,SFN,4.9467246102
07/07/2010,SFN,4.8946538249
07/08/2010,SFN,4.8946538249
07/09/2010,SFN,4.8946538249
07/12/2010,SFN,4.8686184322
07/13/2010,SFN,4.8686184322
07/14/2010,SFN,4.8946538249
07/15/2010,SFN,4.9467246102
07/16/2010,SFN,4.9727600029
07/19/2010,SFN,5.1810431444
07/20/2010,SFN,5.0248307883
07/21/2010,SFN,6.2623805712
07/22/2010,SFN,6.0666811784
07/23/2010,SFN,6.1319143093
07/26/2010,SFN,6.1319143093
07/27/2010,SFN,6.4580799641
07/28/2010,SFN,6.3928468331
07/29/2010,SFN,6.2297640058
07/30/2010,SFN,6.1645308748
08/02/2010,SFN,6.1645308748
08/03/2010,SFN,6.0992977439
08/04/2010,SFN,5.968831482
08/05/2010,SFN,6.0340646129
08/06/2010,SFN,6.0992977439
08/09/2010,SFN,6.1319143093
08/10/2010,SFN,5.8057486546
08/11/2010,SFN,5.903598351
08/12/2010,SFN,5.5774326962
08/13/2010,SFN,5.5774326962
08/16/2010,SFN,5.9362149165
08/17/2010,SFN,6.2949971367
08/18/2010,SFN,5.8709817855
08/19/2010,SFN,5.5121995653
08/20/2010,SFN,5.4795829998
08/23/2010,SFN,5.4143498689
08/24/2010,SFN,5.1860339105
08/25/2010,SFN,5.4143498689
08/26/2010,SFN,5.4795829998
08/27/2010,SFN,5.1534173451
08/30/2010,SFN,5.5121995653
08/31/2010,SFN,5.5448161308
09/01/2010,SFN,5.2512670415
09/06/2010,SFN,5.2512670415
09/07/2010,SFN,5.2512670415
09/08/2010,SFN,5.5448161308
09/09/2010,SFN,5.4795829998
09/10/2010,SFN,5.3165001724
09/13/2010,SFN,5.4143498689
09/14/2010,SFN,5.0555676486
09/15/2010,SFN,4.9577179522
09/16/2010,SFN,5.2512670415
09/17/2010,SFN,5.4795829998
09/20/2010,SFN,5.4795829998
09/21/2010,SFN,5.1860339105
09/22/2010,SFN,5.1860339105
09/23/2010,SFN,5.1860339105
09/24/2010,SFN,5.1208007796
09/27/2010,SFN,5.1534173451
09/28/2010,SFN,5.218650476
09/29/2010,SFN,4.9577179522
09/30/2010,SFN,4.9251013867
10/01/2010,SFN,4.9903345177
10/04/2010,SFN,4.9577179522
10/05/2010,SFN,4.8272516903
10/06/2010,SFN,5.0229510832
10/07/2010,SFN,5.0881842141
10/08/2010,SFN,5.0881842141
10/11/2010,SFN,4.9903345177
10/12/2010,SFN,4.9903345177
10/13/2010,SFN,4.9251013867
10/14/2010,SFN,4.9577179522
10/15/2010,SFN,4.7294019939
10/18/2010,SFN,4.7294019939
10/19/2010,SFN,4.4684694701
10/20/2010,SFN,4.4684694701
10/21/2010,SFN,4.5010860356
10/22/2010,SFN,4.4358529046
10/25/2010,SFN,4.6641688629
10/26/2010,SFN,4.5663191665
10/27/2010,SFN,5.6280686907
10/28/2010,SFN,5.3868657468
10/29/2010,SFN,5.7486701627
11/01/2010,SFN,5.7486701627
11/02/2010,SFN,5.3466652562
11/03/2010,SFN,5.3466652562
11/04/2010,SFN,5.3466652562
11/05/2010,SFN,5.5074672188
11/08/2010,SFN,5.7486701627
11/09/2010,SFN,6.0702740879
11/10/2010,SFN,6.1908755598
11/11/2010,SFN,5.7888706533
11/12/2010,SFN,5.4270662375
11/15/2010,SFN,5.1054623123
11/16/2010,SFN,4.8240588778
11/17/2010,SFN,5.025061331
11/18/2010,SFN,5.3064647655
11/19/2010,SFN,5.2662642749
11/22/2010,SFN,4.9446603497
11/23/2010,SFN,5.1456628029
11/24/2010,SFN,4.8240588778
11/25/2010,SFN,5.1456628029
11/26/2010,SFN,5.1456628029
11/29/2010,SFN,5.1456628029
11/30/2010,SFN,5.3064647655
12/01/2010,SFN,5.5476677094
12/02/2010,SFN,5.9094721253
12/03/2010,SFN,5.9898731066
12/06/2010,SFN,5.9898731066
12/07/2010,SFN,5.708469672
12/08/2010,SFN,5.5476677094
12/09/2010,SFN,5.2662642749
12/10/2010,SFN,5.6280686907
12/13/2010,SFN,5.708469672
12/14/2010,SFN,5.3868657468
12/15/2010,SFN,5.3466652562
12/16/2010,SFN,5.6280686907
12/17/2010,SFN,5.6280686907
12/20/2010,SFN,5.9496726159
12/21/2010,SFN,5.9496726159
12/22/2010,SFN,5.6682691814
12/23/2010,SFN,5.6682691814
12/29/2010,SFN,5.5476677094
12/30/2010,SFN,5.829071144
12/31/2010,SFN,5.4672667281
01/04/2011,SFN,5.5878682001
01/05/2011,SFN,5.5476677094
01/06/2011,SFN,5.5476677094
01/07/2011,SFN,5.5476677094
01/10/2011,SFN,5.6280686907
01/11/2011,SFN,5.5476677094
01/12/2011,SFN,5.5476677094
01/13/2011,SFN,5.7888706533
01/17/2011,SFN,5.4672667281
01/19/2011,SFN,5.5074672188
01/21/2011,SFN,5.5074672188
01/24/2011,SFN,5.5074672188
01/25/2011,SFN,7.5863664305
01/26/2011,SFN,7.6979306427
01/27/2011,SFN,7.8094948549
01/28/2011,SFN,7.6421485366
02/09/2011,SFN,7.6421485366
02/10/2011,SFN,7.4190201122
02/11/2011,SFN,7.4190201122
02/14/2011,SFN,7.4748022183
02/16/2011,SFN,7.4748022183
02/17/2011,SFN,7.5863664305
02/24/2011,SFN,7.4748022183
02/25/2011,SFN,7.5305843244
02/28/2011,SFN,7.4654905462
03/01/2011,SFN,6.9677911765
03/02/2011,SFN,6.9677911765
03/03/2011,SFN,7.0783910364
03/07/2011,SFN,7.1336909664
03/08/2011,SFN,7.1336909664
03/10/2011,SFN,6.6359915966
03/14/2011,SFN,6.9677911765
03/15/2011,SFN,6.5806916667
03/17/2011,SFN,6.9124912465
03/18/2011,SFN,6.9677911765
03/22/2011,SFN,7.1336909664
03/23/2011,SFN,7.1889908964
03/24/2011,SFN,6.7465914566
03/25/2011,SFN,6.7465914566
03/28/2011,SFN,6.7465914566
03/29/2011,SFN,6.7465914566
03/30/2011,SFN,6.4147918767
03/31/2011,SFN,6.3594919468
04/01/2011,SFN,6.3594919468
04/04/2011,SFN,6.2488920868
04/05/2011,SFN,6.3594919468
04/06/2011,SFN,6.3041920168
04/07/2011,SFN,6.1935921569
04/08/2011,SFN,6.2488920868
04/14/2011,SFN,6.6359915966
04/15/2011,SFN,6.3041920168
04/18/2011,SFN,6.0829922969
04/19/2011,SFN,6.0829922969
04/21/2011,SFN,6.1382922269
04/22/2011,SFN,6.1935921569
04/26/2011,SFN,6.3329971166
04/27/2011,SFN,6.6816024625
04/28/2011,SFN,6.5654006805
04/29/2011,SFN,6.5654006805
05/06/2011,SFN,6.3910980076
05/09/2011,SFN,6.3910980076
05/10/2011,SFN,6.3910980076
05/11/2011,SFN,6.2167953347
05/12/2011,SFN,6.3329971166
05/13/2011,SFN,6.4491988986
05/16/2011,SFN,6.0424926617
05/19/2011,SFN,6.3329971166
05/20/2011,SFN,6.1005935527
05/23/2011,SFN,6.0424926617
05/24/2011,SFN,6.0424926617
05/25/2011,SFN,5.8100890978
05/26/2011,SFN,5.8100890978
05/27/2011,SFN,5.9262908798
06/01/2011,SFN,5.9262908798
06/02/2011,SFN,6.1005935527
06/03/2011,SFN,6.1005935527
06/06/2011,SFN,6.1586944437
06/07/2011,SFN,5.7519882068
06/09/2011,SFN,5.8100890978
06/10/2011,SFN,5.9262908798
06/13/2011,SFN,5.9262908798
06/14/2011,SFN,5.8100890978
06/15/2011,SFN,5.8100890978
06/17/2011,SFN,5.6938873159
06/20/2011,SFN,5.6938873159
06/22/2011,SFN,5.8100890978
06/23/2011,SFN,5.8100890978
06/24/2011,SFN,5.8100890978
06/27/2011,SFN,5.403382861
06/28/2011,SFN,5.0547775151
06/29/2011,SFN,5.403382861
06/30/2011,SFN,5.403382861
07/01/2011,SFN,5.403382861
07/05/2011,SFN,5.34528197
07/06/2011,SFN,5.6357864249
07/07/2011,SFN,5.6357864249
07/08/2011,SFN,5.5195846429
07/11/2011,SFN,5.8100890978
07/12/2011,SFN,5.5195846429
07/13/2011,SFN,5.5195846429
07/14/2011,SFN,5.8681899888
07/15/2011,SFN,5.9262908798
07/18/2011,SFN,6.0424926617
07/19/2011,SFN,6.0424926617
07/20/2011,SFN,6.0424926617
07/21/2011,SFN,5.9262908798
07/22/2011,SFN,5.9262908798
07/25/2011,SFN,5.9262908798
07/27/2011,SFN,5.4554005748
07/28/2011,SFN,5.4554005748
08/02/2011,SFN,5.4554005748
08/03/2011,SFN,5.4554005748
08/04/2011,SFN,5.4554005748
08/05/2011,SFN,5.4554005748
08/08/2011,SFN,5.4554005748
08/09/2011,SFN,5.4554005748
08/10/2011,SFN,5.4554005748
08/12/2011,SFN,5.2371845518
08/15/2011,SFN,4.964414523
08/16/2011,SFN,4.964414523
08/18/2011,SFN,5.182630546
08/19/2011,SFN,5.182630546
08/22/2011,SFN,5.4554005748
08/23/2011,SFN,5.182630546
08/24/2011,SFN,5.182630546
08/26/2011,SFN,4.964414523
08/29/2011,SFN,4.964414523
08/30/2011,SFN,5.182630546
08/31/2011,SFN,5.182630546
09/01/2011,SFN,5.182630546
09/06/2011,SFN,5.182630546
09/07/2011,SFN,5.0735225345
09/08/2011,SFN,5.0735225345
09/09/2011,SFN,5.0735225345
09/12/2011,SFN,5.0735225345
09/13/2011,SFN,5.0189685288
09/15/2011,SFN,5.2371845518
09/16/2011,SFN,5.182630546
09/20/2011,SFN,5.0189685288
09/21/2011,SFN,5.0189685288
09/23/2011,SFN,4.427180281
09/26/2011,SFN,4.427180281
09/28/2011,SFN,4.5351602878
09/30/2011,SFN,4.5891502913
10/03/2011,SFN,4.5351602878
10/04/2011,SFN,4.4811702844
10/05/2011,SFN,4.4811702844
10/06/2011,SFN,4.5891502913
10/10/2011,SFN,4.3192002741
10/11/2011,SFN,4.3192002741
10/12/2011,SFN,4.427180281
10/13/2011,SFN,4.427180281
10/14/2011,SFN,4.5891502913
10/18/2011,SFN,4.1728579896
10/19/2011,SFN,4.0746730958
10/20/2011,SFN,4.0746730958
10/21/2011,SFN,4.1728579896
10/24/2011,SFN,4.1728579896
10/25/2011,SFN,4.1728579896
10/26/2011,SFN,4.1728579896
10/28/2011,SFN,4.2219504366
10/31/2011,SFN,4.2219504366
11/01/2011,SFN,4.2219504366
11/02/2011,SFN,4.2219504366
11/03/2011,SFN,4.2710428835
11/04/2011,SFN,4.2710428835
11/07/2011,SFN,4.2710428835
11/08/2011,SFN,4.2710428835
11/09/2011,SFN,4.2219504366
11/10/2011,SFN,4.2219504366
11/11/2011,SFN,4.2219504366
11/14/2011,SFN,4.2219504366
11/15/2011,SFN,4.1237655427
11/16/2011,SFN,4.1237655427
11/17/2011,SFN,4.1237655427
11/21/2011,SFN,4.1237655427
11/22/2011,SFN,4.1237655427
11/23/2011,SFN,4.1237655427
11/25/2011,SFN,4.1237655427
11/28/2011,SFN,4.1237655427
11/30/2011,SFN,4.1728579896
12/01/2011,SFN,4.1728579896
12/05/2011,SFN,4.1728579896
12/06/2011,SFN,4.1728579896
12/07/2011,SFN,4.1728579896
12/08/2011,SFN,4.1728579896
12/09/2011,SFN,4.1728579896
12/13/2011,SFN,4.1728579896
12/15/2011,SFN,4.1237655427
12/19/2011,SFN,4.1237655427
12/20/2011,SFN,4.1237655427
