date,ticker,value
01/19/2011,TSB,10.3606100253
01/20/2011,TSB,9.833799346
01/21/2011,TSB,9.166505819
01/24/2011,TSB,8.6748158517
01/25/2011,TSB,8.8855401234
01/26/2011,TSB,9.2367472429
01/27/2011,TSB,9.3772300907
01/28/2011,TSB,9.7284372102
02/08/2011,TSB,10.0094029058
02/09/2011,TSB,10.1498857536
02/10/2011,TSB,9.5177129385
02/11/2011,TSB,9.6933164982
02/14/2011,TSB,9.4825922265
02/15/2011,TSB,9.4474715146
02/16/2011,TSB,9.4474715146
02/17/2011,TSB,9.3772300907
02/18/2011,TSB,9.4123508026
02/21/2011,TSB,9.131385107
02/22/2011,TSB,8.2072484228
02/24/2009,VBH,14.1063213348
04/10/2009,VBH,26.6289024353
04/13/2009,VBH,27.683511734
04/14/2009,VBH,14.1063213348
04/15/2009,VBH,30.8473415374
04/17/2009,VBH,28.7381210327
04/20/2009,VBH,32.4292564392
04/21/2009,VBH,33.2202148437
04/22/2009,VBH,31.1109943389
04/23/2009,VBH,31.1109943389
04/24/2009,VBH,29.0017738342
04/27/2009,VBH,29.0017738342
04/28/2009,VBH,27.1562061309
04/29/2009,VBH,26.3652496337
05/04/2009,VBH,27.9471645355
05/05/2009,VBH,29.0017738342
05/06/2009,VBH,27.1562061309
05/07/2009,VBH,27.683511734
05/08/2009,VBH,27.683511734
02/23/2011,TSB,8.3663036248
02/24/2011,TSB,8.2390594632
02/25/2011,TSB,8.4299257056
02/28/2011,TSB,8.4299257056
03/01/2011,TSB,8.2390594632
03/02/2011,TSB,8.2072484228
03/03/2011,TSB,8.1754373824
03/04/2011,TSB,8.2072484228
03/07/2011,TSB,8.2390594632
03/08/2011,TSB,8.1754373824
03/09/2011,TSB,7.9527600996
03/10/2011,TSB,7.98457114
03/11/2011,TSB,7.9527600996
03/14/2011,TSB,8.0163821804
03/15/2011,TSB,7.9209490592
03/16/2011,TSB,8.0163821804
03/17/2011,TSB,8.3663036248
03/18/2011,TSB,8.4299257056
03/21/2011,TSB,8.6526029884
03/22/2011,TSB,8.461736746
03/23/2011,TSB,8.461736746
03/24/2011,TSB,8.4299257056
03/25/2011,TSB,8.1118153016
03/28/2011,TSB,7.9568602901
03/29/2011,TSB,8.0205151724
03/30/2011,TSB,7.9886877312
03/31/2011,TSB,8.0841700547
04/01/2011,TSB,7.6385858785
04/04/2011,TSB,7.7022407608
04/05/2011,TSB,7.8932054078
04/06/2011,TSB,7.6704133196
04/07/2011,TSB,7.7977230843
05/11/2009,VBH,29.0017738342
05/14/2009,VBH,27.683511734
05/15/2009,VBH,29.0017738342
05/22/2009,VBH,29.7927322387
05/26/2009,VBH,32.6929092407
05/27/2009,VBH,29.0017738342
05/28/2009,VBH,47.661617279
05/29/2009,VBH,46.361755371
06/01/2009,VBH,49.8280563354
06/03/2009,VBH,49.8280563354
06/04/2009,VBH,49.3947677612
06/08/2009,VBH,54.5942192077
06/10/2009,VBH,53.2943572998
06/11/2009,VBH,57.1939430236
06/12/2009,VBH,57.1939430236
06/15/2009,VBH,60.660243988
06/16/2009,VBH,60.660243988
06/17/2009,VBH,57.6272315979
06/18/2009,VBH,56.3273696899
06/22/2009,VBH,57.6272315979
06/23/2009,VBH,59.3603782653
06/24/2009,VBH,59.3603782653
06/25/2009,VBH,63.6932563781
06/26/2009,VBH,59.3603782653
06/29/2009,VBH,56.7606544494
06/30/2009,VBH,56.7606544494
07/01/2009,VBH,52.8610687255
07/02/2009,VBH,52.8610687255
07/03/2009,VBH,50.6946296691
07/06/2009,VBH,52.4277801513
07/07/2009,VBH,55.0275039672
07/08/2009,VBH,54.1609306335
04/08/2011,TSB,7.7977230843
04/13/2011,TSB,7.543103555
04/14/2011,TSB,7.9250328489
04/15/2011,TSB,8.1159974959
04/18/2011,TSB,8.1159974959
04/19/2011,TSB,8.0205151724
04/20/2011,TSB,8.0205151724
04/21/2011,TSB,7.9250328489
04/22/2011,TSB,7.7977230843
04/25/2011,TSB,7.9250328489
04/26/2011,TSB,8.0205151724
04/27/2011,TSB,7.6704133196
04/28/2011,TSB,7.1930017022
04/29/2011,TSB,7.0020370553
05/04/2011,TSB,7.3839663492
05/05/2011,TSB,7.352138908
05/06/2011,TSB,7.4794486727
05/09/2011,TSB,7.4794486727
05/10/2011,TSB,7.0338644964
05/11/2011,TSB,7.2884840257
05/12/2011,TSB,7.2884840257
05/13/2011,TSB,6.9383821729
05/16/2011,TSB,6.5882803202
05/17/2011,TSB,6.7792449671
05/18/2011,TSB,6.9702096141
05/19/2011,TSB,6.8110724083
05/20/2011,TSB,6.9702096141
05/23/2011,TSB,6.5882803202
05/24/2011,TSB,6.3336607909
05/25/2011,TSB,6.0472138205
05/26/2011,TSB,6.1426961439
05/27/2011,TSB,5.8562491735
07/09/2009,VBH,54.1609306335
07/10/2009,VBH,51.5612068176
07/14/2009,VBH,51.9944915771
07/15/2009,VBH,51.5612068176
07/16/2009,VBH,51.9944915771
07/17/2009,VBH,51.9944915771
07/20/2009,VBH,54.1609306335
07/21/2009,VBH,51.9944915771
07/22/2009,VBH,49.3947677612
07/24/2009,VBH,46.3526268005
07/28/2009,VBH,45.5864677429
07/29/2009,VBH,44.0541496276
07/30/2009,VBH,42.9049110412
08/07/2009,VBH,-152.0876312255
08/11/2009,VBH,-159.2167510986
08/12/2009,VBH,-154.4640045166
08/13/2009,VBH,-147.3348999023
08/14/2009,VBH,-143.7703399658
08/17/2009,VBH,-135.453048706
08/18/2009,VBH,-143.7703399658
08/19/2009,VBH,-146.1467132568
08/20/2009,VBH,-148.5230865478
08/21/2009,VBH,-140.205795288
08/25/2009,VBH,-143.7703552246
08/26/2009,VBH,-147.3348999023
08/27/2009,VBH,-142.5821685791
08/28/2009,VBH,-144.9585266113
08/31/2009,VBH,-144.9585266113
09/01/2009,VBH,-144.9585266113
09/03/2009,VBH,-139.0176086425
09/04/2009,VBH,-139.0176086425
09/07/2009,VBH,-143.7703552246
09/08/2009,VBH,-153.2758331298
05/30/2011,TSB,6.0153863793
05/31/2011,TSB,5.9835589381
06/01/2011,TSB,6.0153863793
06/02/2011,TSB,6.3018333497
06/03/2011,TSB,6.0790412616
06/06/2011,TSB,6.0790412616
06/07/2011,TSB,6.3336607909
06/08/2011,TSB,6.0153863793
06/09/2011,TSB,6.1426961439
06/10/2011,TSB,6.4609705555
06/13/2011,TSB,6.7155900848
06/14/2011,TSB,6.7155900848
06/15/2011,TSB,6.7155900848
06/16/2011,TSB,6.4291431144
06/17/2011,TSB,6.4291431144
06/20/2011,TSB,6.2700059086
06/21/2011,TSB,6.3018333497
06/22/2011,TSB,6.1745235851
06/23/2011,TSB,6.1426961439
06/24/2011,TSB,6.1426961439
06/27/2011,TSB,6.1426961439
06/28/2011,TSB,6.1426961439
06/29/2011,TSB,6.0472138205
06/30/2011,TSB,6.0472138205
07/01/2011,TSB,6.0153863793
07/04/2011,TSB,5.9835589381
07/05/2011,TSB,5.76076685
07/06/2011,TSB,5.7925942912
07/07/2011,TSB,5.4106649972
07/08/2011,TSB,5.0605631445
07/11/2011,TSB,5.3788375561
07/12/2011,TSB,5.6652845265
09/09/2009,VBH,-152.0876464843
09/10/2009,VBH,-142.5821685791
09/14/2009,VBH,-143.7703552246
09/15/2009,VBH,-142.5821685791
09/17/2009,VBH,-141.3939666748
09/18/2009,VBH,-143.7703399658
09/21/2009,VBH,-146.1467132568
09/22/2009,VBH,-144.9585266113
09/23/2009,VBH,-142.5821533203
09/28/2009,VBH,-144.9585266113
09/29/2009,VBH,-139.0176086425
09/30/2009,VBH,-141.3939666748
10/01/2009,VBH,-141.3939666748
10/02/2009,VBH,-147.3348999023
10/08/2009,VBH,-137.829421997
10/09/2009,VBH,-146.1467132568
10/13/2009,VBH,-147.3348999023
10/14/2009,VBH,-141.3939666748
10/15/2009,VBH,-143.7703399658
10/16/2009,VBH,-144.9585266113
10/19/2009,VBH,-146.1467132568
10/20/2009,VBH,-153.275817871
10/21/2009,VBH,-163.9694824218
10/22/2009,VBH,-174.6631469726
10/23/2009,VBH,-186.5449981689
10/26/2009,VBH,-185.3568115234
10/28/2009,VBH,-58.5911293029
10/30/2009,VBH,-58.5911293029
11/02/2009,VBH,-57.7480926513
11/03/2009,VBH,-61.1202430725
11/04/2009,VBH,-63.2278366088
07/13/2011,TSB,6.0472138205
07/14/2011,TSB,6.4291431144
07/15/2011,TSB,6.4927979967
07/18/2011,TSB,6.6519352025
07/19/2011,TSB,6.6519352025
07/20/2011,TSB,6.6201077613
07/21/2011,TSB,6.6519352025
07/22/2011,TSB,6.6519352025
07/25/2011,TSB,6.556452879
07/26/2011,TSB,6.1108687028
07/27/2011,TSB,6.0153863793
07/28/2011,TSB,5.6016296442
07/29/2011,TSB,5.5379747619
08/01/2011,TSB,5.4424924384
08/02/2011,TSB,6.1035516388
08/03/2011,TSB,6.1416988365
08/04/2011,TSB,6.1798460342
08/05/2011,TSB,4.882841311
08/08/2011,TSB,4.6030951942
08/09/2011,TSB,4.3080901983
08/10/2011,TSB,4.3199582154
08/11/2011,TSB,4.0997641129
08/12/2011,TSB,3.8395154527
08/15/2011,TSB,3.6363816248
08/16/2011,TSB,3.6462363175
08/17/2011,TSB,3.7347166234
08/18/2011,TSB,3.508270619
08/19/2011,TSB,3.2607100594
08/22/2011,TSB,3.4825865386
08/23/2011,TSB,3.7272542697
11/05/2009,VBH,-63.2278366088
11/09/2009,VBH,-58.5911293029
11/10/2009,VBH,-57.7480926513
11/11/2009,VBH,-57.3265724182
11/12/2009,VBH,-59.8556861877
11/13/2009,VBH,-57.7480926513
11/16/2009,VBH,-57.3265724182
11/18/2009,VBH,-55.2189788818
11/19/2009,VBH,-59.0126495361
11/20/2009,VBH,-61.1202430725
11/23/2009,VBH,-61.1202430725
11/24/2009,VBH,-59.8556861877
11/25/2009,VBH,-61.1202430725
11/26/2009,VBH,-61.1202430725
11/27/2009,VBH,-56.9050559997
11/30/2009,VBH,-56.9050559997
12/02/2009,VBH,-51.8468284606
12/03/2009,VBH,-53.1113853454
12/04/2009,VBH,-53.1113853454
12/08/2009,VBH,-52.6898651123
12/09/2009,VBH,-53.954421997
12/10/2009,VBH,-53.954421997
12/14/2009,VBH,-52.2683448791
12/16/2009,VBH,-51.0037879943
12/17/2009,VBH,-53.954421997
12/21/2009,VBH,-60.2772064208
12/22/2009,VBH,-63.649356842
12/24/2009,VBH,-58.1696128845
12/28/2009,VBH,-60.2772064208
12/31/2009,VBH,-61.5417633056
01/04/2010,VBH,-57.7480926513
01/05/2010,VBH,-56.0620155334
08/24/2011,TSB,3.9731708365
08/25/2011,TSB,4.2597786338
08/26/2011,TSB,4.547843406
08/29/2011,TSB,4.9026168195
08/30/2011,TSB,4.7555664138
