date,ticker,value
10/19/2010,SMA,6.6887638631
10/20/2010,SMA,6.3766215495
10/21/2010,SMA,6.0644792359
10/22/2010,SMA,6.0644792359
10/25/2010,SMA,6.109070995
10/26/2010,SMA,6.1982545132
10/27/2010,SMA,5.9307039586
10/28/2010,SMA,6.0198874768
10/29/2010,SMA,6.1536627541
11/01/2010,SMA,6.0198874768
11/02/2010,SMA,5.8415204405
11/03/2010,SMA,5.5739698859
11/04/2010,SMA,5.6631534041
11/05/2010,SMA,5.8861121996
11/08/2010,SMA,5.6631534041
11/09/2010,SMA,5.4401946087
11/10/2010,SMA,5.5293781268
11/11/2010,SMA,5.3064193314
11/12/2010,SMA,5.2618275723
11/15/2010,SMA,5.1280522951
11/16/2010,SMA,4.9496852587
11/17/2010,SMA,4.9050934996
11/18/2010,SMA,4.9942770178
11/19/2010,SMA,4.9942770178
11/22/2010,SMA,4.7713182224
11/23/2010,SMA,4.7713182224
11/24/2010,SMA,4.6821347042
11/25/2010,SMA,4.8605017405
11/26/2010,SMA,4.7267264633
11/29/2010,SMA,4.6821347042
11/30/2010,SMA,4.9050934996
12/01/2010,SMA,5.1280522951
12/02/2010,SMA,5.3510110905
12/03/2010,SMA,5.618561645
12/06/2010,SMA,5.618561645
12/07/2010,SMA,5.3510110905
12/08/2010,SMA,5.083460536
12/09/2010,SMA,4.8605017405
12/10/2010,SMA,5.083460536
12/13/2010,SMA,5.3064193314
12/14/2010,SMA,5.4401946087
12/15/2010,SMA,5.4847863678
12/16/2010,SMA,5.2172358132
12/17/2010,SMA,5.2172358132
12/20/2010,SMA,4.9942770178
12/21/2010,SMA,5.2172358132
12/22/2010,SMA,5.1726440541
12/23/2010,SMA,5.1726440541
12/24/2010,SMA,5.1280522951
12/27/2010,SMA,5.0388687769
12/28/2010,SMA,5.1280522951
12/29/2010,SMA,5.0388687769
12/30/2010,SMA,5.0388687769
12/31/2010,SMA,5.0388687769
01/04/2011,SMA,5.2172358132
01/05/2011,SMA,5.2172358132
01/06/2011,SMA,5.2618275723
01/07/2011,SMA,5.2618275723
01/10/2011,SMA,5.1280522951
01/11/2011,SMA,5.083460536
01/12/2011,SMA,5.083460536
01/13/2011,SMA,5.083460536
01/14/2011,SMA,5.083460536
01/17/2011,SMA,5.0388687769
01/18/2011,SMA,5.083460536
01/19/2011,SMA,5.083460536
01/20/2011,SMA,5.3064193314
01/21/2011,SMA,5.3510110905
01/24/2011,SMA,5.3510110905
01/25/2011,SMA,5.3064193314
01/26/2011,SMA,5.3510110905
01/27/2011,SMA,5.3064193314
01/28/2011,SMA,5.3510110905
02/08/2011,SMA,4.9150946456
02/09/2011,SMA,4.8744740287
02/10/2011,SMA,4.8338534118
02/11/2011,SMA,4.8338534118
02/14/2011,SMA,4.8338534118
02/15/2011,SMA,4.752612178
02/16/2011,SMA,4.7932327949
02/17/2011,SMA,4.7932327949
02/18/2011,SMA,4.752612178
02/21/2011,SMA,4.5495090935
02/22/2011,SMA,4.3464060089
02/23/2011,SMA,4.1839235413
02/24/2011,SMA,4.1839235413
02/25/2011,SMA,4.2651647751
02/28/2011,SMA,4.1026823075
03/01/2011,SMA,4.1433029244
03/02/2011,SMA,4.0620616906
03/03/2011,SMA,4.0620616906
03/04/2011,SMA,4.1433029244
03/07/2011,SMA,3.7777173722
03/08/2011,SMA,3.6152349046
03/09/2011,SMA,3.5746142877
03/10/2011,SMA,3.6558555215
03/11/2011,SMA,3.7370967553
03/14/2011,SMA,3.6964761384
03/15/2011,SMA,3.6558555215
03/16/2011,SMA,3.6558555215
03/17/2011,SMA,3.6558555215
03/18/2011,SMA,3.7777173722
03/21/2011,SMA,3.7777173722
03/22/2011,SMA,3.7777173722
03/23/2011,SMA,3.7777173722
03/24/2011,SMA,3.6558555215
03/25/2011,SMA,3.7777173722
03/28/2011,SMA,3.7777173722
03/29/2011,SMA,3.7370967553
03/30/2011,SMA,3.6558555215
03/31/2011,SMA,3.6152349046
04/01/2011,SMA,3.6558555215
04/04/2011,SMA,3.6558555215
04/05/2011,SMA,3.6152349046
04/06/2011,SMA,3.6558555215
04/07/2011,SMA,3.6152349046
04/08/2011,SMA,3.6558555215
04/13/2011,SMA,3.6152349046
04/14/2011,SMA,3.6152349046
04/15/2011,SMA,3.6152349046
04/18/2011,SMA,3.5746142877
04/19/2011,SMA,3.5339936708
04/20/2011,SMA,3.5339936708
04/21/2011,SMA,3.4121318201
04/22/2011,SMA,3.452752437
04/25/2011,SMA,3.452752437
04/26/2011,SMA,3.4933730539
04/27/2011,SMA,3.4933730539
04/28/2011,SMA,3.5339936708
04/29/2011,SMA,3.452752437
05/04/2011,SMA,3.4933730539
05/05/2011,SMA,3.3715112032
05/06/2011,SMA,3.3715112032
05/09/2011,SMA,3.452752437
05/10/2011,SMA,3.3715112032
05/11/2011,SMA,3.4121318201
05/12/2011,SMA,3.3308905863
05/13/2011,SMA,3.3715112032
05/16/2011,SMA,3.2496493525
05/17/2011,SMA,3.1684081187
05/18/2011,SMA,3.0465462679
05/19/2011,SMA,2.9986921992
05/20/2011,SMA,2.9208040901
05/23/2011,SMA,2.8039719265
05/24/2011,SMA,2.765027872
05/25/2011,SMA,2.6481957084
05/26/2011,SMA,2.7260838174
05/27/2011,SMA,2.765027872
05/30/2011,SMA,2.7260838174
05/31/2011,SMA,2.7260838174
06/01/2011,SMA,2.8039719265
06/02/2011,SMA,2.8818600356
06/03/2011,SMA,2.765027872
06/06/2011,SMA,2.8039719265
06/07/2011,SMA,2.8818600356
06/08/2011,SMA,2.765027872
06/09/2011,SMA,2.6481957084
06/10/2011,SMA,2.765027872
06/13/2011,SMA,2.8818600356
06/14/2011,SMA,2.9597481446
06/15/2011,SMA,2.842915981
06/16/2011,SMA,2.8039719265
06/17/2011,SMA,2.7260838174
06/20/2011,SMA,2.8039719265
06/21/2011,SMA,2.8818600356
06/22/2011,SMA,2.765027872
06/23/2011,SMA,2.6481957084
06/24/2011,SMA,2.7260838174
06/27/2011,SMA,2.7260838174
06/28/2011,SMA,2.6871397629
06/29/2011,SMA,2.6871397629
06/30/2011,SMA,2.8039719265
07/01/2011,SMA,2.765027872
07/04/2011,SMA,2.765027872
07/05/2011,SMA,2.765027872
07/06/2011,SMA,2.6481957084
07/07/2011,SMA,2.6481957084
07/08/2011,SMA,2.6481957084
07/11/2011,SMA,2.5703075993
07/12/2011,SMA,2.4534754357
07/13/2011,SMA,2.4145313811
07/14/2011,SMA,2.4534754357
07/15/2011,SMA,2.4145313811
07/18/2011,SMA,2.3366432721
07/19/2011,SMA,2.2198111085
07/20/2011,SMA,2.258755163
07/21/2011,SMA,2.1808670539
07/22/2011,SMA,2.1808670539
07/25/2011,SMA,2.258755163
07/26/2011,SMA,2.2019860403
07/27/2011,SMA,2.1640207637
07/28/2011,SMA,2.1640207637
07/29/2011,SMA,2.2399513168
08/01/2011,SMA,2.1640207637
08/02/2011,SMA,2.1640207637
08/03/2011,SMA,2.1640207637
08/04/2011,SMA,2.2399513168
08/05/2011,SMA,2.1640207637
08/08/2011,SMA,2.2019860403
08/09/2011,SMA,2.1260554872
08/10/2011,SMA,2.0880902106
08/11/2011,SMA,2.0880902106
