date,ticker,value
12/10/2009,AGR,0.0
12/11/2009,AGR,0.0
12/14/2009,AGR,80.1889495849
12/15/2009,AGR,76.3868865966
12/16/2009,AGR,72.5848236083
12/17/2009,AGR,74.3130340576
12/18/2009,AGR,77.769454956
12/21/2009,AGR,81.5715179443
12/22/2009,AGR,85.3735809326
12/23/2009,AGR,83.2997283935
12/24/2009,AGR,86.7561416625
12/25/2009,AGR,90.9038467407
12/28/2009,AGR,86.7561416625
12/29/2009,AGR,82.6084442138
12/30/2009,AGR,82.9540863037
12/31/2009,AGR,82.9540863037
01/04/2010,AGR,87.1017837524
01/05/2010,AGR,87.7930679321
01/06/2010,AGR,91.9407730102
01/07/2010,AGR,96.4341201782
01/08/2010,AGR,91.9407730102
01/11/2010,AGR,93.3233413696
01/12/2010,AGR,88.8299942016
01/13/2010,AGR,91.2494888305
01/14/2010,AGR,91.9407730102
01/15/2010,AGR,89.8669204711
01/18/2010,AGR,85.3735809326
01/19/2010,AGR,81.2258758544
01/20/2010,AGR,78.8063812255
01/21/2010,AGR,79.4976654052
01/22/2010,AGR,79.4976654052
01/25/2010,AGR,79.1520233154
01/26/2010,AGR,82.6084442138
01/27/2010,AGR,78.8063812255
01/28/2010,AGR,15.0519266128
01/29/2010,AGR,14.7113847732
02/01/2010,AGR,14.7113847732
02/02/2010,AGR,14.6432771682
02/03/2010,AGR,14.9838180541
02/04/2010,AGR,14.9838180541
02/05/2010,AGR,14.5751686096
02/08/2010,AGR,14.5070600509
02/09/2010,AGR,14.166519165
02/10/2010,AGR,14.5751686096
02/11/2010,AGR,14.7113847732
02/12/2010,AGR,15.2562513351
02/22/2010,AGR,15.3243589401
02/23/2010,AGR,14.9838180541
02/24/2010,AGR,14.7794933319
02/25/2010,AGR,14.7113847732
02/26/2010,AGR,14.8476018905
03/01/2010,AGR,14.9838180541
03/02/2010,AGR,14.7113847732
03/03/2010,AGR,14.9157094955
03/04/2010,AGR,15.528684616
03/05/2010,AGR,15.3243589401
03/08/2010,AGR,15.869225502
03/09/2010,AGR,15.596792221
03/10/2010,AGR,14.9838180541
03/11/2010,AGR,14.9838180541
03/12/2010,AGR,14.9838180541
03/15/2010,AGR,14.9157094955
03/16/2010,AGR,15.596792221
03/17/2010,AGR,12.5158205032
03/18/2010,AGR,12.6849536895
03/19/2010,AGR,12.5158205032
03/22/2010,AGR,12.2903108596
