date,ticker,value
10/08/2009,ABI,0.0
10/09/2009,ABI,0.0
10/12/2009,ABI,0.0
10/13/2009,ABI,0.0
10/14/2009,ABI,0.0
10/15/2009,ABI,0.0
10/16/2009,ABI,0.0
10/19/2009,ABI,0.0
10/20/2009,ABI,0.0
10/21/2009,ABI,0.0
10/22/2009,ABI,0.0
10/23/2009,ABI,0.0
10/26/2009,ABI,0.0
10/27/2009,ABI,0.0
10/28/2009,ABI,0.0
10/29/2009,ABI,0.0
10/30/2009,ABI,0.0
11/02/2009,ABI,0.0
11/03/2009,ABI,0.0
11/04/2009,ABI,0.0
11/05/2009,ABI,0.0
11/06/2009,ABI,0.0
11/09/2009,ABI,0.0
11/10/2009,ABI,0.0
11/11/2009,ABI,0.0
11/12/2009,ABI,0.0
11/13/2009,ABI,0.0
11/16/2009,ABI,0.0
11/17/2009,ABI,0.0
11/18/2009,ABI,0.0
11/23/2009,ABI,0.0
11/26/2009,ABI,0.0
11/30/2009,ABI,0.0
12/02/2009,ABI,0.0
12/09/2009,ABI,0.0
12/15/2009,ABI,40.9763956803
12/23/2009,ABI,51.2204946004
01/05/2010,ABI,43.0252154643
01/11/2010,ABI,43.0252154643
01/13/2010,ABI,45.0740352484
01/14/2010,ABI,45.0740352484
01/26/2010,ABI,38.9275758963
01/27/2010,ABI,38.9275758963
02/05/2010,ABI,34.4201723715
03/01/2010,ABI,33.6006444579
03/02/2010,ABI,36.8787561123
03/03/2010,ABI,38.9275758963
03/04/2010,ABI,35.2397002851
03/05/2010,ABI,39.7471038099
03/08/2010,ABI,40.9763956803
03/09/2010,ABI,36.8787561123
03/10/2010,ABI,40.5666317235
03/11/2010,ABI,44.2545073348
03/12/2010,ABI,40.1568677667
03/15/2010,ABI,36.8787561123
03/16/2010,ABI,38.5178119395
03/17/2010,ABI,37.6982840259
03/18/2010,ABI,33.6006444579
03/19/2010,ABI,39.3373398531
03/22/2010,ABI,39.7471038099
03/23/2010,ABI,36.0592281987
03/24/2010,ABI,34.8299363283
03/26/2010,ABI,33.1908805011
03/29/2010,ABI,38.1080479827
03/30/2010,ABI,38.1080479827
03/31/2010,ABI,38.1080479827
04/01/2010,ABI,34.8299363283
04/02/2010,ABI,36.0592281987
04/05/2010,ABI,36.8787561123
04/06/2010,ABI,32.7811165443
04/07/2010,ABI,33.1908805011
04/08/2010,ABI,32.7811165443
04/09/2010,ABI,32.7811165443
04/12/2010,ABI,35.2397002851
04/13/2010,ABI,32.7811165443
04/14/2010,ABI,32.7811165443
04/15/2010,ABI,36.8787561123
04/16/2010,ABI,38.1080479827
04/19/2010,ABI,36.8787561123
04/20/2010,ABI,40.5666317235
04/21/2010,ABI,37.2885200691
04/22/2010,ABI,38.1080479827
04/26/2010,ABI,36.8787561123
04/27/2010,ABI,42.6154515075
04/28/2010,ABI,38.9275758963
04/29/2010,ABI,38.9275758963
05/04/2010,ABI,40.1568677667
05/05/2010,ABI,45.1770943779
05/06/2010,ABI,43.944991804
05/07/2010,ABI,46.8198978099
05/10/2010,ABI,50.9269063897
05/11/2010,ABI,46.4091969519
05/12/2010,ABI,47.6412995258
05/13/2010,ABI,37.7844789343
05/14/2010,ABI,41.0700857981
05/17/2010,ABI,37.3737780763
05/18/2010,ABI,41.0700857981
05/19/2010,ABI,42.71288923
05/20/2010,ABI,37.3737780763
05/21/2010,ABI,42.71288923
05/25/2010,ABI,36.9630772183
05/26/2010,ABI,39.0165815082
05/27/2010,ABI,36.9630772183
05/28/2010,ABI,37.3737780763
05/31/2010,ABI,39.4272823662
06/01/2010,ABI,40.6593855134
06/02/2010,ABI,33.6774708293
06/03/2010,ABI,36.9630777395
06/07/2010,ABI,34.0881716931
06/08/2010,ABI,39.4272829221
06/10/2010,ABI,42.3021889685
06/14/2010,ABI,39.0165820583
06/15/2010,ABI,36.9630777395
06/16/2010,ABI,37.3737786032
06/17/2010,ABI,39.8379837859
06/18/2010,ABI,40.6593855134
06/21/2010,ABI,40.6593855134
06/22/2010,ABI,36.9630777395
06/24/2010,ABI,33.6774708293
06/25/2010,ABI,36.9630777395
06/28/2010,ABI,34.9095734206
06/29/2010,ABI,38.6058811946
06/30/2010,ABI,31.6239665104
07/01/2010,ABI,35.7309751482
07/02/2010,ABI,38.1951803308
07/05/2010,ABI,40.2486846496
07/06/2010,ABI,45.9984967425
07/07/2010,ABI,49.2841036526
07/08/2010,ABI,55.0339157454
07/09/2010,ABI,45.1770950149
07/12/2010,ABI,45.1770950149
07/13/2010,ABI,49.2841036526
07/14/2010,ABI,48.0520010613
07/15/2010,ABI,45.5877958787
07/19/2010,ABI,47.2305993338
07/20/2010,ABI,42.7128898323
07/21/2010,ABI,43.1235906961
07/22/2010,ABI,42.7128898323
07/23/2010,ABI,41.8914881047
07/26/2010,ABI,41.0700863772
07/27/2010,ABI,41.480787241
07/28/2010,ABI,39.4272829221
07/29/2010,ABI,41.0700863772
07/30/2010,ABI,41.0700863772
08/02/2010,ABI,41.0700863772
08/04/2010,ABI,35.7309751482
08/05/2010,ABI,36.5523768757
08/06/2010,ABI,37.784479467
08/09/2010,ABI,34.9095734206
08/10/2010,ABI,36.5523768757
08/11/2010,ABI,36.9630777395
08/12/2010,ABI,34.9095734206
08/13/2010,ABI,35.7309751482
08/16/2010,ABI,38.6058811946
08/17/2010,ABI,36.9630777395
08/18/2010,ABI,35.7309751482
08/19/2010,ABI,34.9095734206
08/20/2010,ABI,34.4988725568
08/23/2010,ABI,34.0881716931
08/25/2010,ABI,32.445368238
08/26/2010,ABI,33.6774708293
08/27/2010,ABI,34.9095734206
08/30/2010,ABI,35.3202742844
08/31/2010,ABI,36.5523768757
09/01/2010,ABI,35.3202742844
09/06/2010,ABI,34.9095734206
09/07/2010,ABI,33.6774708293
09/08/2010,ABI,34.0881716931
09/09/2010,ABI,34.4988725568
09/10/2010,ABI,34.088171693
09/13/2010,ABI,34.4988725568
09/14/2010,ABI,34.088171693
09/15/2010,ABI,34.088171693
09/16/2010,ABI,34.088171693
09/17/2010,ABI,33.2667699655
09/20/2010,ABI,33.6774708292
09/21/2010,ABI,33.6774708292
09/22/2010,ABI,33.6774708292
09/23/2010,ABI,33.2667699655
09/24/2010,ABI,32.8560691017
09/27/2010,ABI,30.3918639191
09/28/2010,ABI,33.2667699655
09/29/2010,ABI,31.6239665104
09/30/2010,ABI,29.9811630553
10/01/2010,ABI,31.6239665104
10/04/2010,ABI,29.5704621915
10/05/2010,ABI,28.749060464
10/06/2010,ABI,30.8025647828
10/07/2010,ABI,28.749060464
10/08/2010,ABI,28.8565892281
10/11/2010,ABI,28.8565892281
10/12/2010,ABI,29.268826217
10/13/2010,ABI,28.8565892281
10/14/2010,ABI,28.8565892281
10/15/2010,ABI,28.8565892281
10/18/2010,ABI,28.8565892281
10/19/2010,ABI,28.8565892281
10/20/2010,ABI,28.4443522391
10/21/2010,ABI,28.8565892281
10/22/2010,ABI,28.4443522391
10/25/2010,ABI,28.8565892281
10/26/2010,ABI,28.8565892281
10/27/2010,ABI,28.8565892281
10/28/2010,ABI,28.8565892281
10/29/2010,ABI,26.7954042832
11/01/2010,ABI,26.7954042832
11/02/2010,ABI,28.4443522391
11/03/2010,ABI,28.8565892281
11/04/2010,ABI,28.8565892281
11/05/2010,ABI,30.093300195
11/08/2010,ABI,30.9177741729
11/09/2010,ABI,28.8565892281
11/10/2010,ABI,26.7954042832
11/11/2010,ABI,26.3831672942
11/12/2010,ABI,26.3831672942
11/15/2010,ABI,24.7342193383
11/16/2010,ABI,24.7342193383
11/17/2010,ABI,22.2607974045
11/18/2010,ABI,22.2607974045
11/19/2010,ABI,23.9097453604
11/22/2010,ABI,23.0852713824
11/23/2010,ABI,23.9097453604
11/24/2010,ABI,24.3219823494
11/25/2010,ABI,25.1464563273
11/26/2010,ABI,23.0852713824
11/29/2010,ABI,23.0852713824
11/30/2010,ABI,27.2076412722
12/01/2010,ABI,25.1464563273
12/02/2010,ABI,27.2076412722
12/03/2010,ABI,29.268826217
12/06/2010,ABI,27.6198782611
12/07/2010,ABI,25.5586933163
12/09/2010,ABI,25.1464563273
12/10/2010,ABI,25.9709303052
12/13/2010,ABI,28.0321152501
12/14/2010,ABI,27.6198782611
12/15/2010,ABI,27.6198782611
12/16/2010,ABI,26.7954042832
12/17/2010,ABI,26.3831672942
12/20/2010,ABI,26.3831672942
12/21/2010,ABI,25.1464563273
12/22/2010,ABI,24.7342193383
12/23/2010,ABI,24.7342193383
12/24/2010,ABI,25.9709303052
12/27/2010,ABI,25.9709303052
12/28/2010,ABI,28.0321152501
12/29/2010,ABI,28.0321152501
12/30/2010,ABI,28.8565892281
12/31/2010,ABI,28.8565892281
01/04/2011,ABI,28.8565892281
01/05/2011,ABI,26.7954042832
01/06/2011,ABI,26.7954042832
01/07/2011,ABI,26.7954042832
01/10/2011,ABI,27.6198782611
01/11/2011,ABI,27.2076412722
01/12/2011,ABI,26.3831672942
01/13/2011,ABI,27.2076412722
01/14/2011,ABI,27.2076412722
01/17/2011,ABI,28.4443522391
01/18/2011,ABI,28.4443522391
01/19/2011,ABI,28.8565892281
01/20/2011,ABI,29.681063206
01/21/2011,ABI,28.4443522391
01/24/2011,ABI,28.8565892281
01/25/2011,ABI,26.7954042832
01/26/2011,ABI,27.2076412722
01/27/2011,ABI,27.2076412722
01/28/2011,ABI,26.7954042832
02/08/2011,ABI,26.7954042832
02/09/2011,ABI,28.8565892281
02/10/2011,ABI,28.8565892281
02/11/2011,ABI,29.268826217
02/14/2011,ABI,28.0321152501
02/15/2011,ABI,26.3831672942
02/16/2011,ABI,26.7954042832
02/17/2011,ABI,28.8565892281
02/18/2011,ABI,28.8565892281
02/21/2011,ABI,25.9709303052
02/22/2011,ABI,24.7342193383
02/23/2011,ABI,27.2076412722
02/24/2011,ABI,26.3831672942
02/25/2011,ABI,27.6198782611
02/28/2011,ABI,26.3831672942
03/01/2011,ABI,25.9709303052
03/02/2011,ABI,25.9709303052
03/03/2011,ABI,25.9709303052
03/04/2011,ABI,25.9709303052
03/07/2011,ABI,25.9709303052
03/08/2011,ABI,26.3831672942
03/09/2011,ABI,26.3831672942
03/10/2011,ABI,28.4443522391
03/11/2011,ABI,29.268826217
03/14/2011,ABI,29.268826217
03/15/2011,ABI,26.3831672942
03/16/2011,ABI,28.4443522391
03/17/2011,ABI,28.4443522391
03/18/2011,ABI,28.4443522391
03/21/2011,ABI,28.4443522391
03/22/2011,ABI,28.4443522391
03/23/2011,ABI,29.268826217
03/24/2011,ABI,27.2076412722
03/25/2011,ABI,26.7954042832
03/28/2011,ABI,28.8565892281
03/29/2011,ABI,29.268826217
03/30/2011,ABI,29.268826217
03/31/2011,ABI,29.268826217
04/01/2011,ABI,29.268826217
04/04/2011,ABI,27.6198782611
04/05/2011,ABI,28.8565892281
04/06/2011,ABI,29.268826217
04/07/2011,ABI,28.8565892281
04/08/2011,ABI,28.8565892281
04/13/2011,ABI,28.4443522391
04/14/2011,ABI,26.3831672942
04/15/2011,ABI,26.3831672942
04/18/2011,ABI,27.6198782611
04/19/2011,ABI,28.8565892281
04/20/2011,ABI,28.8565892281
04/21/2011,ABI,30.093300195
04/22/2011,ABI,30.093300195
04/25/2011,ABI,28.0321152501
04/26/2011,ABI,27.6198782611
04/27/2011,ABI,28.8565892281
04/28/2011,ABI,28.8565892281
04/29/2011,ABI,25.9709303052
05/04/2011,ABI,28.4443522391
05/05/2011,ABI,26.7954042832
05/06/2011,ABI,7.0244833293
05/09/2011,ABI,6.9226792231
05/10/2011,ABI,6.7190710106
05/11/2011,ABI,6.6172669044
05/12/2011,ABI,6.7190710106
05/13/2011,ABI,6.5154627982
05/16/2011,ABI,6.1082463733
05/17/2011,ABI,5.497421736
05/18/2011,ABI,5.0902053111
05/19/2011,ABI,4.7847929924
05/20/2011,ABI,5.0902053111
05/23/2011,ABI,4.7847929924
05/24/2011,ABI,4.8865970986
05/25/2011,ABI,4.7847929924
05/26/2011,ABI,5.1920094173
05/27/2011,ABI,5.1920094173
05/30/2011,ABI,4.9884012048
