date,ticker,value
10/14/2015,BDW,0.0
10/15/2015,BDW,0.0
10/16/2015,BDW,0.0
10/19/2015,BDW,0.0
10/20/2015,BDW,24.8655350148
10/21/2015,BDW,24.8655350148
10/22/2015,BDW,24.8655350148
10/23/2015,BDW,24.8655350148
10/26/2015,BDW,24.8655350148
10/27/2015,BDW,24.8655350148
10/28/2015,BDW,24.8655350148
10/29/2015,BDW,24.8655350148
10/30/2015,BDW,24.8655350148
11/02/2015,BDW,24.8655350148
11/03/2015,BDW,24.8655350148
11/04/2015,BDW,24.8655350148
11/05/2015,BDW,24.8655350148
11/06/2015,BDW,24.8655350148
11/09/2015,BDW,24.8655350148
11/10/2015,BDW,24.8655350148
11/11/2015,BDW,24.8655350148
11/12/2015,BDW,24.8655350148
11/13/2015,BDW,24.8655350148
11/16/2015,BDW,27.6415935041
11/17/2015,BDW,27.6415935041
11/18/2015,BDW,27.6415935041
11/19/2015,BDW,27.6415935041
11/20/2015,BDW,27.6415935041
11/23/2015,BDW,27.6415935041
11/24/2015,BDW,27.6415935041
11/25/2015,BDW,27.6415935041
11/26/2015,BDW,27.6415935041
11/27/2015,BDW,27.6415935041
11/30/2015,BDW,27.6415935041
12/01/2015,BDW,27.6415935041
12/02/2015,BDW,27.6415935041
12/03/2015,BDW,27.6415935041
12/04/2015,BDW,27.6415935041
12/07/2015,BDW,27.6415935041
12/08/2015,BDW,27.6415935041
12/09/2015,BDW,27.6415935041
12/10/2015,BDW,27.6415935041
03/04/2010,BTW,0.0
03/05/2010,BTW,0.0
03/08/2010,BTW,127.0066984716
03/09/2010,BTW,127.0066984716
03/10/2010,BTW,127.0066984716
06/03/2010,BTW,44.6177405053
05/27/2011,BTW,3.0038566824
05/26/2011,BTW,2.7356551929
05/25/2011,BTW,2.7356551929
05/24/2011,BTW,2.9502163845
05/23/2011,BTW,2.9502163845
05/20/2011,BTW,3.218417874
05/19/2011,BTW,3.218417874
05/18/2011,BTW,2.9502163845
05/17/2011,BTW,3.1647775761
05/16/2011,BTW,3.3793387677
05/13/2011,BTW,3.7011805551
05/12/2011,BTW,3.7011805551
06/14/2010,BWA,0.0
06/15/2010,BWA,0.0
06/16/2010,BWA,0.0
06/17/2010,BWA,0.0
06/18/2010,BWA,0.0
06/21/2010,BWA,0.0
06/22/2010,BWA,245.4868318828
06/24/2010,BWA,245.4868318828
06/25/2010,BWA,245.4868318828
06/28/2010,BWA,245.4868318828
06/29/2010,BWA,245.4868318828
06/30/2010,BWA,245.4868318828
07/01/2010,BWA,245.4868318828
07/02/2010,BWA,245.4868318828
07/05/2010,BWA,245.4868318828
07/06/2010,BWA,245.4868318828
07/07/2010,BWA,245.4868318828
07/08/2010,BWA,245.4868318828
07/09/2010,BWA,245.4868318828
12/11/2015,BDW,27.6415935041
12/14/2015,BDW,27.6415935041
12/15/2015,BDW,27.6415935041
12/16/2015,BDW,27.6415935041
12/17/2015,BDW,27.6415935041
12/23/2015,BDW,27.6415935041
01/08/2016,BDW,27.6415935041
01/14/2016,BDW,27.6415935041
01/20/2016,BDW,27.6415935041
01/27/2016,BDW,27.6415935041
02/16/2016,BDW,27.6415935041
02/17/2016,BDW,27.6415935041
02/29/2016,BDW,27.6415935041
03/07/2016,BDW,27.6415935041
03/16/2016,BDW,27.6415935041
03/31/2016,BDW,27.6415935041
04/12/2016,BDW,27.6415935041
04/29/2016,BDW,19.2354708336
05/06/2016,BDW,19.2354708336
05/25/2016,BDW,19.2354708336
06/07/2016,BDW,19.2354708336
06/21/2016,BDW,22.313146167
06/24/2016,BDW,22.313146167
07/14/2016,BDW,19.2354708336
07/27/2016,BDW,18.9469387711
08/01/2016,BDW,18.9469387711
08/08/2016,BDW,18.9469387711
08/09/2016,BDW,18.9469387711
08/11/2016,BDW,18.9469387711
08/16/2016,BDW,18.9469387711
08/18/2016,BDW,18.9469387711
01/11/2011,CLW,9.7191414493
01/12/2011,CLW,9.2331843769
01/13/2011,CLW,8.8444187189
01/14/2011,CLW,8.4556530609
01/17/2011,CLW,8.4556530609
03/16/2012,CLW,4.8124304134
03/15/2012,CLW,4.9077260652
03/14/2012,CLW,4.9077260652
03/13/2012,CLW,4.7647825876
03/12/2012,CLW,4.7647825876
03/09/2012,CLW,4.3077195493
03/08/2012,CLW,4.4800283312
03/07/2012,CLW,4.3077195493
03/06/2012,CLW,4.1354107673
03/05/2012,CLW,4.2215651583
03/02/2012,CLW,4.0492563763
03/01/2012,CLW,3.8769475943
02/29/2012,CLW,3.9200247898
02/28/2012,CLW,4.0492563763
02/27/2012,CLW,4.2215651583
09/30/2016,CTW,10.4455925565
10/03/2016,CTW,10.4455925565
10/04/2016,CTW,10.4455925565
10/05/2016,CTW,10.4455925565
10/06/2016,CTW,10.4455925565
11/11/2016,CTW,6.2673555339
12/06/2016,CTW,6.2673555339
12/21/2016,CTW,5.5407056169
12/22/2016,CTW,5.5407056169
12/28/2016,CTW,5.5407056169
12/30/2016,CTW,5.5407056169
01/05/2017,CTW,5.5407056169
01/10/2017,CTW,5.5407056169
01/13/2017,CTW,5.5407056169
01/16/2017,CTW,5.5407056169
01/17/2017,CTW,5.5407056169
02/08/2017,CTW,5.5407056169
02/15/2017,CTW,5.5407056169
02/21/2017,CTW,5.5407056169
02/28/2017,CTW,5.5407056169
03/10/2017,CTW,5.5407056169
03/14/2017,CTW,5.5407056169
03/22/2017,CTW,5.5407056169
03/24/2017,CTW,5.5407056169
03/27/2017,CTW,5.5407056169
04/03/2017,CTW,5.5407056169
07/17/2017,DNN,8.2057128067
07/18/2017,DNN,8.2057128067
07/19/2017,DNN,8.2057128067
07/20/2017,DNN,8.2057128067
07/27/2017,DNN,8.2057128067
