date,ticker,value
02/24/2009,ILC,8.6849241256
04/10/2009,ILC,4.894575119
04/13/2009,ILC,5.2164573669
04/14/2009,ILC,8.6849241256
04/15/2009,ILC,4.7732291221
04/17/2009,ILC,4.5686621665
04/20/2009,ILC,4.295846939
04/21/2009,ILC,4.2617530822
04/22/2009,ILC,4.3640351295
04/23/2009,ILC,4.3640351295
04/24/2009,ILC,4.295846939
04/27/2009,ILC,4.1253767013
04/28/2009,ILC,4.295846939
04/29/2009,ILC,4.3299407958
05/04/2009,ILC,4.5004110336
05/05/2009,ILC,4.5345048904
05/06/2009,ILC,4.4663171768
05/07/2009,ILC,4.5004110336
05/08/2009,ILC,4.3640351295
05/11/2009,ILC,4.3299407958
05/12/2009,ILC,4.3981289863
05/18/2009,ILC,4.6367869377
05/20/2009,ILC,5.2163853645
05/21/2009,ILC,5.5573258399
05/25/2009,ILC,8.9395284652
06/02/2009,ILC,8.3627843856
06/05/2009,ILC,9.4682102203
06/09/2009,ILC,10.5736351013
06/19/2009,ILC,7.8821644783
06/23/2009,ILC,7.1131730079
06/24/2009,ILC,7.1131730079
06/25/2009,ILC,7.8821644783
06/26/2009,ILC,7.8821644783
07/08/2009,ILC,7.9782886505
07/10/2009,ILC,7.2092967033
07/14/2009,ILC,7.4496068954
07/15/2009,ILC,7.641854763
07/28/2009,ILC,6.7901482582
07/29/2009,ILC,6.8325867652
07/30/2009,ILC,6.8325867652
08/07/2009,ILC,13.8018245697
08/11/2009,ILC,13.6324768066
08/12/2009,ILC,13.8864984512
08/13/2009,ILC,13.6324768066
08/17/2009,ILC,13.5478029251
08/20/2009,ILC,13.8864984512
08/24/2009,ILC,15.5799732208
08/25/2009,ILC,15.241276741
09/11/2009,ILC,15.1566028594
09/16/2009,ILC,15.8339939117
09/22/2009,ILC,16.8500804901
09/23/2009,ILC,17.9508380889
10/05/2009,ILC,20.4063777923
10/13/2009,ILC,24.301372528
10/26/2009,ILC,23.8780021667
10/30/2009,ILC,24.8940887451
11/06/2009,ILC,20.9144210815
11/17/2009,ILC,20.2370300292
11/26/2009,ILC,16.5113849639
11/30/2009,ILC,-42.4372253417
12/15/2009,ILC,-35.1752433776
01/26/2010,ILC,-43.1180381774
01/27/2010,ILC,-42.2102890014
03/02/2010,ILC,-23.419424057
03/03/2010,ILC,-23.419424057
03/08/2010,ILC,-25.5714797973
03/10/2010,ILC,-26.0778446197
03/11/2010,ILC,-24.6853389739
03/12/2010,ILC,-25.5714797973
03/15/2010,ILC,-25.9512538909
03/17/2010,ILC,-24.6853389739
03/26/2010,ILC,-21.9003257751
03/29/2010,ILC,-22.15350914
04/01/2010,ILC,-22.7864665985
04/05/2010,ILC,-22.4066925048
04/13/2010,ILC,-23.419424057
04/19/2010,ILC,-25.8246631622
04/26/2010,ILC,-33.6046791076
05/04/2010,ILC,-32.8438186645
05/06/2010,ILC,-33.3510589599
05/11/2010,ILC,-33.3510589599
05/27/2010,ILC,-25.8692607879
06/25/2010,ILC,-290.6243987537
07/08/2010,ILC,-287.6282709315
07/14/2010,ILC,-302.6089100425
07/21/2010,ILC,-293.6205265759
08/02/2010,ILC,-308.6011656869
08/12/2010,ILC,164.6916155376
08/18/2010,ILC,174.826484186
08/20/2010,ILC,153.7121745017
10/12/2010,ILC,212.8100602239
10/11/2010,ILC,211.5727924319
10/08/2010,ILC,211.5727924319
10/07/2010,ILC,211.5727924319
10/06/2010,ILC,221.4709347679
10/05/2010,ILC,222.7082025599
10/04/2010,ILC,218.9963991839
10/01/2010,ILC,220.2336669759
09/30/2010,ILC,227.6572737279
09/29/2010,ILC,218.9963991839
09/28/2010,ILC,223.9454703519
09/27/2010,ILC,223.9454703519
09/24/2010,ILC,236.3181482719
09/23/2010,ILC,226.4200059359
09/22/2010,ILC,233.8436126879
09/21/2010,ILC,230.1318093119
09/20/2010,ILC,240.0299516479
09/17/2010,ILC,241.2672194399
09/16/2010,ILC,247.4535583999
09/15/2010,ILC,233.8436126879
09/14/2010,ILC,222.7082025599
09/13/2010,ILC,211.5727924319
09/10/2010,ILC,211.5727924319
09/09/2010,ILC,222.7082025599
09/08/2010,ILC,216.5218635999
09/07/2010,ILC,223.9454703519
09/06/2010,ILC,231.3690771039
09/01/2010,ILC,221.4709347679
08/31/2010,ILC,220.2336669759
08/30/2010,ILC,220.2336669759
08/27/2010,ILC,206.6237212639
08/26/2010,ILC,202.9119178879
08/25/2010,ILC,210.3355246399
08/24/2010,ILC,151.1784573396
08/23/2010,ILC,161.3133259881
08/19/2010,ILC,163.8470431502
08/17/2010,ILC,174.826484186
08/16/2010,ILC,166.3807603123
08/13/2010,ILC,157.0904640512
08/11/2010,ILC,175.6710565734
08/10/2010,ILC,171.4481946366
08/09/2010,ILC,-322.0837408868
08/06/2010,ILC,-322.0837408868
12/20/2010,ILC,21.8448692017
08/05/2010,ILC,-310.099229598
08/04/2010,ILC,-322.0837408868
12/23/2010,ILC,21.8448692017
12/24/2010,ILC,22.9945991597
12/27/2010,ILC,21.6806220648
12/28/2010,ILC,21.3521277911
08/03/2010,ILC,-316.0914852424
07/30/2010,ILC,-310.099229598
07/29/2010,ILC,-319.0876130646
07/28/2010,ILC,-313.0953574202
07/27/2010,ILC,-316.0914852424
07/26/2010,ILC,-317.5895491535
07/23/2010,ILC,-331.0721243535
01/10/2011,ILC,21.3521277911
07/22/2010,ILC,-310.099229598
07/20/2010,ILC,-284.6321431093
07/19/2010,ILC,-289.1263348426
01/14/2011,ILC,21.3521277911
07/16/2010,ILC,-293.6205265759
01/18/2011,ILC,21.3521277911
07/15/2010,ILC,-299.6127822203
01/20/2011,ILC,21.3521277911
07/13/2010,ILC,-302.6089100425
07/12/2010,ILC,-298.1147183092
01/25/2011,ILC,21.3521277911
07/09/2010,ILC,-292.1224626648
07/07/2010,ILC,-289.1263348426
07/06/2010,ILC,-295.118590487
02/08/2011,ILC,10.5706092811
07/05/2010,ILC,-305.6050378647
07/02/2010,ILC,-286.1302070204
07/01/2010,ILC,-292.1224626648
02/14/2011,ILC,10.8108504012
02/15/2011,ILC,10.6506896545
06/30/2010,ILC,-313.0953574202
06/29/2010,ILC,-305.6050378647
02/18/2011,ILC,10.6506896545
02/21/2011,ILC,10.5706092811
02/22/2011,ILC,10.6506896545
02/23/2011,ILC,11.2913326412
06/28/2010,ILC,-286.1302070204
06/24/2010,ILC,-293.6205265759
06/23/2010,ILC,-298.1147183092
06/22/2010,ILC,-298.1147183092
06/21/2010,ILC,-299.6127822203
03/03/2011,ILC,9.0490821876
03/04/2011,ILC,9.129162561
06/18/2010,ILC,-319.0876130646
06/17/2010,ILC,-319.0876130646
03/09/2011,ILC,9.5295644277
06/16/2010,ILC,-307.1031017758
03/11/2011,ILC,10.4905289078
06/15/2010,ILC,-299.6127822203
06/14/2010,ILC,-314.5934213313
03/16/2011,ILC,10.3303681611
06/11/2010,ILC,-295.118590487
06/10/2010,ILC,-301.1108461314
03/21/2011,ILC,11.1311718945
03/22/2011,ILC,11.1311718945
06/09/2010,ILC,-286.1302070204
06/08/2010,ILC,-283.1340791982
06/07/2010,ILC,-24.9815900211
06/04/2010,ILC,-307.1031017758
06/03/2010,ILC,-25.4888304277
06/02/2010,ILC,-27.1373617488
06/01/2010,ILC,-27.2641718505
05/31/2010,ILC,-29.1663246154
05/28/2010,ILC,-27.3909835815
05/26/2010,ILC,-25.9960708618
05/25/2010,ILC,-25.2352104187
05/24/2010,ILC,-24.8547801971
04/08/2011,ILC,9.609644801
04/13/2011,ILC,9.609644801
05/21/2010,ILC,-23.4598693847
05/20/2010,ILC,-24.7279701232
04/18/2011,ILC,9.5123397007
05/19/2010,ILC,-23.4598693847
04/20/2011,ILC,8.7989142231
05/18/2010,ILC,-24.8547801971
05/17/2010,ILC,-26.2496910095
05/11/2010,VCM,7.300871849
05/12/2010,VCM,6.9335389137
05/13/2010,VCM,6.4580965042
