date,ticker,value
10/13/2010,ELC,13.4952413817
10/14/2010,ELC,13.4952413817
10/15/2010,ELC,12.8818213189
10/18/2010,ELC,12.6364532938
10/19/2010,ELC,12.7591373064
10/20/2010,ELC,12.7591373064
10/21/2010,ELC,12.7591373064
10/22/2010,ELC,12.7591373064
10/25/2010,ELC,12.7591373064
10/26/2010,ELC,12.8818213189
10/27/2010,ELC,12.8818213189
11/02/2010,ELC,12.1457172435
11/09/2010,ELC,12.2193276511
11/12/2010,ELC,11.9984964285
11/25/2010,ELC,11.7285916008
11/30/2010,ELC,11.5813707858
12/02/2010,ELC,11.5322971807
12/14/2010,ELC,12.023033231
12/15/2010,ELC,11.5322971807
01/03/2012,ELC,4.0344655077
12/30/2011,ELC,4.2361887831
12/29/2011,ELC,4.0613619444
12/28/2011,ELC,3.9268797608
12/27/2011,ELC,3.7520529221
12/26/2011,ELC,3.7520529221
12/23/2011,ELC,3.6982600487
12/22/2011,ELC,3.5368814284
12/21/2011,ELC,3.7117082671
12/20/2011,ELC,3.6310189569
12/19/2011,ELC,3.5099849917
12/16/2011,ELC,3.6848118304
12/15/2011,ELC,3.52343321
12/14/2011,ELC,3.4427438999
12/13/2011,ELC,3.2813652796
12/12/2011,ELC,3.1334348776
12/09/2011,ELC,2.9855044757
12/08/2011,ELC,3.1334348776
12/07/2011,ELC,3.2948134979
12/06/2011,ELC,3.2006759694
12/05/2011,ELC,3.0661937858
12/02/2011,ELC,3.0124009124
12/01/2011,ELC,3.0124009124
11/30/2011,ELC,3.0124009124
11/29/2011,ELC,3.0124009124
11/28/2011,ELC,3.1603313143
11/25/2011,ELC,3.3217099347
11/24/2011,ELC,3.4965367733
11/23/2011,ELC,3.4292956815
11/22/2011,ELC,3.3620545897
11/21/2011,ELC,3.2948134979
11/18/2011,ELC,3.2544688429
11/17/2011,ELC,3.2544688429
11/16/2011,ELC,3.2544688429
11/15/2011,ELC,3.2948134979
11/14/2011,ELC,3.3217099347
11/11/2011,ELC,3.2948134979
11/10/2011,ELC,3.3217099347
11/09/2011,ELC,3.2275724061
11/08/2011,ELC,3.1603313143
11/07/2011,ELC,3.2679170612
11/04/2011,ELC,3.4292956815
11/03/2011,ELC,3.4292956815
11/02/2011,ELC,3.8080407367
11/01/2011,ELC,3.9393524863
10/31/2011,ELC,4.1290250134
10/28/2011,ELC,4.3332877349
10/27/2011,ELC,4.3332877349
10/26/2011,ELC,4.3478779293
10/25/2011,ELC,4.3478779293
10/24/2011,ELC,4.3624681237
10/21/2011,ELC,4.1582054022
10/20/2011,ELC,4.2311563741
10/19/2011,ELC,4.2311563741
10/18/2011,ELC,4.1436152078
10/17/2011,ELC,4.3041073461
10/14/2011,ELC,4.2895171517
10/13/2011,ELC,4.2749269573
10/12/2011,ELC,4.2749269573
10/11/2011,ELC,4.2311563741
10/10/2011,ELC,4.3770583181
10/07/2011,ELC,4.4354190956
10/06/2011,ELC,4.4354190956
10/05/2011,ELC,4.3770583181
10/04/2011,ELC,4.2311563741
10/03/2011,ELC,4.2603367629
09/30/2011,ELC,4.3770583181
09/29/2011,ELC,4.4354190956
09/28/2011,ELC,4.6688622059
09/27/2011,ELC,4.45000929
09/26/2011,ELC,4.5375504564
09/23/2011,ELC,4.7126327891
09/22/2011,ELC,4.7126327891
09/21/2011,ELC,4.6542720115
09/20/2011,ELC,4.5521406508
09/19/2011,ELC,4.6834524003
09/16/2011,ELC,4.6980425947
09/15/2011,ELC,4.8731249275
09/14/2011,ELC,4.9460758994
09/13/2011,ELC,4.8585347331
09/12/2011,ELC,5.0919778434
09/09/2011,ELC,5.0190268714
09/08/2011,ELC,4.8585347331
09/07/2011,ELC,4.6542720115
09/06/2011,ELC,4.4354190956
09/05/2011,ELC,4.2311563741
09/01/2011,ELC,4.3916485125
08/31/2011,ELC,4.2197298355
08/30/2011,ELC,4.2050269441
08/29/2011,ELC,4.1903240527
08/26/2011,ELC,4.1315124871
08/25/2011,ELC,4.2050269441
08/24/2011,ELC,4.1756211613
08/23/2011,ELC,4.2050269441
08/22/2011,ELC,4.2197298355
08/19/2011,ELC,4.2050269441
08/18/2011,ELC,4.234432727
08/17/2011,ELC,4.2050269441
08/16/2011,ELC,4.2050269441
08/15/2011,ELC,4.2050269441
08/12/2011,ELC,4.2197298355
08/11/2011,ELC,4.2197298355
08/10/2011,ELC,4.234432727
08/09/2011,ELC,4.2197298355
08/08/2011,ELC,4.2197298355
08/05/2011,ELC,4.2638385098
08/04/2011,ELC,4.2638385098
08/03/2011,ELC,4.2197298355
08/02/2011,ELC,4.2638385098
08/01/2011,ELC,4.0573248128
07/29/2011,ELC,4.0019347129
07/28/2011,ELC,4.0157822379
07/27/2011,ELC,4.0296297628
07/26/2011,ELC,4.0157822379
07/25/2011,ELC,4.0157822379
07/22/2011,ELC,4.0296297628
07/21/2011,ELC,4.0296297628
07/20/2011,ELC,4.0434772878
07/19/2011,ELC,4.0434772878
07/18/2011,ELC,4.0711723377
07/15/2011,ELC,4.0711723377
07/14/2011,ELC,4.0850198627
07/13/2011,ELC,4.0988673876
07/12/2011,ELC,4.0850198627
07/16/2012,ELC,6.9913589012
07/11/2011,ELC,4.0573248128
07/08/2011,ELC,4.0157822379
07/07/2011,ELC,4.0157822379
07/06/2011,ELC,4.0157822379
07/05/2011,ELC,4.0711723377
07/04/2011,ELC,4.0157822379
07/01/2011,ELC,4.0157822379
06/30/2011,ELC,4.1127149126
06/29/2011,ELC,4.0157822379
06/28/2011,ELC,4.0157822379
06/27/2011,ELC,4.0157822379
06/24/2011,ELC,4.0157822379
06/23/2011,ELC,4.0573248128
06/22/2011,ELC,4.0711723377
06/21/2011,ELC,4.1127149126
06/20/2011,ELC,4.0850198627
06/17/2011,ELC,4.0157822379
06/16/2011,ELC,4.0573248128
06/15/2011,ELC,4.0711723377
06/14/2011,ELC,4.1265624375
06/13/2011,ELC,4.1542574875
06/10/2011,ELC,4.2234951123
06/09/2011,ELC,4.1265624375
06/08/2011,ELC,3.9465446131
06/07/2011,ELC,3.9188495632
06/06/2011,ELC,3.7803743136
06/03/2011,ELC,3.974239663
06/02/2011,ELC,4.0573248128
06/01/2011,ELC,3.9326970881
05/31/2011,ELC,3.7942218385
05/30/2011,ELC,3.8911545133
05/27/2011,ELC,4.0019347129
05/26/2011,ELC,3.988087188
05/25/2011,ELC,3.9050020382
05/24/2011,ELC,4.0988673876
05/23/2011,ELC,4.306580262
05/20/2011,ELC,4.320427787
05/19/2011,ELC,4.5419881863
05/18/2011,ELC,4.4312079866
05/17/2011,ELC,4.3481228369
05/16/2011,ELC,4.306580262
05/13/2011,ELC,4.5281406613
05/12/2011,ELC,4.5419881863
05/11/2011,ELC,4.5142931364
05/10/2011,ELC,4.652768386
05/09/2011,ELC,4.6666159109
05/06/2011,ELC,4.5696832362
05/05/2011,ELC,4.7497010607
05/04/2011,ELC,4.7773961106
04/29/2011,ELC,4.7358535357
04/28/2011,ELC,4.9297188851
04/27/2011,ELC,4.9158713602
04/26/2011,ELC,5.1097367096
04/25/2011,ELC,5.0958891846
04/22/2011,ELC,5.0820416597
04/21/2011,ELC,4.8881763103
04/20/2011,ELC,5.1097367096
04/19/2011,ELC,5.1097367096
04/18/2011,ELC,5.1097367096
04/15/2011,ELC,5.1351190052
04/14/2011,ELC,5.2881984335
04/13/2011,ELC,5.3856126152
04/08/2011,ELC,5.2464494985
04/07/2011,ELC,5.2047005635
04/06/2011,ELC,5.3021147452
04/05/2011,ELC,5.0516211352
04/04/2011,ELC,4.9959558885
04/01/2011,ELC,4.7593785902
03/31/2011,ELC,5.0098722002
03/30/2011,ELC,5.0098722002
03/29/2011,ELC,5.2186168752
03/28/2011,ELC,5.0516211352
03/25/2011,ELC,5.0377048235
03/24/2011,ELC,5.2186168752
03/23/2011,ELC,5.2881984335
03/22/2011,ELC,5.2881984335
03/21/2011,ELC,5.4134452385
03/18/2011,ELC,5.4134452385
03/17/2011,ELC,5.4551941735
03/16/2011,ELC,5.4551941735
03/15/2011,ELC,5.4691104852
03/14/2011,ELC,5.5386920435
03/11/2011,ELC,5.5386920435
03/10/2011,ELC,5.5386920435
03/09/2011,ELC,5.5386920435
03/08/2011,ELC,5.5665246669
03/07/2011,ELC,5.5665246669
03/04/2011,ELC,5.5665246669
03/03/2011,ELC,5.5665246669
03/02/2011,ELC,5.5804409785
03/01/2011,ELC,5.8726835235
02/28/2011,ELC,5.8726835235
02/25/2011,ELC,10.3746705616
02/24/2011,ELC,10.2386880441
02/23/2011,ELC,10.4682071524
02/22/2011,ELC,10.3567019463
02/21/2011,ELC,10.7310289479
02/18/2011,ELC,11.2431714789
02/17/2011,ELC,11.2036059671
02/16/2011,ELC,11.1882193187
02/15/2011,ELC,11.0765151473
02/14/2011,ELC,11.2295846815
02/11/2011,ELC,11.1831262884
02/10/2011,ELC,10.808936512
02/09/2011,ELC,10.984991118
02/08/2011,ELC,11.208209659
01/28/2011,ELC,10.8019430594
01/27/2011,ELC,10.434949194
01/26/2011,ELC,10.3031117866
01/25/2011,ELC,10.2417549947
01/24/2011,ELC,10.273930212
01/21/2011,ELC,10.3929103614
01/20/2011,ELC,10.3548702501
01/19/2011,ELC,10.3168964606
01/18/2011,ELC,10.1863854883
01/17/2011,ELC,10.4492072838
01/14/2011,ELC,10.4272593629
01/13/2011,ELC,10.343282269
01/12/2011,ELC,10.0299850322
01/11/2011,ELC,10.0842499774
01/10/2011,ELC,10.0010024229
01/07/2011,ELC,9.9347424025
01/06/2011,ELC,10.3753431697
01/05/2011,ELC,10.9054966404
01/04/2011,ELC,9.6896305198
12/31/2010,ELC,9.2261437559
12/30/2010,ELC,8.7991893161
12/29/2010,ELC,9.2360711716
12/28/2010,ELC,9.1105804667
12/27/2010,ELC,9.5066862578
01/18/2013,ELC,8.3489834259
12/24/2010,ELC,9.3908465253
12/23/2010,ELC,9.4056725171
12/22/2010,ELC,9.6804895424
12/21/2010,ELC,9.7550974139
12/20/2010,ELC,9.7896590316
12/17/2010,ELC,9.7933498852
12/16/2010,ELC,12.023033231
12/13/2010,ELC,12.023033231
12/10/2010,ELC,12.023033231
12/09/2010,ELC,12.0475700335
12/08/2010,ELC,11.6549811933
12/07/2010,ELC,11.9494228235
12/06/2010,ELC,12.1457172435
12/03/2010,ELC,12.023033231
12/01/2010,ELC,11.5322971807
11/29/2010,ELC,11.5813707858
11/26/2010,ELC,11.7285916008
11/24/2010,ELC,11.7285916008
11/23/2010,ELC,11.7285916008
11/22/2010,ELC,11.6549811933
11/19/2010,ELC,11.7776652059
