date,ticker,value
07/16/2015,BCG,14.7237518728
07/17/2015,BCG,15.7358876332
07/20/2015,BCG,16.9030107491
07/21/2015,BCG,15.8248647328
07/22/2015,BCG,14.8165473018
07/23/2015,BCG,13.8797530485
07/24/2015,BCG,13.0161765655
07/27/2015,BCG,14.1550564728
07/28/2015,BCG,15.2248083789
07/29/2015,BCG,15.9485919715
07/30/2015,BCG,14.9671734486
07/31/2015,BCG,14.3351124241
08/03/2015,BCG,14.4180117377
08/04/2015,BCG,14.878082614
08/05/2015,BCG,14.9684608816
08/06/2015,BCG,15.0588391493
08/07/2015,BCG,15.0545348081
08/10/2015,BCG,15.2275978171
08/11/2015,BCG,15.5107304875
08/12/2015,BCG,15.6011087552
08/13/2015,BCG,15.6914870228
08/14/2015,BCG,15.6832286324
08/17/2015,BCG,15.8523375922
08/18/2015,BCG,16.0424822463
10/25/2016,IBC,114.4224974039
10/26/2016,IBC,115.166243637
10/27/2016,IBC,116.1159503655
10/28/2016,IBC,116.6308516038
10/31/2016,IBC,116.6308516038
11/01/2016,IBC,121.2878472482
11/02/2016,IBC,120.1436222741
11/03/2016,IBC,119.8461237809
11/04/2016,IBC,119.8461237809
11/07/2016,IBC,119.9491040285
11/08/2016,IBC,118.9765128006
11/09/2016,IBC,118.9993973001
11/10/2016,IBC,118.9993973001
11/11/2016,IBC,118.9993973001
11/14/2016,IBC,118.9993973001
11/15/2016,IBC,114.4224974039
11/16/2016,IBC,114.4224974039
11/17/2016,IBC,114.4224974039
11/18/2016,IBC,114.4224974039
11/21/2016,IBC,114.4224974039
11/22/2016,IBC,114.4224974039
11/23/2016,IBC,114.4224974039
11/24/2016,IBC,114.4224974039
11/25/2016,IBC,114.4224974039
11/28/2016,IBC,114.4224974039
11/29/2016,IBC,114.4224974039
08/19/2015,BCG,16.0308346708
08/20/2015,BCG,16.1200832101
08/21/2015,BCG,16.0041503349
08/24/2015,BCG,16.2685067677
08/25/2015,BCG,16.4614757426
08/26/2015,BCG,16.760989474
08/27/2015,BCG,16.8508028775
08/28/2015,BCG,16.940616281
08/31/2015,BCG,17.2100564914
09/01/2015,BCG,17.2998698949
09/03/2015,BCG,17.5894306433
09/04/2015,BCG,17.679808911
09/07/2015,BCG,19.1850710943
09/08/2015,BCG,20.522003754
09/09/2015,BCG,21.9846865522
09/10/2015,BCG,22.6637101553
09/11/2015,BCG,22.2038538512
09/14/2015,BCG,22.3003099049
09/15/2015,BCG,22.5254761377
09/16/2015,BCG,22.7517720988
09/17/2015,BCG,22.8613557483
09/18/2015,BCG,23.2077532061
09/21/2015,BCG,24.8610098026
09/22/2015,BCG,23.6506067175
09/23/2015,BCG,23.6400888704
09/24/2015,BCG,23.7502373841
09/25/2015,BCG,23.7380249445
09/28/2015,BCG,23.9427203472
09/29/2015,BCG,24.1763595426
09/30/2015,BCG,24.4111284663
10/01/2015,BCG,24.6470271183
10/02/2015,BCG,26.3998355291
10/05/2015,BCG,28.5461396961
11/30/2016,IBC,114.4224974039
12/01/2016,IBC,114.4224974039
12/02/2016,IBC,114.4224974039
12/05/2016,IBC,114.4224974039
12/06/2016,IBC,131.5858720145
12/07/2016,IBC,151.0376965732
12/08/2016,IBC,172.7779710799
12/09/2016,IBC,191.2572044107
12/12/2016,IBC,219.6911950155
12/13/2016,IBC,251.7294942886
12/14/2016,IBC,289.4889184319
12/15/2016,IBC,331.8252424714
12/16/2016,IBC,362.9824885145
12/19/2016,IBC,407.9505299942
12/20/2016,IBC,457.6899896157
12/21/2016,IBC,423.3632403945
12/22/2016,IBC,407.8132229973
12/23/2016,IBC,356.4260794132
12/26/2016,IBC,348.988617082
12/27/2016,IBC,366.1519916926
12/28/2016,IBC,377.5942414329
12/29/2016,IBC,389.0364911733
12/30/2016,IBC,402.7671908618
01/03/2017,IBC,431.1668547175
01/04/2017,IBC,413.0652156282
01/05/2017,IBC,354.7097419522
01/06/2017,IBC,366.1291071931
01/09/2017,IBC,384.8257432689
01/10/2017,IBC,387.3430382118
01/11/2017,IBC,390.1692738976
01/12/2017,IBC,378.8071199054
01/13/2017,IBC,393.2701235773
01/16/2017,IBC,401.7831573841
10/06/2015,BCG,30.3435723766
10/07/2015,BCG,28.410651147
10/08/2015,BCG,27.8864003272
10/09/2015,BCG,26.5748865552
10/12/2015,BCG,26.6566561404
10/13/2015,BCG,25.7105306358
10/14/2015,BCG,25.6870209128
10/15/2015,BCG,25.9296979349
10/16/2015,BCG,26.0392815844
10/19/2015,BCG,26.096197146
10/20/2015,BCG,26.3411336248
10/21/2015,BCG,26.4501524102
10/22/2015,BCG,26.6967834815
10/23/2015,BCG,27.0827214314
10/26/2015,BCG,27.1351180796
10/27/2015,BCG,26.8233919086
10/28/2015,BCG,26.9312809656
10/29/2015,BCG,26.7560373522
10/30/2015,BCG,26.4364030827
11/02/2015,BCG,26.895423083
11/03/2015,BCG,27.1454433394
11/04/2015,BCG,27.1066822836
11/05/2015,BCG,27.2123118839
11/06/2015,BCG,27.3179414843
11/09/2015,BCG,27.6348302852
11/10/2015,BCG,27.443770475
11/11/2015,BCG,27.6971799164
11/12/2015,BCG,27.9517190861
11/13/2015,BCG,28.0573486864
11/16/2015,BCG,2.1312292995
11/17/2015,BCG,2.1312292995
11/18/2015,BCG,2.1198323513
01/17/2017,IBC,402.7671908618
01/18/2017,IBC,384.0819970357
01/19/2017,IBC,385.8097767465
01/20/2017,IBC,412.8478128831
01/23/2017,IBC,429.6221510025
01/24/2017,IBC,440.3664235087
01/25/2017,IBC,441.1673809906
02/02/2017,IBC,450.8246397715
02/03/2017,IBC,481.787367569
02/06/2017,IBC,478.7780558872
02/07/2017,IBC,476.5124904386
02/08/2017,IBC,471.2833823073
02/09/2017,IBC,463.8230354765
02/10/2017,IBC,463.582748232
02/13/2017,IBC,460.1844000591
02/14/2017,IBC,456.8661476344
02/15/2017,IBC,456.5915336406
02/16/2017,IBC,464.2349564672
02/17/2017,IBC,466.5691754142
02/20/2017,IBC,474.1668292419
02/21/2017,IBC,482.5196715523
02/22/2017,IBC,497.0055597237
02/23/2017,IBC,504.9121542943
02/24/2017,IBC,522.0869711546
02/27/2017,IBC,523.4943678727
02/28/2017,IBC,529.0553012465
03/01/2017,IBC,24.4163890562
03/02/2017,IBC,24.1986511166
03/03/2017,IBC,24.3887735126
03/06/2017,IBC,25.3797466721
03/07/2017,IBC,26.1959984117
03/08/2017,IBC,27.0796958057
11/19/2015,BCG,2.267992677
11/20/2015,BCG,2.267992677
11/23/2015,BCG,2.2451987807
11/24/2015,BCG,2.1654201438
11/25/2015,BCG,2.1654201438
11/26/2015,BCG,2.176817092
11/27/2015,BCG,2.1540231957
11/30/2015,BCG,2.1540231957
12/01/2015,BCG,2.1654201438
12/02/2015,BCG,2.176817092
12/03/2015,BCG,2.176817092
12/04/2015,BCG,2.176817092
12/07/2015,BCG,2.176817092
12/08/2015,BCG,2.1882140401
12/09/2015,BCG,2.176817092
12/10/2015,BCG,2.1882140401
12/11/2015,BCG,2.176817092
12/14/2015,BCG,2.1882140401
12/15/2015,BCG,2.1882140401
12/16/2015,BCG,2.1882140401
12/17/2015,BCG,2.1882140401
12/18/2015,BCG,2.1882140401
12/21/2015,BCG,2.176817092
12/22/2015,BCG,2.176817092
12/23/2015,BCG,2.1882140401
12/24/2015,BCG,2.2110079363
12/25/2015,BCG,2.2110079363
12/28/2015,BCG,2.1996109882
12/29/2015,BCG,2.176817092
12/30/2015,BCG,2.2110079363
12/31/2015,BCG,2.2110079363
01/04/2016,BCG,2.1996109882
03/09/2017,IBC,26.697326741
03/10/2017,IBC,26.5650907728
03/13/2017,IBC,32.2550014949
03/14/2017,IBC,32.4264886593
03/15/2017,IBC,32.4194236451
03/16/2017,IBC,32.4425455099
03/17/2017,IBC,32.4823664994
03/20/2017,IBC,32.5363175175
03/21/2017,IBC,32.5632930265
03/22/2017,IBC,32.6403659094
03/23/2017,IBC,32.6339431691
03/24/2017,IBC,32.6210976887
03/27/2017,IBC,32.7816661947
03/28/2017,IBC,32.7752434545
03/29/2017,IBC,32.7752434545
03/30/2017,IBC,32.7688207142
03/31/2017,IBC,32.9358119605
04/03/2017,IBC,33.0706895056
04/04/2017,IBC,33.2248352714
04/05/2017,IBC,33.1220714275
04/07/2017,IBC,32.9679256617
04/10/2017,IBC,32.7559752337
04/11/2017,IBC,32.6018294679
04/12/2017,IBC,32.3449198583
04/13/2017,IBC,32.2806924558
04/14/2017,IBC,31.8567915999
04/17/2017,IBC,31.7668732365
04/18/2017,IBC,31.5998819902
04/19/2017,IBC,31.4457362244
04/20/2017,IBC,127.9755359266
04/21/2017,IBC,125.9177969444
04/24/2017,IBC,124.0183455763
01/05/2016,BCG,2.1996109882
01/06/2016,BCG,2.2110079363
01/07/2016,BCG,2.1996109882
01/08/2016,BCG,2.1996109882
01/11/2016,BCG,2.2110079363
01/12/2016,BCG,2.2224048845
01/13/2016,BCG,2.2110079363
01/14/2016,BCG,2.1996109882
01/15/2016,BCG,2.1996109882
01/18/2016,BCG,2.1996109882
01/19/2016,BCG,2.2451987807
01/20/2016,BCG,2.2338018326
01/21/2016,BCG,2.2224048845
01/22/2016,BCG,2.1996109882
01/25/2016,BCG,2.2224048845
01/26/2016,BCG,2.2224048845
01/27/2016,BCG,2.2338018326
01/28/2016,BCG,2.2110079363
01/29/2016,BCG,2.2224048845
02/01/2016,BCG,2.2224048845
02/02/2016,BCG,2.2338018326
02/03/2016,BCG,2.2224048845
02/04/2016,BCG,2.2451987807
02/05/2016,BCG,2.2451987807
02/15/2016,BCG,2.2338018326
02/16/2016,BCG,46.5001761831
02/17/2016,BCG,46.73742198
02/18/2016,BCG,49.3471257453
02/19/2016,BCG,49.1098799485
02/22/2016,BCG,48.1608967611
02/23/2016,BCG,47.6864051674
02/24/2016,BCG,47.4491593705
04/25/2017,IBC,122.0397504012
04/26/2017,IBC,117.660459747
04/27/2017,IBC,116.8690216769
04/28/2017,IBC,117.660459747
05/03/2017,IBC,77.6400746716
05/04/2017,IBC,78.9591381217
05/05/2017,IBC,79.1174257357
05/08/2017,IBC,75.9780547245
05/09/2017,IBC,76.0308172625
05/10/2017,IBC,76.4001550285
05/11/2017,IBC,75.7406233035
05/12/2017,IBC,75.2921417305
05/15/2017,IBC,74.4479411224
05/16/2017,IBC,74.7381350814
05/17/2017,IBC,73.8147906664
05/18/2017,IBC,72.2582957953
05/19/2017,IBC,72.8650649823
05/22/2017,IBC,73.1816402103
05/23/2017,IBC,72.3638208713
05/24/2017,IBC,70.7545634622
05/25/2017,IBC,69.1453060531
05/26/2017,IBC,69.4355000121
05/29/2017,IBC,69.9103628541
05/30/2017,IBC,70.7018009242
05/31/2017,IBC,69.4355000121
06/01/2017,IBC,67.667954989
06/02/2017,IBC,67.667954989
06/05/2017,IBC,65.6629785449
06/06/2017,IBC,65.7157410829
06/07/2017,IBC,64.6604903228
06/08/2017,IBC,63.6659164815
06/09/2017,IBC,63.3124074768
02/25/2016,BCG,47.6864051674
02/26/2016,BCG,47.9236509642
02/29/2016,BCG,51.0078463233
