date,ticker,value
11/26/2009,GLT,7.0265464782
11/27/2009,GLT,7.4600992202
11/30/2009,GLT,7.9534525871
12/01/2009,GLT,8.5066061019
12/02/2009,GLT,8.1328535079
12/03/2009,GLT,7.6096005439
12/04/2009,GLT,7.4750494956
12/07/2009,GLT,7.1461472511
12/08/2009,GLT,7.3554487228
12/09/2009,GLT,7.0115962028
12/10/2009,GLT,7.3105983734
12/11/2009,GLT,7.0414967536
12/14/2009,GLT,7.1610975265
12/15/2009,GLT,7.1610975265
12/16/2009,GLT,6.6677441596
12/17/2009,GLT,6.2042908668
12/18/2009,GLT,4.7220988273
12/21/2009,GLT,5.0295844078
12/22/2009,GLT,5.0295844078
12/23/2009,GLT,5.0295844078
12/24/2009,GLT,4.6891541481
12/25/2009,GLT,4.4036316871
12/28/2009,GLT,4.2279257774
12/29/2009,GLT,4.4805030822
12/30/2009,GLT,4.7879886627
12/31/2009,GLT,5.1174373626
01/04/2010,GLT,4.9417314529
01/05/2010,GLT,4.9746761322
01/06/2010,GLT,4.656208992
01/07/2010,GLT,4.3926501274
01/08/2010,GLT,4.656208992
01/11/2010,GLT,4.9746761322
01/12/2010,GLT,4.7440619468
01/13/2010,GLT,4.7220988273
01/14/2010,GLT,4.9636945724
01/15/2010,GLT,5.0405659675
01/18/2010,GLT,5.0954742431
01/19/2010,GLT,4.7989702224
01/20/2010,GLT,4.5354113578
01/21/2010,GLT,4.5463929176
01/22/2010,GLT,4.326760292
01/25/2010,GLT,4.3377418518
01/26/2010,GLT,4.6342458724
01/27/2010,GLT,4.6342458724
02/24/2009,VTB,7.5935034751
04/10/2009,VTB,5.8115925788
04/13/2009,VTB,6.0997710227
04/14/2009,VTB,7.5935034751
04/15/2009,VTB,6.5320382118
04/17/2009,VTB,6.7721867561
04/20/2009,VTB,6.4351887702
04/21/2009,VTB,6.1470460891
04/22/2009,VTB,6.0029745101
04/23/2009,VTB,6.0029745101
04/24/2009,VTB,5.7628555297
04/27/2009,VTB,5.8589029312
04/28/2009,VTB,5.7628555297
04/29/2009,VTB,5.8108792304
05/04/2009,VTB,6.0990219116
05/05/2009,VTB,6.2430934906
05/06/2009,VTB,6.0029745101
05/07/2009,VTB,6.0029745101
01/28/2010,GLT,0.0
01/29/2010,GLT,6.1102395057
02/01/2010,GLT,5.9337210655
02/02/2010,GLT,5.8386731147
02/03/2010,GLT,5.5806851387
02/04/2010,GLT,5.5806851387
02/05/2010,GLT,5.6621551513
02/08/2010,GLT,5.6757335662
02/09/2010,GLT,5.6349983215
02/10/2010,GLT,5.8115162849
02/11/2010,GLT,5.9744563102
02/12/2010,GLT,5.9744563102
02/22/2010,GLT,6.0287694931
02/23/2010,GLT,6.0287694931
02/24/2010,GLT,5.6078419685
02/25/2010,GLT,5.770781517
02/26/2010,GLT,5.9472994804
03/01/2010,GLT,5.9744563102
03/02/2010,GLT,6.0966610908
03/03/2010,GLT,6.1509742736
03/04/2010,GLT,6.5583233833
03/05/2010,GLT,6.5311670303
03/08/2010,GLT,6.368227005
03/09/2010,GLT,6.4632754325
03/10/2010,GLT,6.599058628
03/11/2010,GLT,7.0607209205
05/08/2009,VTB,5.9069271087
05/11/2009,VTB,5.9069271087
05/12/2009,VTB,5.6861901283
05/13/2009,VTB,5.7324194908
05/14/2009,VTB,5.7324194908
05/15/2009,VTB,6.009794712
05/18/2009,VTB,6.2871699333
05/19/2009,VTB,6.5645446777
05/20/2009,VTB,6.5645446777
05/21/2009,VTB,6.5645446777
05/22/2009,VTB,8.6845121383
05/25/2009,VTB,9.1187372207
05/26/2009,VTB,9.1187372207
05/27/2009,VTB,8.7465438842
05/28/2009,VTB,8.7465438842
05/29/2009,VTB,8.6845121383
06/01/2009,VTB,9.0567054748
06/02/2009,VTB,9.3048343658
06/03/2009,VTB,8.8706083297
06/04/2009,VTB,9.3048343658
06/05/2009,VTB,9.7390594482
06/08/2009,VTB,10.1732854843
06/09/2009,VTB,10.6075105667
06/10/2009,VTB,10.1112527847
06/11/2009,VTB,10.4834461212
06/12/2009,VTB,9.9871883392
06/15/2009,VTB,10.4834461212
06/16/2009,VTB,9.9871883392
06/17/2009,VTB,9.8631238937
03/12/2010,GLT,7.5495400428
03/15/2010,GLT,8.0519371032
03/16/2010,GLT,8.0790939331
03/17/2010,GLT,7.5631184577
03/18/2010,GLT,7.6038532257
03/19/2010,GLT,7.3322873115
03/22/2010,GLT,7.6581664085
03/23/2010,GLT,7.2100825309
03/24/2010,GLT,6.9385161399
03/25/2010,GLT,7.1693472862
03/26/2010,GLT,7.5359616279
03/29/2010,GLT,7.4544920921
03/30/2010,GLT,7.4001789093
03/31/2010,GLT,7.6038532257
04/01/2010,GLT,8.1198291778
04/02/2010,GLT,8.092672348
04/05/2010,GLT,7.9840459823
04/06/2010,GLT,8.0790939331
04/07/2010,GLT,8.5679130554
04/08/2010,GLT,8.622226715
04/09/2010,GLT,8.5814914703
04/12/2010,GLT,8.2899017333
04/13/2010,GLT,7.7222814559
04/14/2010,GLT,7.2074627876
04/15/2010,GLT,7.616677761
04/16/2010,GLT,7.2866654396
04/19/2010,GLT,6.9962549209
04/20/2010,GLT,7.4714722633
04/21/2010,GLT,7.695880413
04/22/2010,GLT,7.4186701774
04/26/2010,GLT,7.1678614616
04/27/2010,GLT,7.5110735893
06/18/2009,VTB,9.6770277023
06/19/2009,VTB,9.2428016662
06/22/2009,VTB,8.8085765838
06/23/2009,VTB,8.3743505477
06/24/2009,VTB,8.7465438842
06/25/2009,VTB,8.8085765838
06/26/2009,VTB,8.3743505477
06/29/2009,VTB,8.5604476928
06/30/2009,VTB,8.1882534027
07/01/2009,VTB,8.3743505477
07/02/2009,VTB,8.6224794387
07/03/2009,VTB,8.5604476928
07/06/2009,VTB,8.8085765838
07/07/2009,VTB,8.4984149932
07/08/2009,VTB,8.4984149932
07/09/2009,VTB,8.4984149932
07/10/2009,VTB,8.6845121383
07/13/2009,VTB,8.6224794387
07/14/2009,VTB,8.3743505477
07/15/2009,VTB,8.6845121383
07/16/2009,VTB,8.6845121383
07/17/2009,VTB,8.4363832473
07/20/2009,VTB,8.4984149932
07/21/2009,VTB,8.5604476928
07/22/2009,VTB,8.5604476928
07/23/2009,VTB,5.9856715202
07/24/2009,VTB,6.2517013549
07/27/2009,VTB,6.2960400581
07/28/2009,VTB,6.4733929634
07/29/2009,VTB,6.1630249023
07/30/2009,VTB,6.4880504608
07/31/2009,VTB,7.2711000442
04/28/2010,GLT,7.1546607017
04/29/2010,GLT,7.2602643966
05/04/2010,GLT,7.1414604187
05/05/2010,GLT,7.0490570068
05/06/2010,GLT,7.2074627876
05/07/2010,GLT,7.0490570068
